DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE
1,0.25,0.78,1.51279,-26.0645,-1.805,-1.224,-2.214,-2.4605,-2.3,-0.98397,-1.598,-1.55808,389.465,5.45,86.735,1.2714,0.209415,0.8,-0.036,0.0715,81.6015,0,0,0,0,264.135,309.63,-39.921,0.255,0.452,0.664,1.056,1.748,3.13,0.34,0.893285,0.819445,0.4092,2.7967,1.23875
1,0.75,0.68473,1.51585,-25.14,-1.781,-1.26,-2.214,-2.4525,-2.298,-1.4886,-1.8373,-1.843385,389.66,5.4169,86.77,1.35525,0.21602,0.9,0.049983,0.1125,81.709,0,0,0,0,264.19,309.7,-36.8185,0.2435,0.452,0.664,1.055,1.7455,3.1205,0.35,0.9548,0.87509,0.428415,2.791,1.223
1,1.25,0.69304,1.03505,-24.2525,-1.7815,-1.229,-2.2145,-2.457,-2.296,-1.567975,-2.130395,-2.1646,389.58,5.342,86.735,1.319355,0.20779,1.005,-0.051,0.0856665,82.0215,0,0,0,0,263.97,308.8,-36.905,0.249,0.4535,0.661,1.0565,1.7465,3.125,0.344075,0.9297,0.8736,0.4202,2.779,1.194
1,1.75,0.721,1.807,-27.133,-1.7905,-1.229,-2.212,-2.4655,-2.289,-1.568,-2.147935,-2.52833,389.315,5.425,86.72,1.38185,0.2187,0.9,-0.097667,0.0183335,82.3125,0,0,0,0,265.13,308.43333,-35.3335,0.245,0.4495,0.6605,1.057,1.747,3.126,0.3463,0.9025,0.8523,0.4354,2.6735,1.22
1,2.25,0.72045,1.3058,-24.07,-1.803,-1.225,-2.208,-2.4675,-2.2945,-1.6368,-2.271985,-2.5963,389.195,5.3765,86.71,1.271675,0.226075,0.86146,-0.067,0.030835,82.2,0,0,0,0,267.835,308.86,-35.446835,0.2455,0.4485,0.6585,1.0565,1.748,3.118,0.35,0.941,0.87004,0.4489,2.66165,1.209
1,2.75,0.66,1.47255,-25.2005,-1.83,-1.2225,-2.2095,-2.4515,-2.306,-1.5935,-2.192105,-2.59649,389.85,5.4,86.707,1.160315,0.21913,0.62778,-0.099,0.01483335,82.337,0,0,0,0,267.385,308.33,-34.593335,0.249,0.449,0.663,1.055,1.7505,3.1175,0.36456,0.9453,0.8845,0.4318,2.73,1.195
1,3.25,0.7,1.7079,-20.8115,-1.832,-1.221,-2.2045,-2.439,-2.3095,-1.63735,-2.3343,-2.59673,389.54,5.45235,86.73,1.09638,0.2258,0.64,-0.14633,-0.10283,82.833,0,0,0,0,270.88,308.23,-31.875,0.2405,0.447,0.666,1.0585,1.7625,3.127,0.32896,0.89532,0.8105,0.384,2.57885,1.189
1,3.75,0.727,2.00366,-23.81,-1.8405,-1.222,-2.206,-2.458,-2.314,-1.628145,-2.5838,-2.5968,389.62,5.40184,86.712,1.2621,0.222,0.66297,-0.044333,-0.0426665,82.7,0,0,0,0,271.365,308.03,-32.6615,0.2385,0.4495,0.6665,1.0545,1.7625,3.123,0.322,0.89232,0.8207,0.4071,2.7,1.1795
1,4.25,0.6,1.7405,-24.078,-1.8365,-1.224,-2.2135,-2.4825,-2.32,-1.6548,-2.62735,-2.5968,390.03,5.4125,86.737,1.1289,0.22527,0.63,-0.13233,0.036335,82.367,0,0,0,0,273.23,308.1,-30.2035,0.2415,0.4475,0.669,1.0545,1.765,3.127,0.33,0.87545,0.86096,0.4019,2.67285,1.168
1,4.75,0.749555,1.569,-19.695,-1.839,-1.2355,-2.2135,-2.4885,-2.3195,-1.69824,-2.5036,-2.5967,389.83,5.45515,86.7465,0.9212,0.22942,0.52169,-0.169,-0.0983315,83.212,0,0,0,0,273.17,308.02,-29.4545,0.245,0.4465,0.6685,1.0625,1.76,3.128,0.29803,0.8613,0.82128,0.393475,2.5913,1.163
