DOY2,HR2,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,LE_1_1_1,H_1_1_1,SC_1_1_1,SLE_1_1_1,SH_1_1_1,NEE,USTAR_1_1_1,PA_1_1_1,VPD_1_1_1
1,0.25,0,0.539611,229.5417,302.84365,-84.225215,-2.105667,74.228,2.272806,414.08645,2.937099,1.1651975,1.548878,-29.06517,0.00647741,-0.2955091,-2.913999,1.2722775,0.3816437,97.953665,1.235911
1,0.75,0,0.60066665,225.0942,301.0819,-83.153055,-2.43405,76.04333,2.231529,405.39715,2.955136,1.060469,0.70681545,-29.00766,0.03592533,0.3219798,-3.346179,1.28773,0.4144667,97.947945,1.430328
1,1.25,0,0.62894445,228.118,299.6659,-87.27744,-2.79025,75.939,2.1274525,407.36995,2.8869365,1.328887,0.8766604,-37.82874,0.03266113,0.3225448,-2.660887,1.468067,0.4223018,97.973465,1.442112
1,1.75,0,0.69302785,220.388,302.582,-87.26358,-1.9842,79.965,2.426037,412.902,2.7665685,1.339945,0.5215583,-35.04701,-0.0058770875,0.2325121,-1.3843245,1.3912895,0.4124304,97.96427,1.384634
1,2.25,0,0.785,217.6063,301.646,-89.82708,-2.290125,81.41666,2.573239,412.70055,2.878327,1.391831,1.0024915,-32.03796,0.04580792,0.3193172,-1.3916015,1.53353,0.4141686,97.97165,1.272362
1,2.75,0,0.6572222,221.0321,301.8934,-89.64587,-2.330567,83.753335,2.6196665,402.5316,2.8620315,1.211417,0.8855915,-31.71614,0.02482831,-0.186993455,-1.724957,1.3339205,0.4172689,97.817535,1.1581365
1,3.25,0,0.7679444,226.3103,298.3949,-77.41639,-3.200233,81.46333,2.434914,402.3497,2.80318,1.35916,1.220101,-34.60618,-0.03851432,0.04802907,-1.3217445,1.269601,0.3925994,97.63657,1.051177
1,3.75,0,0.6895,226.2408,297.0532,-86.07011,-3.654867,80.99334,2.435108,403.9766,2.808477,1.081517,1.8823525,-28.72607,0.03082239,-0.15147685,-1.9610575,1.42226,0.425536,98.01315,0.9867083
1,4.25,0,0.6782777,223.8749,295.476,-84.32261,-4.048333,81.73667,2.41717,403.83585,2.8544905,1.241727,0.61206155,-32.48376,0.08758788,0.8783416,-2.358848,1.287385,0.4215407,98.08135,0.8842573
1,4.75,0,0.63997225,228.3123,298.0929,-77.930335,-3.424684,87.70333,2.578215,411.0139,2.869988,1.3447485,0.8567858,-30.271725,0.1178595,0.9233741,-1.083362,1.5771395,0.4811288,97.901875,0.80715055
1,5.25,0,0.70872215,224.88935,297.5166,-78.09586,-3.564867,88.545005,2.7781385,414.0508,2.8277805,1.305891,1.093439,-32.97961,0.1813102,0.624525,-2.118496,1.466637,0.4498897,97.92514,0.8152088
1,5.75,0,0.67541665,223.15285,296.8685,-77.28664,-3.6360335,89.453335,2.7753695,414.8222,2.907922,1.239196,0.9815956,-25.50487,0.078440725,0.3256759,-1.766672,1.127145,0.3741457,97.93609,0.8309772
1,6.25,0,0.723139,221.79376,297.37584,-71.09733,-3.5081002,86.823828,2.7683602,409.2217,2.9556505,1.145115,1.07773,-27.69906,0.09176534,0.4807465375,0,1.359257,0.3699866,97.72575,0.79560395
1,6.75,0,8.07447925,220.43467,297.88318,-18.1187225,-3.3801669,84.194321,2.7613509,409.35445,2.888413,1.141438,1.7583415,-23.11256,0.31580975,0.635817175,3.601912,1.288898,0.4101606,97.51541,0.8353143
1,7.25,0,15.4258195,219.07558,298.39052,34.859885,-3.2522336,81.564814,2.7543416,414.1071,2.8983335,0.97962235,4.8506305,-2.107058,0.04926184,0.7908878125,6.43005,0.9268403,0.4821426,97.30507,0.97658575
1,7.75,0,22.77715975,217.71649,298.89786,87.8384925,-3.1243003,78.935307,2.7473323,414.23345,2.919614,0.3304795,7.235462,21.16454,-0.004743542,0.94595845,7.4183575,0.44369585,0.5120825,97.09473,1.246891
1,8.25,0,30.1285,216.3574,299.4052,140.8171,-2.996367,76.3058,2.740323,413.9483,2.9517855,-0.4832029,11.018205,59.49247,-0.1163493,1.1010290875,7.958249,-0.7387124,0.6161984,96.88439,1.4882375
1,8.75,0,34.28911,211.3832,295.509,198.8554,-3.7658,72.90868,3.264933,413.8816,2.960403,-1.5583085,15.427455,106.69,-0.1592067,1.256099725,8.7389,-1.010345,0.635823,97.76064,1.665809
