DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,0.25,383.721,383.67175,384.3425,384.375,383.92275,384.30475,386.9025,388.172,-0.5517,-0.66265,-5.7925,-156.72,-133.14125,-20.456,-3.351,-9.81,-2.91925,-1.04075,-0.482,-4.2145,-0.1806,140.86625,233.419,-106.47225,-0.361875,-0.556725,68.65,-19.19,12.466,0.1472,-19.6855,13.49825,0.227,-19.385,-0.320025,0.241325,1.05925,0.084,-19.24825,-18.03925,-17.54825,-3.01925,-1.97075
1,0.75,383.358,383.368,384.12725,384.192,383.358,384.012,393.61425,394.18525,-0.4624,-0.705,-5.937,-139.7125,-153.304,-20.645,-3.3415,-7.59,-2.831,-1.04,-0.478025,-3.9665,-0.12645,141.7005,233.27225,-105.119,-0.3815,-0.564,68.6265,-19.34,12.992,0.1576,-19.7835,14.21925,0.2246,-19.34125,-0.31905,0.243,1.0985,0.083,-19.451,-18.17625,-17.5645,-3.01925,-1.97075
1,1.25,383.71,383.8,383.988,384.097,384.01,384.16,387.578,388.121,-0.497225,-0.6069,-5.731,-156.41375,-159.366,-16.154,-3.351,-8.0275,-2.6255,-1.08175,-0.47905,-3.9115,-0.12645,141.018,233.51375,-105.056,-0.4256,-0.555875,68.61,-19.41,12.2615,0.15765,-19.846,14.25525,0.225,-19.49,-0.311725,0.238825,1.15875,0.0821,-19.594,-18.13125,-17.5765,-3.01925,-1.961
1,1.75,383.3765,383.4175,383.785,383.94,383.50425,384.12125,393.88,394.2995,-0.597625,-0.5001,-5.50625,-157.02925,-155.72875,-22.4745,-3.35575,-8.28375,-2.932,-1.03025,-0.481025,-3.8915,-0.1206,141.90875,233.642,-104.10225,-0.402,-0.5593,68.61675,-19.24,12.722,0.1582,-19.9515,14.5355,0.2244,-19.4875,-0.3131,0.2371,1.029,0.082775,-19.806,-18.30775,-17.67875,-3.01925,-1.96075
1,2.25,383.57025,383.472,384.2325,384.25,383.6345,384.2635,387.775,388.312,-0.501025,-0.72275,-5.90125,-151.74,-141.218,-14.911,-3.36575,-10.3125,-3.035,-1.08175,-0.481025,-3.8235,-0.0936,141.60075,232.63425,-103.60625,-0.36925,-0.5646,68.62,-19.063,13.17375,0.165625,-19.968,14.4,0.2281,-19.47625,-0.3239,0.232825,1.008,0.084,-19.966,-18.451,-17.7455,-3.02,-1.96075
1,2.75,383.48375,383.44475,383.864,383.815,383.6195,384.15,393.974,394.487,-0.5006,-0.58135,-5.65,-157.75575,-141.79,-18.2775,-3.3805,-7.60625,-2.6885,-1.07,-0.482,-4.015,-0.06,140.97625,232.7395,-102.59,-0.35605,-0.5626,68.6325,-18.9255,12.726,0.1686,-20.072,14.83,0.232875,-19.675,-0.308,0.2366,1.0925,0.074,-19.982,-18.70825,-17.79225,-3.02925,-1.951
1,3.25,383.5705,383.58025,384.0425,384.11,383.731,384.2315,387.71,389.019,-0.5667,-0.7369,-5.635,-153.3575,-159.62175,-16.5735,-3.3905,-8.08375,-2.72325,-1.04,-0.4891,-4.019,-0.01845,140.9005,232.04675,-101.35475,-0.3171,-0.5708,68.57,-18.9165,12.596,0.1806,-20.335,13.832,0.22955,-19.9925,-0.31525,0.236,1.14625,0.0935,-20.037,-18.6315,-17.652,-3.03,-1.951
1,3.75,383.16475,383.285,383.7605,383.891,383.555,383.7795,394.012,394.549,-0.6578,-0.722,-5.89,-163.01,-153.3625,-23.866,-3.40525,-7.49375,-2.359,-1.04025,-0.483,-4.0115,-0.0983,140.916,231.52175,-102.70225,-0.348025,-0.57415,68.57,-18.95,11.4505,0.182575,-20.462,13.64075,0.23875,-19.9925,-0.319325,0.247225,1.195,0.0886,-20.023,-18.964,-17.67525,-3.03925,-1.95075
1,4.25,383.41175,383.541,384.2325,384.3275,383.695,384.61175,387.465,388.838,-0.5584,-0.6694,-6.093,-156.51125,-142.45,-29.4175,-3.41525,-8.0175,-2.53,-1.0505,-0.482,-4.003,-0.0529,140.9395,231.15275,-103.715,-0.396325,-0.5785,68.576,-18.931,11.1515,0.1883,-20.446,13.053,0.23225,-20.08625,-0.313,0.241225,1.08,0.07835,-19.823,-19.154,-17.76775,-3.03925,-1.95075
1,4.75,383.1385,383.11025,383.7915,383.889,383.27,383.821,393.965,394.566,-0.5138,-0.69895,-6.03125,-161.455,-145.873,-22.742,-3.421,-8.3275,-2.72075,-1.08175,-0.482,-4.138,-0.08605,141.22125,230.653,-105.57675,-0.37425,-0.570625,68.59,-18.96075,11.15275,0.16845,-20.29625,13.2355,0.233,-19.94625,-0.3265,0.24025,1.0695,0.095025,-19.915,-19.10175,-17.93675,-3.04,-1.95075
