DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA_1_1_1,CO2,VPD_1_1_1,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.1885,-0.509,3.1395,0.027,-17.9825,0.366,-28.797,1.788,2.932,79.9,94.414,376.045,0.97,-45.717,-0.007,-2.522,-0.004,2.183,246.409,310.097,6.887
1,0.75,0.207,-0.431,3.301,0.019,-18.384,0.995,-28.202,1.589,2.845,80.301,94.395,375.281,0.95,-45.443,-0.002,-2.463,-0.006,2.298,244.948,310.06,6.7715
1,1.25,0.1985,-0.646,3.395,-0.081,-19.694,0.635,-28.49,1.519,2.787,81.1,94.358,375.558,0.96,-45.984,-0.009,-2.325,-0.006,2.336,245.02,307.54,6.766
1,1.75,0.215,-0.716,3.386,-0.061,-22.158,0.534,-28.722,1.459,2.738,82.301,94.366,375.855,0.78,-44.812,-0.011,-2.226,-0.004,2.218,243.773,307.416,6.742
1,2.25,0.229,-0.797,3.4415,-0.041,-22.129,0.918,-27.74,1.436,2.628,83.401,94.341,375.506,0.76,-43.041,-0.004,-2.151,-0.015,2.12,246.065,306.33,6.746
1,2.75,0.22,-1.218,3.4725,0.0305,-18.352,0.907,-27.427,1.392,2.528,82.6,94.34,375.493,0.74,-43.99,-0.011,-2.324,-0.004,1.948,243.281,306.463,6.734
1,3.25,0.229,-1.216,3.251,-0.0425,-17.806,0.956,-28.392,1.334,2.454,85.401,94.384,375.4595,0.61,-43.707,-0.002,-2.406,-0.004,1.861,243.564,306.006,6.82
1,3.75,0.2065,-1.997,3.096,-0.0205,-15.68,0.733,-28.305,1.283,2.377,85,94.369,375.9775,0.67,-43.687,-0.007,-2.218,-0.008,1.916,244.278,304.983,6.802
1,4.25,0.206,-1.717,2.848,0.0305,-15.234,0.597,-28.702,1.221,2.293,84.5,94.378,376.0395,0.56,-43.402,-0.007,-2.207,-0.006,1.908,242.207,303.371,6.777
1,4.75,0.2295,-2.147,3.089,-0.004,-19.716,1.366,-28.375,1.149,2.224,86,94.392,375.8225,0.54,-42.584,-0.004,-2.037,-0.004,2.227,244.564,302.988,6.643
1,5.25,0.22,-2.118,2.955,0.016,-16.343,1.011,-28.819,1.095,2.165,85.801,94.396,375.696,0.58,-42.314,-0.009,-2.152,-0.002,1.987,247.218,304.248,6.704
1,5.75,0.2085,-1.993,3.0335,0.0025,-19.248,0.715,-28.052,1.053,2.102,86,94.401,376.063,0.64,-42.036,-0.004,-1.85,-0.004,1.932,247.546,305.709,6.692
1,6.25,0.2005,-2.693,2.969,0.0285,-16.4315,0.878,-28.242,1.004,2.064,85.801,94.399,376.3815,0.54,-42.696,-0.004,-2.214,-0.006,1.771,245.803,304.009,6.6345
1,6.75,0.222,-2.375,3.115,0.0125,-19.217,0.7245,-28.29,0.954,2.011,86.2,94.375,376.596,0.48,-42.308,-0.007,-2.124,-0.006,1.936,243.385,305.079,6.763
1,7.25,0.184,-2.505,2.7695,0.014,-18.035,0.823,-27.762,0.913,1.969,85.901,94.399,377.8255,0.45,-43.183,0,-2.049,-0.002,1.909,245.133,304.215,6.786
1,7.75,0.214,-2.986,2.751,-0.018,-13.37,1.16,-29.005,0.862,1.931,87.801,94.429,377.38,0.45,-39.089,7.189,2.627,0.998,3.103,243.455,302.84,6.778
1,8.25,0.212,-2.774,2.685,-0.075,-6.9385,3.337,-27.45,0.831,1.903,86.7,94.409,377.616,0.49,-17.872,70.747,37.118,8.362,16.362,242.746,305.154,6.798
1,8.75,0.221,-1.031,3.2445,-0.188,5.1325,8.735,-20.899,0.816,1.905,83,94.418,376.7795,0.69,12.28,212.03,106.051,24.202,32.82,243.874,313.537,7.019
1,9.25,0.277,-0.124,3.463,-0.0885,24.67,14.1165,-12.022,0.827,1.889,80.2,94.435,376.6565,1.03,53.684,374.65,190.911,43.773,48.216,245.786,319.826,7.215
1,9.75,0.2775,0.958,3.6155,-0.3135,54.3985,19.58,-1.295,0.835,1.894,73.6,94.481,376.4465,1.61,99.88,529.87,274.25,62.126,60.113,245.764,328.957,7.111
1,10.25,0.302,2.016,3.777,-0.406,81.295,21.127,7.772,0.876,1.939,69.291,94.481,376.144,2.07,144.71,677.1,349.8,79.734,74.792,250.195,337.706,7.201
1,10.75,0.29,3.485,3.8375,-0.4135,105.1625,22.0605,16.466,1.065,1.931,64.681,94.448,376.039,2.84,178.56,799.41,421.07,94.733,87.403,253.744,347.516,7.253
1,11.25,0.316,4.651,3.795,-0.354,118.494,24.349,24.378,1.121,1.907,57.77,94.438,375.7305,3.67,208.89,899.48,476.23,106.88,97.411,258.206,356.685,7.2635
