DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,T_SONIC,CO2,H2O,CH4,FC,NEE,H,LE,USTAR,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,5.25,5.25055,0.7801204675,0.5902653455,0.334514574,-23.204665,27.3822,102.0846,-15.2659,452.01205,0.0131,1883.78265,-0.152,-0.152,0,0.0312,0.254,202.2615,218.8635,0.0129,0,-7.10195,-4.84065,-7.8968,-6.83445,-15.6999,-15.7183,-16.5208,-15.9789,-12.8157,-16.17625,-14.8311,-13.70985,-13.5327,-14.33805,-14.08005,-12.01305,-14.63705,-13.85085,-12.86475,-12.75235,-12.96315,-13.15395
1,5.75,5.2108,0.792123321,0.544968442,0.3591842595,-23.07467,38.5358,102.1213,-15.62625,451.8988,0.0134,1878.0816,-0.3758,-0.3758,0,-0.0372,0.2621,203.9545,219.25155,0.0092,0,-6.9081,-4.808,-7.77785,-6.6682,-15.68515,-15.73515,-16.52125,-15.99625,-12.8204,-16.1632,-14.8512,-13.7158,-13.5356,-14.3635,-14.0998,-12.0285,-14.6573,-13.8532,-12.8651,-12.7635,-12.9617,-13.1719
1,6.25,5.4182,0.8048740185,0.487852437,0.310322413,-23.02833,29.71325,102.1152,-15.9553,454.4812,0.01405,1867.0259,-0.3373,-0.3373,0,-0.0335,0.28655,205.17335,219.754,0.0078,0,-6.93095,-4.7866,-7.9876,-6.62515,-15.67795,-15.7346,-16.5142,-15.9929,-12.82,-16.1436,-14.8334,-13.7296,-13.5312,-14.3655,-14.1042,-12.0177,-14.6496,-13.8391,-12.8707,-12.7794,-12.9646,-13.1678
1,6.75,5.46195,0.7815004825,0.523927476,0.348568501,-23.111,38.09795,102.1277,-15.5325,459.1924,0.0135,1870.9365,0.18145,0.18145,0,-0.042,0.3185,204.8644,220.0575,0.01035,0,-6.7085,-4.703,-7.7178,-6.62205,-15.6552,-15.72695,-16.4968,-15.9898,-12.8103,-16.1481,-14.8222,-13.7396,-13.5335,-14.3504,-14.1078,-12.0002,-14.6562,-13.8196,-12.8724,-12.7929,-12.9636,-13.1662
1,7.25,5.6739,0.776659514,0.546336013,0.357910603,-23.000165,37.1219,102.1552,-15.5932,463.8561,0.0134,1873.5897,0.6956,0.6956,0,0.03045,0.2617,205.732,221.724,0.0077,0,-6.74765,-4.62955,-7.6287,-6.55615,-15.6436,-15.7139,-16.4711,-15.9769,-12.8105,-16.1437,-14.7872,-13.7388,-13.539,-14.3456,-14.113,-12.0076,-14.6601,-13.8071,-12.8702,-12.8031,-12.9601,-13.1629
1,7.75,5.3249,0.8617289635,0.6408992035,0.386522962,-23.081495,35.76745,102.1321,-15.78165,463.0452,0.0132,1871.755,0.2042,0.2042,0,-0.0417,0.2607,203.232,221.24,0.0091,0,-6.789,-4.6715,-7.6062,-6.5614,-15.6403,-15.7184,-16.4749,-15.9566,-12.805,-16.1341,-14.7566,-13.7365,-13.5377,-14.3434,-14.1243,-12.0163,-14.6475,-13.8035,-12.8572,-12.8081,-12.9648,-13.1552
1,8.25,5.4867,0.822739327,0.573373548,0.375487177,-23.222165,38.3866,102.1733,-16.5729,460.8902,0.0138,1868.5845,-0.0384,-0.0384,0,-0.0423,0.28735,204.75,221.688,0.0111,0,-6.6638,-4.602,-7.4824,-6.5009,-15.6436,-15.7152,-16.466,-15.9395,-12.8121,-16.1069,-14.7429,-13.7416,-13.5575,-14.3268,-14.1268,-12.0248,-14.66,-13.8135,-12.8509,-12.8184,-12.9663,-13.1527
1,8.75,5.48535,0.8410205855,0.6561070785,0.426497362,-23.187835,39.0696,102.1767,-14.91395,457.5894,0.014,1868.89015,-0.01535,-0.01535,0,0.01085,0.352,204.708,221.745,0.0091,0,-6.6584,-4.5472,-7.2943,-6.5179,-15.6436,-15.7163,-16.4568,-15.931,-12.8149,-16.1071,-14.7695,-13.7311,-13.5481,-14.3248,-14.1384,-12.0253,-14.6755,-13.8188,-12.8542,-12.8272,-12.9685,-13.1502
1,9.25,5.7076,0.858952851,0.600666297,0.353270435,-22.934335,38.6545,102.2001,-17.5387,462.008,0.01435,1869.0604,0.1417,0.1417,0,0.0102,0.311,205.193,221.51,0.0117,0,-6.6745,-4.5528,-7.2035,-6.5203,-15.6436,-15.7165,-16.4499,-15.9254,-12.8145,-16.1034,-14.7762,-13.7274,-13.5388,-14.3491,-14.1423,-12.0308,-14.6944,-13.8299,-12.8434,-12.8523,-12.966,-13.1451
1,9.75,6.03275,0.8225835135,0.673869424,0.4283834775,-22.95717,37.50305,102.21655,-17.6349,461.77075,0.0135,1878.59775,-0.2048,-0.2048,0,-0.0187,0.3161,204.755,221.065,0.0235,0,-6.6172,-4.4703,-7.2018,-6.3114,-15.6436,-15.7282,-16.434,-15.9281,-12.8088,-16.1185,-14.7757,-13.7246,-13.5263,-14.3308,-14.1487,-12.036,-14.7027,-13.8276,-12.8504,-12.8575,-12.9711,-13.1543
