DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,RH_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,G_1_3_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,NETRAD_1_1_1
1,0.25,-0.279155525,-62.5909575,-15.06682,-5.0563,0.2784412,0.03539265,13.685875,100.70445,423.2476,6.36372125,0.173329525,0.163396975,0.0404555325,0.0646037975,3.587625,54.7515,6.1512,6.48575,7.286075,-10.2095925,-10.52981,-5.69467,-5.10315525,-0.0666667,242.352425,324.905,0,-104.15385
1,0.75,-0.221380875,-54.7184,-16.6646,-3.32173,0.275602825,0.05124243,13.406415,100.622175,423.0916,5.590808,0.169081675,0.144201175,0.0380000675,0.0749475975,3.671175,56.56975,6.174375,6.475475,7.2018,-11.087315,-10.912475,-6.18442625,-5.1781655,0,242.0172,322.4446,0,-104.816
1,1.25,-0.24000835,-51.991245,-11.2812175,-3.0092925,0.303043325,0.039818,13.4536625,100.58475,421.7168,6.2252025,0.150868375,0.140328125,0.0485486,0.069769175,3.3642,56.7705,5.90585,6.48715,7.2055,-11.86133,-11.31053,-7.6741825,-5.0412635,0,238.8103,322.193375,0,-104.1889
1,1.75,-0.2651508,-70.191505,-11.708575,-3.64064925,0.36414875,0.0313583025,13.42287,100.6598,424.41115,6.1943375,0.1453717,0.137650775,0.0489619725,0.06809679,3.11825,53.1905,5.62895,6.50525,7.20985,-11.248005,-11.556465,-8.97172,-4.804951,0,238.31115,320.6905,0,-102.783
1,2.25,-0.27241415,-63.6967625,-5.27200275,-3.31752875,0.2511249,0.04801024,13.1900325,100.744175,424.02025,5.236223,0.173053925,0.1790279,0.050606785,0.0799092775,3.0962,57.6875,5.33935,6.33795,7.14785,-11.4095,-11.70079,-9.36926225,-4.9624925,-0.0666667,236.7548,319.4511,0,-103.4316
1,2.75,-0.296951775,-78.389755,-12.8204875,-1.8019385,0.322459725,0.038641295,13.2052925,100.731975,423.36065,4.53385475,0.1682597,0.1810066,0.0397964675,0.068633815,3.02755,58.0305,5.1474,6.1079,7.1383,-12.017085,-11.82417,-7.80655525,-4.804951,-0.070000015,236.0855,318.567625,0,-104.256425
1,3.25,-0.245592375,-73.0893875,-12.2262875,-4.061345,0.4039863,0.039476965,12.32344,100.74155,422.8945,5.483532,0.146425325,0.159112175,0.034688905,0.0824274,2.66295,57.7905,5.1186,5.87455,7.13585,-12.680275,-11.95488,-9.382791,-4.808702,-0.070000015,236.4525,317.817,0,-104.2965
1,3.75,-0.32518925,-68.80745,-10.62044625,-4.0854675,0.3251095,0.0285263225,12.0740275,100.678825,423.743475,5.424085,0.163781825,0.153299125,0.04262053,0.06596115,2.4677,57.9505,5.0972,5.64475,7.1337,-13.2912,-12.097565,-9.69057375,-4.816204,0.12666635,234.75275,316.4148,0,-105.0594
1,4.25,-0.3205692,-83.2283925,-5.1433705,-2.881329,0.30843235,0.0307080525,11.4783275,100.59265,420.093775,5.64549475,0.159430125,0.1447219,0.03720487,0.0650592925,2.2148,58.826,5.08415,5.59115,7.1368,-13.86871,-12.51129,-8.621308,-5.17629,0,233.20425,315.059,0,-105.22515
1,4.75,-0.2460112,-48.1775,-3.71445,-3.45870775,0.232479625,0.0356562375,11.255985,100.604525,420.3501,5.503177,0.1581622,0.13998295,0.030544705,0.0797789775,1.9888,59.4405,5.0563,5.55595,7.1308,-14.15172,-12.71205,-10.83604,-5.17629,0.063333365,234.10275,314.08755,0,-104.254
