DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH
1,0.25,-0.0578,-0.0457,17.2786,2.6593725,1.91768,0.618055,3.00843,422.01,3.37977,1.20626,0.880478,0.758102,0.135749,-0.51739005,1.1330605,307.0837,317.113,0.187,91.4
1,0.75,-0.0666,-2.51251,15.3354,3.04008,2.12256,0.641091,2.93285,423.026,3.55479,1.31375,0.950636,0.757511,0.1740475,-0.5525615,1.2181875,306.3229,317.19425,0.0625,91.4
1,1.25,-0.0687,-1.64511,20.05435,3.64629,2.057355,0.69195,2.98668,422.33325,3.61725,1.29035,0.98041,0.823456,0.188368,-0.4307902,1.1384665,304.76345,317.1689,0.0725,92.7
1,1.75,-0.06895,-2.4461525,12.57775,2.51949,1.96264,0.67173025,2.9073425,421.298,3.4218225,1.2571725,0.96713875,0.75632775,0.203988,-0.4806809,1.235681,305.3822,317.21935,0.034,92.75
1,2.25,-0.06135,-1.630225,10.1127,2.1664075,2.074345,0.621086,2.9055425,420.671,3.2203825,1.1811225,0.97428,0.781526,0.178478,-0.48665525,1.2375225,305.9647,317.2662,-0.064,92.5
1,2.75,-0.049575,-1.89138,11.72205,2.484325,1.94028,0.6196525,2.8388025,421.8095,3.18584,1.26026,0.9280015,0.72044275,0.1978395,-0.50292445,1.3241745,305.7473,317.0187,-0.066,93.25
1,3.25,-0.0612,-2.4934175,9.5859725,2.57474,2.04728,0.654388,2.576925,421.1425,3.132235,1.21063,0.99772825,0.719099,0.15231325,-0.60883685,1.2109615,307.13235,317.158,-0.0595,93
1,3.75,-0.038575,-1.9986475,8.487465,3.575975,1.9588575,0.62484075,2.85502,420.19775,3.23321,1.21502,0.97199725,0.75969225,0.15647425,-0.51061045,1.261111,304.07575,317.242,-0.0645,93.2
1,4.25,-0.046675,-1.961035,12.15695,1.9887975,2.13203,0.6775795,2.87811,420.068,3.3108325,1.2721,0.97443425,0.804014,0.1581175,-0.4347767,1.147803,304.8204,317.4254,-0.189,93
1,4.75,-0.0563,-1.8305425,13.8123,2.1529775,2.132025,0.67117075,2.66939,420.563,3.527,1.32051,1.008375,0.75258225,0.148029,-0.49910045,1.23042,303.76185,316.9402,-0.2045,93.15
1,5.25,-0.0532,-1.17942,12.98875,2.27561,2.1830125,0.63517375,2.7175,419.638,3.378645,1.2621425,0.92124725,0.75103825,0.164319,-0.486372,1.234102,304.44855,316.42065,-0.2165,93.55
1,5.75,-0.038375,-1.830405,13.05095,2.3611,2.205755,0.6910985,2.7150975,421.968,3.560225,1.36047,1.01464,0.793026,0.17501925,-0.38605025,1.23777,304.7487,315.6304,-0.272,93.1
1,6.25,-0.056775,-1.2413925,15.6951,3.1797375,2.2843825,0.7139915,2.56707,421.826,3.61183,1.3478475,1.0174075,0.7835345,0.15213825,-0.39156975,1.2019835,306.08285,315.33715,-0.398,93.15
1,6.75,-0.0402,0.152285,13.03935,2.31858,2.309565,0.69389,2.6413925,420.03275,3.5358225,1.37224,0.991146,0.771534,0.1505265,-0.4893724,1.0026578,305.76955,314.74225,-0.491,94.25
1,7.25,-0.0414,-0.22327,17.430975,3.0490725,2.16463,0.711598,2.616325,420.215,3.374655,1.29325,0.990459,0.773363,0.153284,-0.47369815,1.00167525,307.7163,314.62885,-0.509,94.35
1,7.75,-0.0714,-0.282888,12.212025,2.0263975,2.26593,0.65487,2.402415,422.508,3.35668,1.39948,0.913236,0.734363,0.1737445,-0.4476907,1.1014045,309.53115,314.2674,-0.6535,93.45
1,8.25,-0.0735,5.7209,13.106775,2.349835,2.33793,0.727345,2.43763,423.1205,3.17787,1.26975,0.928751,0.761408,0.200379,3.4003775,2.298181,306.68715,314.28,-0.7305,93
1,8.75,-0.12737,14.431875,16.231675,1.5464,2.28598,0.7405415,2.857895,422.861,3.11746,1.334895,1.0578575,0.790325,0.221734,32.7581,5.5776315,304.4532,314.87385,-0.786,92.05
1,9.25,-0.17915125,13.5151,16.7412,2.273,2.30957,0.70082375,3.4156125,423.03,3.20366,1.366335,0.9932455,0.80005075,0.24318375,80.101125,11.50936,304.74015,315.87125,-0.6245,92.15
1,9.75,-0.224006,32.9322,16.6561,2.307365,2.3686275,0.756755,3.06369,422.413,3.24613,1.4071,1.04226,0.810616,0.20046175,125.02895,17.77877,309.23685,316.32915,-0.1905,91.45
1,10.25,-0.163864,44.6727,15.96615,1.19969,2.42627,0.768035,3.860965,422.942,2.955455,1.46454,1.14097,0.838669,0.2453825,169.9057,29.542975,310.38605,318.11715,0.1475,91.3
1,10.75,-0.23952,86.9598,21.795775,0.955484,2.51918,0.732071,4.190045,425.38675,3.04681,1.49591,1.11655,0.850807,0.248313,238.3611,34.12369,312.0885,320.31195,0.35,90.5
1,11.25,-0.280646,118.068,25.99585,1.7163125,2.41547,0.797255,4.2113575,424.778,3.0576575,1.4176,1.08958,0.854949,0.286751,271.5785,44.82451,311.96805,321.73395,0.423,90.55
1,11.75,-0.268707,123.169,25.5111,0.6699685,2.60438,0.783966,4.4338875,419.976,3.13869,1.57083,1.1308,0.84286,0.305651,295.003,44.33479,311.35685,323.0039,0.5685,88.45
1,12.25,-0.281029,113.31575,22.84085,0.6437565,2.6789525,0.760327,5.02641,418.70675,3.366125,1.47175,1.170755,0.86187325,0.3290735,346.75915,44.64501,310.47675,324.2982,1.0635,89.7
