DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN,TA,RH
1,17.25,-0.4829675,0.48726225,1.0095015,-0.193573,1.61886,0.320106,-1.550625,402.518,1.8940425,0.722023,0.63631,0.4402865,0.0753,10.89,-0.869832,35.5108
1,17.75,-0.425927,-7.4335,1.3884,-0.198192,1.57105,0.2782515,-1.63706,402.493,1.87574,0.706915,0.561542,0.3865165,0.08195,1.19825,-1.091181,34.7601
1,18.25,-0.4584895,-8.145935,1.03164,-0.9707235,1.529585,0.2765445,-1.665295,403.591,1.90152,0.6110025,0.495668,0.3596635,0.08225,-0.13125,-1.458965,35.2249
1,18.75,-0.384391,-6.042045,0.673328,-1.23927,1.49979,0.2261465,-1.9307,404.332,1.88827,0.552138,0.441265,0.3624275,0.0801,-0.183,-1.5320875,36.3886
1,19.25,-0.330084,-5.627505,1.05933,0.175844,1.39367,0.231044,-1.94647,404.013,1.83964,0.5492485,0.4389705,0.363374,0.071675,-0.1795,-1.7193675,36.5779
1,19.75,-0.347457,-2.22955,0.975942,-0.840885,1.47951,0.234665,-2.023035,404.1225,1.83005,0.52503,0.438829,0.353335,0.0744,-0.17575,-1.907635,37.7876
1,20.25,-0.37881525,-4.546065,0.581902,-0.1665235,1.5186575,0.24953475,-1.90994,403.914,1.8519375,0.58031475,0.477663,0.34850375,0.0672,-0.168,-1.964345,36.786675
1,20.75,-0.4576585,-7.9388675,-0.14481,-0.578166,1.5301275,0.2344875,-1.7317575,403.096,1.8806,0.5525865,0.476133,0.30748925,0.068875,-0.1585,-1.875435,37.1424
1,21.25,-0.465075,-4.581895,0.0574,-1.00575025,1.358345,0.2764095,-1.77088,402.98825,1.95277,0.5558225,0.489662,0.349365,0.07285,-0.15175,-1.75081,37.54675
1,21.75,-0.3890185,-3.363145,0.5738635,-0.538699,1.40872,0.2460025,-1.66674,404.113,2.0005175,0.511326,0.4245755,0.336758,0.0743,-0.162,-1.6570525,37.8567
1,22.25,-0.431127,-4.79604,-0.71865325,-0.897797,1.483515,0.224838,-1.614135,404.771,2.0180025,0.462069,0.418437,0.3194135,0.08025,-0.156,-1.74837,38.45185
1,22.75,-0.38505875,-4.30227,1.31831,-0.728192,1.58417,0.2715815,-1.65876,403.131,2.05451,0.530388,0.426523,0.3492145,0.075875,-0.15925,-1.8307175,38.84565
1,23.25,-0.403208,-5.23623,0.3563995,-1.72151,1.35945,0.257615,-1.74388,403.45,2.01693,0.558447,0.45244,0.322958,0.0667,-0.154,-2.1511925,38.7788
1,23.75,-0.49148,-6.41909,0.563526,0.340551,1.52547,0.254066,-2.04862,402.64675,2.03097,0.54909,0.414657,0.331188,0.0829,-0.159,-2.5768125,39.8447
2,0.25,-0.46369,0.69379775,-0.540289,-0.3304305,1.15615,0.230453,-7.25482,409.14,1.011323,0.52823,0.440575,0.317843,0.07975,-0.167,-8.244385,30.865125
2,0.75,-0.435925,-3.68838,-0.1589405,-1.5198075,1.21771,0.227379,-7.2365475,408.799,1.02058,0.576969,0.435307,0.284744,0.081625,-0.161,-8.52759,31.3163
2,1.25,-0.415724,-1.67868,-0.66718,-0.83387,1.38713,0.25002,-7.356885,408.646,0.98599525,0.558016,0.485051,0.315505,0.081,-0.158,-8.6857825,30.842
2,1.75,-0.39759,-2.526515,0.422308,-0.96480375,1.270795,0.240561,-7.1833925,409.18075,0.9951,0.5209685,0.487334,0.30788775,0.091375,-0.158,-8.84906,29.798125
2,2.25,-0.394468,-0.759667,0.708006,0.25435025,1.338,0.20431,-7.3704325,407.079,0.9728655,0.460045,0.474972,0.291241,0.089,-0.153,-8.7731975,28.4752
2,2.75,-0.287395,-0.453619,-1.16075975,-0.0941385,1.4013,0.195698,-7.67951,407.674,1.009464,0.498743,0.436916,0.303196,0.0883,-0.146,-9.15822,28.1924
2,3.25,-0.330223,-1.0535775,-0.890045,-0.7568545,1.5096725,0.2302845,-7.47186,407.943,1.0125375,0.5676115,0.4568075,0.319332,0.0893,-0.144,-9.1989875,27.05905
2,3.75,-0.2952405,-4.358815,-1.60591,-0.184531,1.4514,0.2079555,-7.58908,408.194,1.0523925,0.551084,0.4355235,0.3242675,0.093575,-0.149,-9.494695,28.40595
2,4.25,-0.296681,-2.74228,-0.85441375,0.0949395,1.40368,0.214033,-7.58378,408.083,1.0046,0.574724,0.5399995,0.297987,0.0885,-0.14725,-9.3487325,27.470725
2,4.75,-0.32528425,-4.445425,-0.840956,0.1476485,1.55991,0.24286825,-7.489445,408.92175,1.0180925,0.59116525,0.4544465,0.35028175,0.0779,-0.13525,-9.86448,28.5651
