DOY2,HR2,CO2,FC,H2O,SC,G_1_1_1,G_2_1_1,G_3_1_1,H,LE,SH,SLE,PA,RH_1_1_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,TS_1_1_1,TS_2_2_1,TS_1_3_1,TS_1_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,TS_6_1_1,TS_6_2_1,TS_6_3_1,TS_6_4_1,TS_6_5_1,TS_6_6_1,TS_6_7_1,TS_6_8_1,TS_6_9_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,RH_1_2_1,TA_1_2_1,NEE
1,0.25,402.934,1.24771,8.16634,0.0766663,-7.99320153333334,-10.2540456666667,-8.85188153333334,-22.5289,5.76246,-3.78328,-0.94087,101.8315,86.660464,85.4215,88.081171,95.9245576666667,12.8795,0.0395957,9.53645766666667,9.11560226666667,8.4631055,6.70685226666667,1.76233818761679,301.30681,352.29455,-61.1462048749999,0.00472059486666667,0.00297430456666667,2.72918996666667,-2.97315803833333,0,0,13.5747503333333,14.2328936666667,13.3910536666667,13.9411723333333,13.7,14.2,15.1833333333333,12.8166666666667,13.5,14.15,10.53556,12.46199,13.90214,14.06016,14.43768,14.6697933333334,14.93138,15.162075,15.6806183333333,10.7676883333333,12.0357683333333,12.73804,13.221095,13.3222433333334,13.642665,13.725,14.2147666666666,14.762175,-0.121646,0.715174863691721,0.311324,0.616189741551445,0.390843936850987,2.17732,64.1952,9.13949999999999,1.965095
1,0.75,402.5335,1.42419,8.270055,-0.02514595,-8.48405133333333,-10.642751,-8.90054993333333,-24.4043,6.219115,-2.77486,-0.60917,101.8,86.326166,85.0963313333333,88.142229,96.3410363333333,12.818,0.034262,9.4681827,9.02915606666667,8.5076303,6.75939103333333,1.80557893518997,299.938366666667,352.497753333333,-62.8826338766667,0.00467836066666667,0.00292140613333333,2.7009616,-3.13625496666667,0,0,13.53977,14.2190313333333,13.2869096666667,13.883724,13.6166666666666,14.2,15.2,12.7833333333333,13.5,14.15,10.4659833333333,12.3512583333333,13.9060833333333,14.05621,14.4297033333334,14.67782,14.9273466666667,15.162075,15.6724,10.75309,12.01684,12.699605,13.221095,13.32614,13.642665,13.725,14.2187383333333,14.762175,-0.109379,0.685556708084751,0.293985,0.598243261558373,0.369288505101364,2.11553,65.5398,9.06400000000002,2.05334
1,1.25,403.115,1.52739,9.147525,0.0189137,-8.9842552,-10.8426336666667,-9.3551832,-28.1241,6.39819,-1.81648,-0.401316,101.778,87.6567156666667,84.8013593333333,86.8031696666667,96.3057956666667,12.821,0.038587,9.25258886666667,8.85401606666667,8.2986638,6.89362126666667,1.86945667997409,299.685546666667,351.193056666667,-57.0607044916667,0.00450907296666667,0.0029954965,2.66099486666667,-3.04130533333333,0,0,13.499153,14.2271966666667,13.2271643333333,13.86475,13.5666666666667,14.2,15.2,12.75,13.5,14.15,10.5965533333334,12.2902833333334,13.8627183333333,14.0522466666667,14.4137516666667,14.6818383333333,14.9233133333334,15.162075,15.66829,10.6975833333333,11.9638433333334,12.672715,13.2133416666667,13.33393,13.6465766666667,13.725,14.22271,14.762175,-0.1236695,0.751316971753839,0.320137,0.637389522894473,0.400422394495161,2.17752,66.5723,8.74850000000001,2.08002
1,1.75,401.875,1.5901,9.012775,0.135839,-9.1087653,-11.112456,-9.64840463333334,-27.2217,6.81831,-2.33329,-1.18965,101.776,87.493202,85.1466006666667,87.098289,96.9028976666667,12.576,0.0384383,8.8487288,8.57407803333333,8.06034446666667,6.78723186666667,1.84804839814359,302.531633333333,351.837973333333,-56.2366152633333,0.0044879401,0.00316463996666667,2.72612046666667,-2.89158663333334,0,0,13.454912,14.234734,13.2130946666667,13.860434,13.4666666666667,14.2,15.2,12.7166666666667,13.4166666666667,14.15,10.5804105,12.2484233333333,13.807605,14.0403933333334,14.3978016666667,14.6858666666667,14.93138,15.1702016666666,15.66418,10.649605,11.90709,12.634325,13.201695,13.34951,13.6544,13.736795,14.22271,14.762175,-0.136426,0.775541746136209,0.333718,0.681867289140636,0.431987268330908,2.15699,67.2009,8.45000000000005,2.09362
1,2.25,403.664,1.54663,8.069355,0.08534365,-9.2846904,-11.3240998333333,-9.96478268333335,-27.4037,7.59586,-3.47567,-0.927792,101.766,87.5604991666667,85.359042,87.8158715,96.4483445,12.377,0.0425011,8.6191363,8.2334883,7.61858521666667,6.43122973333334,1.82374284896903,296.582436666667,350.450738333334,-56.7772234633333,0.00455141925,0.00287897518333334,2.75962763333334,-3.0586318,0,0,13.4456183333333,14.2334206666666,13.2119398333333,13.8525055,13.4,14.1833333333333,15.2,12.6833333333333,13.4,14.15,10.7359666666667,12.16476,13.736825,14.036495,14.3738833333333,14.67785,14.93138,15.18644,15.66418,10.605395,11.850445,12.603645,13.1861716666667,13.337825,13.6504733333333,13.74859,14.22271,14.7581566666667,-0.143906,0.751031956710232,0.337871,0.621909961328808,0.40888751509431,2.13096,62.6687,8.31900000000002,2.0248
1,2.75,406.961,1.49661,7.75462,0.118675,-9.42667556666667,-11.669159,-10.0602046666667,-28.5136,7.67707,-3.78827,-1.58781,101.7555,87.3523223333333,86.288952,88.670784,96.5293293333334,12.0555,0.03303015,8.40127665,8.05767555,7.43570565,6.14750008333334,1.65442217057163,297.538266666667,349.062326666667,-60.1718270333333,0.00444550471666667,0.00290007101666667,2.8069043,-3.0885346,0,0,13.42521,14.1886553333334,13.1677723333333,13.853773,13.3,14.2,15.2,12.65,13.4,14.15,10.7937016666666,12.0964266666667,13.6779366666666,14.0326,14.3738766666666,14.689905,14.943495,15.18644,15.66418,10.5097733333333,11.8014166666667,12.5653,13.166765,13.3417166666667,13.64262,13.760385,14.2306566666667,14.7541383333334,-0.132048,0.722399516000964,0.3244825,0.619805215442504,0.413159025828798,2.13461,63.78165,8.083,1.95578
1,3.25,406.699,1.52591,8.396295,0.0511379,-9.2064556,-11.8433518333334,-10.247186,-29.0527,5.8948,-3.011165,-1.60694,101.741,85.6813948333333,85.5662296666667,87.9159053333334,96.8908721666667,12.017,0.0347901,8.21003161666667,7.8573053,7.35438958333333,5.96428478333334,1.70044018975933,294.714958333333,348.04818,-61.8276092666667,0.00442413166666667,0.00282068745,2.73059608333334,-2.99995203333333,0,0,13.3940585,14.1680768333333,13.1593563333333,13.8453213333334,13.2666666666667,14.2,15.2,12.6166666666666,13.4,14.15,10.724395,12.0281883333334,13.6112866666667,14.0247766666667,14.3659,14.6778733333333,14.943495,15.19862,15.6724,10.355585,11.744925,12.534655,13.1435116666667,13.3417066666666,13.65438,13.772195,14.23463,14.75012,-0.125647,0.728844976658274,0.316219,0.632002373413265,0.401535801641647,2.14855,68.1276,7.90000000000003,2.11161
1,3.75,403.475,1.57976,7.55321,0.0751233,-9.38662375,-12.0816131666666,-10.296817,-30.8985,6.96236,-2.815005,-1.20442,101.7235,85.4255565,85.7560966666667,87.7267021666667,96.4780515,11.649,0.03600005,8.13751361666667,7.6951667,7.23461955,5.77237368333333,1.70525510233719,293.314615,347.83291,-58.9960846000001,0.00434494125,0.00293714133333333,2.7630764,-3.05651553333333,0,0,13.3688156666666,14.1488201666666,13.1185,13.821703,13.2333333333334,14.1833333333333,15.2,12.5333333333333,13.35,14.15,10.5514933333334,12.0130533333333,13.560365,14.0248183333334,14.3698883333333,14.66583,14.9354283333334,15.19862,15.66829,10.3226216666666,11.7035166666666,12.496405,13.128005,13.33781,13.6583016666667,13.7800633333333,14.23463,14.75012,-0.16482,0.783641011002727,0.3631835,0.676906210311201,0.438103416999567,2.21413,64.5046,7.81900000000002,1.95701
1,4.25,404.807,1.442035,7.82662,0.133344,-9.58463973333333,-12.1018828333333,-10.5253178333334,-28.5128,5.99884,-2.54896,-1.04891,101.711,84.6232366666667,84.9959811666667,87.7784803333334,96.4242893333333,11.573,0.0306283,8.10278381666667,7.65085915,7.06407758333333,5.78232571666666,1.63766380906084,293.986003333333,347.227136666667,-59.5792570333334,0.00429225066666667,0.00286824301666666,2.78322596666667,-2.9924717,0,0,13.3508731666667,14.1212755,13.077248,13.776853,13.2333333333333,14.15,15.2,12.5,13.35,14.1333333333334,10.3790646666667,12.104035,13.5212383333334,14.0485383333334,14.3818533333333,14.6497766666667,14.9394816666666,15.21081,15.66418,10.3079616666666,11.6884183333333,12.488755,13.104735,13.3300366666667,13.6583016666666,13.7958,14.23463,14.75012,-0.155893,0.801338879625842,0.35434,0.652653813288484,0.42400353772109,2.22331,65.33135,7.70300000000003,1.87342
1,4.75,406.1945,1.42631,8.27428,0.118535,-9.6993695,-12.1458975,-10.7413745,-28.7308,6.02128,-2.91317,-0.859762,101.7035,85.5688138333334,84.5378806666667,88.2233911666667,96.9480038333334,11.649,0.03601565,7.96102465,7.67126605,7.09836851666667,5.7357401,1.75292500007514,295.570941666666,346.596241666667,-52.5904417000001,0.00427054211666667,0.00284711835,2.8068044,-2.6777351,0,0,13.3201915,14.1065695,13.057032,13.7299386666667,13.2333333333334,14.1666666666667,15.2,12.4333333333334,13.35,14.1166666666666,10.1920041666666,12.1229916666666,13.4743283333334,14.06834,14.3938133333334,14.64175,14.943525,15.21081,15.66418,10.271345,11.63954,12.488755,13.0815116666666,13.3183666666667,13.666145,13.8036633333334,14.23463,14.75012,-0.15135,0.737898613204857,0.3424985,0.638198759228489,0.423274436464226,2.24476,61.3129,7.49550000000002,1.74763
