DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,G,TAU,H,SH,LE,SLE,FC,SC,H2O,CO2,CO2_SIGMA,U_SIGMA,H2O_SIGMA,V_SIGMA,W_SIGMA,USTAR,T_SONIC,T_SONIC_SIGMA
1,0.25,7.8475,87.2,4.33,97.95,0.708669030424181,0.00846875,-10.87275,-0.205,1.531,327.194290212632,344.897049678448,3.62635848922539,7.08116005725114,7.025,8.065,8.9825,8.49,9.2575,10.32,11.7,-10,-0.00577935,-1,-0.021171,8.298315,2.933095,0.869365310152469,0.394482588093748,7.55890927779293,370.787565843418,1.83055778190398,0.981965883225218,0.0954811501208454,0.84617622052599,0.553225911005468,0.395205604392971,8.21175,0.16934506154826
1,0.75,7.885,86.625,4.33,97.94925,0.669839729763849,0.00425,-10.12725,-0.16775,1.5595,327.210753177056,344.515692080853,3.4783285367728,7.02355707454899,6.975,8.03,8.965,8.5,9.26,10.325,11.7075,-10,-0.00617109,-0.9770775,-0.251913574475866,9,2.00573322349486,0.775071935399577,0.345789606703191,7.54582621936196,372.457270670483,2.17617378488892,0.992866460434057,0.0923085738351142,0.848271052917505,0.557019268488823,0.400979219435173,8.25725,0.174443001154921
1,1.25,7.8125,87.025,4.11,97.94175,0.625286211214686,0.0024999999999995,-10.46,-0.1945,1.556,329.137076811762,344.069335687107,3.54036382682084,6.99975286946892,6.8575,7.965,8.91,8.485,9.25,10.31,11.71,-10,-0.005325,-0.0411357,0.033695025,7.0063225,2.51520275907908,0.86716268671749,0.439447073106867,7.52486644252856,371.199251787762,1.99047732968753,0.992469209575752,0.0866493116913332,0.845504888576215,0.55539529706748,0.390158321022357,8.12375000000002,0.166722308401932
1,1.75,7.4475,87.35,4.16,97.95,0.705557387900924,0.00425,-9.55400000000004,-0.22425,1.5785,328.930239016917,344.181904491183,3.5111629678244,6.71700195212412,6.8175,7.9075,8.8875,8.5125,9.2575,10.31,11.71,-10,-0.0062,-0.81635975,0.0074035,7,2.72200028295905,0.8024685,0.401862372679749,7.62882689968607,371.002729957789,2.19072302956355,0.922232617076625,0.0978788168739033,0.81136706822095,0.514707695556452,0.384820794890278,7.83100000000003,0.159818334367494
1,2.25,7.43,87.5,4.11,97.944,0.697201401378431,0.00840625,-8.12124999999996,-0.2735,1.5635,327.868013398525,343.310834695807,3.42459413763691,6.60550031630386,6.7725,7.845,8.83,8.5125,9.265,10.31,11.71,-10,-0.0052,-0.020749,0.0370086433346963,7.52788,2.997015,0.772569247199436,0.540961,7.64975,370.868727226543,2.12936079359338,0.951351669993804,0.088623271426145,0.802226391091611,0.516870514919689,0.388010932221144,7.84225,0.160683851086536
1,2.75,7.13,87.7,4.16,97.9505,0.730750218171336,0.0085,-7.773,-0.13275,1.585,328.877492136539,342.401757709677,3.29662870228119,6.26443584126144,6.695,7.865,8.83,8.535,9.27,10.325,11.7,-10,-0.0047775325,-0.9746525,0.027407727815055,7.7362175,2.41750416497622,1.0003685,0.424842889078516,7.44403403823244,372.035,2.34350165350912,0.919178816553937,0.103672731098925,0.808031955571771,0.527113487376635,0.390685948140922,7.665,0.174613859701915
1,3.25,6.91225,86.825,4.12,97.95075,0.719642911490011,0.0243749999999938,-8.36949999999997,-0.22125,1.5665,328.810092654192,341.217600644947,3.22697160919449,6.38300340868472,6.5175,7.8,8.8025,8.505,9.255,10.3325,11.7,-11,-0.00035,-0.090839,-0.130810241250941,7.8052925,3.14333454595566,0.886182371787589,0.725732436416343,7.37367374652369,371.534800028502,10.4859610464868,0.932790957385792,0.275634780045741,0.800909877790054,0.537483704859692,0.378186912554955,7.6775,0.167122709408386
1,3.75,6.835,87.6,4.2,97.93475,0.730729659107652,0.0187500000000007,-8.214,-0.26,1.549,325.768017814652,340.415404238988,3.16504884139602,6.29946884952969,6.51,7.7325,8.7925,8.52,9.24,10.3325,11.7,-11,-0.00345668,-0.49223,0.294563601194524,9,2.71641793501794,0.863459746869958,0.364086426261639,7.52615601243096,371.933,3.82452577866999,0.966072630208685,0.0940406315826873,0.77206991166613,0.523397070576173,0.377768680440884,7.435,0.152779520062004
1,4.25,6.772,87.125,4.18,97.92325,0.730750218171336,0.107499999999998,-9.32199999999999,-0.22125,1.63825,326.993139542388,340.170070060231,3.01596368969626,6.33804625944996,6.5,7.6825,8.775,8.52,9.2475,10.3375,11.7,-11,-0.0018,0,0.54741575,8,3.05142038300605,0.768989,0.528671308509903,7.73050892229318,372.156530387038,2.96264114287308,0.923075911896382,0.0831786946292257,0.821292142844276,0.539033258756504,0.360450465089865,7.43,0.171526083449774
1,4.75,6.7195,86.525,4.1725,97.94,0.725323855165113,0.1325,-7.16725000000004,-0.117,1.58425,326.416396295381,340.544621082629,2.89043084215775,6.1298816125141,6.615,7.61,8.85,8.53,9.235,10.325,11.6975,-11,-0.001225,0,0.525758724364101,7.70077,2.17511036148639,0.85500668671749,0.543507436618191,7.30085171782842,373.782940290911,3.02038900365845,0.925954837840728,0.0876326356534557,0.821582233618688,0.532728526432469,0.376354291757683,7.53825,0.168871213281855
