DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_1,TS_2
1,0.25,0,-5.3365402165,-101.1464,0,-37.83375,-13.4075,30.00875,0.0307225,87.2,0,-70.62625,0,0,-12.3575,0,-15.3625,-12.3765,-14.778,-17.604,-14.388,-8.4095,367,-10.292,-9.637
1,0.75,0,-6.3490828686,-80.731412398,0,-37.778,-13.404,29.488,0.02434,87.195,0,-69.1735,0,0,-12.381,0,-15.328,-12.3561,-14.764,-17.495,-14.29,-8.38045,367.01,-10.34925,-9.687
1,1.25,0,-12.7600775,-105.148125,0,-37.595,-13.40725,30.0195,0.03221,87.1925,0,-71.2685,0,0,-12.344,0,-15.61375,-12.4895,-14.93,-17.844,-14.463,-8.44255,366.2,-10.3475,-9.688
1,1.75,0,-9.26384,-120.3988443725,0,-37.669,-13.37375,29.237,0.03463,87.2,0,-70.13875,0,0,-12.329,0,-15.799625,-12.593625,-15.00875,-18.03725,-14.557125,-8.4416125,366.155,-10.39925,-9.737
1,2.25,0,-8.03895,-91.3905,0,-37.84925,-13.35675,29.2685,0.0277748125,87.2,0,-72.173,0,0,-12.36,0,-15.9625,-12.638375,-15.0655,-18.1995,-14.62625,-8.4387625,366.11,-10.41275,-9.74325
1,2.75,0,-11.097945,-97.41387794225,0,-37.991,-13.3635,29.30275,0.030245,87.2,0,-74.375,0,0,-12.264,0,-16.103,-12.656,-15.08575,-18.26325,-14.659625,-8.4342875,366.3625,-10.36375,-9.68975
1,3.25,0,-7.238851,-89.7277075,0,-37.83625,-13.367,29.6245,0.0348575,87.2,0,-73.9525,0,0,-12.255,0,-16.041375,-12.61,-15.113,-18.272,-14.6625,-8.4326625,365.68,-10.438,-9.75675
1,3.75,0,-6.91846325,-77.15319173525,0,-37.96075,-13.32675,29.326,0.036165,87.1,0,-71.0175,0,0,-12.207,0,-16.082,-12.626,-15.09975,-18.2195,-14.636125,-8.4368125,366.6325,-10.555,-9.8765
1,4.25,0,-11.46612,-95.72715884,0,-38.09875,-13.3535,30.9285,0.030895,87.1975,0,-70.5695,0,0,-12.347,0,-16.210125,-12.61725,-15.07925,-18.11725,-14.61625,-8.4480375,366.4775,-10.54525,-9.864
1,4.75,0,-7.491985,-89.822375,0,-37.752,-13.3875,31.822,0.031042,87.1,0,-69.857,0,0,-12.367,0,-16.325875,-12.63425,-15.06525,-17.9955,-14.5865,-8.447225,366.925,-10.54,-9.85425
1,5.25,0,-12.3131175,-86.4730106895,0,-37.80275,-13.4005,30.73775,0.03911,87.1,0,-72.319,0,0,-12.367,0,-16.45575,-12.653,-15.16325,-17.948,-14.561625,-8.4512125,366.235,-10.5355,-9.8425
1,5.75,0,-9.446467,-100.45113473,0,-37.9795,-13.4105,31.6415,0.032335,87.1,0,-71.03075,0,0,-12.367,0,-16.59075,-12.66,-15.176,-18.1465,-14.521375,-8.4601625,366.6725,-10.53175,-9.8315
1,6.25,0,-6.1075346919,-94.92247622375,0,-37.8695,-13.4405,30.26175,0.03209,87.1,0,-72.758,0,0,-12.384,0,-16.76225,-12.66825,-15.142,-18.34225,-14.4895,-8.457175,366,-10.568,-9.875
1,6.75,0,-11.61843,-97.070806425,0,-37.9485,-13.334,29.1775,0.029215,87.195,0,-71.182,0,0,-12.389,0,-16.911625,-12.631875,-15.14175,-18.45175,-14.433,-8.4606375,366.54,-10.6325,-9.925
1,7.25,0,-6.02905125,-80.920578906,0,-37.84375,-13.31725,30.62625,0.03305175,87.1,0,-70.342,0,0,-12.36,0,-17.06525,-12.58675,-15.118,-18.522,-14.3905,-8.468725,365.645,-10.72425,-10.0195
1,7.75,0,-11.879205,-99.5491693455,0,-38.018,-13.37,30.2505,0.0274725,87.2,0,-70.2345,0,0,-12.38175,0,-17.1625,-12.5728125,-15.05875,-18.5775,-14.34375,-8.4721875,366.48,-10.69625,-9.9815
1,8.25,0,-13.0217,-109.8495,0,-38.048,-13.356,30.718,0.032204825,87.2,0,-71.338,0,0,-12.42175,0,-17.1015,-12.5958,-14.9795,-18.39,-14.3305,-8.466375,366.8,-10.679,-9.967
1,8.75,0,-7.704455,-90.04975295375,0,-38.107,-13.294,29.9545,0.03072,87.1925,0,-69.90425,0,0,-12.36525,0,-17.03,-12.58,-14.946,-18.1855,-14.305,-8.45855,366.5,-10.666,-9.954
1,9.25,0,-11.505105,-118.15002,0,-38.165,-13.28,30.36,0.0375056,87.1925,0,-74.067,0,0,-12.36175,0,-16.93725,-12.5255,-14.9245,-18.166,-14.36675,-8.44445,366.08,-10.75375,-10.0345
1,9.75,0,-8.304235,-81.18846056125,0,-38.40325,-13.31025,29.51,0.0289275,87.2,0,-72.58875,0,0,-12.364,0,-16.86475,-12.51675,-14.9115,-18.1405,-14.3895,-8.4304,365.48,-10.8155,-10.089
1,10.25,0,-11.182,-93.459145,0,-38.646,-13.332,29.61675,0.0387325,87.2,0,-72.2255,0,0,-12.41075,0,-16.957,-12.452,-14.8795,-18.017,-14.4085,-8.416225,365.56,-10.85475,-10.121
1,10.75,0,-12.231938,-76.7728825,0,-38.5325,-13.406,30.36575,0.02572,87.1975,0,-71.0645,0,0.0308092,-12.47625,0,-17.062125,-12.422375,-14.86525,-17.85675,-14.380375,-8.40505,366.025,-10.856,-10.12225
1,11.25,0,-8.148759,-133.115764725,0,-38.29325,-13.431,30.857,0.0343315,87.095,0,-70.96,0.0479635,0.14954325,-12.5245,0,-17.136375,-12.4193,-14.9495,-17.8995,-14.4445,-8.397925,365.7,-10.90125,-10.1675
