DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_2_1,RH_1_2_1,WS_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_A,TS_2_2_A,TS_2_3_A,TS_2_4_A,TS_2_5_A,TS_2_6_A
1,0.25,-87.30000671,-35.83200972,0.3535764283,-7.960634822,0.004207034752,0.1532732,395.57756885,5.426149059,7.8261335,85.05207,6.216,41.33983783,2.461000003,7.4805,37.1757939,2.7498034595,0,1.415,247.9,330.1,2.7284999995,0,-0.4775214,6.2,8.49984051,9.499920255,6.572125,7.6350416665,8.8966666665,9.6925,11.24,12.762916665
1,0.75,-87.45,-35.075116,0.3629140063,-8.619773384,-0.0065140289435,0.15026545,395.6243648,5.429869575,7.7303021,85.04271,6.1175,41.85911318,2.5485,7.35,37.70339744,2.735817647,0,1.362,247.75,328.7914366,2.523,0,-0.43193,6.0003189795,8.40015949,9.47,6.3720416665,7.4323333335,8.91625,9.7033333335,11.2325,12.76875
1,1.25,-87,-33.88760418,0.33856183015,-8.698703416,1.927098866e-05,0.1549833,395.53648755,5.3986185155,7.6893735,85.035735,6.07,41.32342061,2.493,7.356,37.737125795,2.842695813,0,1.3115,247.6,328.5146927,2.324,0,-0.452805,5.8,8.26,9.4,6.211880952,7.255994048,8.9275,9.707083333,11.23541667,12.76458333
1,1.75,-86.5,-33.69882213,0.23221135755,-8.009989416,-0.004,0.1443208,395.70315015,5.53821593,7.549521,85.03833,5.93,41.49071679,2.46,7.16674195,38.07133019,2.67374662,0,1.3615,246.7,327.5208136,2.249,0,-0.4394312,5.6,8.099920255,9.4,5.990375,7.1147738095,8.935,9.7266666665,11.22708333,12.77
1,2.25,-86.1,-33.97702489,0.36098102755,-8.3255129945,-0.0013441681145,0.1476821,396.236588,5.496404322,7.423847,85.03904,5.806,42.46962144,2.455,7.0736041,38.686003535,2.654314187,0,1.3615,245.5,327.8,2.09,0,-0.434855,5.400318979,8.000079745,9.4,5.8679583335,6.963375,8.93,9.7307738095,11.22625,12.767083335
1,2.75,-85.3,-32.74252524,0.3596936265,-7.644402108,-0.0069949550265,0.14192235,396.2418787,5.44412008,7.3236125,85.04046,5.703,42.22089691,2.48,6.918,39.55200024,2.638816886,0,1.4305564,244.3,326.7654448,1.972,0,-0.4613642,5.2,7.8383,9.4,5.7345,6.8632083335,8.9275,9.7395833335,11.219583335,12.76625
1,3.25,-85.2,-32.23964453,0.2311715296,-7.972697323,-0.005977186135,0.1499347,395.606602,5.502262731,7.240741,85.03529,5.636,43.10885641,2.422,6.8573015,39.80936338,2.6811318185,0,1.3755,244.4,326.1,1.821,0,-0.5479448,5.1,7.699681021,9.364976077,5.6300416665,6.724,8.914583333,9.74875,11.215,12.76375
1,3.75,-84.9,-32.42426784,0.3009304489,-7.4998628885,-0.01232585132,0.1503024,396.2812896,5.494144032,7.1048157,85.029115,5.419,43.4614253,2.45,6.635,40.49669338,2.728714931,0,1.2845,244.4,325.758655,1.565,0,-0.4726104,5,7.502000319,9.30015949,5.4728333335,6.589625,8.9039285715,9.75375,11.21458333,12.76375
1,4.25,-84.2,-31.62919911,0.2525616542,-8.33005782,-0.01055898345,0.14431405,395.6942225,5.40976639,6.8554813,85.0271454,5.226,44.4380419,2.362,6.4705,40.385132955,2.5838090035,0,1.368,243.8,323.7555758,1.349,0,-0.4960264,4.8625,7.4,9.3,5.3218333335,6.451875,8.879166667,9.7575,11.214166665,12.76416667
1,4.75,-84.3,-31.0339804,0.219980509,-7.349587367,-0.00939496358,0.1451517,395.2815503,5.425443277,6.619981,85.022705,5.176,43.4530275,2.393,6.3955,39.62599252,2.580690232,0,1.38,243.3,322.9,1.197,0,-0.4815936,4.699920255,7.25,9.3,5.176708333,6.3530535715,8.8645833335,9.7575,11.2125,12.767916665
1,5.25,-83.4,-30.46626424,0.23033377865,-6.674508887,-0.007258943592,0.139136,396.12469855,5.396110885,6.566573,85.02933,4.93,43.7274,2.355,6.324,41.063610735,2.515808584,0,1.30648685,243.1,321.8672624,1.072,0,-0.50005,4.5152392345,7.12,9.29,5.028625,6.243875,8.85,9.76,11.214583335,12.764583335
1,5.75,-83.8,-29.72348175,0.3173460828,-7.165330671,-0.0091158496615,0.14339975,395.9743663,5.338083265,6.5196913,85.0378723,4.769,44.52446082,2.361,6.135,41.051642245,2.4873502445,0,1.3775,243.3,322.2,0.949,0,-0.5398,4.34085,7,9.2,4.8981666665,6.122625,8.832619048,9.7575,11.214166665,12.76208333
1,6.25,-83.6,-29.92376296,0.2685892788,-6.926764879,-0.004770157377,0.1426826,395.8708461,5.311042878,6.509986,85.05176,4.8,44.73085711,2.404,6.1605,40.540192,2.559967725,0,1.3410618,243.0468404,321.6,0.839,0,-0.49944322515,4.21,6.9,9.2,4.75625,5.989625,8.8125,9.7508333335,11.215,12.7625
1,6.75,-83.3,-29.25866169,0.2934359718,-7.006074175,-0.009237432883,0.1439764,396.3388625,5.306234634,6.561739,85.07076,4.788,44.70750434,2.45,6.0415,41.385484855,2.584290109,0,1.425,242.6,321.3,0.7040000005,0,-0.3286584,4.1,6.80015949,9.2,4.69525,5.868,8.780833333,9.746666667,11.19416667,12.76333333
1,7.25,-79.36,-29.56541107,0.3050436745,-7.553974067,-0.009571449009,0.1520979,395.8505463,5.308061898,6.350379,85.080305,4.794,44.50754856,2.39,6.1005,41.777339405,2.580062997,1.233,2.293,242.1,321.4,0.707,1.55673,8.548912,4,6.7,9.1,4.60675,5.76575,8.7525,9.740833333,11.19,12.76333333
