DOY2,HR2,T_CANOPY,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TS,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,-12.3862875,396.1585,19.9037223,0.2947325,1.43491,1.198736835,-12.6462,0.49327,98.0775,89.48917,-8.872,0.177482393,-10.3878125,0.177165125,242.167675,265.410975,-24.641595,0.0245,-1.175481,0.1429838,-1.0686331775,-0.043,0.607084838,0.180787,0.475017894,0.210713075,3.40022
1,0.75,-12.345055,396.0035,19.89983606,0.2787695,1.48274,1.218581,-13.2824,0.139265,98.066,90.03194,-9.22,0.173205081,-10.6469,0.174398775,240.2655,265.61275,-23.039685,0.0260570475,-1.2750615,0.1340418,-1.1114605215,-0.0442,0.607234716,0.183633,0.505561074,0.212837967,3.34485
1,1.25,-12.5052525,397.7155,19.942805625,0.3629135,1.40659,1.186831917,-13.9078,0.84996,98.0357,89.862305,-9.549,0.177200451,-10.852055,0.176950675,243.1091,264.8841,-22.859765,0.036416327,-1.10854005,0.1520417175,-1.0945020815,-0.042,0.587263995,0.180927,0.493736772,0.223606798,3.48143
1,1.75,-12.326255,400.4905,20.01216729,0.3332715,1.45613,1.207584366,-13.29455,1.086385,98.06415,89.660905,-9.628,0.177762998,-10.775385,0.1803176,245.2213,266.16075,-22.24012,0.032483248,-1.105772775,0.157856075,-1.1143603975,-0.04305,0.618348311,0.178211,0.477769733,0.218629121,3.547825
1,2.25,-12.4057625,402.865,20.0714878,0.320739,1.32857,1.153403659,-12.9032,0.87551,98.0906,89.1938175,-9.447,0.16446821,-10.74723,0.1761282,247.65825,265.9703,-17.5244125,0.0285,-0.8681701,0.1476300925,-1.151810369,-0.04275,0.6095812245,0.182998,0.4910233145,0.220338279,3.59426
1,2.75,-12.373905,407.1425,20.17743192,0.359438,1.351965,1.1635286145,-11.6937,0.74428,98.0817,89.17402,-9.208,0.162576444,-10.458925,0.174514025,245.659425,266.8589,-20.678295,0.036012502,-1.1297145,0.145389975,-1.1404076815,-0.044,0.630851013,0.185601,0.482493523,0.233666429,3.7131
1,3.25,-12.370985,412.175,20.30209349,0.312618,1.35413,1.164460774,-13.38925,0.86511,98.09215,89.705495,-9.1995,0.169705805,-10.74541975,0.177200125,243.734675,267.30075,-20.26605,0.032895536,-1.1883519,0.124299375,-1.122635819,-0.0451,0.6526422135,0.1892515,0.480995839,0.231403055,3.583765
1,3.75,-12.6099675,406.471,20.16112596,0.34742,1.391465,1.180366288,-12.8415,1.272735,98.117,88.478625,-9.528,0.178337882,-11.284445,0.17234755,242.31135,263.2161,-23.114935,0.035348629,-1.095398575,0.121716665,-1.124442575,-0.0444,0.644965115,0.186825,0.482704879,0.222710575,3.58499
1,4.25,-12.37829,404.14,20.10323357,0.312172,1.430315,1.196703902,-12.36485,2.0272,98.0991,88.09819,-9.841,0.16881943,-11.154455,0.17294175,242.275,264.38945,-22.192705,0.0295,-1.057045275,0.13738935,-1.113305475,-0.045,0.619980645,0.189014,0.458294665,0.216564078,3.51882
1,4.75,-12.6962625,402.873,20.071689175,0.31179,1.29721,1.139688554,-11.2059,0.68185,98.06285,88.4578525,-9.701,0.1710257515,-11.285085,0.178445775,245.8099,263.563,-19.8461425,0.03068123,-1.003559475,0.13744368,-1.1274819625,-0.0457,0.610609184,0.191182,0.4820689305,0.2351406765,3.72203
