DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,443.673962,9.369488,2531.674614,0.97833,20.211023,-2.586795,-3.847079,-0.005895,1.0662985,0.092679,-0.00823,0.3734,0.11835,102.22,89.95,6.193,0.9502375,12.583979,0.302177,7.9535,5.009,8.366667,8.873333,9.506667,-19.49555,0,0,-2.156863,0.808824,319.3890095,340.8178925
1,0.75,440.7592365,9.836576,2582.9332115,1.152178,17.795674,-2.570771,-5.628262,-0.110599,1.1782185,0.091257,-0.0089925,0.36885,0.111616,102.193,90.3,5.969,0.9426655,12.170234,0.2992105,7.963333,4.648333,8.346667,8.855333,9.503333,-18.261507,0,0,-1.895425,0.9191175,318.3070035,339.5726625
1,1.25,440.376808,9.579419,2572.8965355,0.790697,18.340728,-2.6391775,-5.152285,-0.047354,1.0458515,0.092549,-0.005052,0.358641,0.109921,102.1925,90.4,5.6175,0.893081,12.003356,0.2870125,7.9695,4.2471665,8.33,8.848333,9.4983335,-18.3900015,0,0,-2.026144,0.882353,317.012291,339.357525
1,1.75,440.075683,9.380829,2592.986606,1.0982035,22.1647555,-2.582905,-4.460378,-0.3384365,1.08664,0.090114,-0.007798,0.3583725,0.1177695,102.1955,90.4,5.696,0.848917,11.9170885,0.300199,7.9766665,4.0158335,8.3216665,8.838333,9.4983335,-17.4808095,0,0,-1.830065,0.808824,318.083391,339.998141
1,2.25,438.677003,9.7521465,2649.608146,1.0239465,17.1617845,-2.6068325,-3.760731,-0.0687315,1.063258,0.105752,-0.0076675,0.379213,0.11442,102.2135,90.9,5.608,0.819889,11.762371,0.295138,7.9695,3.943,8.2783335,8.8133335,9.5033335,-16.74369,0,0,-1.895425,0.808824,317.791314,339.269542
1,2.75,440.922325,9.225356,2639.927591,0.881644,19.099539,-2.614656,-3.951685,-0.3062495,1.1266065,0.094567,-0.0073015,0.387461,0.105968,102.2135,91.2,5.555,0.758017,11.6152265,0.27864,7.9523335,3.7791665,8.2766665,8.795,9.508333,-15.7001985,0,0,-1.764706,0.808824,319.587544,339.760446
1,3.25,441.1801395,9.5750515,2534.92942,0.992983,18.3711815,-2.5708515,-3.719505,0.104564,1.233998,0.092593,-0.008687,0.3647905,0.1184345,102.2105,91.2,5.191,0.770639,11.423264,0.280055,7.959,3.481833,8.26,8.785,9.515,-14.9543875,0,0,-1.699346,0.808824,321.302712,338.227495
1,3.75,439.741833,9.426192,2687.081681,1.220068,18.5368385,-2.5625565,-4.0417325,0.09078,1.0553865,0.0942865,-0.010849,0.396837,0.129319,102.1935,91.4,5.161,0.749965,11.3086265,0.292943,7.959,3.2475,8.263333,8.755,9.513333,-13.4406725,0,0,-1.732026,0.735294,319.5793,338.376276
1,4.25,436.608278,9.1828685,2643.5196515,0.928225,18.119492,-2.5505175,-4.1617355,0.294285,1.0375735,0.101882,-0.009294,0.4066485,0.1331945,102.18,91.6,5.141,0.733798,11.270335,0.282531,7.9633335,2.960333,8.25,8.72,9.5033335,-13.556755,0,0,-1.470588,0.735294,320.448075,337.804231
1,4.75,440.651193,8.984175,2660.062986,1.0505985,22.6384575,-2.53852,-4.257695,0.0636755,1.081927,0.094835,-0.009234,0.357884,0.125165,102.1865,92.6,4.9845,0.691436,11.1570115,0.284397,7.958833,2.8476665,8.255,8.7066665,9.505,-13.034001,0,0,-1.633987,0.661765,320.590612,338.115185
1,5.25,442.611246,9.250254,2651.188018,1.131433,22.476547,-2.5263185,-3.741784,1.173012,1.062868,0.095238,-0.006558,0.3863595,0.114552,102.2035,92.2,4.909,0.620538,11.172618,0.2662835,7.9601665,2.5261665,8.2533335,8.705,9.5066665,-12.3194615,0,0,-1.503268,0.808824,321.284755,337.560995
1,5.75,442.481148,9.407587,2649.342838,1.14042,17.294624,-2.57122,-4.016532,0.858267,1.038801,0.087715,-0.005785,0.370178,0.106906,102.2015,93.1,4.9115,0.600066,11.056988,0.2650065,7.9681665,2.282333,8.2566665,8.7033335,9.5,-12.0932065,0,0,-1.437908,0.882353,322.267149,337.646302
1,6.25,438.673769,9.2947445,2562.9413785,1.077869,22.1866685,-2.543037,-3.947649,0.4039205,1.055696,0.099263,-0.0079965,0.388067,0.116151,102.219,92.9,4.7485,0.606221,10.927314,0.263303,7.962833,2.189333,8.265,8.71,9.5016665,-11.8021485,0,0,-1.437908,0.808824,323.340624,337.8342
1,6.75,438.189107,9.411301,2562.433205,1.144966,25.963346,-2.5949825,-3.589033,0.636461,1.045388,0.0994145,-0.006832,0.387757,0.106207,102.241,93.1,4.5995,0.606661,10.7086525,0.252583,7.9613335,1.894,8.276667,8.71,9.505,-11.619003,0,0,-1.437908,0.808824,322.957001,336.824401
1,7.25,438.802734,9.507666,2675.57462,1.0627485,20.344223,-2.635057,-4.192664,0.5933895,1.1554825,0.103888,-0.009464,0.374737,0.133201,102.256,93.2,4.4195,0.603473,10.600735,0.271594,7.971833,1.8235,8.2833335,8.7098335,9.4983335,-7.7292795,6.597222,0.665188,1.30719,1.176471,321.756715,336.642708
1,7.75,443.020193,9.405536,2655.475407,1.031723,24.454771,-2.6955325,-2.9262295,1.720979,1.1286195,0.109375,-0.0136765,0.3852955,0.14416,102.2575,92.8,4.652,0.626301,10.6803185,0.2676355,7.9761665,2.035167,8.27,8.6783335,9.4983335,7.6876825,51.843818,3.104213,23.2026145,3.235294,322.359482,337.920586
1,8.25,443.469445,9.475202,2663.834605,1.051167,27.513716,-2.6066575,-1.921665,5.6527065,1.2100615,0.141862,-0.024244,0.376225,0.173327,102.271,91.6,5.423,0.799128,10.8444995,0.290031,7.962833,4.6496665,8.273,8.6783335,9.4916665,44.6431125,149.2407805,8.86918,70.098039,8.529412,327.486082,341.654925
