DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,-6.41205,-38.080545066,-18.8857,343.803,0.030912814125,21.033,74.49,98.84899646,0.4499,-41.3425,0,0,391.4225,426.1975
1,0.75,-5.738456289075,-31.34120711375,-66.5821401335,343.5,0.027235564675,21.0215,73.99,98.832370984,0.4452,-42.9475,0,0,391.8975,426
1,1.25,-9.2484146952,-32.52265166,-51.23,345.47275,0.0305589,20.8845,75.865,98.803435465,0.394875,-42.43,0,0,392.355,425.0975
1,1.75,-10.593319445,-53.3598,-36.7486490085,347.7125,0.04461335,20.759,77.15,98.78346038,0.437,-43.179,0,0,389.99,424.6975
1,2.25,-7.48739,-77.85307509,-31.704398065,349.246,0.04068738675,20.723,77.09,98.7622270555,0.4911,-42.2395,0,0,391.2875,424.265
1,2.75,-5.3779951431,-57.203498568,-25.343455931,345.45375,0.0323458,20.7245,77.155,98.74755,0.45185,-40.78875,0,0,391.0575,424.0975
1,3.25,-4.39705,-54.034096872,-32.70011063425,347.523,0.036915591975,20.582,78,98.75575,0.4781,-42.1475,0,0,390.16,423.5325
1,3.75,-13.2437581285,-37.638065352,-54.8932,350.43725,0.0378976,20.5625,77.68,98.762005111,0.48965,-41.28,0,0,390.365,423.3975
1,4.25,-19.2727406995,-45.052799602,-24.5838,351.17425,0.033637690825,20.62,77.445,98.778767921,0.41425,-43.066,0,0,389.5,423.5325
1,4.75,-8.62162261925,-42.1088098275,-26.5522736305,350.102,0.03328675,20.64125,79.815,98.7981,0.5024,-43.678,0,0,390.865,423.065
1,5.25,-8.37998,-53.2418187625,-65.315825,348.5925,0.03279899895,20.6325,80.605,98.828073088,0.49725,-49.1825,0,0,389.03,422.9
1,5.75,-9.9614258095,-43.770593133,-27.373268028,353.79375,0.031064875,20.62,80.42,98.846225,0.439375,-42.3205,0,0.1533,391.09,422.2
1,6.25,-6.2326925,-54.430087575,-29.949810347,353.91125,0.0348969855,20.58525,80.82,98.8661919415,0.4217,-37.415,2.24945,0.6489,390.92,422.0975
1,6.75,-7.9341884835,-48.768488181,-38.01763218325,355.286,0.043696425,20.65525,81.8175,98.8888,0.4056,-10.25375,9.5915,1.698975,388.63,423.1
1,7.25,-9.3496485211,-64.72880010975,-34.974375,359.897,0.051377775,20.9535,81.3925,98.906575,0.46425,0.526350000000002,17.882,2.858,390.1325,425.225
1,7.75,-16.9536399155,-79.8851,-25.2382,362.56875,0.054732075,21.15,80.225,98.9084,0.42715,3.624,18.079,2.7476,393.3975,427.4325
1,8.25,-19.523875,-43.837327126,-33.13858679375,358.41,0.0611128,21.37875,77.01425,98.91775,0.51675,4.257775,18.8515,2.38315,394.05,428.475
1,8.75,-28.0200272125,-25.617345019,-19.3015,352.94075,0.054805575,21.52875,73.4905,98.9513,0.6106,5.981025,23.3745,3.2196,399.07,430.3
1,9.25,-28.20170201,-17.4983,-3.9107125,349.575,0.0541599,21.51875,69.87725,98.9818,0.666975,12.853,35.711,4.27975,402.47,430.7
1,9.75,-27.45787791225,-34.836,-4.75322,345.255,0.0670794,21.444,67.221,98.9886,0.7432,22.20725,45.61625,5.01075,406.8325,429.7925
1,10.25,-32.1992,-7.4868729564,-6.07528,342.83,0.067374875,21.424,64.801,99.005,0.823725,38.1935,69.50375,8.6665,411.0975,431
