DOY2,HR2,CO2,FC,SC,G,H,LE,SH,SLE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,PPFD_IN,NETRAD,TS,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,22.25,394.582,4.61906,0.405885,-0.261731,-24.7237,2.71823,-7.99856,-4.00944,91.59583,91.9261610222752,11.813,0.184151531945846,8.81588076622081,-0.02174038,-75.59571,12.39577,-0.2487285,1.13585474504266,0.469144,0.92384598076074,0.641030595475688,4.718805
1,22.75,394.589,5.30744,0.0586612,-0.8197128,-29.1455,9.207985,-7.01422,-3.61021,91.60083,92.8948010834396,11.049,0.179730954576651,8.50594455514412,-0.01700987,-73.45454,12.2958,-0.2661555,1.09379615917305,0.48685,0.925813016431536,0.637127847982757,4.808295
1,23.25,394.644,5.461285,0.106977,-1.30545,-27.73865,4.48482,-5.03627,-1.96356,91.59215,93.4508608884992,10.465,0.16664003120499,8.34236711040919,-0.01313487,-72.69353,12.1729625,-0.263005,1.13502863400004,0.479875,0.912433011239729,0.685173700604453,4.95294
1,23.75,395.451,5.449575,0.1502265,-1.993032,-29.7579,-0.63827,-5.00197,-1.89828,91.5968,94.210925300026,10.1745,0.153431490024847,8.19600834406742,-0.01055184,-72.29202,12.057085,-0.2647395,1.09137520471245,0.4833145,0.930322005161393,0.661030243360934,5.058285
2,0.25,397.0095,4.39124,-0.0172905,-1.6389385,-32.27115,7.25031,-4.21526,-2.61397,91.591495,92.8997768594621,10.884,0.182940926618485,9.64544783414428,0.01270039,-68.64598,12.213594,-0.224158,1.12459442486532,0.447658,0.926455413641584,0.611072373235074,4.333035
2,0.75,396.604,4.12542,-0.0324203,-1.844333,-31.6184,3.41816,-3.17973,-0.401281,91.5768,92.4971377379569,10.8905,0.178205943765033,9.37365958539224,0.015180405,-70.57857,12.665627,-0.1785675,1.07440508077781,0.3966715,0.79098164417046,0.527961224145873,4.225505
2,1.25,397.028,3.68465,0.112627,-2.168215,-29.5958,4.43996,-2.76325,-0.84765,91.561955,92.2054832490946,10.47,0.191433017005949,9.20760569966496,0.01464496,-69.27353,12.006092,-0.150429,0.956249967320261,0.36229,0.801004993742236,0.515617106000179,4.27909
2,1.75,396.809,4.270095,0.0561276,-2.464641,-31.1729,4.838545,-1.73387,-0.307477,91.54403,92.5258050366664,10.6175,0.189372901197198,9.00650928387102,0.013671125,-67.569125,11.910218,-0.1483415,0.979243819684637,0.361097,0.756309973759677,0.519568693396386,4.348135
2,2.25,396.628,4.12467,0.0464213,-2.6211715,-28.0862,10.2128,-2.22202,-0.953372,91.5155,93.7926097018086,10.197,0.191244084875847,8.82018543581909,0.015182735,-66.570155,11.814346,-0.19489,1.0517509210835,0.417074,0.78987973768163,0.556008992733031,4.27402
2,2.75,397.215,4.36548,0.0782729,-2.7691315,-26.66795,6.13513,-1.63283,-0.421308,91.49852,93.8244532939154,10.024,0.186592068427358,8.88241341828985,0.014851265,-65.157,11.731425,-0.136998,0.917899776664097,0.347903,0.72452881240155,0.469746740276077,4.35277
