DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
1,0.25,14.11655,16.7806,6.27759999999995,1.72775,27.6145,100,0.3652,428.495,432.94,444.89,460.18,465.94,478.7125,100.2,4.755,454.0575,475.8495,-0.839825000000001,0.414475,3.36055
1,0.75,14.664,12.132625,4.4685,1.7825,27.33625,100,0.331649999999999,429.405,438.3525,451.3,466.75,475.3825,479.8425,100.2,4.68699999999999,454.9302,475.7,-1.38420000000001,0.382599999999997,3.2805
1,1.25,15.6794,17.5025,5.5614,1.8327,27.007,100.025,0.361525,430.51,443.06,453.0775,467.0225,483.36,491.1,100.13555,4.68399999999999,454.983,475.4,-1.39277500000001,0.336999999999999,3.158625
1,1.75,17.334175,15.768125,5.8545,1.86,26.878,100.27195,0.3402,433.55,445.6,460.885,474.8075,478.8175,489.843775,100.132325,4.555,454.2598,474.0835,-1.55975,0.433,3.289375
1,2.25,18.09675,18.39475,4.0412,1.785,26.9685,100.41005,0.33875,438.83,448.9,464.7,478.575,483.84,489.4375,100.1348,4.57549999999999,454.1152,473.2415,-1.39185,0.363849999999999,3.37025
1,2.75,23.987,22.6747999999998,11.0984,1.834,26.83675,100.4175,0.3523,441.6,449.495,464.9975,478.3,492.2,503.45,100.1328,4.7355,453.832,473.247,-1.3542,0.339375,3.43775
1,3.25,20.8370000000001,19.96025,5.4025,1.8665,26.728,100.4266,0.3506,444.83,455.318725,465.05,486.7575,494.5675,502.7048,100.134,4.766,455.11,472.19025,-1.153,0.378,3.26155
1,3.75,17.9615,17.33525,3.26865,1.989,26.634,100.8464,0.36905,447.85,459.35,471.61,490.2,500.154575,508.23,100.2,4.798,455.78125,472.505,-0.969800000000001,0.405799999999999,3.18635
1,4.25,20.202,16.22365,8.19485000000001,2.0145,26.312,100.9,0.368,448.315,464.5575,475.315,490.705,502.2775,510.9,100.2825,4.794,456.03125,471.2915,-0.730900000000002,0.4218,3.3575
1,4.75,18.0295,14.8898,8.7846,2.155,26.09025,100.9464,0.441650000000001,452.02,466.195,472.085,489.7875,504.45,514.3225,100.3825,5.032,456.72125,470.081,-0.689649999999997,0.477,3.425275
1,5.25,19.18955,18.86025,14.0674,2.7639,25.8995,100.9,0.41655,453.32,469.96,478.28,494.84,507.62,516.476825,100.1495,5.03,455.3625,469.533,-0.3528,8.951,3.545875
1,5.75,24.193875,16.34975,5.467,17.840875,25.75,100.9,0.430199999999999,455.535,467.515,483.805,498.855,514.58,523.465,100.197,4.973,457.698,469.022,0.578650000000002,46.0984000000001,3.433275
1,6.25,22.626725,21.4611999999999,5.3833,46.588425,25.7805,100.835,0.460625,458.21,473.38,485.61,500.1025,518.69325,525.68,100.2,8.287,457.88,468.94175,21.944,110.42075,3.555675
1,6.75,24.34695,37.9091,9.77639999999999,120.064,26.048,100.81155,0.46095,462.9875,472.59,479.4175,500.2854,532.78,550.5105,100.2025,20.647,458.8475,470.065,73.322,277.1325,3.4861
1,7.25,36.0308,86.849075,35.88425,226.025,26.389,100.7531,0.51525,462.942975,469.72,474,500.85,540.492575,550.1725,100.3025,35.948,458.959,474.086,162.0754,510.308,3.6574
1,7.75,32.4001,175,123.85,359.9655,27.03,100.141375,0.58215,467.6025,462.8325,464,486.02,534.71,561.735,100.29565,53.7325,462.364,481.828,270.1836,839.1875,3.736
1,8.25,26.217075,275.45,167.625,476.71,27.8245,100,0.6276,459.6975,452.75,448.82,469.615,508.325,557.1,100.245,66.65725,461.99395,488.086,368.922,1127.4625,3.8256
1,8.75,13.91275,362.625,195.515,592.15,28.7265,100,0.747199999999998,444.71,437.865,437.55,450.85,482.2175,531.59,100.4,76.148,466.4785,496.60625,477.35225,1355.675,4.10195
1,9.25,10.5595,460.1225,231.915,697.92,29.27075,100,0.7841,434.2,431.9125,428.2,435.7,456.07,507.1425,100.367,87.4,471.6475,503.487,568.250975,1580.225,4.69785
1,9.75,5.63299999999998,571.955999999999,264.525,794.6,29.75375,99.58305,0.83,425.0875,420.665,417.74,425.26,440.235,476.909275,100.383,97.6,471.4625,507.415,663.8407,1826.825,4.75845
1,10.25,4.9292,571.222,294.605,881.35,30.3855,99.533,0.9004,420.07045,418.985,415.3125,419.425825,435.87355,465.2344,100.3,106.9,473.8392,512.86,737.88175,2040,4.9666
1,10.75,3.84527499999999,591.4603,273.59675,937.6,30.9785,99.1755,0.821149999999999,413.3475,412.055,413.33,412.6625,423.1,455.7788,100.27825,111.895,479.0875,519.33,773.22175,2144.31665,5.03024999999999
1,11.25,2.916,596.191949999999,284.2985,980.703,31.2384,98.8675,0.876400000000001,411.935,406.515,406.6625,409.07,431.025,461.000025,100.2,116.0675,481.222,520.164,830.9822,2263.35,4.8829
1,11.75,4.293,673.20625,289.985,1005.4,31.63175,98.4755,0.9095,406.115,402.7,402.131,410.108025,419.05,444.9275,100.206075,116.55,483.503,526.07,866.70275,2257.2752,4.9528
1,12.25,1.4227,662.57375,298.25,1011,31.954,98.33,0.907425,402.53,401.21,401.827675,408.1945,417.145,444.0796,100.1979,119.7595,482.98,524.695,863.63815,2401.275,4.985
1,12.75,3.6639,642.52,280.112,1011.2,32.21025,98.1,0.826,404.845,404.8925,403.2125,408.9061,417.96,446.11,100.206675,117.195,481.3804,528.89975,875.2984,2309.5,4.997975
1,13.25,1.641375,608.384825,285.16375,1000,32.5395,98.046,0.80015,403.95,400.416525,401.30275,402.78,410.3,443.4084,100.118125,115.92,483.61,531.5415,856.6997,2271.43795,4.689475
