DOY2,HR2,CO2,FC,SC,H,LE,SH,SLE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,377.915361744049,0.540754665749315,-0.013780720373678,-32.8041541249634,-1.0640266273261,-0.235559778,-0.17938775887305,-2.60593960232205,-2.28246837955047,0.125366856976185,58.8331803057366,1.75113096304698,93.1687037280834,-53.75,0.30725,3.68272799521706,0.202355928141276,-0.143447809891644,0.590028325080557,0.493091559566414,0.221485756448925
1,0.75,378.111295324374,0.604572155064609,-0.0114379864768778,-31.3099996571746,-1.21874165869031,-0.369099850396387,-0.134639306034906,-2.64796125572916,-2.12554816273254,0.135778406098425,58.1979847818023,1.79537693360983,93.0525614293077,-54.0475,0.311,3.80332124428729,0.202066925938264,-0.14728251237405,0.592289869780257,0.459574298229104,0.239297707381792
1,1.25,378.35120159117,0.613251222449922,-0.0170331896101071,-30.2141939224495,-1.316979661,-0.243921853994758,-0.124977449161431,-3.00555694239905,-2.48202186497087,0.131342329426939,58.2461930575873,1.71865756967672,93.165492437283,-54.4225,0.3025,3.85476679790204,0.194445646628296,-0.142803948573943,0.591491525648273,0.454259541880237,0.232174939130247
1,1.75,378.158052659487,0.634917140307838,-0.00775392912972103,-38.4661919712069,-0.03891763875,-0.214664405561325,-0.107170064017582,-3.03725641182999,-2.52178796494138,0.137947538282276,57.39602481,1.72054539355843,93.1037558038194,-51.925,0.30375,4.3638238656739,0.210444146993802,-0.150911813363136,0.660240901820117,0.522209092614997,0.233916859520385
1,2.25,377.99203113836,0.669176196838377,-0.00875077481867863,-37.4157031640881,0.822147952081105,-0.24938787064382,-0.117915783034773,-3.07106980340539,-2.44500110233328,0.134359921157126,57.03472524,1.72649439897316,93.1674657589518,-49.575,0.29475,3.95777001089507,0.209637704315505,-0.158307325404093,0.624773891457548,0.529885638982166,0.23670928637526
1,2.75,377.2420872,0.666036860051466,-0.00361784687271752,-34.7473116668973,0.343169547715252,-0.272387086003736,-0.120982358121333,-2.95674510000003,-2.56415182834201,0.125021965016655,57.58280791,1.71296469904818,93.1388945620659,-50.5875,0.29875,3.91283614909966,0.214069187581784,-0.179425029209069,0.633496210818417,0.487419991497858,0.218619882620044
1,3.25,377.480571747991,0.533852397336092,-0.00853148183210203,-36.7454704736807,0.498375348106974,-0.170397471831302,-0.120805913140485,-2.88349546243217,-2.49516509277549,0.121120872155801,57.0832572498561,1.69433964761942,93.0251869487847,-49.345,0.296,3.89684334566223,0.212230522002819,-0.174092838570383,0.572743939052254,0.483702661035433,0.24151143851418
1,3.75,377.19503735061,0.466719845237007,-0.00561979100918715,-34.0609923638793,-0.180263112772126,-0.204300261655501,-0.112950912,-2.70527731443684,-2.34020992289629,0.119188865407182,57.2302481018865,1.71835267911908,92.9828149299045,-45.3775,0.30275,4.36046789037549,0.223055678567116,-0.166410706686646,0.625364451252517,0.497795737021169,0.257124002826556
1,4.25,377.544817479912,0.670781938437548,-0.00821918066694603,-36.7208658385771,-0.165003912060896,-0.234664415206763,-0.0948558465419986,-2.77759230032144,-2.49056952054336,0.125012981420407,57.51909028,1.76646562725,92.975002543457,-46.845,0.298,4.42294666935549,0.21890609275,-0.176706602488647,0.652514948457547,0.502086289001059,0.263342602895792
1,4.75,377.7202621,0.536107661958243,-0.00550756963689564,-34.6820748675035,-0.673808527286924,-0.243518900435291,-0.120108066960818,-2.63467561891343,-2.343523888482,0.116116515108831,56.811636778729,1.64167009325067,92.9739455819227,-44.4,0.3005,4.19700869555456,0.209259754,-0.179878515346993,0.629233288488746,0.48323529065236,0.238039032079803
1,5.25,377.814943025,0.598289035905272,-0.00964607666462856,-33.048900263092,-0.525797645679366,-0.181254629,-0.113394305116529,-2.74298022842405,-2.50857580312085,0.11937350298413,56.8733269684738,1.5625005165505,92.9823043835178,-46.72,0.29825,4.1310164087869,0.206936643650667,-0.180450096480489,0.613002897376175,0.510039652099591,0.229338299105558
1,5.75,377.3969639,0.613298947494741,-0.00848186527650916,-35.8942177488354,0.163309251,-0.238500015782971,-0.120686798709136,-3.04673948499885,-2.64291141594782,0.112172313125695,57.4630771942725,1.57532799495486,93.0147640703125,-48.9725,0.308,4.338904433,0.229607417122922,-0.192113690904692,0.629075542363554,0.525017643513054,0.253968501984006
1,6.25,377.440306,0.38951238813402,-0.00683,-33.5862007789797,0.373409898782541,-0.225796897941262,-0.129246930406857,-3.19579475572374,-2.63087159305144,0.107238052947636,57.4910038550088,1.61689312156175,93.0339186968316,-53.435,0.2975,4.46112549,0.223134349220089,-0.19016006862698,0.66646341968548,0.524780250016164,0.257460196671353
1,6.75,377.827890755529,0.454225817114489,-0.00730410483798126,-35.8996568306316,-0.354870480559853,-0.174490068234145,-0.0895626803460735,-2.99648001539555,-2.47708388129979,0.118968351795312,58.0967147200086,1.57985655600866,93.0329192673611,-53.3025,0.37825,4.49002652919581,0.232715832399446,-0.193589863257908,0.69887082732835,0.54000095109296,0.263637955533792
1,7.25,377.483691849615,0.513043163001271,-0.00928151163938029,-34.3265684565906,0.103803629019202,-0.17770981261204,-0.0939396239482667,-2.94820328521729,-2.45840329106647,0.111717448464778,57.699732235,1.57649129347722,93.0092806850116,-54.89,2.6065,4.6144439076378,0.228004413771566,-0.174406682075439,0.706767420366064,0.509572498175307,0.262897924255826
1,7.75,378.011326517411,0.565575717280296,-0.00574693557201826,-34.3203082160779,0.343975039111764,-0.0904385864210868,-0.0283406544403524,-2.8010707071092,-2.38664326837326,0.119658334679335,57.6788785438067,1.56427059799043,93.0324644633699,-46.5375,16.9925,4.79373492344706,0.241289711636394,-0.200521727656438,0.701189622527348,0.504977360190273,0.25617490732141
1,8.25,378.272665453628,0.466142202888912,-0.00277605296948006,-21.1928248947288,2.77640352673584,0.0062081552198509,-0.00112723008014541,-2.87810057195026,-2.47432652113173,0.101240410633965,58.3918829845598,1.56497430551404,93.0587971882053,-26.17,48.0275,4.4370895766188,0.238844978842981,-0.215780567421763,0.692979925396013,0.521382767458549,0.262709210746266
1,8.75,378.576862839112,0.271755522,-0.00623977386090674,-18.0524608925839,4.6076726877126,0.174994400456041,0.00634009068932103,-2.98098471620347,-2.80812519772851,0.0901569742709565,57.0895407207113,1.58259977488897,93.1052618153754,-8.5375,92.6,4.52954959030174,0.239672559859068,-0.210403925485223,0.681932647979202,0.555390151593315,0.271702446648943
1,9.25,378.7730983,0.0907306866291951,-0.00769718325123929,-18.6543105430883,7.66123625500873,0.142954257744906,0.00512211223438707,-2.68274246554904,-2.2873940302531,0.106148462777938,57.07763948,1.66729104349137,93.1436769730903,0.62625,130.025,4.97022205411511,0.25891038018225,-0.215561249677466,0.704152746675467,0.56421018008981,0.290840005489075
1,9.75,378.0657688,-0.174764080417435,-0.0122454504368162,-10.5599302592658,8.2304999365678,0.181887969505917,-0.00979676691250351,-2.37231906467014,-2.29426006825764,0.10529754453618,56.47074386,1.79634743416468,93.20756986,6.7395,168.55,5.17616150614384,0.241558864695572,-0.228385907641514,0.723430762056062,0.568717227652295,0.287365595219868
1,10.25,378.491538052568,-0.406398456241544,-0.00905892280459039,-3.97252123982594,11.7343559369862,0.140264924485413,-0.00888944987976655,-1.91358766174312,-1.74387568961249,0.106902474890978,56.52049609,1.93877758511623,93.2164856844944,15.17,199.725,4.83479414255746,0.261839473255846,-0.236551825164036,0.739279008327403,0.593312319192853,0.282735790357043
1,10.75,378.369188018258,-0.499898119254218,-0.00918,-3.25346697951379,12.4123642217127,0.153965546856101,0.00616001539211282,-1.66592539384629,-1.410979657491,0.100558038621246,55.7351028694998,1.86561133179113,93.2531154116754,22.9525,259.325,5.25802816568293,0.267407031,-0.234610951341352,0.732887826341794,0.566544168622359,0.30828970465725
1,11.25,378.314328375411,-0.722724161276884,-0.0088608822056785,-3.14466696822919,13.6557457697957,0.15762278513025,0.024526323437611,-1.46167269524719,-1.21285820473562,0.121836966712076,55.443288995031,1.78264116773025,93.2402721331337,22.5825,251.7,4.89326310814615,0.257046864056905,-0.228882556960883,0.711446763815339,0.618674776089534,0.285890028036054
1,11.75,378.1087379,-0.902738488572542,-0.0116,-0.32316350482449,13.9716463549892,0.122311139635026,-0.0255882109492929,-1.19275807189945,-1.07656664615206,0.113041215273026,55.7602398089556,1.90386254843759,93.24932446,27.84,252.675,4.68038184986475,0.256657212192321,-0.226643316,0.716038366576244,0.61693773916012,0.284980185938243
1,12.25,378.595484036088,-0.748733392687002,-0.0115976714785655,-0.0355786647468868,13.5767813180454,0.12654668738531,-0.0812977608739832,-1.36007482910156,-0.950230706108897,0.117527795352226,55.4303382525326,1.96678531792437,93.2442833776041,34.095,267.375,4.25580583063588,0.246281194251631,-0.22113799,0.653375039825684,0.585237571344856,0.261818945255849
1,12.75,378.270212145036,-0.657586556268338,-0.0143,-3.04398143364405,15.45137202,0.0635,-0.0590330680745741,-1.18397150844997,-0.910480453703073,0.123655990051234,54.5603092796865,2.02055516926459,93.2107425496961,28.155,253.9,4.1370974645371,0.237303790442881,-0.189967411556444,0.671219816394322,0.584230196085104,0.252248154113616
1,13.25,378.5020389,-0.80226106689515,-0.00803396183953623,-3.61760536317263,13.5248548048057,-0.0124119622437137,-0.0311724621966879,-1.21133686998155,-0.85717108323837,0.103794528649116,54.7045114269516,2.024663097,93.2175770516493,17.1,204.975,3.99213408494445,0.230100627944583,-0.20805940730055,0.6734767177411,0.549308860118949,0.247235542459471
1,13.75,378.7433543,-0.438355428439763,-0.00989778959726966,-8.15629556905592,11.9081769770759,-0.0152520087311299,-0.0496511049157419,-1.1164606560601,-0.78067850240069,0.113405177185457,54.0176025731545,1.976267792,93.1982024257813,10.31,184.35,3.48625669178675,0.232752245,-0.20627589,0.669851979509315,0.531314222250607,0.237727065297354
1,14.25,379.1148144,-0.259804361674567,-0.0138409411420954,-5.88200403896388,9.24256215063981,-0.125811632546701,-0.0965350812484292,-1.28784584384499,-0.723927982754162,0.109329099980921,54.4577722401689,1.88301531200362,93.1465514049041,3.805,149.475,3.06625314876509,0.207248971374612,-0.177828640330482,0.565319071378253,0.499094533245567,0.220312855428337
1,14.75,379.568107339001,-0.184678315714284,-0.018829875551699,-9.62043018711086,6.99343129850735,-0.293573328374698,-0.197386847942341,-1.33558176660155,-0.692316216858373,0.117066187315921,54.773740782159,1.86381859075,93.1740038946636,-0.611,108.675,3.23877699551875,0.196183378429863,-0.166235311435975,0.546191559427837,0.500324485840028,0.193568719120644
1,15.25,379.278446234263,0.142348328315863,-0.0119898074005966,-14.1796452165291,6.26905860176623,-0.36583815575,-0.178505183732403,-1.3427767,-0.715215986463704,0.10770329614269,55.7950479759106,1.8295920649433,93.2490548250868,-7.7025,76.0525,2.810369879,0.195886051026625,-0.158063825455204,0.550553971922826,0.457419764848171,0.181383571472171
1,15.75,378.706478375503,0.326623518647234,-0.0247,-16.798043144845,4.02320619679001,-0.574513779971951,-0.246714788,-1.39735573081595,-0.907127237319941,0.109689472060585,56.6078105452929,1.8151747577864,93.250666335,-25.435,36.675,2.65760105009782,0.175871937297834,-0.120669064414422,0.507154986754846,0.439152378066858,0.165333321262406
1,16.25,377.742528289427,0.405297191970708,-0.0256995923677895,-23.5415113336374,2.31620351046177,-0.637173766435311,-0.288585837116046,-1.54196241681517,-0.983741405422634,0.108780462953014,56.8310660629162,1.83828917019437,93.2456611745877,-43.115,8.77,1.82468414595374,0.169823994504598,-0.120806851017224,0.501100427425921,0.42032802405182,0.143252217074292
1,16.75,377.5718485,0.455099228831615,-0.0226020738071959,-30.7581032189098,1.17028702100005,-0.698588033446142,-0.240353780749972,-1.62600076633026,-1.1490306,0.124899959967968,56.9685665293537,1.82134296331899,93.259262390842,-50.395,1.56975,2.133563101,0.172032840234563,-0.130935880466013,0.532870941270967,0.420780017327997,0.134164078649987
1,17.25,377.134117136549,0.336372608300372,-0.0124883708052786,-33.6879103911767,0.45262948887298,-0.438333547376791,-0.269502695986032,-1.79089611137292,-1.14702753849957,0.0994584981690857,57.0397187527836,1.80511289850698,93.202417295275,-51.715,0.48875,2.09409160564222,0.163001749750399,-0.118625984209492,0.497288439874853,0.44496144406214,0.155991424347994
1,17.75,377.011617369639,0.510221705971306,-0.0143248671637164,-30.8455933206959,0.358138464959625,-0.614057661677664,-0.20585809218888,-1.77162249999998,-1.18413119999997,0.1113552872566,57.7361436,1.705147835,93.2026987311198,-55.005,0.36025,2.109508271,0.165075734290315,-0.13482182866898,0.462311813606358,0.425972638792681,0.149286618399342
1,18.25,377.056395957803,0.4792852255,-0.0161668399667016,-32.813483766414,0.0551069814641106,-0.525961572736058,-0.26510204425,-1.94359323726552,-1.39602257499998,0.130605637028143,57.201965923282,1.8991896678492,93.1829868301078,-53.005,0.33375,2.37672938497452,0.149645221225091,-0.127613539800467,0.556178897524149,0.398370842565934,0.140454099712771
1,18.75,376.88376890426,0.480006044006589,-0.0121725820792139,-32.5444713968359,-0.129633830183288,-0.350170709904307,-0.224805354979407,-1.74477950048013,-1.36467153909473,0.125659585010536,56.57447833433,1.88564972409654,93.1835978873155,-55.89,0.3285,2.54930955993763,0.18746529232635,-0.129043215857931,0.538283778048582,0.435831925335179,0.16560165483834
1,19.25,377.015158780304,0.34826695925869,-0.0149028770215429,-31.3583326978212,-0.0790513551076666,-0.266580897125467,-0.123560458183418,-1.79367101695416,-1.30966903122558,0.130971488233346,57.682828117843,1.86756171856151,93.1795453547092,-54.985,0.32,2.21359316433122,0.1841823185,-0.128481115274109,0.567326704379258,0.46560351054483,0.169192859553421
1,19.75,377.2433335,0.414160183071683,-0.0151631521434913,-35.77652433,0.269540384145065,-0.322059927315223,-0.170431101585317,-1.68832652791332,-1.09541111390077,0.152909462926579,57.4616136509965,1.91950564507294,93.1592209358181,-56.15,0.318,3.04320794365222,0.179579458512057,-0.136385564850539,0.599387731457819,0.448530858754551,0.175196720152448
