DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,H2O_1_5_1,H2O_1_6_1,FC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,NETRAD_1_2_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_2_1_1,SC_1_1_1
4,19.25,412.6761,412.53505,412.544625,412.62315,413.28315,413.6998,417.9764,2.64932175,2.96903525,2.948729,2.936015,2.855304,3.040028,1.24826,13.925835,-2.890176,4.034456,3.09467875,1.84715,0.478405,0.37115,0.6829899,95.44664,10.350785,10.104285,10.07667,10.05335,9.8394,9.57135,9.8504825,9.6442165,9.297033,8.4266665,7.2787505,6.446557,7.425317,6.7544,6.33075,5.210917,4.5564165,-14.002105,-4.32265,0,0,0,0,0,0,2.23865125,317.7921,359.5181,12.799665,10.546,1.498331,5.9423285,5.8743935,5.21102,4.903709,4.440112,3.9626205,1.35243905,0.2757086
4,19.75,412.7762,412.52005,412.861425,412.824625,413.4278,414.428,418.5909,2.661312,2.952082,2.949882,2.94814925,2.85053475,3.0316145,1.217199,12.71567,-3.2619365,3.043281,3.15299775,1.866867,0.4363333,0.2953333,0.6823808,95.45431,9.790748,9.5857,9.497367,9.4024,9.016833,9.063333,9.1117,8.763332,8.439,7.667234,7.033833,5.986639,7.302766,6.650033,6.354,5.231,4.5637,-11.89049,-3.8571,0,0,0,0,0,0,2.257423,316.66865,356.47175,12.06,9.876666,1.404833,5.667673,5.743259,5.194162,4.927197,4.452463,3.9689215,-0.19265465,0.2317918
4,20.25,412.940175,412.4224,412.5959,412.6934,414.0466,415.11085,419.0194,2.6655065,2.9405415,2.926345,2.9362905,2.83277125,3.035593,1.244521,11.961665,-2.370168,2.92203375,3.134533,1.80830025,0.4014167,0.32075915,0.6749709,95.46871,9.1425015,9.09129975,8.96101675,8.949116,8.55509975,8.4051245,8.557433,8.33875825,7.888658,7.2836575,6.8699915,5.56594425,7.1962415,6.73975875,6.46741675,5.29720875,4.6257835,-11.4597875,-3.1795165,0,0,0,0,0,0,2.265578,315.5845,353.5927,11.6507475,9.43380875,1.37712,5.4205805,5.6130395,5.1732735,4.938266,4.4748155,3.9811935,-0.2510671,0.2056367
4,20.75,413.077375,412.91605,413.05065,413.1984,413.77525,414.79675,419.361075,2.6621395,2.956424,2.92857175,2.95422,2.8012655,3.029548,1.2472675,11.03,-3.361255,2.530282,3.19258425,1.789333,0.436,0.31465,0.6983228,95.47632,8.9629935,8.669999,8.517333,8.533334,7.9813,7.698534,8.046667,7.794134,7.432,6.814667,6.642933,5.066115,7.122034,6.6339,6.412666,5.1933,4.531733,-11.98964,-3.8699665,0,0,0,0,0,0,2.24521,315.92535,351.05485,11.16,8.8386,1.55551225,5.186096,5.4966015,5.151385,4.9479975,4.494162,3.988824,-1.3190305,0.2865145
4,21.25,413.313775,413.00125,413.08855,413.341,414.7106,415.7373,419.6139,2.6843605,2.928658,2.9308585,2.935892,2.8311,3.033473,1.14748525,10.27693,-3.5227265,2.541281,3.1855455,1.9624,0.4823333,0.3423333,0.699969,95.501505,8.554515,8.353333,8.092999,8.075334,7.491667,7.513,7.7797,7.456333,7.0348,6.562334,6.501333,4.645351,7.053867,6.761366,6.450333,5.305567,4.648,-10.975455,-4.16955,0,0,0,0,0,0,2.22304375,314.98365,349.932,10.68667,8.55,1.582456,5.042421,5.363805,5.1248025,4.944641,4.513527,3.9957925,-1.5900405,0.1970671
4,21.75,413.3789,413.1714,413.4214,413.5761,414.5303,416.3482,420.1567,2.66200125,2.92293225,2.937825,2.94601975,2.8091105,3.015717,1.201551,9.7417,-2.412318,2.06847325,3.13506,1.981533,0.4106667,0.28795,0.6779763,95.49833,8.2710075,7.943467,7.768333,7.633667,7.001667,7.198,7.378334,7.038334,6.775934,6.338,6.4302,4.40161,6.968,6.6796,6.395633,5.322866,4.640666,-9.601567,-4.11795,0,0,0,0,0,0,2.14856325,315.43085,347.94055,10.32667,7.994067,1.5506755,4.9221595,5.263255,5.092166,4.9493405,4.5332435,4.008401,-1.954026,0.1801991
4,22.25,413.57205,413.353525,413.52085,413.78475,414.91505,416.271225,420.280675,2.6547175,2.87686175,2.908472,2.932107,2.82142925,2.992788,1.177318,9.46255825,-3.039892,2.3173505,3.2135545,1.9519165,0.4290375,0.2858333,0.698857775,95.4856275,7.838356,7.39579175,7.330017,7.21456675,6.77275,6.7600415,7.1210755,6.89321725,6.40260825,5.9732505,6.30041675,4.26238,6.84841675,6.746925,6.4365005,5.3421085,4.64280825,-9.516512,-4.234967,0,0,0,0,0,0,2.12000025,315.934,346.2585,10.055615,7.75524175,1.40140725,4.813864,5.193822,5.069968,4.9469905,4.552617,4.0170315,-1.996124,0.2252478
4,22.75,413.79575,413.6846,413.819675,413.94225,415.258875,417.099775,420.423225,2.634042,2.90256,2.89799225,2.8827275,2.82443,2.96099,1.34525025,9.1812255,-3.0047975,2.325144,3.2042515,1.965258,0.4425292,0.29173085,0.706204425,95.49178,7.519834,7.19364225,7.06475,6.98385025,6.4920005,6.42875,6.91474975,6.80667475,6.5132585,5.81943325,6.134292,3.951881,6.713125,6.61712525,6.3615165,5.2874665,4.6276585,-8.492859,-3.794583,0,0,0,0,0,0,2.0902035,315.40545,344.99415,9.6720915,7.5852165,1.5143125,4.6648825,5.125476,5.065252,4.9422915,4.565644,4.02965,-2.248069,0.2166507
4,23.25,414.01245,413.763875,413.928875,414.13155,415.422625,416.37905,420.3792,2.63449,2.878635,2.8520425,2.877781,2.7795455,2.955135,1.2849265,8.9890165,-2.908886,2.016127,3.225531,1.89575,0.4279517,0.315945,0.6931733,95.50434,7.20600225,6.8207495,6.819367,6.6472335,6.0790165,6.1225,6.397717,6.1488,5.882833,5.6221665,5.9575495,3.723392,6.569283,6.5846665,6.3733165,5.3086665,4.6527505,-8.75155575,-4.0554665,0,0,0,0,0,0,2.07229475,314.3845,342.84305,9.3155495,7.440467,1.52171825,4.5158595,5.0464325,5.0501275,4.9526975,4.577004,4.039281,-2.278344,0.1887349
4,23.75,414.26975,413.963925,413.970975,414.47385,415.54885,416.320125,420.334325,2.62756225,2.83630025,2.841158,2.869956,2.74653675,2.921169,1.182308,8.8250005,-3.596227,1.3426,3.240228,1.8326665,0.39731335,0.3136667,0.69835425,95.5186875,6.9063005,6.60405,6.48555,6.3552495,5.83635,5.882167,6.1049995,5.9166165,5.6654,5.3891,5.9069,3.52161425,6.4293335,6.5433335,6.3494,5.321267,4.59765,-9.0542865,-3.9718335,0,0,0,0,0,0,2,315.43435,342.167,8.985,7.1161835,1.46986425,4.351769,4.981915,5.031972,4.9691465,4.584,4.0435985,-2.1796535,0.1887878
5,0.25,418.25835,417.942575,420.9499,421.0302,425.64015,429.7823,435.2569,4.48908025,4.855516,4.829952,4.783786,4.7752,5.03916825,3.058298,12.52233,-9.912014,6.35204575,2.795231,1.643267,0.1163333,0.08933333,0.62799805,95.435155,13.3247425,12.834,12.58333,12.52567,12.04833,12.39267,12.61267,12.55667,12.47667,12.358,12.07,4.377684,12.14267,11.63667,11.01333,9.547933,8.176867,-16.27941,-3.478733,0,0,0,0,0,0,2.19081675,347.1005,376.4126,15.52067,13.60733,3.476565,12.0256,12.0862,11.51659,10.848825,10.0067315,9.221423,4.07544425,0.80583315
5,0.75,418.64785,418.322625,421.192,420.83515,426.572175,429.7147,434.5784,4.51745375,4.84469675,4.769157,4.7480635,4.742048,5.0552115,2.863221,12.0915825,-10.5561,6.532851,2.8291755,1.650633,0.11431415,0.0860825,0.5994898,95.42892,13.097365,12.5939975,12.36225,12.189,11.834165,12.26033,12.45883,12.4072475,12.3481675,12.28075,11.95333,4.155238,12.008335,11.596085,10.992085,9.47416625,8.09056675,-14.27687,-3.31330825,0,0,0,0,0,0,2.185964,346.4761,374.0887,15.324165,13.380335,3.50454725,11.9189875,11.9713875,11.469935,10.8516125,10.00090125,9.2336295,3.6022385,0.807594
5,1.25,419.024,418.149975,421.12905,420.815525,426.2339,429.612525,435.01455,4.43152575,4.779308,4.7555505,4.7367535,4.716438,4.986574,2.887112,11.76983,-11.159735,5.94454,2.808291,1.5866,0.128195,0.08328167,0.5998169,95.4284975,12.65845,12.2785,12.125,12.074665,11.569835,12.087665,12.302335,12.20667,12.117835,11.945165,11.882835,3.9337295,11.917165,11.521165,11,9.548833,8.085,-13.12906,-3.095383,0,0,0,0,0,0,2.2020045,346.213,372.975,15.0435,13.245665,3.5039445,11.83042,11.924685,11.4040625,10.84365,9.99744575,9.23920275,3.801874,0.7611417
