DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT
2,6.25,65.85,-36.7325,0.355431818181818,0.08225,176.3,175,-1.1,-0.0164870325,0.01709204
2,6.75,64.925,-36.98,0.362204545454545,0.25275,173.2,172.2,-1.1,-0.0216517725,0.0289050275
2,7.25,65,-37.165,0.368977272727273,0.171,172.975,171.45,-1.1,-0.0149283575,0.027152175
2,7.75,65.45,-36.8775,0.37575,0.1815,174.025,171.425,-1.1,-0.02061038,0.02053492
2,8.25,64.9,-37.1125,0.2805,0.123,174.3,172.875,-1.1,-0.01201385,0.0270294925
2,8.75,65.05,-37.4325,0.819,0.22225,173.325,171.575,-1.1,-0.00498417075,0.1127997
2,9.25,65.2,-36.8675,0.43575,0.599,175.95,174.825,-4.2245,0.0474932875,0.15893915
2,9.75,65.525,-36.6325,1.5645,0.697,177.5,175.475,-3.41,0.6322681,0.7290565
2,10.25,65.375,-36.8025,2.75,2.459,175.425,172.95,-5.0405,4.56928475,5.45183275
2,10.75,66.05,-36.1725,5.71375,7.39375,176.225,173.475,-7.9525,14.58855,16.947245
2,11.25,66.225,-36.305,15.38,17.2325,178.2,174.15,-14.27,28.1276075,37.10556
2,11.75,66.075,-36.2775,22.4425,25.13,179.675,175.55,-20.25,43.2306,53.8107
2,12.25,65.925,-36.77,33.7,47.4025,178.8,176.5,-22.175,58.097765,78.6856275
2,12.75,67.75,-35.6825,41.6825,62.4975,182.075,177.075,-28.5,76.88771,99.08153
2,13.25,66.7,-35.5175,55.9025,72.4825,182.325,178.25,-33.2,90.6094925,110.77855
2,13.75,66.6,-35.5525,60.7825,77.44,182.575,177.425,-36.075,96.60231,118.56835
2,14.25,66.9,-35.695,57.85,68.8575,181.725,178.175,-37.6,92.495605,114.880875
2,14.75,67.825,-35.44,51.41,59.7225,182.35,175.2,-40.825,84.3134475,104.4107
2,15.25,67.8,-35.355,41.0825,44.645,182.175,174.425,-36.9,70.526125,87.7083825
2,15.75,66.425,-35.815,29.4,33.2225,180.925,173.3,-29.7375,49.356315,65.02395
2,16.25,66.725,-35.875,19.085,21.13,179.725,173.375,-25.7925,34.1408275,43.78543
2,16.75,66.575,-35.9175,8.9375,9.8625,181.2,170.35,-14.8875,17.587185,22.25427
2,17.25,65.45,-36.9025,2.238,3.0925,178.475,172.775,-7.99,6.150399,8.0317
2,17.75,65.125,-37.265,1.38575,0.85975,175.7,171.025,-1.7935,1.07902025,1.5138155
2,18.25,65.575,-36.835,0.789,0.362,174.7,172.625,-1.7135,0.0935189,0.374022225
2,18.75,64.625,-37.3225,0.2525,0.2675,173.625,173.675,-0.5905,0.0011350565675,0.05602943
2,19.25,64.55,-37.9325,0.2397,0.124,172.875,172.025,-0.5905,-0.00870204075,0.0339981
2,19.75,65,-37.9575,0.2269,0.153,172.475,172.125,-0.5905,-0.01686787,0.033952535
2,20.25,64.65,-37.5075,0.2141,0.096,172.25,170.225,-0.5905,-0.0149466,0.02034289
2,20.75,65.7,-36.915,0.2013,0.1635,172.825,170.975,-0.5905,-0.0174327725,0.027126015
