DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,0.25,0.355,10.15,3.075,1.091,-1,16,-3.75,98.025,101.72525,2.615,-14,0,0,0,2,325.75,350
1,0.75,0.3685,10.125,3.0875,1.012,-2,16,-6,98.05,101.801,2.67,-15,0,0,0,2,325.25,350
1,1.25,0.369,9.85,2.88,1.17125,-2,14,-7,98.125,101.801,2.4725,-13.5,0,0,0,2,325,352
1,1.75,0.322,9.75,2.7225,1.1025,-2,14.5,-7,98.4,101.801,2.57,-11,0,0,0,2,328.25,349.5
1,2.25,0.3195,9.875,2.5825,0.91,-2,12,-7,98.4,101.801,2.5175,-9.75,0,0,0,2,328.25,350.25
1,2.75,0.3205,9.75,2.7125,1.09675,-2,14.5,-6,97.85,101.801,2.505,-11.75,0,0,0,2,328.5,349.25
1,3.25,0.35,9.95,2.95,0.91,-2,12,-5.75,97.625,101.801,2.4225,-9.75,0,0,0,2,329,349
1,3.75,0.346,10.125,2.7375,0.881,-1,15,-4.75,97.625,101.801,2.2475,-9,0,0,0,2,337.25,346.5
1,4.25,0.3315,9.575,2.705,0.955,-2,12,-5.5,98.375,101.801,2.0475,-10,0,0,0,2,325,345.75
1,4.75,0.312,9.7,2.6275,0.9835,0,8,-5.5,98.2,101.801,1.895,-9.75,0,0,0,2,323.25,344.5
1,5.25,0.318,9.9,2.63,0.978,-1,9,-5,98.35,101.801,1.7225,-9,0,0,0,2,327.5,347.25
1,5.75,0.31525,9.7,2.685,1.148,-1,9.25,-5.75,99.375,101.801,1.5825,-10,0,0,0,2,326.75,347
1,6.25,0.31325,9.725,2.7725,1.15425,-3,8.5,-5.75,99.425,101.801,1.525,-9.75,0,0,0,2,328.25,345.75
1,6.75,0.309,9.7,2.5075,1.0345,-1,8,-6.75,99.525,101.801,1.5225,-8,2,0,0,2,330.75,346.25
1,7.25,0.311,9.35,2.57,1.06325,-1,12,-6.75,99.425,101.801,1.6425,-4,29,19,6,10,329,346.25
1,7.75,0.33275,9.55,2.8,1.5455,2,18.25,-5.75,99.225,101.9,1.605,9,121,90,25,40,330,350.25
1,8.25,0.364,10.2,3.035,0.51775,19,46.75,-2.75,97.375,101.9,1.915,34,263,176.25,44.5,60,331.25,354.5
1,8.75,0.384,10.925,3.3375,0.29575,40.5,55,2.25,94.3,101.9,2.5675,91,420.75,271.5,63.25,78.25,330.5,362.25
1,9.25,0.425,11.5,3.4675,0.20525,72,70.5,10.25,90.175,101.925,3.065,144.75,551.25,350.25,78.5,89.5,330.25,369.25
1,9.75,0.41,12.3,3.6725,-0.136,96.5,78,17.25,89.2,102,3.645,201.5,669.5,426.5,96.75,106,336.25,377.75
1,10.25,0.434,13.225,3.68,0.182,121,86,27,88.45,102,4.2275,239.5,761.25,492,108.75,116.25,334,383.5
1,10.75,0.435,13.025,3.78,0.165,139,88,36.25,87,101.925,4.89,280.5,867.5,549,122.5,128,334.25,387.5
1,11.25,0.45,13.15,3.7125,-0.0735,157,92.75,45.25,87.9,101.9,5.26,309,922.25,587,135.75,136,341,395
1,11.75,0.4685,14.725,3.78,-0.06775,167,83,53,83.775,101.9,5.6775,320.5,949.75,607.25,139.5,136,335.75,398
1,12.25,0.455,14.325,3.875,0.1255,173,84,57.25,82.3,101.801,6.085,326.25,963.25,613.25,141.25,140.25,337.5,400.25
1,12.75,0.466,14.9,3.73,0.58,166.75,92,59.5,80.875,101.7,6.465,313.5,940.75,599,134.75,137,338.75,402.25
1,13.25,0.446,15.925,3.8925,0.228,155,86,57,80.35,101.7,6.775,299.5,926.5,585,134.25,135.25,338.25,402.25
1,13.75,0.45525,15.975,4.0125,0.5975,138,76,51.25,80.225,101.7,7.4,256,842.25,530.75,127.75,124.25,338.5,397.75
1,14.25,0.421,15.87525,3.7225,0.188,121,69.5,40.5,78.7,101.62575,7.5075,223.25,758.25,474.25,120,114,337.25,396
