DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,FC_2_1_1,LE_2_1_1,H_2_1_1,CO2_2_1_1,H2O_2_1_1,T_SONIC_2_1_1,T_SONIC_SIGMA_2_1_1,WS_2_1_1,USTAR_2_1_1,TA_2_1_1,TA_2_1_2,RH_2_1_1,PPFD_IN_2_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,NETRAD_2_1_1,PA_2_1_1,LW_OUT_2_1_1
1,0.25,0.70589,1.32415,-24.129,-1.805,-1.224,-2.214,-2.4605,-2.3,-0.98397,-1.598,-1.55808,389.9,5.2457,87.02,1.43605,0.2097,0.89375,0.091,0.194835,81.085,0,0,0,0,262.83,308.93,-41.5795,0.255,0.452,0.703,1.056,1.748,3.13,0.335,0.87535,0.81382,0.40615,2.72,0.543889,0.3854655,-14.60175,348.2555,3.672455,-0.499861,0.2500845,1.7035,0.211281,-0.4588835,-1.047985,80.38565,0,0,0,254.6185,-34.6113,87.47335,303.1085
1,0.75,0.682365,1.088,-24.7345,-1.781,-1.26,-2.214,-2.4525,-2.298,-1.4886,-1.8373,-1.843385,390.28,5.280435,87.0145,1.4774,0.21602,1.01,0.16133,0.212,81.132165,0,0,0,0,263.6,309.23333,-37.905,0.2435,0.452,0.699,1.055,1.7455,3.1205,0.339,0.91978,0.86686,0.411665,2.76,0.3881265,0.52786,-15.40335,348.028,3.6693,-0.690521,0.250767,2.444385,0.189767,-0.445433,-0.93855,79.74985,0,0,0,261.2315,-26.32835,87.43665,302.918
1,1.25,0.64,1.0261,-24.055,-1.7815,-1.229,-2.2145,-2.457,-2.296,-1.567975,-2.130395,-2.1646,389.7,5.24354,87,1.46355,0.2084,1.08,0.103,0.1505,81.45,0,0,0,0,262.805,308.5,-39.017,0.249,0.4535,0.6955,1.0565,1.7465,3.125,0.32222,0.87591,0.8686,0.4093,2.7555,0.3814865,0.3503825,-16.2256,348.684,3.7196,-0.7380845,0.32522,2.82322,0.238298,-0.477583,-0.8431165,80.46365,0,0,0,254.2565,-30.3767,87.4,302.6765
1,1.75,0.72,1.559,-23.736775,-1.7905,-1.229,-2.212,-2.4655,-2.289,-1.568,-2.147935,-2.52833,389.52,5.229,87,1.5309,0.221235,0.9551,0.092333,0.146335,81.5665,0,0,0,0,264.13,308.37,-38.878335,0.245,0.4495,0.6915,1.057,1.747,3.126,0.34,0.8999,0.8299,0.4224,2.66,0.455152,0.5474475,-11.30425,349.4455,3.77192,-0.75711,0.310046,1.59617,0.198323,-0.5403,-0.87815,80.568,0,0,0,255.17,-30.5252,87.43,303.792
1,2.25,0.7,1.004,-23.23,-1.803,-1.225,-2.208,-2.4675,-2.2945,-1.6368,-2.271985,-2.5963,389.21,5.23,87,1.40455,0.228105,0.91,0.007,0.081,81.4,0,0,0,0,266.69,308.54,-36.695,0.2455,0.4485,0.695,1.0565,1.748,3.118,0.342,0.92865,0.86088,0.44393,2.6445,0.2857895,0.124249,-12.0111,349.129,3.785485,-0.725498,0.262934,1.65789,0.169625,-0.5691335,-0.928983,79.65385,0,0,0,268.2485,-26.5046,87.45,305.1765
1,2.75,0.66,1.348,-24.491,-1.83,-1.2225,-2.2095,-2.4515,-2.306,-1.5935,-2.192105,-2.59649,390.06,5.18132,87,1.340155,0.22045,0.780745,0.019,0.076335,81.43333,0,0,0,0,266.49,308.03,-35.7495,0.249,0.449,0.7095,1.055,1.7505,3.1175,0.36,0.93842,0.86993,0.407,2.725,0.583639,0.2718995,-12.5773,348.8535,3.77844,-0.717813,0.245638,1.66836,0.1722775,-0.9083315,-1.13303,79.1985,0,0,0,273.3,-21.551,87.45,305.08
1,3.25,0.67,1.36,-21.05335,-1.832,-1.221,-2.2045,-2.439,-2.3095,-1.63735,-2.3343,-2.59673,389.595,5.27411,87.01,1.1976,0.2285,0.69525,-0.095333,-0.0235,82.109,0,0,0,0,269.6,308.11,-32.32,0.2405,0.447,0.712,1.0585,1.7625,3.127,0.33166,0.8767,0.79247,0.39041,2.56585,0.531913,0.0515023,-13.7046,348.3695,3.73801,-0.980684,0.268787,2.03942,0.188199,-0.7931,-1.18615,79.5935,0,0,0,276.175,-12.8606,87.40335,304.943
1,3.75,0.62395,1.6606,-24.04,-1.8405,-1.222,-2.206,-2.458,-2.314,-1.628145,-2.5838,-2.5968,389.72,5.261,87,1.3222,0.221,0.70668,-0.025333,-0.01050015,81.771,0,0,0,0,270.34,307.63,-34.2315,0.2385,0.4495,0.7155,1.0545,1.7625,3.123,0.32642,0.8948,0.8207,0.4071,2.64,0.393511,0.306906,-16.4554,346.247,3.49059,-1.03325,0.260247,2.22343,0.202093,-0.9535685,-1.1438485,80.329,0,0,0,272.972,-12.607,87.4,305.6265
1,4.25,0.609055,1.3659,-22.828,-1.8365,-1.224,-2.2135,-2.4825,-2.32,-1.6548,-2.62735,-2.5968,390.25,5.28444,87.019,1.1632,0.22542,0.68974,-0.10933,0.0931665,81.467,0,0,0,0,271.833335,307.57,-31.734,0.2415,0.4475,0.7195,1.0545,1.765,3.127,0.33,0.87545,0.8609,0.4019,2.67285,0.564572,0.301706,-15.1358,348.09,3.55793,-0.580883,0.241808,2.58256,0.21892,-0.8504,-0.91435,79.0487,0,0,0,275.77,-11.1035,87.4,306.245
1,4.75,0.741055,1.30455,-20.5795,-1.839,-1.2355,-2.2135,-2.4885,-2.3195,-1.69824,-2.5036,-2.5967,390.05,5.307,87.019,0.9394,0.22942,0.585,-0.099607,0.0185,82.433,0,0,0,0,271.198335,307.83,-31.25,0.245,0.4465,0.722,1.0625,1.76,3.128,0.299,0.85445,0.8208,0.394525,2.583,0.400762,0.485497,-12.3278,347.274,3.73179,-0.541891,0.256894,2.44703,0.276849,-0.975885,-1.23132,79.6327,0,0,0,276.402,-8.5672,87.45,305.7535
