DOY2,HR2,T_CANOPY_1_1_1,CO2_1_1_1,FC_1_1_1,H2O_1_1_1,G,H,LE,PA_1_1_1,RH_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,NETRAD,LW_IN_1_1_1,LW_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TS_1,TAU_1_1_1,U_SIGMA_1_1_1,USTAR_1_1_1,V_SIGMA_1_1_1,W_SIGMA,WS_1_1_1,NEE
1,0.25,12.54139,380.389,2.29693,12.2661,2.1603315,-6.67432,0.495734,101.0956,88.92775,13.264,0.190608,12.53742,-13.08399871,278.219625036151,369.596557767691,0.3246027,1.107981,13.99972,-0.01565455,0.4861065,0.12123,0.3801855,0.133022,2.1267,2.29693
1,0.75,12.35941,380.97,2.993195,12.2002,1.94533805,-5.84422,0.269947,101.0721,90.05095,13.142,0.185967,12.35941,-13.08399871,279.294804747498,368.043934573392,0.3246027,1.073872,13.9554033333333,-0.0154706,0.471466,0.115899,0.378567,0.130525,2.14559,2.993195
1,1.25,12.09644,379.1675,3.780665,11.96545,1.71143768333333,-5.318115,-0.1695295,101.05725,89.92285,13.012,0.1913205,12.09644,-13.08399871,284.228894682143,366.985049559714,0.3246027,1.0969945,13.913495,-0.0145322,0.4377105,0.117174,0.3640275,0.1184395,2.113005,3.780665
1,1.75,11.89991,378.0825,2.88031,11.8505,1.46677736666667,-5.24885,0.2472575,101.053,89.957,12.656,0.1897395,11.89991,-13.08399871,294.733569616506,366.057839478226,0.3246027,1.0614665,13.8679766666667,-0.0145743,0.45354,0.109199,0.377803,0.110657,2.17514,2.88031
1,2.25,11.58609,378.192,3.96268,11.677905,1.22825896666667,-6.29775,0.0522957,101.02905,89.4482,12.339,0.20522,11.58609,-13.08399871,285.583465427945,364.917694645884,0.3246027,1.066168,13.8119466666667,-0.0130023,0.433038,0.1056045,0.3579575,0.111837,2.088325,3.96268
1,2.75,11.417945,379.776,2.859375,11.44944,1.05064171666667,-4.11612,0.281541,101.01345,89.70245,12.141,0.198201,11.417945,-13.08399871,297.92015447325,363.877879760583,0.3246027,1.055531,13.774825,-0.009656495,0.4086845,0.1061325,0.373016,0.1091895,1.941055,2.859375
1,3.25,11.27472,380.183,2.51019,11.3871,0.806053418333333,-3.855235,-0.202402,101.01375,90.0241,11.859,0.193068,11.27472,-13.08399871,304.233005316008,362.431450282798,0.3246027,0.986378,13.7203433333333,-0.00908908,0.425658,0.0944739,0.349172,0.104155,1.97143,2.51019
1,3.75,11.285355,379.396,2.20081,11.3221,0.54030767,-5.52296,-0.298544,101.02315,89.78885,11.788,0.193437,11.285355,-13.08399871,305.878890273062,362.779357457275,0.3246027,1.025213,13.6821466666667,-0.00813962,0.404193,0.101626,0.377074,0.100333,2.01072,2.20081
1,4.25,11.22711,380.359,2.69666,11.2039,0.349281438333333,-5.480135,-0.346024,101.017,89.8665,11.699,0.21104,11.22711,-13.08399871,312.805108497871,362.302966872345,0.3246027,0.9528028,13.6327333333333,-0.00876568,0.4245335,0.0966204,0.3586405,0.09994935,1.99228,2.69666
1,4.75,11.20241,381.023,3.144565,11.2959,0.189195531666667,-5.42126,-0.220458,101.0162,90.8343,11.674,0.198066,11.20241,-13.08399871,321.21677409412,361.5645318048,0.3246027,0.93344685,13.5984266666667,-0.00891681,0.429062,0.0946553,0.326801,0.0982992,2.06483,3.144565
