DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,412.418,3.289,419.204,4.226,1991.55275,407.1485,3.353,418.169,4.278,1992.63975,413.169,3.366,421.359,4.335,1990,414.384,3.4935,421.098,4.327,1978.879,409.449,4.01725,423.7985,4.4065,1979.24575,418.156,4.067,425.95175,5.363,1975.00275,1.3355,-0.3845,0.1495,415.76825,3.9355,0.27525,-0.59775,0.3635,-1.756,-4.04125,0.1615,-45.52275,-10.08375,0.354,1.1025,0.835,0.59,0.5975,0.32,-1.413,-1.2955,-1.3435,-1.135,-0.928,-1.72,-1.972,94.759,57.915,0.96975,-0.4125,-0.0375,0.21,0.06,0.14,0.7,-4.46,1.9,-0.3625,244.15,312.3,-82.4925,284.5,312.925,0.0975,-0.14,-0.22,-0.24,-0.3575,-0.07,0.12,-0.11,-0.15,-0.31,3.1335,3.825,5.712,6.094,6.8675,3.20225,4.24125,5.9555,4.27375,4.60475,6.26175,6.968,5.763,2.66625,3.9735,4.852,6.0155,3.4695,4.173,5.89025,6.53925,7.31425,7.66125,-14.9735,-10.982,-14.712
1,0.75,410.65775,3.28175,419.733,4.147,1990.7175,406.84,3.322,418.896,4.226,1997.44925,411.51575,3.412,422.225,4.119,1988.4075,414.12525,3.53075,421.921,4.35,1981.667,407.9555,3.752,424.779,4.657,1975.9,417.3855,3.976,426.228,5.4595,1974.1085,1.213,-1.0435,0.132,415.66075,3.8365,0.2845,-0.751,0.414,-5.753,-4.81625,0.1655,-43.141,-6.94475,0.3605,1.0625,0.79,0.55,0.5575,0.31,-1.527,-1.44375,-1.43375,-1.2115,-1.0145,-1.7245,-2.151,94.72725,58.4,0.912,-0.61,-0.1975,0.1375,-0.06,0.1625,0.6,-4.615,1.8,-0.355,245,311.725,-83.68,284.325,313.05,0.09,-0.14,-0.22,-0.24,-0.36,-0.07,0.12,-0.12,-0.15,-0.32,3.074,3.776,5.7045,6.072,6.8755,3.18575,4.24075,5.9535,4.23925,4.61525,6.23025,6.98125,5.75275,2.64525,3.95875,4.814,6.0285,3.40375,4.192,5.87425,6.55225,7.31325,7.662,-14.84775,-11.236,-15.38125
1,1.25,410.5735,3.235,419.657,4.142,1989.725,406.971,3.376,417.749,4.275,1990.1695,409.695,3.3695,422.5625,4.2675,1988.06875,412.4675,3.5745,422.7495,4.2745,1984.69775,408.044,3.66775,424.11125,4.40575,1975,418.324,3.969,426.523,5.0695,1980.45825,1.2835,-0.948,0.1195,415.843,3.753,0.2315,-0.602,0.163,-8.88925,-3.317,0.159,-33.65,-8.69575,0.3495,1.03,0.83,0.5525,0.555,0.31,-1.52525,-1.4135,-1.5045,-1.2585,-1.0765,-1.71125,-2.082,94.737,59.33,0.95575,-0.7125,-0.1825,0.05,-0.1075,0.0525,0.6,-4.61,1.8,-0.3125,247.55,310.775,-82.91,287.05,312.325,0.09,-0.14,-0.22,-0.24,-0.36,-0.07,0.12,-0.11,-0.15,-0.3075,2.9635,3.731,5.69175,6.049,6.872,3.205,4.237,5.95075,4.1705,4.5855,6.20375,6.99425,5.7425,2.62475,3.931,4.8065,6.04275,3.3715,4.14425,5.85125,6.537,7.312,7.66775,-15.441,-11.29775,-17.0085
1,1.75,409.362,3.239,420.37925,4.1565,1990.692,406.25,3.2995,420.02075,4.31175,1999.5295,410.913,3.324,422.74675,4.398,1989.779,412.473,3.461,423.5185,4.428,1989.9395,407.432,3.664,424.017,4.498,1971.79425,417.686,3.93,424.8865,4.80025,1987.47175,1.2,-1.077,0.141,415.79125,3.73075,0.2965,-0.419,0.11025,-4.09475,-3.959,0.167,-33.415,-8.687,0.349,0.98,0.77,0.52,0.53,0.3,-1.433,-1.598,-1.4,-1.29425,-1.148,-1.7005,-2.218,94.728,58.27,0.922,-0.8,-0.3,-0.03,-0.17,-0.01,0.6,-4.335,1.6,-0.3825,246.625,310.425,-82.74,288.9,311.9,0.09,-0.15,-0.22,-0.24,-0.36,-0.07,0.12,-0.11,-0.15,-0.3275,2.896,3.68875,5.68275,6.008,6.86625,3.14,4.227,5.9265,4.091,4.463,6.177,6.9895,5.61,2.5935,3.913,4.798,6.02,3.338,4.10175,5.8295,6.516,7.3105,7.667,-15.77675,-11.40725,-18.2715
1,2.25,411.71,3.322,420.288,4.193,1990.50875,407.3995,3.4185,417.463,4.33225,1986.3225,408.571,3.434,423.3235,4.2995,1985.4365,413.986,3.541,425.24425,4.248,1988.385,408.55825,3.6795,425.002,4.3955,1988.48,417.61925,3.93575,425.739,5.251,1979.1175,1.08925,-1.1505,0.12,416.274,3.62825,0.451,-0.27775,0.799,-3.7685,-3.19275,0.16,-37.268,-8.165,0.3625,0.92,0.71,0.4725,0.4975,0.29,-1.5205,-1.74875,-1.501,-1.4355,-1.165,-1.642,-2.321,94.72075,59.61,0.94525,-0.8975,-0.51,-0.1925,-0.2675,-0.1775,0.625,-4.3975,1.7,-0.4425,247.8,309.825,-82.0375,289.775,311.225,0.09,-0.15,-0.22,-0.24,-0.36,-0.07,0.12,-0.1125,-0.15,-0.325,2.8395,3.709,5.681,5.999,6.862,3.16225,4.19275,5.91075,3.985,4.4725,6.152,7.0045,5.7205,2.595,3.86975,4.75875,6.0085,3.32475,4.063,5.817,6.50625,7.30825,7.66875,-15.74,-11.557,-17.335
1,2.75,414.3725,3.38125,420.925,4.109,1995.051,406.558,3.495,419.781,4.1645,1998.662,415.228,3.401,424.77425,4.24675,1992.841,413.9855,3.56,424.8395,4.32425,1991.02,409.27,3.703,423.9555,4.4945,1969,417.57175,4.0315,427.4925,5.11525,1983.05125,1.095,-1.402,0.126,416.352,3.531,0.271,-0.5055,0.244,-5.8785,-2.5225,0.166,-31.9535,-8.366,0.362,0.91,0.69,0.5225,0.55,0.3025,-1.46625,-1.71925,-1.404,-1.434,-1.2415,-1.804,-2.41,94.7245,59.28,0.938,-1.085,-0.62,-0.1775,-0.42,0.0025,0.6,-4.2025,1.6,-0.4275,249.55,309.525,-78.0425,286.8,311.5,0.09,-0.15,-0.22,-0.24,-0.3575,-0.0775,0.12,-0.11,-0.15,-0.335,2.8205,3.703,5.68,5.973,6.86,3.1505,4.13725,5.8975,3.9465,4.5015,6.128,7.002,5.709,2.596,3.8565,4.719,5.9915,3.2665,4.04925,5.80375,6.504,7.30775,7.663,-15.942,-11.575,-17.9915
1,3.25,407.306,3.331,420.216,4.18,1989.6645,403.9865,3.4555,417.31,4.32,1987.46125,407.2335,3.44575,422.6985,4.2355,1985.3105,408.576,3.486,425.4665,4.27375,1990.6405,407.545,3.699,426.1355,4.288,1994.889,417.528,3.985,426.195,4.997,1983.08275,1.078,-1.587,0.1145,416.7365,3.539,0.447,-0.8575,0.459,-3.75875,-4.2065,0.1505,-39.136,-9.0985,0.3535,0.9025,0.7,0.51,0.51,0.29,-1.63925,-1.671,-1.59075,-1.4525,-1.28925,-1.855,-2.375,94.712,60.585,0.907,-1.23,-0.5875,-0.1675,-0.44,-0.0925,0.6,-4.22,1.5,-0.4625,244.75,309.05,-79.17,286.925,311,0.0975,-0.15,-0.22,-0.24,-0.36,-0.07,0.12,-0.11,-0.15,-0.3375,2.779,3.75525,5.688,5.956,6.8595,3.101,4.13475,5.88725,3.9115,4.445,6.0995,6.99925,5.69825,2.6055,3.811,4.68375,5.9735,3.319,4.02675,5.79225,6.48775,7.30725,7.668,-16.02625,-11.548,-18.676
1,3.75,410.05625,3.38375,420.018,4.0515,1992.35,403.485,3.47,418.981,4.1665,1993.845,408.5,3.46375,425.0255,4.3335,1995.083,407.287,3.5195,424.203,4.366,1986.562,407.725,3.782,424.57025,4.687,1975.057,418.375,4.019,425.7905,4.8975,1986.51725,1.1345,-1.15225,0.11275,416.6035,3.54775,0.4195,-0.305,0.66,-2.377,-3.93,0.13775,-32.268,-10.685,0.31675,0.93,0.7275,0.51,0.5175,0.3,-1.54925,-1.741,-1.531,-1.4495,-1.35975,-1.872,-2.499,94.6815,61.2875,0.8795,-1.3,-0.6275,-0.0825,-0.5075,-0.125,0.6,-4.35,1.5,-0.41,247.525,308.475,-77.46,286.8,310.6,0.09,-0.15,-0.22,-0.24,-0.35,-0.07,0.12,-0.11,-0.15,-0.3275,2.7495,3.76775,5.6675,5.954,6.859,3.03525,4.12625,5.88375,3.864,4.4005,6.095,6.9955,5.68675,2.615,3.78025,4.65575,5.96125,3.31225,3.994,5.78,6.4695,7.314,7.66725,-16.217,-11.75925,-18.8915
1,4.25,408.38575,3.33975,420.3525,4.07975,1990.865,403.69625,3.449,417.515,4.367,1985.979,408.8545,3.4295,422.114,4.5355,1988.2805,410.79,3.5325,424.6325,4.2675,1991.727,406.7535,3.5945,424.418,4.506,1991.75,418.104,3.906,425.96675,5.07025,1989.29225,1.091,-1.351,0.126,416.7015,3.638,0.24225,-0.494,0.075,-1.2655,-4.6655,0.139,-40.3855,-8.254,0.337,0.8725,0.68,0.4625,0.48,0.28,-1.604,-1.82125,-1.533,-1.53525,-1.363,-2.191,-2.705,94.67925,62.525,0.839,-1.305,-0.79,-0.21,-0.49,-0.13,0.5,-4.31,1.4,-0.345,246.175,308.5,-78.84,283.25,310.425,0.09,-0.15,-0.22,-0.24,-0.36,-0.07,0.12,-0.11,-0.15,-0.3375,2.7585,3.73625,5.6595,5.951,6.8585,3.008,4.10525,5.89075,3.82175,4.3595,6.08325,6.9915,5.6765,2.589,3.75425,4.62375,5.95425,3.2305,3.97525,5.752,6.453,7.3255,7.6665,-16.30225,-11.7095,-18.229
1,4.75,412.99,3.443,420.2965,4.00775,1991.571,405.05075,3.478,418.89075,4.1755,1996.0095,413.994,3.462,423.657,4.04675,1990.774,414.066,3.523,424.73375,4.209,1987.1035,406.711,3.817,423.1735,4.5305,1975.93,418.564,3.985,425.3855,4.926,1987.077,1.19975,-1.772,0.116,416.4095,3.6075,0.309,-0.998,-0.279,-2.33225,-4.777,0.141,-26.961,-8.33825,0.30725,0.94,0.71,0.51,0.52,0.29,-1.76275,-1.86075,-1.729,-1.595,-1.44775,-2.047,-2.775,94.713,63.825,0.788,-1.3625,-0.485,-0.09,-0.4875,-0.2775,0.6,-4.335,1.625,-0.48,246.5,307.775,-82.7,284.4,309.65,0.09,-0.1475,-0.22,-0.24,-0.36,-0.07,0.12,-0.11,-0.15,-0.345,2.735,3.519,5.6535,5.947,6.8575,2.999,4.104,5.89775,3.77525,4.32775,6.075,6.9875,5.66625,2.55225,3.7605,4.5915,5.94725,3.1975,3.9155,5.727,6.439,7.32475,7.665,-16.288,-11.8995,-18.406
