DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
1,0.25,0.99690875,18.223,-0.666,-24.213,0,9.63,12.07,50.46375,2.086535,0.070125,1.169206569,0.068375,-0.0911068,12.13625,411.843,0.071977175,0.38023525,0.0962951,102.12825,235.272121788772,222.138532763532,-5.37072048958554,-5.71044117647059,-1.22872188905547
1,0.75,1.011903,7.98175,-1.307,-18.607,0,10.4225,12.02,49.509,2.94879,0.073975,1.23124625175,0.04335,-0.0893831,11.759825,411.46675,0.07153175,0.3780055,0.102969975,102.1375,232.536631779258,223.535434472935,-5.84674753969169,-3.35426282051282,1.17872188905547
1,1.25,0.77672925,17.82975,-1.33,-22.338,0,10.195,11.955,51.141,1.9765275,0.08935,0.998866527,0.063425,-0.0782632,11.59365,413.099,0.07249805,0.36561625,0.065897475,102.13425,229.328258801141,223.583511396011,-5.3225681163943,-3.22214177978884,1.22559407796102
1,1.75,0.55921475,6.741,-0.3695,-22.2455,0,10.19,11.9025,49.516,1.9882625,0.07455,1.0332772095,0.07555,-0.083902325,11.46605,414.171,0.07059195,0.229245,0.0636199,102.1565,227.402473834443,221.996972934473,-5.9660522905968,-3.15365950226245,1.03806034482759
1,2.25,0.671664,10.10175,-0.109,-18.966,0,10.2225,11.8475,50.055,1.83447,0.079575,1.074011477,0.0577,-0.122737,11.9479,413.44125,0.069814375,0.2950485,0.071665875,102.11,227.237392959087,221.959935897435,-5.84212293457344,-3.33511689291101,1.30978260869565
1,2.75,0.94278825,3.467875,-0.5395,-17.8905,0,10.59,11.7925,48.761,2.81103,0.078075,1.13894149875,0.06265,-0.121764,11.42055,412.94225,0.0697286,0.3282375,0.085744425,102.095,227.987392959086,221.008903133904,-5.3192374061838,-2.62395550527904,1.28363380809596
1,3.25,0.78802575,-3.166,-0.3335,-17.8725,0,10.5275,11.8,47.017,2.87815,0.084175,1.15246640275,0.058775,-0.10042255,10.397825,412.9635,0.069520475,0.284982,0.089791925,102.0945,227.946955280685,220.88051994302,-5.55973497979517,-3.2624358974359,1.1744284107946
1,3.75,0.6555385,-13.54,-0.824,-21.061,0,10.49,11.74,48.774,4.00535,0.093375,1.290357007,0.0927,-0.08165275,10.402425,414.576,0.0656127,0.28729125,0.09752125,102.08475,228.594671741199,220.572471509972,-5.44400168976598,-3.16553733031675,0.936722263868066
1,4.25,0.739165,-1.169,-2.325,-25.093,0,10.305,11.6075,45.21375,3.48185,0.070875,1.1841379685,0.05775,-0.092928025,10.45685,416.292,0.06765225,0.302848,0.1064696,102.1195,229.140104662227,220.103454415954,-5.25927024609866,-3.24431749622926,1.18884014242879
1,4.75,0.688972,-4.60725,-0.591,-22.7125,0,10.4375,11.5025,46.325,3.07377,0.07775,1.0536526245,0.07565,-0.0801975,10.5643,417.57375,0.06472255,0.381547,0.097455625,102.08875,229.7635585157,219.667556980057,-5.28807170227102,-3.46966817496229,0.983239317841076
1,5.25,0.55456575,-8.0455,-0.614,-21.63825,0,9.8175,11.3625,47.00175,3.780875,0.0691,1.25348084325,0.0591,-0.06557455,10.4203925,417.1575,0.06784935,0.32807,0.133979,102.1075,230.925784966699,219.617343304843,-4.87911631288427,-3.40384992458522,0.861032608695652
1,5.75,0.754067,-11.48375,-0.2585,-24.4275,0,9.51,11.1425,49.049,3.557715,0.07685,1.24885299175,0.0801,-0.09280095,10.183475,418.93525,0.0676494,0.36773775,0.134226,102.148,234.524262607041,221.178062678063,-4.79993392726712,-3.3501338612368,1.0416426161919
