DOY2,HR2,CO2,CO2_SIGMA,FC,SC,CH4,FCH4,SCH4,H2O,H2O_SIGMA,G_1,G_2,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,390.3528,0.0100757953092048,-3.047356,-1.408238,1957.3165,-205.199975,-2376.34175,6.932442,1.85167249521242,-8.36216655,-22.945931,-56.532995,-4.212327,101.37608,64.5782255572993,10.2663,0.0462053324371173,10.09325,0,280.989576892153,373.043013649415,-5.02735,0.1674,-102.6006,8.439525,8.99775,9.917,10.11825,14.284,16.448,19.20375,-0.248875175,0.100499750388042,0.031356175,0.115507965518963,0.0255768614297084,0
1,0.75,391.6689,0.0113667236381296,-1.52712225,-1.3768334,1951.605,-26.61674,-14.70066875,8.255792,1.4373550244832,-9.04867885,-24.1998495,-45.4351975,-5.388933,101.36361,64.7810765071177,9.7998,0.0519981144068747,9.9995,0,278.291577211678,371.380677211677,-4.81565,0.14345,-103.292299999999,8.453,8.89475,9.63425,10.01325,14.22,16.314,19.249,-0.2558663,0.125959556857512,0.027796115,0.118027794392401,0.0216866203745629,0.03705
1,1.25,397.9086,0.00812471023936015,-2.8408755,-0.625275025,1953.757,-86.3844375,-336.046485,8.48767825,1.74549204319178,-9.80639365,-25.3849645,-42.38012,-2.862792,101.338075,65.1318376860908,9.33127500000002,0.0677803950733411,9.63225,0,276.112213511169,369.668713511169,-4.8674,0.2562,-103.58495,8.4655,8.787,9.4615,10.0645,14.0355,16.24675,19.22,-0.3047748,0.137421860982923,0.0217186175,0.0994954336098112,0.0280870052197291,0
1,1.75,389.1853,0.00955782291124923,-1.84955725,-2.09998475,1959.454,-5.4254795,-16.665,8.068074,1.48504320225407,-10.53951655,-26.4753385,-45.5491,-4.601855,101.325245,64.4681160121629,8.92605000000003,0.0591007136862176,9.25225,0,273.23689119774,367.967312722084,-4.92645,0.4041,-103.86245,8.131075,8.47425,9.1815,9.83225,13.87675,16.1795,19.17425,-0.2764603,0.105978325042702,0.02056607,0.102509011575633,0.0257128742470809,0
1,2.25,386.4053,0.0125108983517262,-3.802246,-0.687961525,1951.38575,-121.27198,-719.9387,7.97726375,1.05939119103641,-11.239728,-26.8938785,-46.198515,-3.565762,101.32554,65.9052532081277,8.609575,0.0790268002681164,8.8925,0,270.60985970551,366.369867424902,-5.0754,0.2749,-103.99075,7.9902,8.11425,8.82025,9.71275,13.68025,16.09575,19.13375,-0.35256075,0.134934208676373,0.0271084475,0.111816465214536,0.0183803685227777,0
1,2.75,383.0562,0.00765502032373126,-2.6987615,-0.95654855,1954.06,-115.149345,-493.9451505,8.7459245,1.51818957750668,-11.8906655,-27.274724,-46.64342,-7.564492,101.335135,67.6055272365116,8.25227500000002,0.0637654368115639,8.5225,0,268.954783233733,365.229829684698,-4.8533,0.2339,-104.2984,7.653025,7.810225,8.483,9.4955,13.5095,15.96825,19.08125,-0.364802675,0.114975433646258,0.0231417825,0.0883939103877531,0.0205373227934889,0.031825
1,3.25,381.6882,0.0116674626832862,-3.463166,-0.7023366,1949.9455,-94.8855875,-25.0376,6.97595125,1.1803353293885,-12.4960145,-27.5395215,-44.1372975,-0.51194055,101.331755,66.8028121072676,7.89540000000001,0.0795812192408543,8.23775,0,267.97541645135,363.771821075335,-4.8194,0.1608,-105.14905,7.6324,7.735075,8.456,9.3875,13.4165,15.84375,19.06,-0.298005525,0.119337390076034,0.0237977125,0.0848636496119003,0.022879366919549,0.0304
1,3.75,376.0581,0.0111384720264227,-2.5457395,-1.38861825,1951.8175,-138.0330625,-20.41265,6.706229,1.49000456527372,-13.0586295,-27.566885,-67.342155,-9.38443425,101.34381,66.3802310579387,7.77127500000004,0.062037158964429,8.042075,0,268.406602148739,362.792948021366,-4.6878,-0.0121,-103.76415,7.50895,7.570775,8.227,9.2655,13.333,15.6845,18.939,-0.3151905,0.122540162313537,0.0201201425,0.0972197686825152,0.0319646754160648,0.0831
1,4.25,389.388225,0.00789424930551701,-2.92789475,-0.48709965,1953.522,-131.8051,-11.9897,7.4432,1.72002034871684,-13.5689215,-27.324138,-43.824785,-14.7249435,101.33309,64.3473553608628,7.72062500000003,0.0453206471909094,7.887375,0,267.72656114085,361.452074385047,-4.7991,-0.04165,-102.515,7.2719,7.254375,8.0815,9.2395,13.2215,15.5055,18.8625,-0.2750804,0.147091433886089,0.0235788175,0.104409711880744,0.0317856964630852,0.019475
1,4.75,394.7244,0.00888648412821054,-2.594276,-1.514664,1955.39325,-20.3811375,-14.4912225,7.1766915,1.33904772056703,-14.0198355,-27.351526,-36.461995,-29.7661225,101.356405,60.1351920079601,7.62925000000004,0.0449096174740024,7.729625,0,266.708241759487,360.488241759487,-4.65125,-0.00499999999999998,-102.40345,7.11075,7.032175,8.2572,9.16275,13.0875,15.40025,18.818,-0.346597975,0.132337436698436,0.027956045,0.117921830758312,0.0266481497907344,0.05795
