DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_5_2,H2O_1_5_2,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,CO2_1_7_2,H2O_1_7_2,CO2_1_7_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_1_5_1,T_CANOPY_2_5_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_IN_1_7_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,2.00532812811698,44.4438721594758,0.867997392,11.997171965,10.9071667895607,1.9471639196,421.429442979898,7.22918232002572,420.56754676,6.91372245829138,421.38983447152,425.87592422,6.78352952321357,427.474060651501,430.350656225,6.79152707157077,432.285215609559,443.60093978,6.89022284922391,455.9516600125,7.28251595255,471.3769465,7.40171781944726,467.983533980789,449.645843273422,7.14158256479274,475.035354974553,6.38744195462796,9.7238168849,0.984308172699999,2.7455,1.85875,1.327,0.691500000000001,0.757500000000001,9.29598,9.3082,7.25944,4.83636,2.75192,1.309135,0.524199999999999,-0.42535,79.4749425,98.43,10.681365,2.91,2.368,1.826,2.19,1.842,2,2.26,-0.12825,3.08,2.49,317.68,336.3,323.4,323.48,0.22,0.19,0.298,0.4,0.582,0.23,1.459,0.15,0.07,0.26,1.9716,2.456175,3.3442,3.5628,3.545375,3.6382,3.844,4.0962,0.8198,0.9308,1.4728,1.9692,2.5218,2.9646,3.442,3.9518,1.1288,1.1354,2.4014,3.1274,3.9036,0.794,0.954775,1.909425,2.198625,2.5654,3.5194,4.001,4.79005,4.8748,1.0046,1.2998,2.1908,2.7295,-2.598,-3.869,-1.3244,1.96575
1,0.75,2.55943287721315,44.9864837992154,0.680324067436951,7.38390184599192,50.9468270653362,1.40224288899295,422.05306,7.84012620535,421.501547765,7.2135487968,421.796772413077,425.208409755378,6.86368475120281,425.900895015,430.36705232,6.93855069844134,429.94877466,443.89475777,7.08285098461528,455.9924411,7.39862079815,467.98405935,7.36164530852666,473.659893011111,432.542980733291,7.08075839836179,475.711795752767,5.21392222880353,10.0445208567,1.00300947703744,2.66875,1.7275,1.16375,0.819999999999999,0.62825,9.65605,9.6204,6.4478,4.42118,2.45042,1.665355,0.2632,-0.253,79.470178,98.006,10.59621,3.09,2.61,2.0465,2.168,1.869,2,2.2,-0.154,2.98,2.54,319.84,335.08,323.4,323.66,0.218,0.19,0.31,0.408,0.5725,0.23,1.437,0.15,0.07,0.26,1.8906,2.396,3.311,3.5524,3.5423,3.6424,3.8422,4.0982,0.82,0.9308,1.472,1.9682,2.5216,2.9652,3.441,3.9508,1.1288,1.1354,2.4006,3.1266,3.9028,0.794,0.9556,1.909425,2.19735,2.5652,3.5194,4.0008,4.789225,4.874,1.004,1.2986,2.1908,2.72865,-2.6248,-3.901,-1.3457,1.464
1,1.25,2.56890352493149,59.256114636594,0.574109942707372,7.93679775544381,25.4536799931421,1.3927974058,421.7762141575,7.91423947125,421.746934845,7.06312289941586,421.827958002155,427.196315352137,6.8883451862,424.849338433257,432.603141415,6.97761276739825,429.22938714,441.600806185,7.02711684375,456.891763825,7.596868472125,476.313121645,7.44758350340198,469.105950339279,427.928661085668,7.12830553832385,488.045784656612,3.80664142019982,10.376036764925,0.823571195320453,2.02375,1.775,1.1645,0.674999999999998,0.59125,9.9832,9.8112,6.31834,4.36264,2.39718,1.5644725,0.39668,-0.2631625,79.4666135,96.9285,10.5629325,3.016,2.518,1.999,2.2,1.848,2,2.28,-0.194,3,2.38,320.32,335.72,323.4,323.74,0.22,0.198,0.298,0.4,0.573,0.23,1.407,0.15,0.07,0.26,1.795,2.3872,3.2834,3.5404,3.538225,3.647,3.8412,4.1004,0.82,0.9316,1.472,1.9682,2.5208,2.964975,3.4408,3.9506,1.1288,1.1362,2.4012,3.1266,3.9028,0.7948,0.954775,1.9086,2.19735,2.5652,3.5184,4,4.78905,4.873,1.0034,1.2982,2.1916,2.728425,-2.64125,-3.95145,-1.35025,0.987999999999996
1,1.75,2.0406071956077,18.0513889365289,0.4229681394,16.86155046775,18.9951526282144,1.18029163894758,421.526022118068,7.8196093495,420.0060102625,7.0076602766,421.037747978181,425.42139792,7.1086788298,424.500826713876,429.4318717,7.1619438386,428.930982159596,441.2390143,7.2368897102,450.64460062,7.7082873727,471.67764978,7.42381389189922,478.30259425,431.456218018095,7.06290394024238,474.489674053592,3.58332332628459,10.3319988981,0.935361102599999,2.14875,1.75875,0.878500000000001,0.588750000000001,0.52125,9.94925,9.646,5.3459,3.92466,2.44576,1.326335,0.316059999999999,-0.60495,79.46867475,96.8525,9.393955,2.938,2.27,1.836,2.262,1.848,2,2.3,-0.15375,3.08,2.334,319.96,332.82,323.46,323.82,0.218,0.19,0.29,0.4,0.534,0.23,1.385,0.15,0.078,0.26,1.706,2.359,3.253,3.5282,3.5314,3.6514,3.8394,4.1018,0.8208,0.9314,1.4718,1.968,2.52115,2.9648,3.44,3.9498,1.128,1.1362,2.4006,3.1264,3.9018,0.7956,0.954775,1.908425,2.197075,2.565375,3.5184,4,4.7872,4.8728,1.0018,1.297,2.1916,2.72865,-2.621875,-4.0506,-1.3682,4.30375
1,2.25,1.72931623742549,57.1594079102619,0.421894343787722,6.46684497414246,13.681592956231,1.429475300625,421.6385125,7.515429659,420.07939354,6.649092228,421.084911522587,425.1514708875,6.93161280925,426.612635741936,430.944044975519,7.07090283812757,429.980865719424,442.09532826,7.25493447261982,459.72412447,7.7701434084,471.1404849,7.41730111239746,468.6470342,428.830358433228,7.06485112882001,484.197802610558,2.9447806168,9.89051909193343,0.860677455125,2.28625,1.86375,1.11425,0.833,0.62425,10.0268375,9.5682,5.49026,3.78478,2.33788,1.46598,0.20618,-0.54557,79.4559815,96.69025,9.53916,2.994,2.366,1.9955,2.328,1.855,2,2.7,-0.212,3.4,2.358,321.58,332.3,323.38,323.68,0.21,0.19,0.298,0.41,0.5245,0.23,1.364,0.15,0.07,0.26,1.6174,2.2786,3.2184,3.52235,3.529725,3.6558,3.8406,4.1038,0.8208,0.9314,1.4718,1.9672,2.52115,2.9644,3.4398,3.9496,1.128,1.1362,2.4004,3.1256,3.9018,0.796475,0.9548,1.9082,2.1969,2.56455,3.5184,3.9998,4.7864,4.872,1.0002,1.2958,2.1914,2.728425,-2.729,-3.9974,-1.349,3.41275
1,2.75,2.310980304075,19.4621155068283,0.563259630674999,11.94600681185,9.9207453862782,1.82482951146182,421.738294174027,7.44676726185879,420.19541505,6.73776168284383,421.566321883864,425.76106494,6.96868472322783,426.11690323186,428.764982185396,7.08304898649479,428.744082875,439.5020787375,7.16727659265,453.7753274,7.8481694085,469.44217955,7.3816309164358,469.598889965778,430.211010751112,7.08240851722884,474.430414519562,3.5807041609,10.1938173459756,1.05399944188736,2.5325,1.32,1.03425,0.73375,0.62,10.0789,9.7508,5.56954,3.58544,2.2563,1.394235,0.365,-0.676330000000001,79.455186,98.33,9.4589875,2.91,2.244,2.1005,2.374,1.852,2,2.2,0.00724999999999952,3,2.52,321.1,332.24,323.28,323.6,0.218,0.19,0.3,0.41,0.524,0.23,1.382,0.15,0.068,0.26,1.5326,2.2018,3.1808,3.5093,3.5253,3.66135,3.839425,4.106,0.8208,0.9312,1.4708,1.9672,2.52015,2.9638,3.439,3.9488,1.128,1.1362,2.4004,3.12585,3.9008,0.796475,0.9546,1.9082,2.1972,2.56455,3.5176,3.999,4.7862,4.871,0.9978,1.2946,2.191475,2.72825,-2.7013,-3.96335,-1.3382,0.677249999999997
1,3.25,1.8253295342,42.6721479632455,0.668484895175,7.31767598007987,14.1198672604115,1.603526210625,421.86312264028,7.48366660471773,420.596767015,6.74954305174787,420.808424135773,427.001582038602,6.91396197037092,427.734606938478,430.4425421225,6.9982033424724,429.239161559686,441.606082865,7.17270685335195,451.38255074,7.84784988215,467.59124294,7.44295015368288,471.74907707,427.179244809187,7.10116576750541,491.612413228968,3.29785034526193,9.9596829525,0.929427370701331,2.62625,1.51625,1.1105,0.565000000000001,0.5655,9.6410625,9.8298,5.451,3.59456,2.23558,1.223825,0.32968,-0.697947500000001,79.450014,96.83925,9.17106,2.858,2.294,2.036,2.4,1.855,2,2.38,-0.308,3.1,2.612,323.42,332.86,323.28,323.8,0.218,0.19,0.3,0.41,0.5245,0.23,1.372,0.158,0.07,0.26,1.45,2.1266,3.1422,3.49395,3.5197,3.66595,3.8376,4.1082,0.8206,0.932,1.4708,1.967,2.52015,2.96425,3.439,3.9486,1.1278,1.1362,2.4002,3.125025,3.9008,0.7973,0.9546,1.908425,2.1972,2.5642,3.5174,3.97885,4.7854,4.871,0.9946,1.2932,2.191475,2.728,-2.562375,-4.05115,-1.335,-1.5805
1,3.75,2.15090653246958,44.0859281228815,0.890842441373482,8.26242193747376,20.830499715651,1.50685020002512,421.497583834528,7.4484917535,422.504473835,6.73066019895,421.921937750703,426.9501576675,6.94478944865,428.264227268478,429.910457824267,7.04799437125,435.44335912,442.96191338,7.1935675878,456.350233825,7.8629437515,475.118783265,7.43647760203114,469.439909274286,430.692500964063,7.06282257911728,475.871565852885,4.48648494465501,9.818462272,1.0223824528,2.7925,1.79625,0.992,0.666,0.55825,9.5233875,9.3448,5.34794,4.37642,2.55008,1.2724375,0.26334,-0.65202,79.434709,95.9645,8.8250975,2.884,2.394,1.92575,2.384,1.855,2,2.08,-0.250250000000001,3,2.652,320.42,331.9,323.3,323.88,0.21,0.19,0.288,0.4,0.536,0.23,1.325,0.148,0.07,0.26,1.3758,2.057,3.102,3.480075,3.512,3.668725,3.8354,4.1104,0.8198,0.932,1.4706,1.9662,2.51915,2.9634,3.438,3.9478,1.1278,1.1308,2.393,3.12485,3.8998,0.7972,0.9544,1.908425,2.1969,2.5632,3.51785,3.97885,4.7844,4.87,0.9922,1.2912,2.1913,2.728,-2.5938,-4.0487,-1.2994,4.27799999999998
1,4.25,1.6365917991634,26.1188196489935,0.760539708210207,4.18428445737562,15.5020239815794,1.54716567945318,421.358486358748,7.3215587260323,420.7480280275,6.66473385735248,420.773099155385,423.6748267375,6.73477364692955,427.17704878,431.3604515,7.1298468164,430.867870943199,438.80045078,7.2177149836,452.69171273,7.85967794235,475.01070005,7.43287117784633,469.626369258919,433.343902331893,7.06059114551962,486.267842504808,4.39286951754187,9.34642642052231,1.0281134617,2.82,1.84125,1.089,0.786,0.60125,9.3567125,9.1096,5.7728,4.19816,2.473,1.29696,0.396119999999999,-0.66814,79.4344015,96.038,8.40759,2.946,2.34,1.8215,2.374,1.855,2,2.28,-0.316000000000001,3.1,2.636,320.08,333.64,323.3,323.9,0.21,0.19,0.298,0.408,0.5445,0.23,1.315,0.158,0.07,0.26,1.319,1.9954,3.0644,3.4574,3.5064,3.67,3.8348,4.113475,0.8198,0.932,1.4706,1.966,2.51915,2.96325,3.4378,3.9476,1.1278,1.1308,2.3904,3.1236,3.8998,0.7978,0.9536,1.90825,2.1962,2.5632,3.51685,3.978,4.7842,4.869,0.9888,1.289,2.19055,2.7272,-2.6135,-4.0165,-1.34075,0.366999999999995
1,4.75,1.28926055268284,8.15171117510552,0.56912648035,11.605206519,12.6121934095693,1.61071196103435,420.410852411726,7.458882073,420.345151705,6.85683236066236,424.220695749709,425.7654648325,6.9659145902,425.543171760646,431.324001625,7.0655869269,430.56661350967,440.89516158,7.1854080202,455.3346567575,7.899045100775,473.68553484,7.43558794326706,470.037139050325,430.058904262199,7.08040790254462,473.830269316352,4.1911416258705,9.21016572197339,0.827943831661128,2.90625,1.9675,1.033,0.746,0.6195,9.0644625,8.8464,5.6565,3.78778,2.46986,1.21535,0.425259999999999,-0.65837,79.4312015,96.10125,8.296295,2.934,2.35,1.803,2.406,1.852,2,2.3,-0.376,3.1,2.718,320.6,334.26,323.38,323.78,0.218,0.19,0.28,0.41,0.55375,0.23,1.309,0.15,0.07,0.26,1.310125,1.935225,3.031325,3.4492,3.50125,3.675275,3.83675,4.11695,0.819825,0.9318,1.4702,1.9665,2.518975,2.9624,3.437,3.9466,1.12795,1.13095,2.390725,3.12385,3.8998,0.79795,0.9536,1.907425,2.1965,2.5639,3.51775,3.997,4.7832,4.868,0.9856,1.28745,2.190475,2.727425,-2.6224,-3.9986,-1.3422,-0.839000000000002
