DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,-65.65654,-50.70727,-5.0944045,-78.602235,-1.160800375,0.024141415,376.24935,3.65804,-8.829493,87.293985,-8.76009275,33.1546375,0.08156448,0,-0.1839233,-2.704075,0.3921625,2.6754875,3.570075,6.03645,8.33
1,0.75,-65.4469,-51.35513,-12.96187625,-76.1398,-0.97223835,0.01549459,376.101425,3.609654,-9.6993205,87.2660125,-9.51527075,26.102525,0.08116678,0,-0.17995935,-2.9422,0.2335125,2.6357125,3.5552,6.087025,8.33
1,1.25,-65.792435,-51.2661375,-14.48872,-69.93988,-1.18695,0.0163739,366.6824,3.732018,-9.48744925,87.27776,-9.330488,28.849195,0.0779980925,0,-0.189840525,-3.13805,0.1223375,2.5932125,3.50675,6.087025,8.33
1,1.75,-64.0136925,-50.1003875,-12.701125,-70.65153,-0.9021743,0.0147557575,374.651,3.879488,-9.8136265,87.26837,-9.63271625,28.038775,0.0480287175,0,-0.196460775,-2.9296625,-0.012925,2.57385,3.505925,6.120175,8.33
1,2.25,-50.27394,-49.171925,-17.658,-65.1784225,-1.44987825,0.0206794,360.4068,3.73773,-10.0799925,87.2524075,-9.92804025,34.0308275,0.0747144975,0,-0.182464125,-3.2006625,-0.148625,2.5483625,3.5587,6.1192,8.33
1,2.75,-63.3107075,-51.26443,-10.1958515,-58.432275,-0.892857775,0.01776,360.16255,3.6215345,-10.64663,87.248275,-10.41234,35.3019625,0.04669716,0,-0.179568225,-3.4293875,-0.2767625,2.505375,3.5934,6.152775,8.33
1,3.25,-65.7954475,-51.1783425,-8.6323625,-71.351615,-1.219638,0.02809138,352.452725,3.64999,-11.0618025,87.20868,-10.957145,35.537185,0.05408878,0,-0.17490705,-3.6645,-0.396375,2.4834375,3.559475,6.169775,8.33
1,3.75,-66.3640175,-50.50258,-12.074548,-75.16644,-1.35000625,0.0232959975,334.76565,3.5950025,-11.1096325,87.187645,-11.1352575,40.503375,0.08447322,0,-0.179854825,-3.8852875,-0.4991625,2.457575,3.528875,6.186775,8.33
1,4.25,-60.1919025,-49.97179,-28.1957275,-60.5001,-1.34482,0.02038222,357.491425,3.06167175,-11.48739,87.165275,-11.4624875,37.29482,0.06815081,0,-0.1918065,-4.1033,-0.5683625,2.4067875,3.3964,6.07895,8.33
1,4.75,-62.8228225,-50.266935,-8.966617,-65.1077975,-1.28280625,0.0235576,375.320775,3.6081335,-12.0206025,87.15668,-11.8710775,41.01725,0.0488935075,0,-0.1894388,-4.3117,-0.6056625,2.4068125,3.478425,6.138025,8.33975
1,5.25,-57.4711825,-49.70798,-24.44191,-56.797255,-1.047226,0.025188495,362.454,3.40608,-12.0661425,87.16394,-11.94346,39.9137725,0.0656078425,0,-0.1758789,-4.5250125,-0.692975,2.3810875,3.34775,6.097475,8.33975
1,5.75,-57.616345,-49.9346875,-8.78915125,-44.472185,-1.6452455,0.0187414125,358.504,3.389635,-12.37682,87.1908375,-12.47642,40.1564425,0.0593405475,0,-0.178990825,-4.7293125,-0.8542875,2.346625,3.392775,6.178825,8.33975
