DOY2,HR2,CO2,H2O,T_SONIC,TA,PA,RH,VPD,WS,USTAR,TAU,H,LE,FC,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,SW_IN
1,0.25,408.283078,4.184513,-4.7651,-5.980944,97.8292395,100,0,2.604717,0.149793,-0.0275345,-4.0965195,2.517422,0.3098795,0.517875,0.41379,0.173544,0.139402,0.024831,0.305164,0
1,0.75,407.5624415,4.276514,-4.654954,-5.9034495,97.78123,100,0,2.695139,0.146555,-0.026055,-4.725028,2.117018,0.25366,0.521001,0.400475,0.180337,0.147401,0.0232085,0.353473,0
1,1.25,407.652154,4.230863,-4.921703,-6.209905,97.7541645,100,0,2.324072,0.140561,-0.024955,-3.686072,1.652936,0.2370355,0.466535,0.380928,0.172708,0.146475,0.0251185,0.349909,0
1,1.75,407.792065,4.202561,-4.6227395,-5.993728,97.687362,100,0,2.628596,0.144057,-0.026261,-5.253001,2.084674,0.258847,0.4736005,0.410911,0.1779635,0.142594,0.021401,0.3257055,0
1,2.25,408.051285,4.150582,-4.835003,-6.039816,97.7110715,100,0,2.360337,0.131125,-0.0212555,-4.511227,1.2854,0.2982015,0.479462,0.3880505,0.1699225,0.140253,0.024018,0.30843,0
1,2.75,408.083304,4.1070545,-5.140062,-5.993839,97.706015,100,0,2.393013,0.134217,-0.022328,-4.9843035,2.184766,0.220773,0.456663,0.39601,0.162733,0.152614,0.025436,0.290018,0
1,3.25,407.4782275,4.149618,-4.590787,-6.0409505,97.69491,100,0,2.7298565,0.144955,-0.02706,-4.5707835,2.063084,0.227626,0.527471,0.3793865,0.174513,0.1482755,0.0220795,0.264972,0
1,3.75,407.912186,4.248729,-5.20125,-5.799719,97.672726,100,0,2.843253,0.159096,-0.031701,-4.214512,1.526417,0.286629,0.571482,0.451904,0.203953,0.138571,0.021213,0.3364915,0
1,4.25,407.509592,4.237771,-5.3931595,-5.821419,97.706784,100,0,2.9143585,0.1650795,-0.03474,-4.770533,1.966986,0.269854,0.5784245,0.463209,0.2082605,0.1427805,0.022739,0.337033,0
1,4.75,407.704141,4.186551,-5.499645,-5.885957,97.763223,100,0,2.71508,0.152715,-0.03001,-5.967849,1.986068,0.318223,0.559031,0.416924,0.189063,0.13145,0.02184,0.309147,0
