DOY2,HR2,CO2,H2O,FC,LE,H,USTAR,WS,U_SIGMA,V_SIGMA,W_SIGMA,PA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,G_3_1_1
1,12.75,339.283812015,1.90513527825,-1.357955913975,0.124058385,-28.607827774,0.0659373769,0.71115328825,0.410215836,0.412720850125,0.148227389375,96.389725,-14.70775516125,-0.12632944,-0.1226,-1.0241894975,-10.197025,-11.00548,-16.03278
1,13.25,339.6115283525,2.08342629135,-1.28740667495,-0.00986793809999995,-29.34709082,0.084876967,0.798072411225,0.446095159125,0.415148637175,0.15236275,96.3834125,-14.5164310865,-0.11828884,-0.12066,-1.0305332675,-10.5582955,-10.711428,-15.557564
1,13.75,339.66887155,2.05416734025,-1.2563878276,-0.160977334375,-34.1093470475,0.0699213248,0.8146852701,0.4265443169,0.4145166219,0.1423797733,96.3107757555,-14.229045216,-0.106044626,-0.1081136,-1.0125350225,-10.3001905,-10.446626,-14.398686
1,14.25,340.28352608,2.0051107411,-1.33623959875,-1.85701048885,-38.564994855,0.0833932725,0.6804291994,0.4816755583,0.426191281225,0.159255336825,96.2427276665,-13.98841733725,-0.093301716,-0.1050530225,-0.9941199825,-10.28040625,-9.90297555,-15.47175825
1,14.75,339.69523703,2.1574669251,-1.2702442003,-0.617057031875,-39.310009458,0.0829026744,0.808657356475,0.40225007295,0.3943287027,0.141752426675,96.22079636325,-14.0133729025,-0.073272584,-0.10352,-0.983326065,-9.7165765,-9.7856516,-15.16972
1,15.25,338.935473375,2.0111546495,-1.222163349375,-1.816407516,-39.5620532415,0.077086239,0.595359189,0.4001347321,0.355004137,0.127184,96.250455062,-14.0186163615,-0.077408876,-0.10256,-0.97154227,-11.013307,-9.8579042,-14.271836
1,15.75,339.0180532475,2.10474635055,-0.9444252808,-5.09094,-44.415241324,0.0641952303,0.66027375,0.338802684375,0.322878878125,0.11268184625,96.36979573725,-14.1185078,-0.081220354,-0.10116,-0.9694323325,-11.487345,-9.6569498,-15.613798
1,16.25,339.00460312,1.9468875226,-1.257664340725,-4.35435433525,-45.484662286,0.056700141725,0.65049259525,0.285893258125,0.3048029035,0.10112375,96.318483206,-14.34206775625,-0.07943994,-0.09906204,-1.017141865,-13.145413,-10.099468,-16.355896
1,16.75,338.550217915,1.986130138375,-1.57044135755,-3.452200932,-44.444349663,0.0558267988,0.5966657902,0.263135142,0.26636,0.09404479,96.357509334,-14.694269818,-0.093701575,-0.100552425,-1.02829966,-13.12295,-10.543375,-16.25401875
1,17.25,338.1623532,1.985420838,-0.631268268,-5.5384732934,-45.8218894595,0.042822669975,0.5528388205,0.219393638625,0.2259080065,0.064023579875,96.39265324375,-15.06269732625,-0.09323198,-0.0979,-1.04033865,-14.6409485,-13.10454,-16.4737
1,17.75,338.1617401775,2.072372224475,-0.6299429307,-6.724161167,-52.36336134,0.0329117884,0.4925537062,0.203364297,0.193190355,0.0406647726,96.4443294725,-15.295473438,-0.07718202,-0.09696,-1.1903047,-15.3122,-15.62084,-17.6523
1,18.25,338.0719024825,2.05282156865,-0.63463957225,-6.09212030125,-53.28047532075,0.0351658414,0.5576349408,0.1734832042,0.1458804808,0.045909387,96.4912100235,-15.489090452,-0.07943229,-0.098328066,-1.253743025,-16.15325,-22.25971,-17.889452
1,18.75,337.3332171825,1.919140141275,-1.06966436465,-5.8167308004,-55.44089624375,0.0334196386,0.43052613555,0.1773507814,0.1680967652,0.0488717016,96.5212258345,-15.7346900565,-0.087213004,-0.10288,-1.244249125,-18.0115915,-22.803718,-21.319576
1,19.25,336.83377257,1.9651200081,-1.14530392665,-6.2878344798,-55.456576688,0.0315462265,0.39103479995,0.158797110175,0.171288151425,0.043106770975,96.5255738055,-16.22667398175,-0.100039794,-0.1031,-1.2270743,-19.7064495,-22.951968,-22.92648
1,19.75,337.6588494925,1.9544131714,-0.6263751895,-7.8261996805,-49.986476575,0.0289718496,0.36442271515,0.156634851375,0.150889499925,0.0359495,96.545259292,-16.68214996,-0.1231816,-0.1085491,-1.204739625,-20.3600985,-22.873802,-22.44158
1,20.25,336.99070052,1.8696092237,-0.672109376075,-11.141299568,-55.76747802,0.030798666625,0.3689008472,0.15999193165,0.14833096635,0.04362314385,96.52517,-17.184456309,-0.122732,-0.122752,-1.2939625,-21.0051715,-24.983798,-22.036112
