DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,G,RH,PA,NETRAD,PPFD_IN,SW_IN,CO2,VPD,TS_1_1_1,TS_1_2_1,NEE
1,0.25,0.0775,-3.55,0.2995,0.154,-0.008,-31.98,-0.96,-3.03075,78.725,87.7505,-29.745,0,0,361.8325,0.1925,-0.00775,0.9485,0.307
1,0.75,0.063,-3.63925,0.31575,0.145,-0.0065,-31.905,-0.85,-3.07925,80.875,87.7,-31.165,0,0,361.345,0.1575,0.00725,0.97125,0.304
1,1.25,0.06675,-4.0585,0.3885,0.2035,-0.0175,-37.335,-0.425,-3.1285,81.3,87.7,-26.955,0,0,360.9375,0.155,-0.014,0.98275,0.266
1,1.75,0.07,-3.7825,0.311,0.157,-0.142,-38.6325,-0.51,-3.13075,81.325,87.7,-25.035,0,0,362.045,0.15,0.018,1.00325,0.252
1,2.25,0.095,-4.20775,0.32425,0.146,-0.034,-36.44,-0.38,-3.13,82.025,87.7,-26.6725,0,0,362.81,0.1575,0.01125,0.99725,0.277
1,2.75,0.06,-4.28625,0.363,0.125,-0.01125,-30.69,-0.345,-3.148,81.75,87.6505,-26.0575,0,0,362.91,0.1575,0.01175,0.999,0.29825
1,3.25,0.048,-4.43475,0.33275,0.14825,-0.1225,-35.1825,-0.11,-3.128,81.55,87.6505,-26.5025,0,0,363.11,0.165,0.0015,1,0.2785
1,3.75,0.05975,-4.36675,0.33075,0.18,-0.0365,-35.98,-0.7425,-3.15725,82.025,87.6505,-26.4025,0,0,363.375,0.1525,0.00525,1.00675,0.2815
1,4.25,0.062,-4.4415,0.25975,0.067,-0.0955,-25.0225,0.105,-3.15375,82.775,87.62575,-22.265,0,0,362.42,0.1725,0.013,0.9935,0.2815
1,4.75,0.0635,-4.26775,0.29825,-0.03,0.001,-27.195,-0.75,-3.12875,83.325,87.62575,-22.85,0,0,362.7775,0.1725,0.019,1,0.246
1,5.25,0.069,-4.43125,0.31,0.2245,-0.046,-31.655,-1.125,-3.12075,83.025,87.62575,-22.1525,0,0,363.3525,0.155,0.011,0.98875,0.2825
1,5.75,0.05075,-4.41225,0.30875,0.1415,-0.04625,-25.9575,-0.145,-3.1245,82.275,87.62575,-20.14,0,0,363.765,0.16,-0.0055,0.97375,0.31225
1,6.25,0.074,-4.55175,0.30075,0.129,-0.193,-26.91,-1.445,-3.1435,82.675,87.7,-18.79,0,0,363.61,0.1725,-0.01525,0.94575,0.314
1,6.75,0.063,-4.6555,0.3365,-0.058,-0.10725,-29.88,-0.8425,-3.14075,82.75,87.7,-19.81,0,0,363.28,0.1525,-0.02275,0.91525,0.3165
1,7.25,0.06625,-4.5185,0.277,0.0705,-0.0025,-22.3075,-0.475,-3.165,82.425,87.7,-20.11,0,0,364.14,0.155,-0.01725,0.92675,0.315
1,7.75,0.08075,-4.66225,0.2405,-0.10925,-0.064,-30.95,-1.0525,-3.14725,82,87.7,-19.2725,6.13075,1.9535,364.61,0.1525,-0.0105,0.93725,-0.12175
1,8.25,0.067,-4.349,0.27075,-0.166,-0.285,-21.2675,-0.67,-3.14525,80.475,87.7,-5.52525,27.57,10.2825,363.6775,0.1725,-0.1945,0.70675,-0.47875
1,8.75,0.093,-3.8535,0.25225,-0.407,-0.495,-16.615,0.7275,-3.16875,77.85,87.7,5.283,50.43,17.95,363.585,0.2,-0.5635,0.4,-0.587
1,9.25,0.102,-3.246,0.226,-0.756,-0.673,-5.485,4.6525,-3.142,72.05,87.7,17.2525,81.45,36.6975,363.12,0.19,-0.75525,0.2045,-1.131
1,9.75,0.1275,-2.8845,0.22125,-1.149,-0.558,1.25,8.9125,-2.985,69.8225,87.72525,29.8575,118.475,42.6775,362.675,0.2,-0.57775,0.41825,-1.495
1,10.25,0.17575,-2.35075,0.303,-1.33275,-0.4315,12.6325,11.3525,-2.97725,65.98,87.801,33.03,151.15,60.8075,362.285,0.295,-0.45775,0.55275,-1.79075
1,10.75,0.223,-2.1,0.3375,-1.5315,-0.2705,18.67,10.8375,-2.87275,62.98,87.801,40.0475,196.425,70.195,362.04,0.385,-0.4065,0.5555,-2.10475
1,11.25,0.233,-2.06675,0.336,-1.56225,-0.25,22.7,11.5125,-2.76775,62.57,87.801,48.7,233.625,80.85,361.78,0.4225,-0.2845,0.647,-1.7095
1,11.75,0.253,-1.58275,0.48125,-1.892,-0.23,23.2125,10.69,-2.703,60.0675,87.801,46.325,242.175,91.95,361.39,0.36,-0.27475,0.65,-2.059
1,12.25,0.273,-1.3495,0.398,-1.5815,-0.2715,24.075,12.045,-2.6565,57.89,87.7505,51.0925,270.85,107.5,361.375,0.44,-0.21975,0.7205,-1.7805
1,12.75,0.2355,-1.27725,0.40475,-1.658,-0.2095,24.295,12.1025,-2.5955,58.5875,87.7,52.525,228.925,105.35,361.22,0.5325,-0.26375,0.7,-1.84925
1,13.25,0.20975,-1.33775,0.404,-1.476,-0.1205,21.49,13.7875,-2.55875,58.8925,87.7,51.035,231.825,113.675,361.475,0.58,-0.076,0.84575,-1.672
1,13.75,0.23175,-0.88125,0.40325,-1.52325,-0.1295,15.38,11.5225,-2.55925,58.4175,87.7,40.7775,195.425,87.775,360.93,0.515,0.01675,0.94575,-1.52075
1,14.25,0.2445,-0.735,0.42475,-1.3155,-0.11175,8.51,9.75,-2.56025,60.225,87.7,34.6175,182.85,71.85,360.885,0.3925,0.1865,1.1425,-1.37275
1,14.75,0.234,-1.20575,0.3495,-1.2325,-0.0105,4.5175,6.785,-2.4715,61.7,87.7,23.8825,128.775,44.8125,360.9,0.525,0.13075,1.11025,-1.182
1,15.25,0.18275,-1.33075,0.30025,-1.1215,-0.003,-3.8125,5.365,-2.546,63.7525,87.7,12.7775,95.35,34.7825,361.1025,0.4625,0.3265,1.255,-1.123
1,15.75,0.12775,-1.52475,0.23175,-0.7725,-0.001,-5.44,3.145,-2.566,65.875,87.7,-1.66375,57.495,21.95,361.11,0.42,0.21275,1.1905,-0.682
1,16.25,0.123,-1.85125,0.1395,-0.4985,-0.008,-23.375,1.175,-2.57575,69.095,87.7,-19.23,22.3325,9.4075,361.11,0.3775,0.247,1.23175,-0.308
1,16.75,0.14425,-2.1375,0.23975,-0.354,-0.005,-33.9,0.585,-2.59625,69.645,87.801,-31.915,4.55775,1.65825,361.93,0.3975,0.294,1.245,-0.244
1,17.25,0.12075,-2.528,0.3845,0.056,0.06125,-33.685,0.105,-2.65025,72.75,87.801,-37.825,0,0,361.34,0.4625,0.2425,1.20225,0.247
1,17.75,0.12075,-2.79975,0.3695,0.08,-0.0015,-33.51,-0.1625,-2.68225,74.35,87.801,-32.165,0,0,361.6,0.3475,0.18725,1.14275,0.239
1,18.25,0.1135,-2.91525,0.2185,0.08,-0.0015,-31.28,0.0075,-2.72425,75.225,87.801,-32.7025,0,0,361.985,0.255,0.15625,1.10925,0.32075
1,18.75,0.12175,-2.8795,0.29825,0.10125,-0.0025,-31.5,0.1125,-2.68425,75.65,87.77575,-30.7525,0,0,362.18,0.2225,0.12125,1.06825,0.26475
1,19.25,0.08625,-3.07125,0.3015,0.14,0,-29.7425,-0.2575,-2.65875,78.175,87.77575,-33.1225,0,0,362.03,0.2375,0.0865,1.045,0.3415
