DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_4_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.591836521536295,-1.98912501468452,0.0894665897397898,-30.0699415566882,-4.37976337196821,0.319399194076049,419.166331583858,3.79292235335098,424.260426513752,4.53563608740256,423.297776337662,5.14367008682663,422.478684701538,2.8286513742828,423.234803326055,4.68871693047778,425.444567761291,5.79332676847905,423.448987048701,4.68040436306962,426.069695935566,4.10571720512462,425.2532979309,4.7117286338834,426.215819993349,4.25582873522798,424.949566194994,4.85952591859682,1.71088213641963,1.61989664056404,0.103320423389449,1.27,0.72,0.27,0.13,1.3843,1.143,2.4351,1.48065,0.43465,-2.305125,98.378535,51.3275,1.4468,-0.01,0.125,0.79,0.7275,0.2,-3.56,1.1,-1.56,0.11,247.4,316.825,290.1,314.65,-0.355,-0.13,-0.2675,-0.21,-0.765,-0.325,0.105,-0.305,-0.13,5.80575,6.181,8.372,10.438,11.344,11.85575,13.6435,2.34625,5.1685,6.44675,7.423,8.617,9.52725,10.5775,5.26775,6.8285,7.92825,8.65025,9.445,10.23825,11.302,12.10225,13.17,4.29825,6.82125,7.56325,8.86325,9.34075,10.99,11.96025,13.0775,5.08125,5.94625,7.219,7.7975,8.78625,10.4415,11.98575,13.08475,-24.301,-12.347,-14.978,-72.7125
1,0.75,0.908483088442784,-2.12786824244266,0.0898023416438137,-21.1177762670079,-5.90985135981034,0.338283366296593,421.260448318078,3.5567624158345,423.440134645178,4.06216881839477,423.304233896357,5.33690636616734,424.047402075863,2.87932605940464,423.358762185065,5.65284415333299,426.263975443978,4.53438639965735,423.961749151613,4.7621639815628,425.786099665607,3.63124449968775,425.295710874477,4.70858136328413,425.898059408714,3.67879400695008,425.337424853265,5.23423177793807,1.78973565040067,1.35264885652006,0.116327914205605,1.32,0.78,0.26,0.12,1.176125,0.9775,2.0868,1.410625,0.1438,-2.3424,98.37334,52.235,1.34885,-0.1675,-0.04,0.705,0.575,0.2,-3.83,1.05,-1.5725,0.14,246.525,316.65,288.775,313.2,-0.355,-0.13,-0.26,-0.21,-0.765,-0.3225,0.0975,-0.3075,-0.1325,5.72075,6.056,8.381,10.44075,11.343,11.85425,13.642,2.1895,5.04475,6.3955,7.406,8.62075,9.527,10.57525,5.118,6.762,7.88625,8.63675,9.4605,10.23975,11.29925,12.101,13.169,4.28725,6.7725,7.54525,8.86375,9.33575,10.9865,11.96025,13.0765,4.96125,5.9,7.182,7.777,8.78625,10.4405,11.98475,13.0835,-24.7305,-12.464,-14.763,-73.99
1,1.25,0.451113793360924,-2.06720245414611,0.10529517219881,-19.2428825796501,-6.18865463454143,0.353779490095948,421.360668899118,2.90983686749845,422.632934798719,4.42352717347921,423.883024102688,5.1933442350329,425.03526331899,2.78206212727931,422.658084412772,4.74825786120316,424.636380040235,4.84353886066835,424.769373960656,4.68586276894136,424.680997474794,3.72908811564037,425.535074461324,4.97100130684186,424.929973238776,3.80531362727269,425.392306380817,5.11326524370634,1.66144813261459,0.97987999324667,0.104799738727595,1.235,0.81,0.24,0.13,0.7999,0.6255,1.4442,0.598675,-0.42595,-2.7529,98.36039,54.6425,1.2738,-0.5025,-0.52,0.32,0.2775,0.2,-3.7575,1.1,-1.4425,0.125,243.35,314.375,288.7,311.925,-0.355,-0.12,-0.27,-0.21,-0.735,-0.325,0.1075,-0.295,-0.13,5.7125,6.01,8.3755,10.44375,11.342,11.853,13.64075,2.03275,5.0075,6.365,7.37975,8.6185,9.52625,10.5735,5.03075,6.72575,7.851,8.62275,9.4645,10.24025,11.2965,12.0995,13.1685,4.235,6.74475,7.51875,8.865,9.3295,10.9835,11.95975,13.077,4.82675,5.84825,7.1515,7.76625,8.7815,10.43925,11.984,13.0815,-26.196,-12.642,-16.05125,-74.165
1,1.75,0.693969420649985,-3.24412838210734,0.100312273413181,-17.9380759355666,-4.04646468069819,0.305480423320537,421.446464576125,2.49911943711921,424.298674509792,4.24822891368811,425.128759465725,5.2285163909502,425.088511166835,2.76513647163217,422.985531861713,5.27473565210126,425.190915129337,4.70641785194294,424.437480534768,4.90035359443508,425.726093132638,3.61747649103599,425.865655783277,4.79446420058172,427.14315625958,3.67271806877205,425.908981446602,5.04944223631757,1.62437722992109,0.665135629777012,0.124554356433882,1.2325,0.82,0.27,0.1225,0.7926,0.29,0.8911,0.394075,-0.2774,-3.2369,98.358085,55.315,1.1832,-0.835,-0.51,0.34,0.035,0.2,-3.7075,1.05,-1.5,0.1575,243.05,312.5,288.175,309.9,-0.3525,-0.13,-0.27,-0.22,-0.735,-0.3325,0.105,-0.3075,-0.1325,5.6555,5.948,8.34625,10.44675,11.34125,11.8515,13.6395,1.8845,4.93725,6.31775,7.33875,8.62125,9.52675,10.57175,4.9665,6.69325,7.845,8.583,9.46775,10.23975,11.293,12.0975,13.1675,4.13325,6.69375,7.45575,8.86975,9.3235,10.98175,11.96,13.07625,4.82475,5.75725,7.1175,7.7565,8.77925,10.4375,11.98125,13.08025,-25.47075,-12.677,-15.6755,-73.5725
1,2.25,0.367607100511837,-2.65781882345237,0.096605292289775,-17.6743499246561,-8.22142889973165,0.327142744542557,420.917093531638,2.1784935118533,424.179840341834,4.49090877135049,423.689281358392,5.25427393773487,423.890585734134,4.10163158609106,422.936855715178,5.14513796097158,424.811050915185,5.44718092179991,423.686971781351,4.62638755635137,425.993250064681,4.01012612708771,426.289253068627,4.70543621228344,426.073872102901,4.3500813738748,425.346008108007,5.28808701108382,1.55543161764201,0.693669518018169,0.0960575504620814,1.1025,0.74,0.27,0.13,0.70185,0.15,1.0078,0.164,-0.5902,-3.246025,98.361115,57.9725,1.1127,-0.8875,-0.645,0.3,-0.155,0.2,-3.695,1.1,-1.4925,0.12,244.65,311.4,287.2,310.175,-0.345,-0.135,-0.27,-0.215,-0.745,-0.3325,0.11,-0.315,-0.1325,5.61475,5.833,8.30325,10.45075,11.34175,11.85025,13.63825,1.75375,4.88825,6.26425,7.30675,8.617,9.5175,10.56975,4.8885,6.61725,7.82325,8.562,9.466,10.23875,11.29275,12.09625,13.16725,3.92975,6.62025,7.39325,8.8705,9.319,10.982,11.95925,13.075,4.77775,5.69175,7.074,7.72425,8.7805,10.43525,11.9755,13.079,-26.17775,-13.3635,-16.056,-71.805
1,2.75,0.170465294832994,-3.35206076506846,0.106281951399387,-18.9418276398779,-5.05608721587781,0.321310855394081,417.784185087561,2.0390460960253,423.914253534275,3.86484042993614,424.474755208589,5.21520201936448,425.071623816374,2.61877588160959,423.241629843429,4.42320824866821,425.248998939421,4.4038254425594,423.64438077318,4.60420646546961,425.954229099891,3.28977106723438,427.100025522581,4.54052308397633,426.056022239151,3.54758966125367,426.139590589037,4.58478029323869,1.54116961456971,0.6031961615071,0.103500487922397,1.2125,0.72,0.27,0.13,0.710025,0.18,0.9265,0.425525,-0.67715,-3.2035,98.35984,57.495,1.1034,-1.03,-0.965,0.145,-0.32,0.2,-3.5275,1.2,-1.45,0.09,241.525,310.175,286.575,309.2,-0.355,-0.135,-0.27,-0.21,-0.745,-0.325,0.13,-0.3225,-0.12,5.557,5.791,8.25875,10.453,11.34075,11.84975,13.63625,1.641,4.85875,6.203,7.2495,8.61125,9.5195,10.57025,4.819,6.49975,7.78175,8.5425,9.46375,10.239,11.29175,12.094,13.16725,3.7915,6.552,7.35675,8.87175,9.31275,10.983,11.958,13.0735,4.73575,5.61975,7.01975,7.68025,8.78,10.432,11.976,13.0785,-26.0645,-13.89,-15.981,-71.21
1,3.25,0.248501742740595,-3.96856024553285,0.102809433628164,-21.1122034790748,-3.57586101368146,0.334085762308684,414.946390762175,3.16689799944109,424.602337804305,5.35296852351155,423.86629015534,5.44552848960292,424.65498401615,3.16554098567967,423.112937923767,5.70420338062876,425.329726681727,5.89525084824186,426.358633347403,4.96915743645498,425.41962323791,4.17660903995525,430.379518700737,5.04999421460795,425.326059416055,4.59172642374406,424.470435196873,4.95242985749982,1.66853431033547,0.676893535622838,0.100781090146374,1.285,0.8,0.24,0.12,0.5836,0.211,0.7171,-0.01465,-0.93265,-3.45525,98.357615,59.105,1.1424,-1.08,-1.005,0.03,-0.41,0.3,-3.3925,1.2,-1.5,0.0975,244.5,308.925,285.325,308.3,-0.3525,-0.13,-0.27,-0.22,-0.735,-0.325,0.1175,-0.3,-0.13,5.45825,5.709,8.22825,10.4565,11.34075,11.8485,13.635,1.55575,4.78325,6.12325,7.21275,8.613,9.5215,10.5715,4.7465,6.3875,7.739,8.52675,9.4605,10.24225,11.29225,12.09275,13.16725,3.678,6.506,7.32075,8.87275,9.30825,10.98325,11.9545,13.0735,4.59,5.55725,6.968,7.63925,8.77925,10.4335,11.97625,13.07675,-26.1115,-13.87475,-17.021,-71.48
1,3.75,0.870788932122563,-1.75497648844447,0.112407182115418,-24.3141447217092,-3.94605729803197,0.309171179012589,414.947879467536,3.03085124273082,424.180557501754,4.37598594836542,424.906964644668,5.36419802540195,424.353817754947,3.84414906946625,422.977547280219,4.80226769776471,424.106918644574,4.90098063930988,423.911187190546,4.92091068577675,424.46847721294,4.0532749261158,427.075051724359,5.19794929580693,425.637476973192,3.86905810828553,427.001248425088,5.36396309750726,1.58993733701592,0.48697355105702,0.0876374757553622,1.235,0.775,0.235,0.13,0.3294,0.165,0.5884,0.1266,-0.9797,-3.487875,98.349165,59.9,1.15615,-1.2325,-1.115,0.015,-0.33,0.3,-3.385,1.2,-1.4625,0.11,242.35,308.35,284.05,307.475,-0.355,-0.13,-0.27,-0.21,-0.745,-0.325,0.1075,-0.305,-0.12,5.37325,5.625,8.20525,10.462,11.34125,11.847,13.63375,1.47575,4.632,6.06525,7.1965,8.61225,9.52825,10.57375,4.6915,6.298,7.6925,8.5105,9.45725,10.25,11.293,12.09075,13.167,3.597,6.47775,7.306,8.873,9.30375,10.983,11.95225,13.07275,4.4815,5.4965,6.9,7.617,8.7785,10.43575,11.97675,13.0755,-26.194,-13.78175,-15.61875,-69.7425
1,4.25,0.142578466791056,0.395286286059399,0.111623143121156,-17.2015043664972,-7.14508440732583,0.327965574297215,413.881902591034,2.49956975805745,424.862707027799,4.28677265982179,424.719045902913,4.91151992764509,423.935404695579,2.77085540714634,422.955451887016,4.39410761519004,425.056349029493,5.61232952507437,424.666926541935,4.51209488628372,426.385309656998,3.631543002667,429.222522245941,4.96352552673646,425.858182143897,3.70574797674969,427.054264956906,4.78216650328494,1.62007814053542,0.193720601292455,0.0895763918488087,1.24,0.77,0.24,0.1225,0.3178,-0.01025,0.4521,-0.114225,-0.98375,-3.632975,98.325855,61.28,1.12735,-1.365,-1.42,-0.065,-0.715,0.3,-3.51,1.2,-1.46,0.1,240.85,307.75,282.3,306.625,-0.3525,-0.13,-0.27,-0.22,-0.74,-0.325,0.1375,-0.3175,-0.1325,5.29725,5.568,8.18275,10.46825,11.34175,11.8465,13.63225,1.404,4.4875,5.9815,7.1885,8.61025,9.52875,10.57575,4.6735,6.17675,7.631,8.485,9.453,10.25675,11.29275,12.0895,13.167,3.53075,6.40025,7.30075,8.87225,9.29825,10.984,11.94875,13.073,4.44825,5.43975,6.8575,7.59475,8.7765,10.438,11.97775,13.075,-26.8525,-14.0475,-16.5385,-69.785
1,4.75,0.374027002572787,0.685047118750377,0.113018322941782,-19.2841883691141,-6.92384761326196,0.310891640138982,412.572671414662,2.23273539616663,424.797948205985,4.19498196898064,426.56870588175,5.20427355865277,424.924683911429,3.6311834038848,424.314754385701,5.02521951012394,425.560675727917,4.43724551570255,426.571386900621,4.52311654294485,425.945907997626,3.42610091066028,428.909553112596,4.59129689104636,426.168806942706,3.5789178520282,429.3449934711,5.25311783117116,1.7333791414585,0.0254854433739808,0.0850001971032796,1.2125,0.75,0.245,0.13,0.2702,-0.25075,-0.0577,-0.636925,-1.4031,-3.7916,98.3507475,62.65,1.082325,-1.55,-1.565,-0.23,-0.8775,0.2,-3.44,1.1,-1.4225,0.1,240.2,307.45,281.3,306.325,-0.355,-0.13,-0.27,-0.215,-0.73,-0.325,0.15,-0.3175,-0.14,5.25875,5.511,8.16075,10.47725,11.34175,11.84525,13.63025,1.34325,4.39775,5.96725,7.15,8.609,9.529,10.57825,4.652,6.10475,7.581,8.4535,9.454,10.2645,11.2945,12.08675,13.16725,3.46075,6.32975,7.29625,8.87275,9.2935,10.98425,11.947,13.072,4.41675,5.4105,6.80925,7.561,8.77375,10.44025,11.979,13.073,-27.252,-14.298,-16.629,-69.17
