DOY2,HR2,USTAR,TA,WS,NEE,FC,H,LE,TS_1_1_1,TS_1_2_1,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,SC,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
1,0.25,1.17808,3.58464999999999,6.07785,2.07372,1.94466,6.58136500000001,9.08908999999999,1.647075,1.676075,99.3181,99.79675,426.6675,2.09852999999998,0.024175,2.854175,4.677,325.3274,326.984,7.122225,0.992163000000001,2.2208,2.7442,3.8595,4.7755,6.8136,8.0933
1,0.75,1.15994,3.783975,6.13628,1.981615,1.71344,11.8377,8.84009999999999,1.64775,1.6988,99.320075,99.7905,426.07875,2.10495,0.023592292625,1.75675,4.361,325.34225,326.81075,7.1375875,1.1564875,2.2468,2.767,3.8852,4.78795,6.88,8.1
1,1.25,1.17545,3.950775,5.786,2.026465,1.958,15.69365,9.558,1.6417,1.667,99.32215,99.7725,426.05875,1.64601999999999,0.027,1.791,4.86747,325.61125,326.7741,7.0768,1.219775,2.2516,2.7718,3.8784,4.7769,6.8732,8.133
1,1.75,1.189255,3.92215,6.0507625,1.93064,2.079345,23.3643999999998,11.2878,1.6411,1.6988,99.32215,99.75775,426.18625,1.75518,0.026,1.52475,4.80525,326.09425,326.785025,6.9793125,1.035725,2.2352,2.7548,3.865,4.77195,6.9032,8.1198
1,2.25,1.1723,3.983,5.91704,1.92135,2.021,13.9563,10.209,1.6417,1.683,99.322075,99.76875,426.30875,1.77002,0.02465,2.18442499999998,4.725235,324.136675,327.24975,6.928275,0.8811025,2.2298,2.7682,3.873,4.7769,6.863,8.133
1,2.75,1.1436325,3.795225,5.8143625,2.2729225,2.1178525,13.30745,11.6865,1.64865,1.70425,99.323075,99.778,426.405,2.6295,0.026225,1.6714,4.83554999999999,323.73275,325.8335,6.892675,0.9768475,2.242,2.757,3.8698,4.7769,6.8732,8.1
1,3.25,1.17422,3.50812499999999,5.84852,2.4020825,1.9426,15.131525,10.4482,1.64585,1.6806,99.323,99.804,426.46,2.759725,0.024125,2.34427999999999,4.6872,322.32,326.0335,6.9825625,1.0212,2.2502,2.757,3.872,4.7745,6.9066,8.1
1,3.75,1.16431,3.650775,5.75544249999999,2.31425,2.2810525,13.1584,16.854,1.65015,1.7,99.324,99.7975,426.49,2.23654999999999,0.0251857569,3.22325,4.7926325,322.6235,325.98425,7.0755,0.94415625,2.232,2.7682,3.8718,4.7905,6.863,8.16
1,4.25,1.21405,3.34135,5.82072,2.23619,1.98016,13.50705,9.285975,1.64775,1.69065,99.324,99.79075,426.21875,2.04465,0.026175,2.11425,4.88175,322.19,327.105,7.0283625,0.9798475,2.2384,2.758,3.833,4.76245,6.8834,8.1402
1,4.75,1.1505075,3.20739999999998,5.831325,2.0035,1.73435,10.281295,8.10024499999997,1.6427,1.6857,99.324075,99.7805,426.235,2.267575,0.02615,2.22375,4.87412,321.4425,327.10195,7.085125,0.922848,2.2284,2.7534,3.8548,4.7694,6.833,8.1402
1,5.25,1.15245,3.46389999999999,5.646,1.9646525,1.82655,11.77595,7.42535,1.65015,1.70425,99.321375,99.80225,426.16625,2.980025,0.027035679625,1.717,4.6232075,321.495,326.292,7.1786875,1.1322,2.2548,2.7516,3.8698,4.77945,6.8932,8.1
1,5.75,1.12974,3.36979,5.80978,2.3155,1.87261,10.6548825,7.291565,1.65405,1.67805,99.322225,99.8125,426.45875,2.95535,0.0256,2.393,4.7331,324.1875,327.71945,7.1473375,1.62422,2.2368,2.7602,3.8784,4.77945,6.9,8.127
1,6.25,1.1169425,3.34809999999999,5.4432775,2.07192,2.0146575,11.517,5.76596000000001,1.6605,1.6818,99.321075,99.833,426.65,2.64982499999998,0.0241,2.9484,5.04063,323.87825,326.622,7.19045,1.17215,2.233,2.7602,3.8684,4.7575,6.8034,8.16
1,6.75,1.11312,3.38809999999999,5.75077,1.808025,2.03173,7.97445,7.45658000000002,1.6617,1.667,99.32315,99.863,426.4275,4.308675,0.0223,2.275,4.58708499999999,322.785,327.47075,7.1684625,1.22548,2.233,2.7582,3.8582,4.7245,6.833,8.0868
1,7.25,1.079825,3.4643,5.49335,1.76082,1.99755,9.4655,7.7556,1.6605,1.667,99.323,99.838,426.7425,4.2638,0.0264680288,1.597375,4.59884,322.132,326.54525,7.10265,0.968974999999999,2.2432,2.748,3.8468,4.7575,6.8168,8.1198
1,7.75,1.173925,3.357875,5.54115,1.7938125,1.92615,9.9618275,7.109725,1.66205,1.6806,99.321075,99.864,426.865,2.924025,1.433925,1.89362499999999,4.8574,321.15,326.5625,7.04305,0.9076475,2.2266,2.747,3.8516,4.76005,6.8532,8.1
1,8.25,1.1468625,3.28725,5.683455,2.136375,2.0345625,11.086,9.75177499999999,1.661,1.67125,99.325,99.87325,427.805,4.8996425,28.0495,18.3725,22.4164999999999,320.24975,325.33,7.045625,1.1022725,2.2384,2.755,3.8634,4.74305,6.9102,8.1198
1,8.75,1.0950275,2.92931999999999,5.724155,2.221675,2.1378875,14.297675,9.10545000000001,1.6657,1.67805,99.321225,99.9085,428.29125,26.714175,120.23875,92.507425,26.461425,320.5325,324.328,7.154375,1.3532275,2.2298,2.7534,3.8652,4.74305,6.863,8.1
1,9.25,1.16955,3.1177275,5.9101725,2.6156,2.25385,29.1529999999999,10.9124,1.64975,1.633,99.32215,99.93175,428.205,69.66835,257.02465,154.0695,34.631675,320.242175,326.4165,7.23729,1.52559,2.2448,2.7416,3.8516,4.7575,6.843,8.1198
1,9.75,1.1724025,3.15355,5.9049475,2.49076,2.551235,59.2408,13.6056,1.6071,1.667,99.31815,99.932,428.548,136.1377,388.090225,240.86975,44.57915,322.5315,328.903,7.17792,1.2148,2.2266,2.755,3.8684,4.7575,6.863,8.0868
1,10.25,1.22391,3.388485,5.9840175,2.659365,3.2209375,87.72905,15.502275,1.6087,1.67125,99.3163,99.94075,427.967,182.58625,537.85625,319.2782,53.877325,323.4525,326.0865,7.20865,0.39531,2.2284,2.747,3.842,4.748,6.813,8.1
1,10.75,1.2155,3.27077499999999,6.06145,3.09024499999999,3.3864,122.96,19.123975,1.58095,1.683,99.319075,99.9895,427.611,217.372,637.284,359.792,66.738125,323.703,329.4855,7.21605,0.6023615,2.2448,2.7448,3.8666,4.7269,6.8766,8.0868
1,11.25,1.32373,4.02215,6.02185,3.21285,3.51055,154.7406,27.3606,1.5891,1.674,99.31445,99.98825,427.579,255.3182,756.84625,404.5786,72.9913,324.299,330.315,7.17997,0.4878575,2.235625,2.744875,3.837625,4.75495,6.767,8.120625
1,11.75,1.28888,4.3113325,6.07936,3.098815,4.36546,180.044,28.37955,1.6134,1.674,99.313525,99.97425,427.062,292.93015,831.82525,443.29,80.374975,324.80925,331.6475,7.23091,0.59828,2.227,2.73925,3.852,4.74305,6.868875,8.087625
1,12.25,1.3076,4.309365,6.3766,2.9804,3.03055,203.44105,28.418,1.64155,1.6661,99.313525,99.964,426.615,326.6578,914.846425,484.75225,89.19595,324.741,331.6185,7.19422,0.620798749999999,2.21865,2.74365,3.84125,4.74175,6.86105,8.08845
1,12.75,1.29425,4.807,6.195075,2.6308875,2.694,213.582,28.2465,1.6347,1.667,99.3103,99.949,426.101,313.865,914.7549,480.11315,88.43015,324.672,334.7187,7.18387,0.4006955,2.223625,2.744875,3.823625,4.74175,6.86425,8.120625
1,13.25,1.281885,4.5814925,6.349825,2.6506,2.72895,244.517025,28.71775,1.66115,1.657,99.309525,99.93475,426.114,316.0677,905.14425,473.643975,87.2698499999999,325.05825,334.355,7.2446,0.611162249999999,2.225,2.72325,3.813625,4.73895,6.833,8.10825
1,13.75,1.27255,4.8332875,6.326055,2.63829,2.73136,207.014,29.927,1.6396,1.667,99.316225,99.92425,425.886,290.24145,864.47075,464.492975,82.047625,326.04075,334.20925,7.34094,0.628,2.23,2.744875,3.83,4.73895,6.85425,8.10825
1,14.25,1.333425,5.0191875,6.5772225,2.50199999999999,2.61198,183.60525,33.038275,1.6547,1.65,99.3163,99.917,425.425,254.10445,790.17705,417.02525,74.264,326.48225,334.592,7.43521,0.61919275,2.222,2.74825,3.842625,4.755775,6.777,8.120625
1,14.75,1.32629,4.92845,6.23155,2.4581,2.2828,175.78585,28.7544,1.7188,1.664875,99.305825,99.9235,424.84,215.42575,689.8595,370.605825,69.14075,326.7925,333.80025,7.26257,0.725209000000001,2.23,2.742625,3.83925,4.7345,6.827,8.074875
1,15.25,1.31457,4.960875,6.429885,2.3187,2.402485,151.9148,31.164925,1.712,1.667,99.16895,99.92475,424.5925,174.566,587.31875,317.12825,57.56305,328.2685,333.073,7.791625,0.8831685,2.232625,2.737625,3.83425,4.74175,6.833,8.0955
1,15.75,1.2831975,4.7929125,6.44745,2.179475,1.9047775,103.07475,20.4738,1.72805,1.65,99.304075,99.926,424.6925,120.344875,452.643,244.97325,44.73775,327.5115,332.112,7.780575,0.883835,2.238625,2.744875,3.832625,4.752975,6.827,8.120625
