DOY2,HR2,CO2,CH4,H2O,FC,FCH4,G_2_1_1,G_3_1_1,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,PPFD_IN,TS_1_1_1,TS_2_1_1,TS_3_1_1,TAU,U_SIGMA,V_SIGMA,W_SIGMA,USTAR,WS
11,23.75,429.21625,2089.54,4.4197475,0.686717,14.8613,-5.588525,-6.32239,-8.4203625,7.6703825,101.221,92.41925,-2.71525,-4.37849999999997,0.448451624488533,287.0875,293.3825,0,0,-14.77395,2.8951321439356e-24,0.189999999999998,0.100000000000023,0.187000000000012,-0.02514055,1.1170246091321,0.807745025557332,0.483283534165311,0.42950725,6.097385
12,0.25,447.429,2099.75,3.600705,0.526353,13.1687,-9.997335,-11.70295,-5.0832325,10.7357075,101.15,90.60135,-5.90199999999999,-7.56749999999997,0.568036151718972,261.4215,279.559,0,1.38777878078145e-17,-6.84323,0,0.0215000000000316,-0.449999999999989,-1.0842021724855e-19,-0.05132055,1.46445836672181,1.10371955928427,0.662297652706102,0.6300305,8.798475
12,0.75,438.46675,2082.93,3.3965375,0.6014125,14.61785,-10.278585,-12.12695,-6.79348,13.717525,101.1325,90.68025,-6.53799999999999,-7.34949999999998,0.55702008911355,268.309,280.4615,0,0.678076,-7.072415,0,0.0165000000000362,-0.449999999999989,-2.16840434497101e-19,-0.048894975,1.50879370213705,1.14146231488236,0.693678951280825,0.60962075,9.24222
12,1.25,453.662,2072.4,3.4196825,0.50267725,17.34065,-10.443045,-12.5021,-8.471205,10.868365,101.11425,90.5391,-6.46074999999996,-7.34049999999996,0.523455203403501,270.0245,280.277,0,1.116345,-8.59789,0,0.0215000000000316,-0.451499999999981,0,-0.048229775,1.56318470763345,1.22422624557188,0.750804024751598,0.62727275,9.375795
12,1.75,465.2865,2068.235,3.665915,0.38287875,13.6252,-10.454025,-12.53875,-4.979495,15.126275,101.0565,91.40655,-5.91649999999998,-7.27849999999997,0.494497228820794,276.4775,279.392,0,1.078505,-9.4553,0,0.0165000000000362,-0.481499999999982,0,-0.0410174,1.53502309236157,1.12600952800286,0.79959312683789,0.6200365,8.82826
12,2.25,462.0375,2078.83,3.581795,0.42067475,12.9535,-10.394805,-12.7682,-2.0272,14.8488,101.051,92.43145,-6.03099999999997,-7.59849999999997,0.494230037965922,275.445,277.737,0,0.9213,-9.454295,0,0.0165000000000362,-0.502999999999986,-2.1684043449789e-19,-0.0491461,1.62622400882002,1.17594996522532,0.756924914405911,0.63411,8.65192
12,2.75,476.973,2103.405,3.78731,0.550417,14.7059,-9.81717,-13.354375,-2.31628,12.499225,101.126,92.866025,-5.54899999999998,-8.05474999999997,0.508434523991329,272.31225,274.06625,0,0.8070445,-10.65492,0,0.00825000000004646,-0.510749999999987,0,-0.05785625,1.51515015757515,1.21765348108565,0.765403814989186,0.625956,8.68344
12,3.25,453.655,2102.605,3.6841225,0.535157,13.927675,-9.83325,-13.9491,-6.00393,8.9522,101.10975,92.62705,-5.76099999999999,-7.83149999999999,0.484636570660301,266.66,277.72175,0,0.91401075,-9.3942075,0,0.00300000000004275,-0.52324999999999,-2.46519032881566e-32,-0.043057025,1.53843220139456,1.17041810882932,0.763855027476724,0.6854145,8.403455
12,3.75,453.00375,2167.7625,3.75303,0.694298,14.3789,-9.7268075,-15.066725,-4.98462,9.40872,101.104,93.40545,-5.62299999999996,-7.11849999999996,0.480673344852691,282.7525,282.74175,0,1.0465575,-10.4987,0,0.00925000000003703,-0.524999999999991,0,-0.0478277,1.6479645723227,1.2271453636413,0.77686568581531,0.7127945,8.63487
12,4.25,456.657,2185.45,3.488245,0.582225,13.9629,-9.577635,-14.7634,-8.108155,10.1456975,101.107,93.648825,-6.26449999999997,-6.33774999999996,0.471411421446212,284.17525,286.7705,0,0.75950725,-10.0428825,0,0.00525000000000375,-0.524999999999991,4.62223186652936e-33,-0.054877375,1.50821174202687,1.13533677053492,0.776159348645514,0.666856,8.314955
12,4.75,453.462,2181.9,3.500955,0.607644,15.2515,-9.50085,-15.3622,-7.67386,13.39405,101.1315,91.9125,-6.11199999999999,-6.38200000000001,0.462872287837896,270.375,285.162,1.32348898008484e-23,1.02703,-8.82579,0,8.67361737988404e-19,-0.5,0,-0.070089825,1.70605829640331,1.31542228464661,0.742205515698622,0.661887,8.07107
12,5.25,449.203,2111.625,3.492245,0.556042,14.5712,-9.30476,-14.3257,-6.94137,13.7172,101.118,91.2604,-6.19049999999995,-6.76299999999998,0.441763770017495,265.564,285.043,0,0.88802,-14.2926,0,0,-0.5,0,-0.079611,1.48279965753038,1.24227164815532,0.746317350669859,0.618242,8.087355
12,5.75,498.82,2091.9,3.69602,0.638761,15.38445,-9.1779,-15.1216,-3.2451325,12.0387,101.115,91.5455,-5.65349999999998,-6.71299999999997,0.504906216245105,264.171,283.862,0,0.909202,-10.7021,0,0,-0.5,0,-0.0698729,1.53367743097234,1.11422632410628,0.688280930231135,0.5953765,8.382385
12,6.25,437.576,2107.03,3.55751,0.521706,15.1407,-9.14082,-15.1095,-6.554095,11.267425,101.105,91.7201,-5.92599999999999,-6.839,0.464321147349502,252.031,282.268,0,0.739243,-8.22561,0,0,-0.5,0,-0.0921806,1.51658168260071,1.1503347338927,0.655213705595358,0.585857,9.08791
12,6.75,441.90575,2135.66,3.4283325,0.5122775,15.544225,-9.04751,-15.8149,-5.61666,11.062925,101.183,91.8258,-6.42899999999997,-7.572,0.398732739988479,259.595,280.476,0,0.672635,-9.01358,0,0,-0.5,0,-0.050319075,1.77219878892498,1.12882567152251,0.70166056641977,0.641126,9.5459275
12,7.25,435.189,2144.87,3.90957,0.64536325,17.08905,-10.4957275,-16.855525,-5.023375,9.874875,101.207,89.83395,-5.363,-8.30574999999999,0.444212645624489,252.19925,277.94125,0,0.849665,-11.927075,3.3881317890172e-21,0.00250000000001192,-0.649999999999992,0.000750000000010688,-0.076794375,1.6924538398432,1.16410910141619,0.749020693973137,0.658544,10.1148
12,7.75,433.90075,2142.07,3.0924525,0.69376925,17.24885,-10.4852925,-16.969475,-8.266345,9.3899475,101.21075,89.546,-7.79099999999997,-8.56899999999996,0.434244080327021,250.95925,276.22975,0,0.663859,-12.2089,0,0.00575000000000615,-0.649999999999992,8.27180612553027e-25,-0.049841625,1.68168521529685,1.16184322901755,0.731110952277711,0.6183105,9.07649
12,8.25,432.99675,2144.19,3.2861325,0.6456,15.188375,-9.927245,-16.62665,-8.53941,11.831125,101.20125,89.7105,-7.0295,-9.93699999999999,0.455652362906026,248.591,269.9165,0,0.692074,-10.846685,0,0.0115000000000123,-0.599999999999995,0,-0.0633476,1.65438885008507,1.13481804345275,0.687732839119296,0.611991,9.3276225
12,8.75,432.4655,2130.695,3.20908,0.61456475,18.1978,-10.15326,-16.85475,-5.099455,13.1007,101.21025,89.9585,-7.47324999999999,-10.1505,0.494191731719629,246.499,268.4065,0,0.610568,-11.82419,0,0.0115000000000123,-0.606499999999982,0,-0.052301525,1.595616107369,1.19312938540951,0.735646540449631,0.64020925,9.915755
12,9.25,430.889,2136.42,4.67062,0.688999,18.8948,-10.22287,-17.1361,-5.1802875,11.8327,101.226,89.58,-2.91699999999997,-11.058,0.488252473304878,245.694,263.679,0,0.800222,-16.38505,0.0009687975,0.0150000000000148,-0.646499999999975,0,-0.0373834,1.50688420258492,1.07777084762949,0.657695978397314,0.53025,9.45797
12,9.75,432.27175,2125.695,4.6442775,0.7358315,15.12555,-9.736385,-16.604475,-7.89714,6.63678,101.2365,89.298075,-2.96249999999996,-11.36725,0.478187263449919,247.33175,263.54825,0,1.0469845,-14.6029,0.16373875,0.0225000000000222,-0.574999999999989,0.00225000000003206,-0.055343075,1.40239098813507,1.03360659899049,0.661192202230608,0.5619055,9.0082525
12,10.25,432.34775,2108.33,4.5635575,0.7293895,16.57505,-9.84243,-16.27545,-3.4035,9.02463,101.197,88.06455,-2.9935,-11.58325,0.48163785413355,248.27025,263.29575,0.19370685,1.71706,-11.721675,2.5075575,0.015000000000029,-0.574999999999989,0,-0.053313675,1.63575729881096,1.16941888794069,0.659065655523597,0.5681015,9.4043775
12,10.75,441.832,2111.9,4.79877,0.73214075,22.6497,-10.583105,-16.476,-10.131345,12.2078,101.19,87.79845,-2.262,-11.7515,0.476648626124706,247.6115,262.252,7.17844,5.0964625,-7.53233,14.7668,0.0115000000000123,-0.649999999999977,0.0035000000000025,-0.058549,1.6209441693038,1.08401107005418,0.639674135791029,0.612527,8.95277
12,11.25,451.176,2063.765,4.87615,0.73453275,15.43075,-10.084905,-15.756875,-7.1869075,10.8402,101.2015,88.56565,-1.95524999999998,-11.039,0.522015004874681,251.241,265.55425,12.00355,11.02945,-9.222705,24.236025,0.0172500000000185,-0.574999999999989,0.00225000000003206,-0.038227575,1.47398273853422,1.08900981583898,0.633157114247564,0.560583,8.86873
12,11.75,441.0315,2022.47,4.8064,0.8343245,17.3942,-9.85988,-17.9485,-11.5469875,10.71565,101.1805,86.8061,-2.49549999999997,-10.291,0.499091058193925,228.999,262.304,27.1467,21.1549,-9.57579,49.3404,4.13590306276514e-25,-0.799999999999955,0,-0.07480025,1.4577468011837,1.02192949328836,0.635779877999627,0.5522385,8.424885
12,12.25,446.864,2011.545,2.50227,0.56740025,17.27825,-10.10667,-15.621,-9.2162075,12.761225,101.178,86.5158,-8.25299999999999,-9.49399999999998,0.504976117335529,236.1185,268.188,45.9555,32.33645,-5.63387,75.3138,1.24077091882955e-24,-0.599749999999958,-9.86076131526265e-32,-0.124506,1.71880190830706,1.08372967108961,0.676401507981761,0.606279,8.59344
12,12.75,435.609,2037.555,3.779675,0.540802,25.008,-10.5058,-14.4316,-7.6725725,11.221425,101.1795,87.1675,-4.77949999999998,-8.85199999999998,0.506974894450949,243.888,272.363,58.2852,40.9469,0.971794000000001,97.7745,3.4694519150373e-18,-0.5,2.28983498828943e-16,-0.06730705,1.56191027759445,1.07395885403889,0.673593550590853,0.595781,7.598375
12,13.25,435.91075,2040.5525,3.80154,0.44419125,18.1224,-8.738405,-13.9241,-2.440825,11.4043,101.209,87.7703,-4.93625,-7.86799999999999,0.503800582387067,247.936,278.499,68.50025,43.7575,8.093675,127.512,-6.61744490042422e-24,-0.56174999999999,0,-0.11000825,1.56836297198418,0.953568807881769,0.70147429693348,0.6220765,7.5545225
12,13.75,434.76175,2040.8275,4.116455,0.61380375,22.1145,-8.465955,-13.9369,-4.8525775,10.699175,101.21975,87.80875,-4.62424999999998,-7.57449999999998,0.570225665353792,248.047,281.0395,75.3997,40.7608,8.63125,147.2135,-1.32348898008484e-23,-0.622749999999982,0,-0.0966227,1.43953719364411,0.82894668477547,0.577456222709893,0.51179825,7.59063
12,14.25,438.65125,2085.7825,3.889435,0.7350865,9.1191875,-7.69695,-13.2717,-7.31039,12.0453,101.216,87.1558,-5.07324999999996,-7.34399999999999,0.587987036792644,249.798,283.811,68.8565,39.423125,7.71295,134.712,6.35274710440725e-22,-0.606749999999963,-2.52435489670725e-29,-0.0803173,1.33854733308558,0.936480873048505,0.665137878626962,0.57805475,7.0826125
12,14.75,430.2,2030.065,3.627765,0.4668955,22.54445,-8.31785,-13.8659,-4.1827975,11.5835,101.19125,86.9316,-5.88649999999998,-6.88099999999997,0.603009988109692,252.672,281.016,57.804575,34.20835,2.58677,115.519,4.2351647362715e-22,-0.60824999999997,0,-0.075418475,1.31780892842129,0.89672876439826,0.616004302200308,0.49516075,7.0795725
12,15.25,430.142,2063.63,3.5229875,0.60088675,22.7413,-8.48811,-13.5057,-6.560315,10.85675,101.19375,87.452,-6.24049999999995,-6.88799999999998,0.586480330056682,254.76,282.732,45.8831,31.0426,2.49118,87.8984,-1.6940658945086e-21,-0.64149999999998,0,-0.067114175,1.15168306332452,0.844076383602947,0.589958328722345,0.47376,6.83284
12,15.75,428.136,2064.6,3.8011,0.642183,14.9281,-9.5578925,-13.557275,-8.3284675,10.5241,101.161,87.20105,-5.2175,-6.68349999999999,0.638813224198565,260.58925,285.944,26.9836,20.087175,3.49095,55.575375,-6.7762635780344e-21,-0.549999999999983,0,-0.064629,1.23349782403557,0.823764213472431,0.610671151537515,0.508937,6.79606
12,16.25,429.34825,2052.57,4.242085,0.4733805,11.4685,-10.23445,-13.27125,-8.64724,11.507625,101.15025,86.7257,-4.07849999999998,-6.97649999999999,0.563853368907659,258.15,282.469,14.43475,10.87385,-6.76464250000001,28.0987,-0.0249999999999915,-0.643249999999967,-0.0249999999999915,-0.060566725,1.3039601492467,0.760226895257289,0.606780854673609,0.56879775,6.2901725
12,16.75,429.323,2085.29,3.99356,0.637766,15.432,-10.3315,-12.7707,-15.6624,11.5309,101.114,86.6834,-4.62249999999997,-5.99399999999997,0.582191386968269,257.085,284.862,3.40963999999999,3.67926,-12.5846,8.86779,2.16840434497101e-19,-0.599999999999966,0,-0.0646202,1.28225264360435,0.810975981640144,0.635162053190987,0.559916,6.695345
12,17.25,534.424,2084.825,3.8019825,0.60386,19.4553,-10.3279,-12.3981,-8.52894,11.7576,101.1105,87.8236,-5.37699999999998,-6.49599999999998,0.662113317788,258.829,280.818,2.22044604925031e-16,1.1284,-15.4875,1.2719,-0.007000000000005,-0.599999999999966,0,-0.062831775,1.29331239217837,1.00032836013836,0.661893939798832,0.60828775,7.0292225
12,17.75,428.21125,2051.4825,3.6919975,0.469735,11.73835,-10.287,-12.4332,-10.3172,14.7762,101.11125,87.1927,-5.82799999999998,-7.23199999999997,0.725581379943998,262.278,281.765,0,0.831555,-16.4026,0.0560007999999999,-0.0169999999999959,-0.599999999999966,-5.16987882845642e-26,-0.051693475,1.37506409619908,1.0010139756201,0.649924492978384,0.58154925,8.1486825
12,18.25,427.229,2068.6725,3.5800525,0.53143275,14.840925,-9.86091,-12.4986,-8.42627,12.7392,101.145,87.0754,-5.81224999999997,-7.096,0.738871888516918,260.039,282.49,0,0.810172,-15.9687,0.000738021999999998,-0.0299999999999727,-0.599999999999966,-3.30872245021211e-24,-0.052879075,1.34143151298607,0.987030919460043,0.59842813601076,0.53127025,8.094735
12,18.75,428.3265,2064.55,3.47168,0.481246,12.479475,-9.71842,-12.6911,-6.45332,11.1922,101.1565,87.4846,-6.31949999999998,-7.22499999999997,0.641598656713875,259.334,274.776,0,0.759228,-15.4796,0,-0.0199999999999818,-0.599999999999966,0,-0.0587732,1.42031137639714,0.974582569480305,0.588749481126866,0.54125,8.08688
12,19.25,427.3165,2072.685,3.2853725,0.507503,10.946525,-9.15406,-14.37685,-5.31026,13.4756,101.149,87.08565,-7.10849999999999,-8.03299999999999,0.621080539567847,256.08325,275.99625,0,0.734472,-17.653475,0,-0.0577499999999986,-0.574999999999975,-1.58818677610181e-22,-0.062275275,1.26202922603924,0.973647684995472,0.610287523071062,0.553625,7.2240775
12,19.75,429.083,2058.685,3.292305,0.480881,14.5406525,-8.6185425,-14.55435,-6.23062,12.1286,101.136,87.041475,-6.71749999999997,-7.77125,0.614791509122401,240.951,279.19775,0,0.7743025,-17.701475,0,-0.0494999999999521,-0.574999999999975,-9.69352280335582e-27,-0.05370705,1.27857428397315,0.981721214938545,0.595927952128164,0.5223035,7.33489
12,20.25,481.98975,2090.45,3.0361875,0.538669,9.1656775,-8.28266,-14.7398,-5.46614,10.739225,101.136,87.664875,-7.51774999999996,-8.34074999999997,0.556738378657986,250.2505,275.9735,0,0.86659525,-18.1427,0,-0.0577499999999986,-0.574999999999975,-2.60208521396521e-18,-0.0540989,1.36838270989183,1.02690619313859,0.656888063195691,0.5568125,7.3190175
12,20.75,425.70425,2067.845,2.9086375,0.522838,15.654,-7.99252,-15.32355,-6.21897,10.5814,101.17125,87.3016,-7.49449999999997,-8.55899999999997,0.599917956641429,260.9475,276.917,0,0.939333,-15.15185,0,-0.04849999999999,-0.549999999999983,-1.03397576569129e-25,-0.05313515,1.12887623464949,0.793211814112037,0.550430681961049,0.47304325,7.1056425
