DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE
1,5.75,3.908875,78.9807749999999,14.489625,0.0131,0.244875,1.9435,0.0360749999999999,0.207574999999999,-0.969092250000001,-0.532486,-0.203848125000008,424.96677625,9.33932325,88.49395,10.5311,1.01011,10.137,9.16884999999998,9.41133,99.321,0.0699999999999932,2.8588325,0,0,328.102,338.448,8.017,1.73695,1.89419999999999,2.674375,2.5673,2.969475,4.2677,1.50765,3.23989,2.684903,1.854685,9.65077,3.28655
1,6.25,4.104275,84.31975,14.96475,0.00787500000000003,0.229125,1.914,0.040025,0.169749999999999,-0.9924905,-0.53247925,-0.244985500000007,424.80975,9.2656625,88.5,10.9136,1.31138,10.222925,8.94244999999999,9.41667,99.1965,0.0699999999999932,2.88813,0,0,329.036,338.24875,8.40067,1.6689,1.85657499999999,2.620825,2.554425,2.9743,4.2629,1.57052,3.154972,2.71732,1.86196,9.40393249999999,3.41532499999999
1,6.75,4.320225,79.048475,20.078,-0.00702499999999995,0.214399999999999,1.9107,0.0382500000000001,0.16925,-1.01559,-0.53247925,-0.135060250000007,424.5219775,9.3265625,88.4846,10.825375,1.064125,10.146,9.0294175,9.21367000000001,99.1125,0.1,2.8676675,0,0,328.58308525,338.63158175,8.33493,1.6205,1.85185,2.586,2.5588,2.9587,4.255625,1.52901025,3.23083125,2.7202875,1.865775,9.68100000000001,3.0886
1,7.25,2.98411,75.8453499999998,15.3965999999999,0.00397500000000005,0.203349999999999,1.9337,0.0433500000000001,0.16465,-0.9926255,-0.532553,-0.175738875000006,424.68577,9.125185,88.509,10.72325,1.168675,10.278025,9.1665325,9.5325,99.06785,13.2175,4.79971,0,0,328.38316475,338.583335,8.5314625,1.8015,2.0805,2.7498,2.5504,3.0429,4.256625,1.4964,3.169955,2.7412075,1.7977075,9.19659749999998,2.50195
1,7.75,4.0480825,71.879,10.72185,0.0152,0.173799999999999,1.9245,0.0444000000000001,0.16835,-1.027265,-0.5324995,-0.268338000000006,424.50782675,9.249911,88.516,11.0555,1.155825,10.1676,9.07453249999999,9.5183625,99.14985,45.89,37.6105,23.03025,7.3338775,331.236,336.751665,9.920875,1.57705,1.9098,2.52365,2.53965,2.9424,4.2525,1.568825,3.2440875,2.757255,1.86694025,8.871185,3.1860775
1,8.25,4.17359999999999,93.9640000000001,20.7228499999999,0.0261750000000001,0.169749999999999,1.941,0.0469499999999998,0.16385,-1.03292,-0.532486,-0.287828250000001,424.8248945,9.34669,88.51535,10.0425725,1.10436,10.15675,8.78232925,9.0558625,98.983,169.2575,124.2174975,109.41766925,36.1175,329.356,338.965,38.725,1.58335,1.83624999999999,2.50345,2.46019999999999,2.92555,4.2331,1.5897825,3.275901,2.731219,1.858906,9.43172599999998,3.289175
1,8.75,2.7423765,106.617,33.9632,0.0252,0.1622,1.938,0.0440999999999999,0.1928,-1.033055,-0.53247925,-0.235009750000003,425.5746075,9.39202,88.55195,10.177179,1.06064,10.135,8.72263425,9.4266375,98.945,337.14583425,220.8995,205.68625,56.75085,331.558,340.25,94.239,1.5932,1.779,2.2154,2.271,2.8961,4.21875,1.54166,3.2935225,2.6171775,1.84015,9.3744825,2.5068975
1,9.25,3.60095,95.5959000000001,64.7976499999999,0.0970250000000006,0.24135,1.915225,0.0652249999999997,0.338699999999999,-0.735060750000005,-0.220979225000008,-0.216830750000005,425.8438015,9.4854,88.5508,10.638275,1.02689,10.70375,9.4579175,10.15375,99.05295,478.2175,289.88975,265.95208075,63.4796499999999,332.6725,343.965,147.74,1.74795,2.32025,2.041525,2.297825,2.8356,4.1959,1.5509875,3.33209,2.7566,1.908025,9.27881499999999,2.2502
1,9.75,3.84017499999999,117.36475,107.20409825,0.298075,0.569625,1.938375,0.115374999999998,1.14515,0.167979499999989,0,-0.0168788750000009,425.84379,9.593175,88.5662,10.678,1.00765,10.753,9.78813499999999,10.33825,99.2075,621.13916425,336.9145,341.83825,72.0145,332.946,348.225,202.0025,2.12102499999999,1.99084999999999,2.07715,2.32055,2.8155,4.187,1.50083675,3.2062975,2.6780325,1.86389025,9.429225,1.9499
1,10.25,3.5765,137.91975,149.5435,0.812825000000001,0.809599999999998,2.0075,0.844,2.6265,2.18212749999999,0.476042499999994,0.373902749999991,425.9472805,9.47526,88.544775,11.224675,0.928151,11.59675,10.9165,11.216375,98.73125,723.02575,404.695,397.13,74.418665,332.713,352.835,260.01,2.482,2.0865,2.024,2.3325,2.809,4.166575,1.592,3.32872,2.89352,1.967395,9.69248,1.77665
