DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,TA,RH
1,0.25,-0.0078,-0.215571,3.85458,0.1310505,1.60732,0.177984,-1.37226,368.816,2.07667,0.697013,0.72048,0.324761,0.119681,-0.9137126,0.5882803,282.5488337,312.63217595,0.021,-0.956,83.8
1,0.75,-0.0171,-0.371595,4.85432,0.0889,1.6471,0.179164,-1.534645,368.725,1.90603,0.819285,0.710693,0.334277,0.111954,-0.9453047,0.672114,278.924837,312.21974855,0.023,-1.058,83.8
1,1.25,-0.006675,-0.6216605,4.97089,0.130538,1.392885,0.175758,-1.28269,369.062,2.00532,0.764025,0.7048405,0.325295,0.115053,-0.8785711,0.7839179,283.48425275,313.4346221,0.02,-1.454,84.2
1,1.75,-0.02265,-1.05443,4.47145,0.318425,1.33314,0.201574,-1.43974,369.775,2.02893,0.636628,0.6663445,0.2969085,0.113557,-0.9271889,0.808808,284.37379005,313.3490658,0.019,-1.384,83.7
1,2.25,-0.02465,-0.357259,4.43317,0.150876,1.449515,0.19277,-1.70559,369.502,2.01132,0.632488,0.6976685,0.303259,0.1298635,-0.7831783,0.7896867,289.5753966,310.768578,0.023,-1.247,84.2
1,2.75,-0.02005,-0.8902,4.08589,0.128979,1.305235,0.1915775,-1.8515,369.338,2.10918,0.6823595,0.6727065,0.3216265,0.120491,-0.7848036,0.8243229,292.0715273,312.891848,0.02,-1.145,84.7
1,3.25,-0.0222,-1.78777,3.8518,0.373503,1.265405,0.2071635,-2.06199,369.6955,2.128,0.7194,0.6661005,0.3430755,0.1063055,-0.7230506,0.8343801,292.6006704,312.7014484,0.024,-1.648,85.2
1,3.75,-0.02695,-1.11426,3.987595,0.167478,1.345055,0.199991,-2.13968,369.533,2.10732,0.677283,0.6428335,0.323281,0.0871,-0.7803413,0.7859222,286.31506035,311.0172909,0.02,-1.481,85.5
1,4.25,-0.01905,0.312231,5.09999,0.204449,1.401155,0.164047,-2.2906,369.144,2.162715,0.6613795,0.611072,0.27711,0.0844,-0.8539798,0.8005594,289.9147816,310.3927156,0.021,-1.558,85.8
1,4.75,-0.02005,-0.3341695,5.64638,0.029,1.2394855,0.166907,-2.29777,369.501,2.10949,0.616996,0.6679215,0.279273,0.0976,-0.797089,0.756663,283.67958475,309.6658495,0.027,-1.958,86.7
1,5.25,-0.0296,-0.6276575,4.409415,0.208239,1.28518,0.169386,-2.35349,369.799,2.0585,0.721877,0.647365,0.3080185,0.100479,-0.8133049,0.8401372,283.320721,310.2102013,0.031,-2.001,87.4
1,5.75,-0.0188,0.895142,4.46958,0.320989,1.382175,0.163636,-2.3704,369.863,1.8233,0.697261,0.6665645,0.299866,0.100106,-0.7487668,0.7975599,287.380652,310.294132,0.019,-2.252,86.8
1,6.25,-0.0179,0.1604465,3.624965,0.0956,1.364095,0.15031,-2.40556,370.442,1.78802,0.6919155,0.6400675,0.3143015,0.0991,-0.7754801,0.679094,288.34946065,308.6958513,0.026,-1.94,87.7
1,6.75,-0.01335,0.3921625,4.63739,0.185344,1.27653,0.1413025,-2.48355,369.49,1.727895,0.555205,0.554214,0.2356835,0.104413,-0.8329174,0.7163725,289.6558737,308.6442002,0.024,-1.889,86.5
1,7.25,-0.0099,-1.1409395,5.686475,0.168538,1.06265,0.130547,-2.45083,370.023,1.731725,0.5524485,0.5426965,0.2309975,0.1033345,-0.7694305,0.7695895,288.7753633,308.5372525,0.028,-2.141,87.2
1,7.75,-0.012825,0.3440855,4.28997,0.451555,1.195825,0.1611535,-2.38038,368.515,1.48086,0.573603,0.577773,0.265536,0.103377,-0.7008246,0.7474531,287.37833705,308.3550494,0.223,-2.253,87.5
1,8.25,-0.0181,-0.5517885,5.55181,-0.1799,1.403205,0.154238,-2.15635,368.712,1.45937,0.7327535,0.616582,0.3216065,0.1101255,1.63642,1.645814,285.45931285,308.5146258,6.938,-2.308,87
1,8.75,-0.0253,0.797457,7.72887,-0.03263,1.407825,0.196257,-1.93252,370.996,1.67551,0.78476,0.706909,0.329964,0.135338,13.96644,4.511784,286.04335195,310.8663826,37.75,-2.631,86.9
1,9.25,-0.0172,6.208815,10.1157,-0.089,1.425495,0.2141695,-1.71824,370.82,1.673,0.7707615,0.756055,0.345429,0.159609,30.57726,9.819002,287.3715832,312.8220604,81.1,-2.023,84.7
1,9.75,-0.02755,5.97043,11.055,-0.335443,1.60308,0.2480305,-1.72826,371.247,1.67453,0.7918395,0.756659,0.366651,0.1718775,56.41938,16.61776,285.45942965,309.78687415,153,-1.503,82.3
1,10.25,-0.0431,8.123925,11.8183,-0.1960045,1.743,0.2526455,-1.72595,372.3245,1.68028,0.82803,0.825669,0.362454,0.183075,81.12553,24.20234,285.0604456,311.02499835,209.8,-1.024,80.3
1,10.75,-0.0288,9.835485,9.28153,-0.29265,1.85535,0.262771,-1.67189,374.133,2.049395,0.868934,0.839985,0.404569,0.203767,116.0975,31.64459,282.3043986,312.7779693,290.8,-0.708,77.86
1,11.25,-0.04015,14.4659,11.7765,-0.155992,1.72609,0.25456,-1.42311,374.3755,2.058365,0.910497,0.846761,0.374334,0.212833,141.3882,37.95333,278.9342271,312.4734191,351.7,-0.639,76.88
1,11.75,-0.0409,14.461,16.5132,-0.151746,1.67225,0.260136,-1.27938,372.14,2.45049,0.881502,0.888349,0.426869,0.21926,142.1775,37.16875,278.377893,311.2014816,359.5,-0.596,75.45
1,12.25,-0.0653,18.9292,13.29045,-0.1184955,1.69638,0.256566,-1.05766,373.6495,2.197685,0.853313,0.976966,0.412014,0.209422,159.7317,41.05609,279.483015,312.9089121,408.1,-0.541,74.63
1,12.75,-0.0782,15.7889,13.7203,-0.3612455,1.75854,0.267939,-0.973545,371.5125,2.12069,0.95425,0.940744,0.420763,0.205451,158.2344,48.93812,279.0252428,314.2559481,388.9,-0.223,72.31
