DOY2,HR2,CO2,CH4,H2O,FC,FCH4,G_1_1_1,G_2_1_1,G_3_1_1,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,PPFD_IN,TS_1_1_1,TS_2_1_1,TS_3_1_1,TAU,U_SIGMA,V_SIGMA,W_SIGMA,USTAR,WS
1,0.25,415.245,2071.84,0.981867,0.197017,11.9545,-9.93329,-7.28946,-5.54768,-23.9308,0.682408,101.064,77.75175,-18.799,-18.758,0.281186983941362,187.1445,230.0535,0,0,-41.4321,0.0503178,-3.79999999999995,-3.19499999999999,-4.78799999999995,-0.119917,0.805183208965512,0.598145467256921,0.36495616175097,0.296254,6.6082
1,0.75,414.975,2070.1,0.959849,0.173593,17.9584,-9.95429,-7.2906,-5.57518,-22.9518,1.64146,101.04,77.69265,-18.531,-18.5985,0.277977007540356,186.0495,231.118,0,0,-43.3443,0.0450212,-3.79999999999995,-3.161,-4.79999999999995,-0.137705,0.836592493392094,0.639048511460593,0.393994923825168,0.319277,6.76138
1,1.25,414.9925,2068.74,0.9687635,0.149309,22.9962,-10.27615,-7.17822,-5.572245,-21.7771,1.419184,101.0385,77.4623,-18.435,-18.661,0.27718168472699,183.993,231.735,0,0,-44.64615,0.0503178,-3.84999999999997,-3.44149999999999,-4.85049999999999,-0.124249,0.795277100774216,0.623552108830779,0.382581055640833,0.311476,6.93944
1,1.75,415.337,2077.525,0.948956,0.326006,13.3486,-10.2091,-7.24956,-5.50532,-26.7467,1.200186,101.017,77.6324,-18.406,-18.6025,0.264945304719745,188.4005,230.8685,0,0,-42.2919,0.049,-3.89999999999998,-3.49899999999997,-4.89999999999998,-0.128152,0.840192239907035,0.656757184962601,0.370507759702817,0.310257,6.84744
1,2.25,415.117,2069.31,0.950775,0.198193,25.3458,-10.19035,-7.18605,-5.46761,-23.9153,0.800825,101.053,77.5415,-18.7875,-18.59,0.263445778667454,192.713,231.2805,-1.65436122510605e-24,0,-40.98465,0.04768475,-3.94999999999999,-3.55199999999999,-4.9615,-0.138958,0.913721087174252,0.63360047742275,0.391248088355784,0.3431875,7.20069
1,2.75,415.27,2074.04,0.961385,0.2040605,19.0878,-10.2189,-7.33325,-5.32754,-24.1774,0.993096,101.085,77.7049,-18.577,-18.515,0.272978773811963,195.492,233.359,0,-3.46944695195361e-18,-38.70005,0.0489936,-4,-3.601,-5,-0.15762,0.903674166942931,0.639649904244502,0.42135970381611,0.353101,7.36061
1,3.25,414.34,2072.69,1.075095,0.0815116,40.853,-10.3237,-6.83077,-5.27309,-20.5954,1.22535,101.0475,79.224,-18.17,-17.635,0.280085780945045,205.956,236.757,-1.05879118406788e-22,0,-29.6218,0.0503,-3.89999999999998,-3.59999999999997,-5,-0.12994,0.906316279327066,0.622826795749356,0.393183088813702,0.3361715,7.36669
1,3.75,415.214,2072.48738095238,1.1338,0.219129,39.9114295454545,-10.3573,-6.87125,-5.2732,-22.5068,1.88505,101.076,79.7505,-17.7265,-17.8,0.271523983138611,209.1095,237.3655,-4.13590306276514e-25,0.428653,-30.4229,0.0516419,-4.09999999999997,-3.791,-5,-0.141001,0.924580792567653,0.657710881409541,0.382240675060328,0.3400735,7.178105
1,4.25,415.1965,2072.28476190476,1.151625,0.2391145,38.9698590909091,-10.02671,-7.0931,-5.264605,-19.03745,0.961136,100.9565,79.63025,-17.6035,-17.7275,0.266438193114835,206.875,239.861,0,0.5505255,-32.14895,0.0503,-4.14999999999998,-3.84899999999996,-5.04549999999997,-0.1301925,0.910332192381718,0.63323485167017,0.376812753922168,0.32569,7.227845
1,4.75,415.31,2072.08214285714,1.1267,0.1792135,38.0282886363636,-10.4134,-7.1717,-5.32411,-17.56615,1.87591,100.7805,78.4323,-17.6415,-17.828,0.28051968622286,206.052,236.569,0,0.589675,-32.5221,0.049,-4.09999999999997,-3.79999999999995,-5.09399999999999,-0.1485415,0.902684247598752,0.634577167231628,0.394304325494464,0.340943,7.55757
