DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,RH_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,G_1_3_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,NETRAD_1_1_1
1,0.25,-0.0593877,-6.6307775,0.910231,0.273128,0.9251975,0.080417725,16.065775,101.86475,433.6945,8.947965,0.27644225,0.23737575,0.081251425,0.13157875,5.9005,83.625,8.8475,9.0425,9.3775,-3.9518725,-3.1491925,-2.1393425,-4.20105,0.733333,265.54525,346.8845,0,-89.731
1,0.75,-0.043133275,-8.15997,1.05175,0.2237115,0.956624,0.0793011,15.81295,101.87175,431.991,8.302165,0.3027005,0.252999,0.084078225,0.138689,5.5935,83.825,8.8025,8.9825,9.36,-4.30261,-3.2298425,-2.3237725,-4.12603,0.7166665,264.341,346.929,0,-86.7306
1,1.25,-0.03829,-9.695245,1.0902,0.040713,0.93761875,0.08483565,15.632825,101.884,429.747,7.9337375,0.272286,0.2626675,0.086431725,0.13363275,5.46,84.45,8.74,8.905,9.33,-4.25775,-3.48387,-2.4999975,-4.12603,0.733333,264.8515,346.111,0,-85.39045
1,1.75,-0.0456107,-7.64073,0.04752575,0.47969725,0.85132425,0.081907775,15.4747,101.91575,432.4595,7.92659,0.259277,0.24181275,0.0842366,0.1427195,5.349,85.25,8.625,8.79,9.29,-4.60033,-3.548385,-2.9016425,-4.05101,0.733333,264.482,344.751,0,-85.1755
1,2.25,-0.05869065,-8.39165,0.856385,0.168378,0.96926675,0.0854395,15.005825,101.93225,433.08125,8.2815,0.2700165,0.26302725,0.083398325,0.13235025,5.0695,86.5,8.585,8.72,9.21,-5.07341,-3.637095,-3.299185,-4.20105,0.7666665,264.582,342.81525,0,-86.146125
1,2.75,-0.0584054,-9.764465,0.971092,0.362711,0.8857175,0.07985725,14.704775,101.92725,434.8905,8.1877175,0.2771225,0.26238575,0.083743625,0.1282625,4.556,87,8.55,8.66,9.16,-5.399675,-3.71774,-3.241805,-4.05101,0.733333,264.7075,342.21225,0,-84.583425
1,3.25,-0.077303625,-10.060075,1.15257,0.117435375,0.8703265,0.0832881,14.6081,101.9265,433.523,8.19719,0.30992625,0.24860275,0.088290475,0.13326925,4.4815,87.65,8.425,8.615,9.115,-5.76672,-3.87903,-3.46721,-3.97599,0.6,265.9555,341.699,0,-85.3273
1,3.75,-0.0599016,-8.21373,1.0811175,0.3550815,1.002153,0.079735975,14.5414,101.9265,433.42275,7.92734,0.30966,0.25965575,0.0866508,0.1422,4.582,87.4,8.315,8.565,9.035,-6.02773,-4,-3.8524575,-4.05101,0.733333,266.2965,341.042,0,-83.995
1,4.25,-0.0793289,-9.62775,1.715435,-0.03088855,1.00291,0.075082775,14.527075,101.93075,432.02075,7.9340775,0.30143475,0.263491,0.092167225,0.1270505,4.3935,86.8,8.265,8.525,8.99,-6.2969,-4.1371,-4.01639,-4.0135,0.6,264.972,339.8335,0,-84.544
1,4.75,-0.0661631,-7.21447,1.80729,0.13835475,0.893506,0.075791675,14.00065,101.91675,432.61775,7.698,0.269927,0.25762375,0.0823898,0.14426825,4.148,86.15,8.24,8.49,8.945,-6.786295,-4.225805,-4.43443,-4.05101,0.733333,263.333,339.57975,0,-84.33475
