DOY2,HR2,CO2,H2O,T_SONIC,TA,PA,RH,VPD,WS,USTAR,TAU,H,LE,FC,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,SW_IN
1,0.25,412.3371295,5.3155725,-1.162215,-2.1240275,98.41262975,100,0.1036455,4.261282,0.227985,-0.007562,-0.14930475,6.9376075,0.49205475,0.757162,0.583917,0.271487,0.258838,0.04518975,0.587735,0
1,0.75,413.343789,5.246921,-0.723413,-1.8900705,98.40277325,100,0.1719595,3.890924,0.22137,-0.00660675,-0.5948005,7.2089825,0.4531755,0.724657,0.592817,0.270836,0.265799,0.04622975,0.7137555,0
1,1.25,412.81538,5.247423,-0.8902865,-1.71491375,98.40055,100,0.22903375,4.0000125,0.221565,-0.0048415,0.36747825,7.0435535,0.476437,0.7906875,0.5997405,0.281264,0.2443885,0.0515525,0.6158495,0
1,1.75,412.726497,5.383677,-1.041345,-1.9060395,98.376496,100,0.1933185,4.545195,0.230931,-0.0102785,0.33026575,7.81972125,0.5094085,0.83003,0.63619775,0.28940525,0.24877425,0.046479,0.6847625,0
1,2.25,413.17808025,5.725403,-0.76430825,-2.0270295,98.4117995,100,0.14991175,4.23471325,0.23789,-0.004645,0.4521515,7.647803,0.53168175,0.811309,0.64997525,0.290517,0.28240275,0.057329,0.541483,0
1,2.75,413.6786135,5.64267975,-0.7004475,-1.893755,98.3533145,100,0.1187,4.300738,0.2456655,-0.0048965,0.52184725,6.95469125,0.4140825,0.802142,0.668786,0.288981,0.240747,0.0471745,0.59083275,0
1,3.25,411.84522775,5.67289425,-0.23772375,-1.96553025,98.348896,100,0.12434775,4.455024,0.24795825,-0.0073035,-0.0926895,8.8462445,0.5550815,0.84461425,0.682062,0.298146,0.26881725,0.03959625,0.45885675,0
1,3.75,412.092689,5.45862475,-0.3301935,-1.2846695,98.3090575,100,0.269054,4.404528,0.2611995,-0.0066815,-0.0468515,8.2046075,0.545234,0.8679665,0.6913715,0.300306,0.283613,0.0448985,0.61906075,0
1,4.25,411.286553,5.685809,-0.964146,-1.657626,98.331171,100,0.2051675,4.42930925,0.2608225,-0.0069775,0.225049,7.431452,0.59662,0.83282225,0.68483875,0.3090735,0.278829,0.037041,0.5604175,0
1,4.75,411.506417,5.658028,-1.139389,-1.936492,98.320011,100,0.133617,4.244609,0.247902,-0.007563,-0.12039,8.472237,0.52701,0.795208,0.659943,0.296809,0.277569,0.0387,0.551551,0
1,5.25,411.822953,5.31805725,-1.515105,-2.10819475,98.350937,100,0.141805,4.294689,0.254654,-0.006453,-0.190123,8.207869,0.56830825,0.853903,0.679754,0.299252,0.256349,0.0407475,0.428536,0
1,5.75,412.374281,5.489906,-1.200658,-1.759484,98.3373015,100,0.11977325,4.373159,0.246949,-0.007144,-0.3950435,7.852559,0.5758255,0.829938,0.633148,0.298117,0.248425,0.043173,0.453411,0
1,6.25,412.198365,5.53204,-0.920832,-1.95361675,98.354643,100,0.093229,4.5284405,0.255612,-0.0065265,0.0056845,8.433404,0.481176,0.85797,0.6856795,0.308908,0.2617155,0.040135,0.381316,0
1,6.75,412.62234975,5.48083925,-1.110857,-2.138179,98.36159,100,0.05949575,4.337649,0.240756,-0.006721,-0.059853,7.53139225,0.5433615,0.870268,0.646323,0.297782,0.243479,0.03770275,0.39211825,0
1,7.25,411.875581,5.435658,-1.052734,-1.664438,98.37074225,100,0.0689785,4.085007,0.23670925,-0.0102065,0.630372,5.87435675,0.473992,0.72685025,0.613983,0.2774325,0.2714685,0.049112,0.4573675,0
1,7.75,412.5565765,5.41953275,-1.13821125,-1.7936185,98.3436855,100,0.0818745,4.41715,0.254916,-0.008263,0.6215165,7.67236575,0.498599,0.80698875,0.6474135,0.289,0.25950525,0.053039,0.445408,2.43419175
1,8.25,412.3077925,5.40741,-1.086912,-1.8739965,98.4106145,100,0.0616825,4.559142,0.246718,-0.008086,1.05614425,8.003757,0.51337375,0.82558,0.708683,0.292313,0.276053,0.0517985,0.527356,27.43427775
1,8.75,413.197392,5.63160225,-0.9858735,-1.67160675,98.403817,100,0.03713475,4.05068025,0.243136,-0.0084165,1.425924,9.47874475,0.5584455,0.773068,0.705835,0.2770215,0.2307735,0.0416265,0.70185025,70.0028855
1,9.25,414.83200525,5.48997125,-0.883684,-1.562894,98.397087,100,0.0253965,3.8846345,0.2332265,-0.010754,3.36267,10.098895,0.550228,0.827995,0.666738,0.267404,0.22183,0.04209925,0.51739575,119.3565415
1,9.75,414.7313585,5.5938,-0.6182975,-1.196414,98.363832,100,0.04508025,4.4211855,0.253174,-0.013918,4.807587,13.898417,0.46761975,0.857925,0.710011,0.2857705,0.2025055,0.039666,0.46431,182.36489475
1,10.25,414.059748,5.6964405,-0.3488325,-1.004681,98.365358,100,0.08391125,4.555005,0.28154625,-0.0205335,11.8596065,17.9812535,0.371224,0.86819225,0.76792225,0.311915,0.2265055,0.029479,0.6073565,226.221515
1,10.75,413.706884,5.76367875,0.005878,-0.824547,98.389182,100,0.21614175,4.50501,0.285107,-0.025957,14.8521165,18.0537335,0.402875,0.898506,0.794315,0.320576,0.223598,0.032087,0.775636,267.70780275
1,11.25,412.81985575,6.1426235,0.31559325,-0.675937,98.33381475,100,0.15313825,5.09991475,0.293188,-0.0269025,17.040059,18.98358225,0.39586,0.9624795,0.85773875,0.33466875,0.21108225,0.03143175,0.8114795,334.9049645
1,11.75,412.17672175,6.0586405,0.36132325,-0.29058575,98.293176,100,0.217532,4.98435875,0.3144245,-0.0277545,18.8177355,24.835947,0.379916,0.9938805,0.844534,0.3442955,0.2286835,0.03250975,0.796297,325.16268775
1,12.25,411.6745635,6.249573,0.546587,-0.3008355,98.199797,100,0.3029715,5.288482,0.31461,-0.024023,18.264938,23.9529765,0.33701,0.981152,0.90053,0.360935,0.204113,0.0273305,0.74933075,336.96123375
1,12.75,411.259751,6.215979,0.5789035,-0.374708,98.266418,100,0.37123,5.17875175,0.304127,-0.02560825,15.683961,22.622796,0.408754,0.940412,0.88002625,0.34649325,0.200871,0.028196,0.7804045,339.8691075
1,13.25,411.3788635,5.93306,0.8140495,-0.1904975,98.2273935,100,0.42352125,5.2100485,0.3164905,-0.0327745,18.983622,27.065902,0.3860855,0.9682905,0.94765,0.353453,0.212619,0.02897,0.9003585,344.005441
1,13.75,411.09236125,6.05266025,0.77803,-0.0838345,98.20436425,100,0.383435,5.304236,0.314664,-0.03176975,13.310976,25.28648475,0.36687,0.956589,0.913573,0.356944,0.19896,0.0277445,0.8562345,293.59726675
1,14.25,411.212107,6.0281155,0.856608,0.03425,98.201061,100,0.44412125,5.095062,0.308074,-0.03066425,10.2458715,25.11013925,0.391152,0.919956,0.868009,0.33768,0.184951,0.026363,0.900225,260.15453825
1,14.75,410.890021,6.2237115,0.847412,0.146636,98.187458,100,0.462095,5.170534,0.322888,-0.029921,6.807926,20.996982,0.406714,1.020182,0.904285,0.366329,0.167637,0.02478,0.72915825,202.5952355
1,15.25,411.528046,6.15748075,0.85668875,0.241495,98.205828,100,0.466567,4.84912175,0.297038,-0.02621,3.871604,18.42098575,0.422367,0.95533625,0.81707825,0.33394775,0.159712,0.024266,0.770115,165.5582245
1,15.75,411.568504,6.2600175,1.0026935,0.0964105,98.1881515,100,0.405863,4.88339825,0.29284525,-0.019117,0.35010775,15.435699,0.4155005,0.92580275,0.8391135,0.34160925,0.1747615,0.0272825,0.6245075,111.05108575
1,16.25,411.561007,6.050138,0.8954855,-0.20423825,98.208193,100,0.423987,4.625502,0.2709435,-0.01979325,-0.9538815,14.772186,0.468809,0.890388,0.7401205,0.318733,0.1811525,0.026221,0.5504175,68.52547675
1,16.75,411.77482425,6.1526905,0.93722425,-0.2252185,98.295058,100,0.3022385,4.325889,0.25928925,-0.01730925,-1.433347,11.3034695,0.448907,0.86109225,0.71575325,0.30947125,0.21655475,0.02994125,0.4810925,25.043894
1,17.25,411.271549,5.6557015,0.6249375,-0.3793975,98.3040075,100,0.23510025,4.09042325,0.242881,-0.012682,-1.89445325,7.60313475,0.4798695,0.853066,0.64703175,0.2820145,0.25432275,0.040026,0.43266775,3.94287875
1,17.75,412.252712,5.8118215,0.531597,-0.373026,98.314347,100,0.132019,3.888226,0.23586,-0.0118055,-1.6927695,6.3005035,0.512775,0.789998,0.624835,0.2804385,0.246288,0.038603,0.407683,0
1,18.25,412.183649,5.83309925,0.28109725,-0.616489,98.304749,100,0.086326,3.81670975,0.2129075,-0.0083405,-1.551915,4.42298975,0.436764,0.74525775,0.584125,0.2556735,0.28423225,0.042214,0.3991325,0
1,18.75,412.0103615,5.91237175,0.422259,-1.039842,98.304614,100,0.090933,3.657568,0.2182535,-0.0077945,-1.44065675,5.27270675,0.447599,0.6966485,0.550502,0.2581785,0.2870145,0.0586145,0.3855605,0
1,19.25,412.160423,5.54336525,0.0458405,-1.36714825,98.349353,100,0,3.788504,0.216216,-0.007482,-0.61384525,6.5830565,0.4340095,0.732167,0.53839725,0.2564625,0.2554615,0.045579,0.3877255,0
1,19.75,412.0903465,5.3762075,-0.02138375,-1.6611555,98.3477225,100,0.0041635,3.80031425,0.2131495,-0.00892375,-0.392718,5.778653,0.474793,0.722246,0.6059365,0.25444025,0.27529975,0.0468665,0.484112,0
1,20.25,412.4351935,5.4255665,-0.296752,-1.66526975,98.33675225,100,0.117132,3.66177425,0.2156555,-0.00870475,-0.750112,5.818165,0.4863205,0.69362025,0.60205175,0.257826,0.2786955,0.05014275,0.474558,0
1,20.75,412.81874,5.215851,-0.24389,-1.9575645,98.42613275,100,0.085759,3.605311,0.2187915,-0.00565675,-0.04588375,5.227548,0.599485,0.71698375,0.6017335,0.25559775,0.304049,0.051222,0.495719,0
1,21.25,412.9815695,5.232853,-0.664409,-2.44690575,98.4127555,100,0.014525,3.777635,0.227913,-0.00486175,-0.3405305,4.037969,0.57094175,0.706513,0.614883,0.267092,0.299875,0.04839275,0.4232655,0
1,21.75,412.53223675,5.27037,-0.52024075,-2.22870725,98.40877975,100,0.1641265,3.7212925,0.22431075,-0.00785325,-0.325067,4.199142,0.605538,0.73259525,0.5445545,0.276221,0.302494,0.0534355,0.573261,0
1,22.25,413.53461725,5.5175165,-0.8658055,-1.7953315,98.40281125,100,0.06635375,3.6079325,0.2217745,-0.006631,-0.673243,5.16555225,0.4963105,0.685856,0.5557485,0.2716825,0.28146,0.05201225,0.559073,0
1,22.75,411.930112,5.27071725,-0.5581365,-1.4613295,98.414763,100,0.160765,3.791428,0.212804,-0.00684075,-0.427707,4.911127,0.47563775,0.730764,0.57863775,0.262668,0.26956775,0.04786475,0.47263,0
