DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,PA_1_1_2,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_IN,LW_OUT,PPFD_IN,RH,G_1_1_1,G_2_1_1,G_3_1_1,SW_IN,SW_OUT,TA
1,9.75,-0.030425,-9.072625,1.22564075,0.22558,3.9415325,0.240202,3.2505025,99.0296,0.112150583,426.71475,5.5208175,1.2497125,1.171905,0.43201425,0.35944425,296.5715,314.1045,8.401285,88.0983,-0.074825,-1.183885,-2.857035,3.35,2.9834775,-2.9510775
1,10.25,-0.0276,-3.0675975,1.84611,0.32721275,3.830875,0.25321,2.33499275,99.390275,0.134198948,427.11325,5.4853075,1.0358,1.1227,0.389145,0.32764825,300.1685,312.517,19.800225,87.670025,-0.074525,-1.1849475,-1.58247,9.6063075,7.4416075,-3.0975
1,10.75,-0.0070625,-3.49976,2.1647525,0.11805425,4.2238,0.313142,1.11320775,99.14255,0.123032364,427.73575,5.6083275,1.0595225,1.018615,0.41617375,0.287232,295.2635,310.34175,45.16765,87.413325,-0.061825,-1.1880525,-1.5784,28.0475,21.6327,-2.9479725
1,11.25,-0.012415,-4.1456225,1.32172,0.1891815,4.0409125,0.26656125,2.222999,99.009775,0.1188950125,427.719,5.6239775,1.1327825,0.96407775,0.41630725,0.22521675,297.63175,310.014,89.935975,86.7592,-0.048925,-1.19046,-1.56987,54.2,37.4613,-3.0011825
1,11.75,-0.00959,-3.9699575,0.46647675,0.26130075,3.52168,0.2757615,2.4792555,98.996475,0.1173829855,427.34075,5.667325,1.084715,1.02535075,0.3890935,0.22380325,298.60575,314.22775,119.4875,86.02,-0.050075,-1.190305,-1.5641,78.36325,51.92585,-2.793825
1,12.25,-0.0110925,-5.66993,1.571248,0.1469595,3.379925,0.27810175,1.27964,98.9684,0.15058407725,428.502,5.51746,1.00583425,0.805485,0.3778975,0.2427015,302.20575,314.659,126.54175,84.2433,-0.049225,-1.1890825,-1.5568,96.9591916675,55.9042,-1.501
1,12.75,-0.02005,-5.3304825,1.6002275,0.09885,3.4423325,0.24355925,1.17852975,98.95425,0.15560491175,429.21425,5.5454525,1.005284,1.02109125,0.381123,0.26282575,303.17525,314.61175,174.51875,84.9167,-0.05,-1.186945,-1.55143,117.525,68.68555,-0.72525
1,13.25,-0.0174,-4.39227,1.1817575,0.154528925,3.1188025,0.23518675,1.3762025,98.936975,0.16952077875,429.79925,5.56747,0.90050275,0.97247575,0.34713,0.2716675,303.746,314.72175,199.5705,85.885825,-0.04975,-1.1865225,-1.54643,120.6445,76.7673,-0.364
1,13.75,-0.018375,-3.49819,1.9766475,0.25084625,3.570645,0.23206225,1.6626955,98.938525,0.17170911675,430.22625,5.5460975,0.999329,0.89500675,0.34933625,0.22162375,300.28025,314.47275,199.036,86.31915,-0.0497,-1.18528,-1.53777,120.396666675,79.2235,-0.71225
1,14.25,-0.015145,-2.57868,2.675795,0.187112,3.11655,0.220599,1.79689,100.03635,0.139597164,431.8095,5.44008,0.925479,0.8960525,0.343422,0.172788,299.707,312.938,196.327,86.335,-0.056,-1.195635,-1.500935,121.08,83.25865,-0.186
