DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
1,0.25,1.8142,0.4353,0.357,0.1175,-3.293,-5.49575,74.1325,97.202575,-2.6466,0.2202,394.93775,5.3232,0.19475,0.19475,-27.032125,-0.184325,0.133375,1.2355,0.38075,235.325,284.275,0.675,0,0,-57.93875,-23.6725,-18.425,-20.9975,-24.8625,-21.989375,2.94525,3.26875,3.129625,4.714,4.77175,4.827125
1,0.75,1.823025,0.372575,0.416,0.132375,-3.3755,-5.8875,74.745,97.16035,-2.9693,0.265775,393.685,5.61795,0.232575,0.232575,-34.22945,2.71075,0.1458,1.2355,0.27225,234.8,284.925,0.675,0,0,-60.3765,-23.985,-18.275,-21.7325,-23.9375,-22.133125,2.89075,3.235,3.06775,4.723,4.747,4.8285
1,1.25,1.6192,0.3308,0.4244,0.094,-3.813,-5.297,74.365,97.1326,-2.8721,0.25845,394.3348,5.2498,0.039675,0.039675,-33.7965,2.06445,0.1286,1.2355,0.4935,235.2,286.55,0.676,0,0,-58.7955,-24.1625,-17.865,-21.5125,-23.28,-21.60625,2.8385,3.1755,3.015125,4.7345,4.72575,4.823125
1,1.75,1.8011,0.3439,0.3852,0.1147,-3.473,-5.27625,75.2775,97.101975,-2.894,0.20705,394.3302,5.20035,0.30375,0.30375,-29.79005,-0.2221,0.12595,1.2355,0.218,233.875,286.675,0.67575,0,0,-60.26225,-24.615,-18.1375,-21.0725,-23.41,-21.2525,2.80775,3.13725,2.9545,4.7465,4.71575,4.8165
1,2.25,1.6291,0.3817,0.3231,0.0855,-3.384,-5.383,75.505,97.0697,-2.43695,0.28515,393.7596,5.16205,0.10895,0.10895,-27.112525,-0.785775,0.091225,1.2355,0.167,236.5,286,0.675,0,0,-59.23075,-23.93,-17.915,-20.995,-24.4625,-20.790625,2.7825,3.06475,2.9105,4.7545,4.70225,4.8135
1,2.75,1.6424,0.405,0.3733,0.1019,-3.67925,-5.40325,77.595,97.053475,-2.413825,0.241325,393.3268,5.1212,0.2176,0.2176,-30.760725,1.7384,0.1415,1.2355,0.24825,238.075,284.625,0.675,0,0,-54.6315,-24.29,-17.8475,-21.9375,-25.02,-21.215625,2.7575,2.99775,2.868625,4.767,4.69075,4.811625
1,3.25,1.7749,0.3709,0.347,0.0789,-3.9055,-5.83825,78.9125,97.030975,-2.74225,0.2209,392.5507,4.880975,0.1919,0.1919,-27.174675,-0.4702,0.1785,1.2355,0.16525,236.475,283.425,0.675,0,0,-56.301,-24.625,-17.8125,-22.19,-24.7725,-21.7825,2.73125,2.947,2.82525,4.7775,4.68,4.794625
1,3.75,1.7644,0.3432,0.3757,0.1141,-3.85525,-6.37125,80.2725,97.0055,-2.9526,0.28065,393.162,5.069425,-0.067075,-0.067075,-26.9097,0.5031,0.1764,1.2355,0.155,233.7,282.425,0.675,0,0,-55.3365,-25.085,-17.71,-22.3475,-24.2075,-22.06125,2.685,2.90625,2.767875,4.7855,4.668,4.7755
1,4.25,1.8704,0.4602,0.3616,0.1529,-3.89825,-6.2855,78.9375,96.9905,-3.1557,0.2804,392.4546,4.8732,0.09485,0.09485,-24.6338,-1.0446,0.160575,1.2355,0.27975,233.7,282.175,0.675,0,0,-57.8845,-25.82,-18.03,-21.88,-24.41,-22.048125,2.638,2.8715,2.72575,4.78575,4.654,4.76225
1,4.75,1.9398,0.3496,0.3448,0.136,-3.8465,-6.30475,78.1725,96.970225,-2.9346,0.273475,392.7255,5.06025,0.18385,0.18385,-26.028075,-1.31955,0.1322,1.2355,0.33825,235.2,281.625,0.675,0,0,-57.5755,-25.605,-18.06,-20.84,-24.2775,-21.69,2.622,2.83225,2.691,4.7705,4.63975,4.747875
