DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,V_SIGMA,W_SIGMA,PA_1_1_1,RH_1_1_1,RH_1_2_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_2_1,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_1_10_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_2_10_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,NEE
1,0.25,0.0873645,391.58,-0.14936,-11.37895,-0.12414,0.867605,-3.8289,-0.177465,-2.885775,-4.13415,-3.473775,-6.877325,1.83515,0.07065,0.604475,0.1844545,97.7145,66.7075,74.12475,0.32647,-21.3925,-23.894,-24.97775,-19.705,-7.978925,-7.051325,-2.7324,-2.992825,-1.938925,-1.37845,-1.045725,-0.6280325,-0.7181775,-0.42975,-6.3695,-4.986275,-3.88565,-2.743025,-1.853425,0.01539275,-0.632465,-0.576855,0,0,213.8975,212.56,-0.014,-0.006,0.2033125
1,0.75,0.149465,391.61,-0.167955,-7.9784,-0.128985,0.86501,-3.77355,-0.18041,-2.8822,-4.129325,-3.465525,-6.861175,1.47965,0.0679,0.39629,0.2126,97.734,66.435,73.947,0.316155,-21.4,-23.867,-25.39525,-19.93,-8.03555,-7.012025,-2.7455,-2.9767,-1.937675,-1.368025,-1.05055,-0.629395,-0.7167875,-0.4398175,-6.37895,-4.9803,-3.900825,-2.739175,-1.8455,0.015107,-0.627175,-0.5691425,0,0,214.6775,211.6425,-0.01125,-0.00425,-0.00300675
1,1.25,0.0335625,392.65,-0.14811,-9.71615,-0.12224,0.878985,-4.015925,-0.7390725,-2.881575,-4.134225,-3.4587,-6.843825,1.456,0.103095,0.49625,0.185205,97.615,67.1075,73.9455,0.33248,-21.4475,-23.83925,-25.49225,-19.225,-8.053425,-7.0083,-2.72615,-2.951775,-1.975425,-1.3711,-1.06645,-0.6362125,-0.72786,-0.434855,-6.39945,-4.985525,-3.8609,-2.738825,-1.835425,0.02753575,-0.63539,-0.5715325,0,0,214.135,211.38,-0.015,-0.00825,0.049345
1,1.75,0.043325,392.78,-0.074925,-7.05125,0.0648,0.9711,-2.068875,-0.52323,-2.885025,-4.1365,-3.452075,-6.82695,1.8142,0.0728,0.4047,0.20421,97.5055,67.1,73.826,0.333105,-21.4225,-23.74025,-25.8275,-18.935,-8.186275,-7.1345,-2.755,-2.965225,-1.95415,-1.366325,-1.04545,-0.6339675,-0.724645,-0.4255,-6.35955,-5.03195,-3.8425,-2.722675,-1.845175,0.04425025,-0.6246425,-0.5547525,0,0,212.2475,210.58,-0.01425,-0.0065,0.01533575
1,2.25,0.061583,391.335,-0.0303,-8.33875,-0.18818,0.98863,-1.7541,-0.27171,-2.8826,-4.140325,-3.443825,-6.809675,1.98425,0.05425,0.396665,0.22519,97.522,66.59,73.67625,0.33158,-21.845,-23.85175,-25.79925,-19.015,-8.39305,-7.2557,-2.7696,-2.982425,-1.9674,-1.364625,-1.0669,-0.639105,-0.71843,-0.4367525,-6.37325,-5.0074,-3.85365,-2.71315,-1.844625,0.02299975,-0.6257125,-0.5616425,0,0,214.11,211.965,-0.013,-0.0065,0.109025
1,2.75,-0.036493,389.65,-0.137655,-8.2367,-0.20086,0.985595,-3.15815,-0.2333925,-2.881375,-4.1452,-3.43565,-6.7922,1.8434,0.085595,0.38863,0.24617,97.5215,66.6225,74.24125,0.33109,-21.9275,-23.7335,-25.94225,-19.175,-8.575,-7.35405,-2.81865,-3.0099,-1.9541,-1.365275,-1.072625,-0.6279675,-0.7283225,-0.4442475,-6.390775,-4.996425,-3.8634,-2.741875,-1.82235,0.03535675,-0.6225,-0.5536775,0,0,214.0475,213.01,-0.01525,-0.007,0.12066
1,3.25,-0.00354125,390.4825,-0.104805,-8.40705,-0.243595,0.971745,-2.11265,-0.414745,-2.880525,-4.14545,-3.439325,-6.775325,2.0283,0.06065,0.351095,0.2205825,97.56225,66.8175,74.5815,0.3345775,-22.2725,-23.81425,-25.98375,-19.1725,-8.6314,-7.498,-2.79705,-3.048225,-1.969575,-1.345625,-1.039925,-0.62289,-0.7272175,-0.44643,-6.37365,-5.005675,-3.86985,-2.744725,-1.808225,0.03717825,-0.61261,-0.54036,0,0,214.4075,213.38,-0.013,-0.008,-0.0010525
1,3.75,0.019575,387.8,-0.0086975,-7.1102,-0.096645,0.97918,-2.2266,-0.452605,-2.8809,-4.143975,-3.445425,-6.758875,1.6076,0.0779,0.38991,0.2281725,97.569,66.89,74.4895,0.33661,-22.2325,-23.949,-25.565,-19.01,-8.692175,-7.613775,-2.7955,-3.074925,-2.03395,-1.357275,-1.041975,-0.6381775,-0.7380675,-0.4447875,-6.362425,-5.028325,-3.857975,-2.74635,-1.81305,0.02350025,-0.60661,-0.5364275,0,0,212.655,213.285,-0.00975,-0.004,-0.0796625
1,4.25,-0.0378,391.45,-0.12174,-11.8,-0.2729575,0.98192,-3.0234,-0.36739,-2.88055,-4.143175,-3.449775,-6.747025,2.1068,0.1001,0.4551,0.20591,97.576,66.6025,74.0475,0.33483,-22.1775,-23.874,-25.78425,-18.98,-8.72145,-7.6836,-2.77855,-3.05465,-2.048025,-1.368575,-1.04955,-0.631,-0.7393575,-0.4463225,-6.349825,-4.969675,-3.8609,-2.727675,-1.807575,0.0318215,-0.5847125,-0.54179,0,0,212.1325,213.375,-0.01125,-0.005,-0.041195
1,4.75,-0.01764975,390.5075,-0.0741975,-18.54825,-0.8593975,1.0197525,-3.38055,-0.33619,-2.8811,-4.141725,-3.45605,-6.7427,1.620175,0.06705,0.53156,0.3743625,97.5425,65.8225,73.937,0.3259075,-21.93,-23.8535,-25.823,-18.485,-8.728175,-7.65185,-2.7826,-3.022825,-2.05535,-1.370025,-1.0463,-0.617105,-0.7371775,-0.443145,-6.346175,-4.9523,-3.8803,-2.7554,-1.833925,0.023464,-0.5771825,-0.5547525,0,0,211.9875,213.745,-0.01325,-0.006,0.057815
1,5.25,0.02034675,390.4775,-0.1155075,-19.588,-0.1976075,1.0279325,-1.76435,-0.0405,-2.88125,-4.151875,-3.46215,-6.7372,2.57295,0.06245,0.6438,0.4314,97.52975,66.225,73.809,0.31829,-22.0225,-24.05425,-25.3175,-18.5475,-8.71465,-7.685325,-2.7994,-3.017525,-2.045775,-1.3831,-1.024225,-0.6163925,-0.7256075,-0.4294325,-6.407275,-4.971425,-3.876725,-2.737925,-1.85855,0.008214,-0.5771775,-0.58229,0,0,212.8075,213.675,-0.012,-0.00525,0.10852
1,5.75,-0.037057,390.2775,-0.10996,-30.102,-0.0506,1.012995,-4.3037,-0.36309,-2.886875,-4.154425,-3.467125,-6.724275,1.656275,0.0862,0.565605,0.38076925,97.54875,66.185,74.2475,0.3179,-22.245,-24.1555,-25.37275,-18.575,-8.725025,-7.709,-2.7966,-3.042,-2.02585,-1.42155,-1.0411,-0.6221425,-0.7125,-0.4385025,-6.4094,-4.969025,-3.889525,-2.753725,-1.832275,0.016857,-0.560215,-0.555105,0,0,212.5475,212.925,-0.00825,-0.004,0.0685
1,6.25,-0.0036155,390.165,-0.2508825,-21.91975,-0.49025,0.9570025,-2.180375,-0.150285,-2.88935,-4.159975,-3.47145,-6.7213,2.033,0.06755,0.51641,0.31808,97.62,66.2175,74.67475,0.318585,-22.3325,-24.3155,-25.4335,-19.4925,-8.71145,-7.7498,-2.7821,-3.0742,-2.02075,-1.443125,-1.02085,-0.608535,-0.7263225,-0.43725,-6.376325,-5.0265,-3.88715,-2.75645,-1.835625,0.01875,-0.5715375,-0.54761,0,0,213.3675,213.045,-0.01,-0.0035,0.12486
1,6.75,0.03116825,390.11,-0.09855,-31.5465,-1.0203,0.9515975,-2.368,-0.50187,-2.88675,-4.1654,-3.47925,-6.736075,2.3848,0.097535,0.57357,0.44495,97.69875,66.9675,74.38475,0.318235,-22.135,-24.19675,-25.2525,-19.6625,-8.642825,-7.788875,-2.966,-3.1565,-2.00615,-1.478325,-1.0192575,-0.622325,-0.7194975,-0.4277875,-6.39005,-5.0017,-3.90265,-2.754175,-1.8363,0.016893,-0.57425,-0.5521775,0,0,213.275,214.065,-0.011,-0.009,0.094025
1,7.25,0.06530475,389.89,-0.10053,-22.09275,-0.86205,0.951445,-2.8926,-0.25424,-2.884725,-4.17205,-3.480525,-6.7511,2.34415,0.067225,0.61671,0.48195,97.787,67.175,74.447,0.3184125,-21.8475,-24.11525,-25.27,-19.535,-8.646825,-7.861575,-2.98685,-3.174475,-1.9904,-1.4434,-1.018225,-0.633395,-0.7204275,-0.4333575,-6.37605,-5.034,-3.87975,-2.761425,-1.78015,0.0056785,-0.5790325,-0.5463225,0,0,213.26,215.1,-0.012,-0.009,-0.022276
1,7.75,0.0831295,389.65,-0.06135,-22.21575,-0.0857,0.9557625,-0.4601775,-0.1331925,-2.8842,-4.17105,-3.479625,-6.7674,2.644475,0.0769,0.553445,0.3818425,97.782,67.75,74.9165,0.3212975,-21.835,-24.26425,-25.0175,-19.46,-8.79135,-7.9041,-3.003,-3.172275,-2.021275,-1.4423,-1.037475,-0.64775,-0.71543,-0.435105,-6.3586,-5.046675,-3.861375,-2.7673,-1.793725,0.00164275,-0.598785,-0.560035,0,0,213.2725,214.685,-0.01225,-0.00725,0.093187
1,8.25,-0.077058,388.72,-0.093975,-19.62175,-0.13418,0.9489625,-1.0619375,-0.24629,-2.883025,-4.16725,-3.479225,-6.784025,2.335875,0.09905,0.598025,0.42497,97.79675,67.9275,74.86775,0.325675,-21.845,-24.025,-25.16175,-19.5475,-8.64035,-7.892475,-2.992925,-3.126925,-2.01425,-1.430825,-1.0236725,-0.6408225,-0.7322525,-0.41857,-6.3358,-5.01095,-3.868175,-2.73765,-1.8128,-0.010036,-0.5921775,-0.541575,0,0,213.4575,213.675,-0.0135,-0.006,0.10193
1,8.75,0.0369175,387.215,-0.10118,-15.20925,-0.48928,0.945955,-3.14735,-0.81337,-2.891,-4.164,-3.4781,-6.772275,1.65145,0.088,0.562655,0.285645,97.75075,68.1025,75.6115,0.3241075,-21.8325,-24.15625,-25.00075,-19.52,-8.6725,-7.83375,-3.00315,-3.1431,-2.02235,-1.423875,-1.026995,-0.6350375,-0.7280325,-0.4405,-6.312775,-4.970175,-3.8386,-2.731775,-1.8179,-0.00860725,-0.59454,-0.53575,0,0,215.785,213.94,-0.00225,0,0.2440525
1,9.25,0.00773375,388.6575,-0.08565,-18.084,-0.94146,0.9349975,-4.887,-0.730055,-2.899,-4.160275,-3.48175,-6.759575,1.626575,0.1072,0.47169,0.21863,97.7375,67.6675,75.69525,0.31822,-21.965,-24.0865,-24.6085,-19.5,-8.64715,-7.745525,-2.981675,-3.24285,-2.048725,-1.4239,-1.035075,-0.615105,-0.7337475,-0.4450325,-6.3237,-4.972575,-3.855225,-2.7158,-1.82505,-0.01757175,-0.593895,-0.548285,0,0,213.9325,214.845,0.05375,0.0345,0.194285
1,9.75,-0.001679,390.1775,-0.2208075,-16.0135,-0.89703,0.928295,-1.584375,-0.2116375,-2.908575,-4.156925,-3.488875,-6.7444,2.040175,0.1001125,0.54229,0.3513,97.73175,67.0575,75.34025,0.3202425,-22.02,-23.97325,-24.36825,-19.52,-8.616775,-7.65215,-2.94115,-3.2521,-2.1005,-1.399325,-1.02895,-0.6083225,-0.727325,-0.4433575,-6.31945,-4.971025,-3.89575,-2.704925,-1.835725,-0.02653575,-0.6041775,-0.5639625,0.2972425,0.4864725,214.8075,215.915,1.08025,0.657,0.05728
1,10.25,0.0108715,390.0775,-0.04245,-17.132,-0.7777,0.920435,-2.164825,-0.4756275,-2.9167,-4.154175,-3.49745,-6.732075,2.296425,0.1366875,0.5095075,0.2634525,97.7055,66.8775,75.234,0.3231825,-22.1025,-24.1935,-24.53625,-19.825,-8.63645,-7.587425,-2.9219,-3.2252,-2.129225,-1.388525,-1.04285,-0.61182,-0.7435675,-0.450895,-6.337325,-4.970625,-3.884875,-2.70265,-1.816875,-0.003536,-0.592285,-0.557355,2.309725,2.3234,215.4725,215.91,6.35725,3.86525,0.1826025
1,10.75,-0.19371,387.485,-0.249725,-15.862,-0.20774,0.921775,-3.99765,-0.78808,-2.923875,-4.15255,-3.502575,-6.72065,2.43925,0.16457,0.501145,0.35175,97.6115,67.4225,75.26975,0.32618,-21.7325,-24.02,-24.59425,-19.5,-8.62675,-7.480675,-2.794325,-3.21525,-2.142925,-1.3947,-1.039725,-0.60968,-0.734895,-0.4642175,-6.324,-4.949425,-3.87205,-2.7151,-1.832325,-0.00578575,-0.58229,-0.5658225,6.813375,5.879775,215.6475,216.66,16.0125,10.7025,-0.084005
1,11.25,-0.1921725,387.99,-0.34925,-12.901,0.00548,0.93918,-3.369,-0.44316,-2.924375,-4.15205,-3.509525,-6.7149,2.2914,0.15042,0.4586425,0.2564975,97.5745,67.99,74.91475,0.339885,-21.4275,-23.777,-24.092,-18.975,-8.524425,-7.414175,-2.5381,-3.223675,-2.139875,-1.396925,-1.043475,-0.624645,-0.7471825,-0.4737175,-6.3349,-4.9608,-3.893325,-2.70545,-1.8236,0.01089275,-0.6039275,-0.56493,12.75,9.8826,216.375,216.81,29.0875,19.84,0.04524
1,11.75,0.0941045,387.835,-0.07975,-22.5785,0.10408,0.96834,-1.3102,-0.41031,-2.924725,-4.15025,-3.517025,-6.716675,2.28235,0.18862,0.47562,0.32242,97.542,67.6125,75.2225,0.34652,-21.3925,-23.69,-22.66,-18.74,-8.339925,-7.3802,-2.5534,-3.28805,-2.14005,-1.41855,-1.059525,-0.604965,-0.746855,-0.4597175,-6.340375,-4.96625,-3.90635,-2.7007,-1.833525,0.0281075,-0.58568,-0.560645,16.59625,14.899,219.005,220.685,41.36,31.765,0.115975
1,12.25,0.018637,387.375,-0.082035,-16.5035,0.1039475,0.97131,-1.055915,-0.4212725,-2.921625,-4.14775,-3.523525,-6.716875,2.09725,0.176595,0.44588,0.2674545,97.519,67.64,73.8115,0.35116,-21.1275,-22.667,-21.5665,-18.575,-8.2456,-7.253125,-2.5653,-3.25245,-2.17765,-1.4547,-1.021025,-0.6082825,-0.7407175,-0.46682,-6.35855,-5.004675,-3.8677,-2.721775,-1.823675,0.0305355,-0.5703225,-0.5505025,21.3865,17.6565,218.9125,222.76,51.8225,41.69,0.02514975
1,12.75,-0.0382935,387.115,-0.108085,-11.6345,0.3479475,1.01298,0.571385,-0.0829,-2.920825,-4.14655,-3.531325,-6.719275,1.52195,0.13131,0.480535,0.30766,97.526,67.215,73.79475,0.365695,-20.75,-22.0655,-21.038,-18.325,-8.187075,-7.1871,-2.4549,-3.2446,-2.113925,-1.44915,-1.0236,-0.6260675,-0.73254,-0.461855,-6.3637,-5.011175,-3.87675,-2.7143,-1.808925,0.035214,-0.5762825,-0.560605,24.4005,20.0795,222.1225,223.7,56.57,44.0025,0.01604
1,13.25,-0.1305925,387.9275,0.01815,-7.8141,0.16597,1.013525,-1.6474,-0.41964,-2.912825,-4.14505,-3.529025,-6.72665,1.752375,0.1393025,0.4017775,0.206855,97.527,67.215,74.78225,0.3820875,-20.52,-22.0005,-21.19775,-18.11,-8.074175,-7.134975,-2.47445,-3.2464,-2.08635,-1.49635,-1.018825,-0.6130325,-0.72479,-0.448,-6.3519,-4.992425,-3.884225,-2.72675,-1.806675,0.027036,-0.5663175,-0.547105,25.60575,20.37925,221.95,224.035,59.0575,46.4425,-0.1392675
1,13.75,-0.060953,386.42,-0.061,-8.7418,-0.1722725,1.0848,0.016055,-0.165545,-2.902825,-4.143725,-3.525025,-6.731075,1.6138,0.12984,0.47708,0.25338,97.567,67.725,75.1945,0.41369,-20.435,-22.0135,-21.483,-17.84,-7.87895,-7.067775,-2.6017,-3.215475,-2.091425,-1.4778,-1.03775,-0.5964275,-0.72518,-0.4390325,-6.3494,-5.01465,-3.84235,-2.720375,-1.817075,0.009893,-0.560395,-0.528,24.308,21.4485,224.365,225.06,62.91,44.38,-0.05934
1,14.25,-0.24437,386.43,-0.0345,-7.4959,0.71595,1.0769,-0.13501,-0.0841,-2.8912,-4.141175,-3.5216,-6.73645,1.7307,0.13043,0.42168,0.19672,97.526,67.9225,75.238,0.4063,-20.365,-21.68375,-21.026,-17.92,-7.73365,-6.953425,-2.605,-3.177975,-2.093175,-1.452125,-1.022925,-0.592855,-0.71329,-0.426035,-6.3466,-5.04785,-3.819325,-2.7305,-1.8225,0.028964,-0.5657525,-0.5291775,21.56975,18.91225,225.4075,225.6375,55.4125,38.0225,-0.17277
1,14.75,-0.069904,387.155,-0.14541,-7.2282,0.66442,1.1078,-1.2817,-0.31034,-2.8827,-4.140475,-3.516375,-6.7425,1.35445,0.117535,0.44165825,0.2382565,97.496,67.845,74.913,0.397925,-20.2725,-21.5265,-20.85275,-17.86,-7.563325,-6.81455,-2.5803,-3.1655,-2.1004,-1.44665,-1.02175,-0.59696,-0.7104325,-0.4349675,-6.32845,-5.01265,-3.7977,-2.718675,-1.8134,0.042643,-0.550645,-0.51911,17.40475,14.2255,225.815,226.21,43.1825,31.01,0.1516725
