DOY2,HR2,TAU,H,LE,FC,CO2,T_SONIC,TA,PA,RH,VPD,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,NETRAD,G,TS,PPFD_IN
1,10.25,-0.16386696475,88.7273084925,2.03222933575,-0.0697205565,241.07104315,8.321389107,7.411758091,91.25306726,35.67243678,3.37206573,0.8194059755,0.15049670625,0.59689946225,0.64087388725,0.223170072,0.586460041,199.3518517,66.5023716025,5.164333375,863.226275
1,10.75,-0.191547009,87.76390582,1.070570758,-0.09419580575,241.66269925,8.800085132,8.203620215,91.2284349,32.586875065,3.83385145425,0.738109924,0.16384214,0.66229424,0.679052338,0.230550362,0.594587896,225.387639575,81.3065063575,6.634984375,945.58805
1,11.25,-0.171407108,93.6176480625,2.250436995,0.065742189,243.6815257,9.4305115595,8.95339743175,91.199259625,29.416159495,4.7832445245,0.83877945525,0.1619779185,0.68336266775,0.71509751675,0.2358191535,0.631962622,241.33626115,90.3817000675,8.19860825,1012.42225
1,11.75,-0.210544063,96.45616242,2.933351947,-0.5238119115,245.32336115,9.92182212,9.265935614,91.1777736475,29.0332089325,5.00707301625,0.994157288,0.17743681,0.717861712,0.769948884,0.24127831,0.634597953,237.34231895,91.2304402275,9.77038,994.462575
1,12.25,-0.237430252,89.08042016,1.839176425,-0.4988440725,243.179258425,10.26595503,9.609908926,91.16411714,27.1665879475,5.24031486625,0.910491656,0.189160274,0.772947406,0.755515399,0.237065092,0.574863884,232.980499625,84.104008775,10.79455825,993.2272
1,12.75,-0.21521568275,82.0310883175,2.11993588625,-0.1993828915,242.4166108,10.4802977,9.6243792415,91.1429348375,26.262200205,5.0643885795,1.1537940035,0.19882045525,0.73996705675,0.77739001025,0.24259568625,0.5357860195,219.294777725,81.33380466,11.521209875,937.881775
1,13.25,-0.19194574825,64.8073980325,1.54279923275,-0.2281784945,242.6379737,10.71294003,9.98533351875,91.1635792275,26.02246816,5.3133004875,1.24174310475,0.18977483525,0.76914836125,0.75734288825,0.2328518775,0.45772826975,191.4382589,69.36698844,12.306181,869.175525
1,13.75,-0.18594072575,47.21078763,0.79021066275,-0.243722233,243.53752505,10.93188428,10.03488941675,91.18332741,25.584067055,5.5721260725,1.3680286575,0.1945918245,0.72418151625,0.73890787175,0.2235559015,0.36215356175,159.37465055,55.7058188425,12.922247375,744.8669
1,14.25,-0.181867075,30.2498845125,0.36296701625,-0.38283401475,241.918049275,10.9293299275,9.92008133975,91.1877934075,25.868092955,5.2007133005,1.58930268475,0.19197229,0.6725522285,0.668367265,0.2112008825,0.2572153075,122.56807425,43.374502065,13.325923125,616.289925
1,14.75,-0.1655554695,9.7511535805,-0.0188751725,-0.158455805,242.77152645,10.852541055,9.832953876,91.19670654,26.699858715,4.924389552,2.01369067525,0.1893843985,0.5658718285,0.54439018475,0.2001786505,0.16203778925,83.8032616175,28.70344313,13.44588875,503.006375
