DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
1,0.25,0.2141075,-10.407,2.71865,-26.387,-0.9977775,72.699,97.9,397.12,2.10445,0.0062903,0.117715,-45.5375,-1.2846,0.14969,231.075,264.88,0.09757075,-0.095202,0.181905,0.30533,0.3,0.608,1.021,1.88735,2.45,4.317,5.85
1,0.75,0.20689,-10.57,2.72015,-24.446,-1.4046,73.3865,97.89475,397.345,2.081225,0.0063101,0.12399,-41.296,-1.2447,0.12961,234.5,264.16,0.08591525,-0.183755,0.13283,0.27792,0.3,0.608,1.027,1.8854,2.45,4.3,5.8333
1,1.25,0.2011975,-10.617,2.7943,-25.321,-1.007175,73.307,97.8885,397.5125,2.0532,0.006100825,0.13265,-42.064,-1.2523,0.12584,232.14,263.4675,0.12946,-0.142885,0.173335,0.275915,0.3,0.608,1.017,1.883,2.45835,4.3,5.8333
1,1.75,0.20606,-10.977,2.731,-25.34325,-1.14045,73.7375,97.848,397.51,2.038425,0.0063098,0.1416725,-42.013,-1.2104,0.13874,230.4,263.88,0.126345,-0.15138,0.23181,0.2763325,0.3,0.6169175,1.023,1.8833,2.45,4.3,5.833825
1,2.25,0.19599,-10.994,2.7501,-24.8775,-1.19855,74.524,97.8315,397.375,2.027575,0.0063826,0.1212,-35.65775,-1.3118,0.1448,233.5375,263.44,0.128695,-0.12936,0.20177,0.277085,0.3,0.608,1.025,1.892,2.45,4.317,5.834
1,2.75,0.190925,-11.05,2.7586,-22.4125,-0.861075,74.90175,97.8525,397.57,1.99005,0.005814875,0.1418975,-40.282,-1.3236,0.13238,232.85,262.58,0.1459125,-0.15503,0.2428075,0.27667,0.3,0.608,1.025,1.883,2.45,4.3167,5.833
1,3.25,0.187845,-11.177,2.6367,-24.1435,-0.7912425,75.396,97.878,397.5875,1.99255,0.006248325,0.2005275,-42.41775,-1.2953,0.12558,232.37,261.4875,0.12156,-0.1310175,0.27496,0.27825,0.3,0.60833,1.0417,1.8833,2.45,4.3,5.833
1,3.75,0.18967,-11.275,2.65125,-24.554,-1.0177075,74.7945,97.89,397.7625,1.963775,0.00598015,0.11542,-44.7165,-1.4201,0.10816,229.065,261.365,0.10836,-0.1492375,0.229405,0.2715,0.3,0.60833,1.025,1.875,2.45,4.3,5.834
1,4.25,0.17833,-11.296,2.7019,-23.14325,-1.08575,75.36075,97.875,397.6025,1.950675,0.00595415,0.057315,-44.739,-1.4257,0.127,231.68,261.63,0.11653,-0.178685,0.220275,0.271,0.3,0.612335,1.029,1.883,2.45,4.3,5.825
1,4.75,0.18306,-11.373,2.6405,-24.156,-1.1114,76.1205,97.8985,397.76,1.96165,0.0062466,0.10202525,-40.53275,-1.2929,0.1116,235.4475,260.5225,0.1267475,-0.17446,0.219305,0.2705,0.3,0.608,1.033,1.8833,2.4333,4.3,5.833
1,5.25,0.16618,-11.446,2.498,-22.348,-0.975605,76.06975,97.883,397.765,1.9565,0.0057848,0.136375,-40.37125,-1.3216,0.13763,235.16,260.855,0.0810235,-0.16678,0.1618475,0.27067,0.3,0.6,1.022925,1.8896,2.45,4.3,5.833
1,5.75,0.160425,-11.498,2.59175,-24.1065,-0.90377,75.766,97.9,397.6275,1.959825,0.00625745,0.067991,-39.899,-1.2606,0.12531,234.26,260.61,0.068176,-0.16823,0.16873,0.264165,0.3,0.608,1.0125,1.875,2.45,4.3,5.833
1,6.25,0.160305,-11.46125,2.5915,-24.326,-1.011475,75.924,97.881,397.8875,1.9485,0.0059881,0.151455,-39.363,-1.2308,0.13954,234.69,260.6975,0.062153,-0.1648,0.09859675,0.2600025,0.3,0.608,1.0083,1.883,2.4415,4.3,5.833
1,6.75,0.170085,-11.509,2.52655,-23.9805,-1.23265,76.40125,97.8815,397.6975,1.949325,0.00561805,0.082066,-36.525,-1.1756,0.1389,236.54,260.37,0.1013375,-0.13588,0.16448,0.2593325,0.3,0.598,1.023,1.883225,2.45,4.3,5.833
1,7.25,0.15102,-11.556,2.5401,-23.653,-1.187525,76.51225,97.8995,397.495,1.970325,0.00675505,0.151315,-38.3815,-1.1977,0.11958,233.315,260.185,0.0908765,-0.174265,0.18434,0.2629175,0.3,0.6,1.017,1.875,2.4415,4.3,5.833
1,7.75,0.1547225,-11.802,2.551475,-23.3615,-1.176,76.91675,97.9,397.845,1.970675,0.2497275,0.319515,-37.828,-0.99197,0.14421,233.8125,259.7175,0.1001,-0.1586425,0.16459,0.2700025,0.3,0.604,1.02485,1.87915,2.433,4.3,5.825
1,8.25,0.1680975,-11.7,2.515825,-23.1,-1.2439,77.475,97.9,397.63,1.940925,4.3908,3.928225,-29.284,1.6861,0.62873,231.7425,260.055,0.03942425,-0.19052,0.09585625,0.2668325,0.3,0.6,1.002,1.8833,2.433,4.3,5.817
1,8.75,0.16682,-11.761,2.56675,-19.941,-1.09965,77.68325,97.9,397.44,1.9616,22.6055,21.32575,-9.7461,11.44425,2.3831,229.0525,260.45,0.1264575,-0.19336,0.24898,0.2693325,0.3,0.606,1.008225,1.8833,2.45,4.3,5.816925
1,9.25,0.226605,-11.46125,2.52145,-17.1305,-0.9541275,76.8445,97.909,397.48,2.006775,52.836,50.3125,9.01885,26.73825,5.414,231.0825,262.365,0.19681,-0.3811,0.1886825,0.2690025,0.3,0.608,1.017,1.8833,2.45,4.3,5.833
1,9.75,0.264275,-11.2715,2.36135,-9.303975,-1.228375,76.106,97.912,397.6625,2.059825,92.9315,90.996,27.101,47.72525,9.660675,231.435,264.52,0.35449,-0.47424,0.2211,0.29025,0.3,0.602,1.008075,1.875,2.45,4.3,5.817
1,10.25,0.30919,-10.8085,2.18275,-0.315795,-0.2601325,74.629,97.911,397.83,2.1351,133.8925,127.84,47.05,70.954,13.81925,233.525,267.16,0.4575,-0.58018,0.2505,0.30033,0.3,0.6,1,1.881225,2.43725,4.3,5.817
1,10.75,0.34816,-10.45025,2.2167,8.28835,-0.1074065,72.931,97.931,397.785,2.16645,182.8375,161.945,66.061,93.943,18.615,234.98,270.08,0.45122,-0.5496725,0.218475,0.3172525,0.3,0.608,1.017,1.8833,2.433,4.3,5.817
1,11.25,0.3832125,-10.0516,2.2548,15.96775,0.64251,71.6175,97.9095,397.61,2.119,217.565,186.645,78.147,111.065,21.184,237.03,271.78,0.387505,-0.556495,0.150365,0.3367475,0.3,0.592,1,1.866925,2.4415,4.3,5.833
1,11.75,0.410975,-9.885575,2.32665,23.1395,0.6373975,69.45175,97.8805,397.395,2.124425,239.6725,197.885,86.72775,122.7725,23.18375,233.54,273.2975,0.33343,-0.652385,0.08230525,0.3525,0.3,0.6,1,1.8667,2.433,4.3,5.833
1,12.25,0.40772,-9.582475,2.4378,27.961,1.4615,67.357,97.8355,397.1075,2.148125,244.205,205.4925,91.795,127.945,23.096,232.91,274.29,0.25966,-0.574105,-0.0185265,0.365,0.3,0.608,1,1.875,2.41275,4.3,5.817
1,12.75,0.426515,-9.396475,2.495725,29.8545,1.036275,66.262,97.8,397.1425,2.0936,245.565,202.56,91.2635,125.48,22.899,227.89,275.3125,0.33076,-0.480935,0.1182275,0.36758,0.3,0.608,1,1.875,2.4085,4.3,5.8
1,13.25,0.4528075,-9.19435,2.5584,27.867,1.651675,64.884,97.7885,396.98,2.1164,231.725,191.42,88.433,118.55,21.3695,229.25,276.67,0.27973,-0.47419,0.09014,0.395415,0.3,0.596,1,1.879,2.417,4.3,5.817
1,13.75,0.447855,-8.962725,2.6098,27.055,1.23735,64.3465,97.7845,396.7725,2.125925,208.9475,181.6625,76.3605,110.9,20.7025,231.92,277.3275,0.3272925,-0.4762775,0.16914,0.3862475,0.3,0.604,1.004,1.871,2.433,4.3,5.817
