DOY2,HR2,CO2_1_1_1,FC_1_1_1,G_1_1_A,H_1_1_1,LE_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TAU_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,WS_1_1_1,T_CANOPY_1_1_1
1,0.25,406.9,0.89347925,-3.2025,-44.3325,-1.8,80.29,79.135,-4.3525,0.26,-3.7,0,0,-0.88,220.51,285.515,-63.3775,1.095,2.16,1.9875,0.05,1.0425,1.9525,-0.117234,0.101748,0.13357882,1.02996,-6.0125
1,0.75,405.8,0.985444,-3.215,-42.39,-1.45,80.26,78.5425,-4.51,0.2625,-3.82,0,0,-0.9375,219.4875,284.735,-62,0.9475,2.0725,2.0175,0.05,1.0425,1.9525,-0.17153075,0.096106625,0.1233684,1.1180575,-6.235
1,1.25,405.45,0.790742,-3.215,-45.68,-2.85,80.275,79.3275,-4.69,0.265,-3.99,0,0,-0.8975,221.2925,282.3775,-61.53,1.05,2.07,1.9275,0.05,1.0425,1.9525,-0.335141,0.117747,0.13178248,1.110295,-6.4025
1,1.75,406,0.58745025,-3.215,-46.7075,-1.7075,80.27,79.075,-4.7225,0.26,-4.125,0,0,-0.8875,219.31,281.19,-60.3625,0.97,2.085,1.96,0.05,1.0425,1.9525,-0.26748475,0.1072275,0.125284845,1.04532,-6.6825
1,2.25,405.575,1.101235,-3.2075,-42.02,-1.93,80.26,80.1125,-4.8625,0.26,-4.165,0,0,-0.9075,218.07,280.09,-60.89,1.045,2.0075,2.12,0.05,1.04,1.95,-0.27104675,0.106316,0.123373,0.9339615,-6.9775
1,2.75,406.6,0.210005,-3.2075,-36.34,-1.88,80.285,80.4,-5.02,0.25,-4.645,0,0,-0.9075,219.1725,278.275,-58.0925,1.1,2.0575,2.13,0.05,1.0425,1.95,-0.0954639,0.0979395,0.10863766,0.9685195,-7.365
1,3.25,406.3,0.42790375,-3.2075,-39.53,-0.8525,80.2275,81.55,-5.135,0.2425,-4.8825,0,0,-0.8875,217.4325,276.83,-58.81,0.8475,2.1275,2.0975,0.05,1.0425,1.95,-0.11588325,0.091697175,0.1106948875,0.90411225,-7.8675
1,3.75,407.175,0.61706575,-3.2075,-38.375,-1.0825,80.235,80.915,-5.315,0.24,-5.11,0,0,-0.91,217.8275,275.6925,-59.705,0.745,2.1125,2.0975,0.05,1.0425,1.95,-0.038901275,0.0909116,0.10843468,0.9167955,-8.325
1,4.25,407.1,0.382192,-3.2075,-40.28,-1.96,80.18,81.4175,-5.755,0.24,-5.095,0,0,-0.88,218.075,274.7225,-61.2625,0.8075,2.1125,2.095,0.05,1.04,1.95,-0.16701675,0.0990107,0.11620598,1.08321,-8.505
1,4.75,406.65,0.573749,-3.2075,-37.515,-2.05,80.18,83.9175,-6.1825,0.235,-5.415,0,0,-0.9,215.5425,273.0575,-60.97,0.6025,2.06,2.065,0.05,1.0425,1.95,-0.1434935,0.09318905,0.12216799,0.974317,-8.895
1,5.25,407,0.855262,-3.2275,-37.29,-2.345,80.19,84.965,-6.345,0.25,-5.805,0,0,-0.9075,216.6825,271.685,-58.8025,0.7875,1.9875,1.9525,0.05,1.0425,1.95,-0.0574643,0.1061415,0.11148925,0.95951325,-9.0825
1,5.75,408.2,0.28693925,-3.2275,-25.1125,-1.6925,80.21,84.395,-6.59,0.26,-6.03,0,0,-0.92,218.125,271.58,-57.765,1.0475,1.9975,2.005,0.05,1.0425,1.95,-0.049442275,0.0968664,0.1122662,0.987492,-9.2825
1,6.25,408.4,0.438782,-3.2275,-36.1475,-1.935,80.21,85.67,-6.815,0.26,-6.35,0,0,-0.9275,215.9725,271.73,-57.0825,1.1025,2.0475,1.965,0.05,1.04,1.9475,-0.040868225,0.0812468,0.1061122,0.970699,-9.2275
1,6.75,407.95,0.6179795,-3.23,-40,-1.5925,80.21,85.515,-7.0275,0.26,-6.39,0.04,0,-0.87,217.11,270.2475,-58.2875,1.185,1.995,2.0075,0.05,1.04,1.9475,-0.0728706,0.0850322,0.10613199,1.03028,-9.4025
1,7.25,408.35,0.4651285,-3.2375,-35.0275,-2.265,80.2025,87.58,-7.0725,0.27,-6.615,4.855,0,-0.05,214.1075,270.2675,-57.055,1.1775,2.0125,1.9775,0.05,1.04,1.9475,-0.036775075,0.088659725,0.099011495,0.8493145,-9.565
1,7.75,407.8,0.79845,-3.2375,-28.315,-2.645,80.2025,87.1675,-6.915,0.2625,-6.425,36.7325,17.3175,3.45,214.6675,270.8025,-34.23,1.2275,2.015,2.025,0.05,1.04,1.9475,-0.055894575,0.098179975,0.112796865,1.0109075,-9.4625
1,8.25,407.475,0.7680375,-3.2375,-35.78,-2.97,80.215,84.61,-6.39,0.285,-5.89,102.43,50.775,14.4775,213.7725,274.365,11.1375,1.0575,1.9225,1.8975,0.05,1.04,1.94,-0.0631169,0.0828013,0.109643385,0.765743,-8.445
1,8.75,407.275,0.65806975,-3.2375,-12.11,-3.025,80.25,81.3275,-4.955,0.38,-4.56,195.9325,102.56,26.505,218.585,281.2475,51.29,0.76,1.775,1.8575,0.05,1.04,1.9475,-0.04226165,0.0859201,0.11161989,0.607893,-6.6475
1,9.25,406.575,-0.437843,-3.2375,-15.09,-1.305,80.29,74.6175,-3.445,0.54,-2.995,279.8975,147.615,40.845,222.5275,288.6225,74.18,0.79,1.685,1.71,0.05,1.0425,1.9475,-0.086855775,0.0754236,0.117616435,0.3849735,-5.2425
1,9.75,406,-0.454293,-3.22,-6.835,3.33,80.32,65.84,-2.5,0.84,-1.86,412.13,221.6275,47.845,228.5975,297.51,112.35,0.97,1.4725,1.5675,0.05,1.045,1.945,-0.137374,0.0850309,0.16413105,0.384173,-3.7275
1,10.25,401.325,-0.651415,-3.2275,17.82,11.9,80.33,62.6325,-1.24,1.11,-0.67,489.4025,265.4675,54.8175,232.0975,303.07,133.7125,0.895,1.405,1.4175,0.05,1.045,1.945,-0.194127,0.1644475,0.22269278,0.6118895,-2.58
1,10.75,399.775,-1.2674,-3.22,13.08,10.8725,80.305,55.185,-0.285,1.465,0.7175,506.4525,271.55,57.8175,233.5325,308.14,150.7575,1.1975,1.435,1.445,0.05,1.04,1.9375,-0.3084655,0.26336675,0.292876195,0.9673615,-1.725
1,11.25,398.925,-1.77974,-3.2175,27.8225,13.1075,80.27,52.265,0.27,1.74,1.23,535.655,298.2275,62.9075,237.455,311.9,167.7825,1.1625,1.3425,1.3075,0.05,1.04,1.945,-0.42339425,0.293133,0.33225743,1.23623,-1.2825
1,11.75,398.4,-1.9693775,-3.2075,27.34,14.22,80.225,46.5625,1.1025,2.2625,1.88,580.5275,318.0675,64.0625,238.64,317.65,193.65,1.2025,1.48,1.3125,0.05,1.04,1.945,-0.38754475,0.31308625,0.3715213775,1.295135,-0.1675
1,12.25,397.75,-2.1185525,-3.2075,40.045,13.8275,80.2,44.2,1.3125,2.25,2.3,546.565,307.1,62.1675,240.77,318.335,179.16,1.1125,1.4925,1.195,0.05,1.04,1.945,-0.417028,0.340466,0.39575371,1.33625,0.165
1,12.75,396.9,-2.5418025,-3.2,27.0375,19.375,80.17,44.6625,1.3525,2.25,2.45,486.82,259.6,62.04,243.675,317.4925,147.495,1.36,1.4075,1.3675,0.05,1.04,1.945,-0.436604,0.3258025,0.43498196,1.43608,0.335
1,13.25,396.7,-2.481225,-3.175,32.19,16.88,80.16,41.805,1.8375,2.41,2.94,533.0475,274.7825,59.245,243.6575,318.915,155.6375,1.435,1.5875,1.3875,0.05,1.04,1.935,-0.338361,0.356071,0.44357976,1.5628,0.7325
1,13.75,396.55,-2.478565,-3.1775,17.15,17.56,80.165,40.2075,1.9175,2.43,2.985,424.1475,213.9775,50.6825,241.8525,318.9875,117.18,1.565,1.6275,1.6275,0.05,1.04,1.9375,-0.421351,0.35832825,0.46734861,1.354445,0.5125
