DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
1,0.25,0.0494863,-17.6155,1.2537075,-64.0655,-9.1994725,59.411,96.659475,389.463,1.094025,-0.02795475,0.00198872,-89.9389,-2.69594,-0.236844,155.84825,232.352,-0.65321175,-1.00886,-1.358375,-0.362998,-0.08895,0.23605,0.54365,1.34125,1.8,3.65,5.1
1,0.75,0.04689255,-17.7453,1.07911,-61.3578,-7.719175,59.890575,96.660225,389.82625,1.0836425,-0.0595823,0.001573955,-87.5852,-2.68981,-0.246604,154.948,232.201,-0.67542,-1.416725,-1.2868,-0.3842665,-0.09145,0.233225,0.5424,1.317625,1.8,3.65,5.1
1,1.25,0.060611475,-17.7222,1.06876,-55.9062,-6.9608025,59.758375,96.6,389.6015,1.07567,-0.038535815,0.001783675,-86.420725,-2.66589,-0.248823,156.277,232.8295,-0.69138725,-1.551035,-1.10373,-0.38871825,-0.1064,0.2258,0.55,1.3114,1.8,3.65,5.1
1,1.75,0.0525002,-17.7274,0.925182,-61.06405,-10.734125,60.458975,96.6,389.716,1.11818,-0.0461111924999999,0.0017985975,-87.5774,-2.70671,-0.199139,159.269,233.56,-0.5930245,-0.850912,-0.868182,-0.3856085,-0.090725,0.242,0.526875,1.308675,1.8,3.65,5.085805
1,2.25,0.047463,-18.1109,1.04698,-62.64625,-7.9324,60.3893,96.6425,389.7615,1.069035,-0.1328531,0.00170178,-86.695175,-2.60834,-0.206337,160.7165,232.357,-0.641035,-1.08226,-0.730316,-0.39219825,-0.0895,0.242,0.5339,1.3097,1.8,3.65,5.10167
1,2.75,0.05259425,-18.2347,1.1224225,-65.38205,-8.924675,60.35695,96.6892,389.82025,1.1035875,-0.1939885,0.001580625,-86.6809,-2.69879,-0.191105,161.106,230.816,-0.71919625,-1.22886,-1.45675,-0.4005685,-0.0822,0.2267,0.5347,1.3186,1.78515,3.65,5.11836
1,3.25,0.04966775,-18.3004,1.11978,-58.3606,-9.3205375,60.5025,96.6946,390.07675,1.074835,-0.12443025,0.0015811725,-87.4775,-2.776,-0.252692,157.32275,229.951,-0.42533125,-0.9101775,-0.726823,-0.40790975,-0.083,0.2339,0.5122,1.3122,1.8,3.6517,5.1167
1,3.75,0.043658725,-18.4298,0.98170775,-70.166,-6.83307,60.76385,96.6904,390.039,1.019595,-0.1060235,0.00166008,-87.51475,-2.82365,-0.187226,159.4685,227.4065,-0.446712,-1.1178875,-0.9094925,-0.447467,-0.0975,0.2339,0.5267,1.3033,1.8,3.65,5.1017
1,4.25,0.046972,-18.6411,1.0601,-63.713875,-6.6672625,61.819625,96.67075,389.50675,0.9897565,-0.09983285,0.0015233,-85.2939,-2.63929,-0.196968,159.628,228.026,-0.88631375,-1.40434,-1.137995,-0.4458685,-0.1149,0.2254,0.52625,1.3178,1.8,3.65,5.1
1,4.75,0.0467723,-18.6643,1.086475,-63.938,-14.4362,61.5188,96.6357,389.287,0.969455,-0.0458653,0.001629935,-86.218025,-2.71138,-0.238625,160.26825,228.595,-0.47363475,-1.196175,-0.9946775,-0.4096245,-0.0903,0.2339,0.5258,1.3195,1.8,3.65,5.11836
1,5.25,0.0424282,-18.8194,0.815854,-59.2206,-6.7312125,60.805325,96.59895,389.49575,0.9689885,-0.097731525,0.00165085,-82.830425,-2.61611,-0.202689,156.834,228.06675,-0.5951055,-1.5049625,-1.1192925,-0.4201505,-0.090725,0.233675,0.526275,1.3176,1.8,3.65,5.0845525
1,5.75,0.048226375,-19.0695,1.019825,-62.0583,-6.06474,59.7315,96.6,389.41675,0.98697025,-0.0755403,0.001368275,-85.9718,-2.77381,-0.158712,158.675,228.429,-0.700682,-1.1655125,-0.843918,-0.436655,-0.09835,0.242,0.52585,1.3174,1.8,3.65,5.1025
1,6.25,0.04914,-19.023275,1.135675,-59.07755,-7.029055,59.48945,96.6,389.31025,0.969268,-0.0204592,0.00151797,-89.506675,-2.79932,-0.241774,159.147,227.83475,-0.730958,-1.84845,-1.4360575,-0.44293,-0.083,0.242,0.517,1.308,1.8,3.65,5.1
1,6.75,0.03832665,-19.6458,1.12131,-60.0163,-11.541,61.121325,96.59745,389.1935,0.95277025,-0.143105,0.00147504,-88.3267,-2.69844,-0.250857,158.652,227.999,-0.89745,-0.862298,-0.980839,-0.43358,-0.098725,0.233,0.51115,1.31115,1.8,3.65,5.1167
1,7.25,0.0460888,-19.8171,1.07353,-60.11425,-8.45242,62.699425,96.591,389.17225,0.957587,-0.2046825,0.002255435,-87.7704,-2.62299,-0.274947,162.291,226.6655,-0.845644,-1.330125,-1.08292,-0.44355,-0.1047,0.2339,0.5203,1.3122,1.8,3.65,5.10167
1,7.75,0.048473,-19.7384,0.99355625,-62.02325,-12.6654,61.68135,96.59055,389.1205,0.92546775,0.02173315,0.042412825,-88.0212,-2.41835,-0.265315,160.32275,223.657,-0.754854,-1.3165875,-1.16385,-0.45026525,-0.083,0.233,0.533,1.30125,1.8,3.65,5.11753
