DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
10,4.25,1.110335,0.031685,0.00245000000000001,0.00022,4.02702,99.238475,-0.70143,0.001015,379.06998,0.00728,-5.509795,-5.509795,-42.4173425,-15.16101,0.0446625,0.0327375,224.1855075,265.493475,0,0,-15.0983775,-19.47016,-12.9182675,-16.0878425,0.2182075,0.226375,-0.15389,0.137745,-0.0076825,0.0185075,-1.511425,-0.7706425,-0.03113,-0.089255,-0.399655,0.031575,-0.2665975,-1.0894825,-0.28214,-0.14438,-0.09042,-0.2831375
10,4.75,0.86406,0.037145,0,0,2.256075,99.266235,-0.53646,0.001215,377.8629,0.0111125,-4.3442075,-4.3442075,-38.531355,-26.03815,0.05719,0,224.575325,263.987025,0,0,-15.32522,-22.5258675,-12.864445,-17.4504625,0.2087275,0.23051,-0.1533525,0.1371675,-0.009855,0.0166725,-1.5279,-0.769675,-0.03439,-0.0896,-0.4034425,0.0330625,-0.2660275,-1.0953025,-0.27716,-0.14498,-0.091005,-0.2865925
10,5.25,0.7890425,0.0327825,0,0,5.12252,99.24733,-0.515604999999999,0.0002025,352.60616,0.008205,-4.91306,-4.91306,-40.025565,-17.7377,0.0492425,0,224.144205,266.6931725,0,0,-15.04139,-19.38043,-13.1899975,-15.8692375,0.1989975,0.22737,-0.1495,0.12281,-0.0089275,0.02043,-1.5377925,-0.774155,-0.036055,-0.0906875,-0.40705,0.029905,-0.26612,-1.1002475,-0.280655,-0.15069,-0.0903675,-0.2873475
10,5.75,1.014685,0.05727,0,0,4.58314,99.261865,0.2596,1e-04,360.427425,0.011175,-3.55776,-3.55776,-41.22988,-19.350345,0.058085,0,222.9618875,266.1835675,0,0,-15.4430325,-20.7729525,-13.4316225,-16.0598175,0.1907025,0.2143775,-0.1465275,0.1035825,-0.0092275,0.0191625,-1.5527175,-0.7684075,-0.0318575,-0.0871675,-0.4094275,0.029635,-0.2671375,-1.1015325,-0.28552,-0.14671,-0.09201,-0.2878025
10,6.25,0.5506725,0.041925,0.00132,2.5e-05,4.1485,99.23586,-0.647395,0.000295,361.04896,0.0083,-3.442975,-3.442975,-36.44755,-25.28175,0.04575,0,223.1184,268.3142175,0,0,-15.257515,-19.55003,-13.68855,-15.8772375,0.189135,0.20242,-0.14438,0.1071975,-0.00922,0.0199825,-1.56541,-0.77099,-0.034955,-0.0861325,-0.4133775,0.030645,-0.2656925,-1.10776,-0.28817,-0.153545,-0.09207,-0.2901175
10,6.75,1.35713,0.06185,0.019725,0.000965000000000001,5.49279,99.23104,-0.768125,2e-04,381.222805,0.0091,-4.0465275,-4.0465275,-42.53062,-14.5710675,0.063455,0,222.672925,267.333075,0,0,-14.5390775,-21.8393425,-14.39979,-15.90892,0.1874675,0.203365,-0.141165,0.108795,-0.01103,0.0196025,-1.58608,-0.7714525,-0.03207,-0.09114,-0.416355,0.03009,-0.2706825,-1.11277,-0.2831125,-0.15597,-0.09192,-0.293975
10,7.25,1.250855,0.0644625,0.02538,0.0042975,8.34649,99.263145,-1.0528,8e-04,362.591405,0.006725,-5.36955,-5.36955,-40.067625,-22.06926,0.0614825,0,222.49335,268.734755,0,0,-14.1609925,-21.94969,-14.5622425,-15.739555,0.1786225,0.2080475,-0.13879,0.1054425,-0.0076925,0.020385,-1.5859025,-0.771675,-0.03728,-0.0886,-0.41614,0.0303975,-0.2669925,-1.1184175,-0.288385,-0.1475175,-0.0903975,-0.29397
10,7.75,1.20791,0.07035,0.026465,0.0044025,9.69453,99.2526075,-1.2321,0.000665,366.001895,0.00678,-4.8441,-4.8441,-37.72548,-18.86373,0.063425,0.051445,223.53068,265.30045,0,0,-14.265445,-22.3194075,-14.4724825,-17.8954375,0.1670125,0.1975425,-0.137795,0.097585,-0.007865,0.0188875,-1.60255,-0.7694425,-0.0313225,-0.086825,-0.4174775,0.0293625,-0.266645,-1.1235675,-0.29041,-0.152905,-0.09037,-0.2974
10,8.25,1.0895,0.05981,0.03601,0.005,6.52777,99.245415,-2.1685025,7e-04,376.7411375,0.012055,-7.21356,-7.21356,-36.2003825,-24.723575,0.0504675,0.0714775,222.382475,262.75825,0.0131,0,-14.3480075,-21.991715,-14.310535,-17.80446,0.1625725,0.2154,-0.1385625,0.1041725,-0.0074825,0.01816,-1.6130475,-0.76722,-0.0371975,-0.0886325,-0.42141,0.02998,-0.2673225,-1.130215,-0.29566,-0.155515,-0.0923675,-0.29724
10,8.75,1.2705625,0.081325,0.0183575,0.0019075,7.08788,99.26417,-2.166815,3e-04,384.68786,0.004575,-5.12884,-5.12884,-39.7783,-20.903095,0.0733,0.181435,222.9781625,267.641125,0.269815,0.10581,-14.60946,-18.864515,-14.37347,-15.35765,0.1582825,0.210485,-0.140595,0.10278,-0.00908,0.0168975,-1.62603,-0.7701275,-0.0335725,-0.09365,-0.425075,0.0314425,-0.26665,-1.1338675,-0.29672,-0.1529175,-0.0931625,-0.299385
