DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
9,23.25,0.063507,15.0905,0.354555,-37.36275,7.9652,65.93875,99.0371775,391.055,12.086,1963.875,-14.183,0.1088815,-0.02513175,0.902545,19.67275,5.674375
9,23.75,0.062848,14.65925,0.360885,-37.703,8.172425,67.87275,99.0280225,392.2375,12.098,1966.5,-14.197,-0.3299,-0.005229,0.46134,19.7495,6.45965
10,0.25,0.062074,8.4236,0.38991,-32.804,5.11825,66.524,98.81297,394.985,8.0942,2066.75,-13.50925,-0.25676,-0.38428,0.28841,14.64225,5.31175
10,0.75,0.06981925,8.2967,0.3772675,-35.90475,6.169,67.6565,98.7915425,393.2725,8.161,2068.35,-13.38825,0.31749,-0.475535,0.2832625,14.601,3.79315
10,1.25,0.070308,8.0683,0.36879,-40.831,6.0763,68.78125,98.780005,393.92,8.34015,2080.1,-13.309,0.023906,-0.51613,0.5896775,14.577,5.4947
10,1.75,0.0669775,7.669725,0.376005,-36.1525,6.246725,70.333,98.76587,393.965,8.259,2084.8,-13.4,0.3105775,-0.469875,0.3934175,14.53825,3.56145
10,2.25,0.057851,7.627325,0.362095,-34.428,5.95175,71.431,98.77483,393.7175,8.205025,2109.35,-13.291,0.003705325,-0.17288,0.83947,14.522,-4.0132
10,2.75,0.060203,7.5279,0.3809375,-33.605,5.55225,71.959,98.7926325,394.27,8.2273,2100.475,-13.266,0.370335,-0.27897,0.63245,14.50475,0.42508
10,3.25,0.06049125,7.3978,0.3926,-33.865,4.674425,72.624,98.7736825,394.43,8.248475,2108.275,-13.24625,0.3109,-0.20689,0.59945,14.487,1.958325
10,3.75,0.0647265,7.43855,0.35098,-32.75025,6.3181,73.86175,98.7678175,395.35,8.4001,2096.175,-13.149,0.308035,-0.309675,0.53599,14.457,-2.0686
10,4.25,0.061342,7.40045,0.3924,-31.659,5.5425,73.678,98.7912725,395.45,8.380375,2100.5,-12.7895,0.1387675,-0.26832,0.330385,14.511,1.325915
10,4.75,0.070487,7.13975,0.35407,-32.70025,3.5241,74.2435,98.7939075,396.025,8.26225,2080.875,-13.047,-0.02640035,-0.3187825,0.4062075,14.478,4.0219
10,5.25,0.059532,7.008025,0.37628,-33.587,5.096975,75.60725,98.7977075,396.98,8.5751,2080.8,-12.989,0.424685,-0.2563325,0.83646,14.398,4.778675
10,5.75,0.067944,7.073175,0.37308,-32.006,7.06575,75.5365,98.857955,398.01,8.51415,2077.5,-13.091,0.00296315,-0.19745,0.77181,14.321,3.004675
10,6.25,0.071205,6.750575,0.42544,-27.241,4.7861,75.97725,98.8603125,398.2025,8.44315,2075.375,-12.253,0.30232,-0.2965125,1.048675,14.362,3.8015
10,6.75,0.06782375,6.738925,0.40806,-28.9395,5.7609,75.448,98.8530375,399.08,8.1233,2077.2,-2.2708,0.254495,-0.1138425,1.05605,14.421,4.6851
10,7.25,0.081881,6.960825,0.42875,-21.8905,7.5997,75.23,98.8509125,398.98,8.14145,2083.675,22.13625,0.347935,-0.6967275,-0.3675,14.41375,8.2892
10,7.75,0.12989,7.679875,0.447,-12.8735,14.18,72.5055,98.89977,398.99,8.3241,2065.85,67.769,-0.97764,-1.45255,-1.796275,14.388,6.5276
10,8.25,0.204995,8.921075,0.63066,-2.358575,25.753,68.8685,98.89532,397.94,8.2773,2065.4,130.4625,-3.082675,-2.8851,-4.5232,14.3735,9.5337
10,8.75,0.248,9.61225,0.746505,11.33425,32.956,64.49525,98.92057,394.43,7.72545,2044.825,176.99,-4.02445,-2.73245,-6.0499,14.25225,9.17935
10,9.25,0.28853,10.3275,0.85644,22.906,40.6925,59.9845,98.91087,392.345,7.94075,2008.75,240.63,-5.72665,-2.396,-6.649575,14.003,11.582
10,9.75,0.31942,10.896,0.91722,40.696,46.117,56.189,98.85901,390.62,7.9434,2027.85,315.1475,-7.4103,-2.344575,-10.2395,13.90775,9.6243
10,10.25,0.3403325,11.345,0.97687,51.122,51.08575,52.427,98.92542,389.5,7.94425,1999.7,373.48,-7.06295,-2.1578,-9.1208,13.885,18.7305
10,10.75,0.35651,11.687,0.9456225,49.6725,56.012,49.1805,98.79546,388.615,7.9107,1997.275,371.635,-7.98695,-1.67085,-9.363325,14.034,15.1435
10,11.25,0.3722675,12.25475,1.05615,52.223,61.636,46.499,98.762435,388.195,7.874725,1974.65,408.53,-9.1182,-1.3533,-9.9597,14.256,17.446
10,11.75,0.39114,12.944,1.1182,54.1185,65.07,43.76375,98.7418625,387.97,7.8097,1970.65,457.9625,-8.3071,-1.049225,-8.9963,14.2315,17.3255
