DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_1_1_2,TS_1_5_1
1,5.25,393.8463626,0.304948317,-7.093755,-6.339,-8.57525449,3.806754078,2.945166209,260.2,289,-19.085,99.08246285,0,-0.004,82.05,0.001654549,-0.150979326,-0.024578065,-0.93745986920912,0.6555,-0.0792291665,-4.313,-0.3505,0.0915,0.401,2.2915,3.542,-0.2,0.2745,2.5245,3.042,2.35,-4.9905,-5.3929014975,0.259223814,0.688929589533345,0.361887436,0.558028898992617,2.9938954455,0.301037506669915,-4.007777,3.5905
1,5.75,393.85779865,0.2637787755,-7.10274,-6.3375,-10.0990974495,3.7634944225,2.90986997,260.6,288.1,-18.79,99.087445205,0.001,-0.004,81.8,0.0094802615,-0.168683161,-0.015199097,-0.9165,0.6055,-0.090258138,-4.656,-0.3505,0.0665,0.4,2.283,3.533,-0.2,0.283,2.4995,3.05,2.3495,-5.0365,-5.7473867655,0.26725689,0.683720748108553,0.347973231,0.54320809195797,2.9288967695,0.299573218658221,-4.2508475,3.55
1,6.25,394.48648265,0.317355261,-7.111225,-6.341,-10.89905236,3.788051771,2.704597397,260.5,288.9,-17.08,99.0931885,0.001,-0.004,81.9,0.009845555,-0.068404001,-0.034577678,-0.9065,0.59470193053979,-0.0771075435,-4.435,-0.383,0.05,0.4,2.2915,3.566,-0.2,0.3,2.4755,3.05,2.333,-5.038,-5.644421668,0.249652871,0.705882003595502,0.347374737,0.553389203002733,2.986567612,0.292968271319609,-4.349984,3.5415
1,6.75,395.2494661,0.298568832,-7.16621,-6.3125,-11.009606535,3.868364666,3.0904355275,260.9,289.15,-16.735,99.09001506,0.221,0.0475,81.45,0.021017236,-0.00614772,-0.0337315295,-0.584902979446158,0.731881786654439,-0.086345752,-4.739,-0.366,0.0335,0.4,2.292,3.6,-0.2,0.3,2.5005,3.05,2.3495,-5.3395,-5.846302387,0.26486326,0.6886043319643,0.35311617,0.517905961541282,2.910808364,0.299113998335083,-4.617312,3.5245
1,7.25,395.235933,0.271977179,-7.185195,-6.3215,-7.691192374,4.076709519,4.615318871,260.8,288.7,-17.315,99.09054651,11.655,2.63,81.6,0.0257194645,0.123994139,0.0236863445,5.846,3.15014212513812,-0.099728893,-4.918,-0.358,0.0505,0.4,2.2915,3.5495,-0.2,0.3,2.4655,3.059,2.3495,-5.1255,-5.844850053,0.285710127,0.753435102712901,0.375230322,0.581520768330762,3.031995883,0.323857235522074,-4.710987,3.5085
1,7.75,396.39809725,0.270656118,-7.239825,-6.325,-4.241076963,4.1132525485,6.843502004,259.922743793924,291,-3.65963730649683,99.11943561,64.65,14.23,80.85,0.02003498,0.237750351,0.021320784,42.08,15.325,-0.111874616,-4.4645,-0.359,0.0495,0.4,2.3,3.533,-0.2,0.291,2.4505,3.067,2.3575,-4.388,-5.833725209,0.298776943,0.783049693186837,0.3725978,0.592427317904906,3.297711333,0.335927926793829,-4.493075,3.54
1,8.25,396.5274993,0.172315384,-7.25857,-6.3295,-0.013249792,4.139894901,9.120751222,262.75,295.15,20.62,99.13271194,156.8,33.44,80.1,0.025776368,0.512505912,0.1378170095,91.6,34.915,-0.119372297,-4.0385,-0.358,0.033,0.382,2.291,3.508,-0.2,0.275,2.4575,3.0995,2.333,-2.933,-5.133731309,0.314109579,0.811428938355048,0.383820507,0.629936113427386,3.45194257,0.340048940595321,-3.8071655,3.55
1,8.75,396.71153795,0.087260587,-7.227665,-6.3525,9.4073231215,4.2663649765,13.38429368,259.579473535956,299.45,50.08,99.13256316,277.3,54.08,78.61,0.013631022,0.827542352,0.218226105,152.85,50.9361968840438,-0.129162672,-3.6545,-0.3405,0.017,0.368,2.2915,3.5005,-0.2,0.2665,2.4585,3.0825,2.3505,-2.2255,-4.581154886,0.326876957,0.86107784491299,0.442696093,0.669335532449907,3.659461603,0.36785943239232,-3.266892,3.508
1,9.25,395.8557431,0.020722187,-7.2787,-6.196,17.84756665,4.482890162,18.55649104,260.6,304.1,85.3950737513094,99.15570855,387.05,73.74,77.09,0.004329887,1.284144491,0.242935906,222.6,69.985,-0.1386756905,-2.996,-0.3505,0.034,0.4,2.284,3.4825,-0.2,0.259,1.967,3.075,2.3415,-1.5935,-3.951852982,0.336112118,0.873212064735709,0.519760452,0.707525625684328,3.801543363,0.377633569747182,-2.712077,3.542
1,9.75,396.35607265,-0.076590649,-7.255325,-6.12918,25.590990275,4.557851526,22.873831355,253.4,306.55,117.8,99.16411965,462.45,89.65,75.395,0.0096868805,1.330648693,0.267645688,274.25,81.35,-0.165156678,-2.7385,-0.3335,0.017,0.4,2.299,3.483,-0.2,0.2415,2.426,3,2.35,-1.214,-3.716266322,0.3607048235,0.913118184269073,0.675419432,0.75706285061994,4.0178992975,0.393286716703063,-2.187055,3.508
