DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,H2O_1_5_1,H2O_1_6_1,FC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,NETRAD_1_2_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_2_1_1,SC_1_1_1
1,0.25,403.5416,403.60965,403.7298,403.9057,403.8807,404.1693,407.2008,0.9413393,0.9919769,0.9988911,0.9922003,0.97771875,1.029176,0.34808115,0.8763967,-11.26543,-0.22996355,2.706686,1.046605,0.1109133,0.01859,0.5349097,94.89776,-10.3083,-11.19667,-11.05033,-10.83667,-10.95,-10.84533,-10.03967,-10.06267,-10.13433,-8.0061,0.4853334,0.1567421,0.9256666,1.352333,1.731,2.659066,3.691,-13.45804,-2.8159335,0,0,0,0,0,0,0.4059498,252.763,270.487,-8.85,-9.740634,0.3897164,0.195636,0.5846497,1.003798,1.827939,2.219998,2.340375,-4.371389,0.03433004
1,0.75,403.86465,403.5706,403.5592,403.4653,403.9195,403.9398,407.2691,0.9412818,0.9951185,0.9997448,0.99415545,0.9806132,1.0307585,0.3475166,0.94873165,-11.08088,-0.19934525,2.658555,0.9914167,0.089806665,0.013255,0.5430263,94.88748,-10.37163,-11.185165,-11.121665,-10.796165,-10.998165,-10.812,-10.05867,-10.104,-10.173565,-8.071467,0.45315665,0.1457958,0.8736667,1.3121665,1.6904,2.6055335,3.6555005,-13.73193,-2.82985,0,0,0,0,0,0,0.4139416,253.7204,271.3116,-8.90995,-9.8781835,0.3919294,0.18765615,0.5840083,1.0037984,1.829237,2.218373,2.3380985,-4.380651,0.03431124
1,1.25,403.93545,403.867,403.9732,403.931,403.9929,404.5393,407.1892,0.9316867,0.9956203,0.9838706,0.9926142,0.97149515,1.01818,0.3769186,0.8602366,-10.98804,-0.1863779,2.69733,0.94483335,0.08666667,0.01937,0.5405696,94.899565,-10.40524,-11.35,-11.10733,-10.985,-11.126,-10.74333,-10.40333,-10.50333,-10.52333,-8.131967,0.4473333,0.1416178,0.85338,1.308867,1.7001,2.605933,3.641667,-13.03568,-3.3419,0,0,0,0,0,0,0.4068564,253.0644,270.7717,-9.105167,-10.0409,0.43766,0.1879776,0.5827286,1.0070125,1.8263285,2.214148,2.3377745,-4.3794585,-0.0021181965
1,1.75,403.9532,403.3962,403.99845,404.0007,404.2523,404.63895,407.4722,0.92887125,0.97785685,0.9772744,0.9809576,0.9576244,1.0215005,0.3520123,0.9422983,-10.27414,-0.1470949,2.627113,0.8594933,0.086121665,0.01075,0.54050645,94.923805,-10.8021,-11.50533,-11.398335,-11.076665,-11.463335,-10.823335,-10.405335,-10.4455,-10.562335,-8.2125665,0.42525,0.14482815,0.86009835,1.3002835,1.6794,2.5938335,3.6338,-13.12531,-2.793667,0,0,0,0,0,0,0.408553,252.93725,269.7498,-9.3873335,-10.174,0.3743835,0.186379,0.58304805,1.0070125,1.8253565,2.215448,2.3390705,-4.3801705,-0.0021083165
1,2.25,404.2813,404.5107,404.4051,404.1462,404.5021,404.7171,407.33105,0.92124105,0.9796382,0.9663696,0.9772819,0.9487131,1.020057,0.3979592,0.98374,-9.8717985,-0.1419208,2.675557,0.91128,0.081333335,0.008156666,0.5408922,94.90479,-10.81766,-11.442165,-11.301,-11.115335,-11.335165,-10.946835,-10.4255,-10.555335,-10.61167,-8.0334835,0.47364,0.1401899,0.895585,1.3142165,1.7145,2.6373335,3.6700165,-12.39613,-2.958467,0,0,0,0,0,0,0.41231565,253.14555,270.16965,-9.5217665,-10.247165,0.4407851,0.18606005,0.5856079,1.00412,1.8230895,2.215448,2.3351735,-4.3804645,-0.023814877
1,2.75,404.2244,404.228,404.41025,404.3734,404.638,404.63315,406.9165,0.921254,0.9903715,0.9770282,0.97925235,0.95421095,1.020951,0.364597,0.9836066,-9.174356,-0.084065415,2.5642225,0.8665534,0.06133333,0.004666667,0.5226648,94.90432,-10.68057,-11.356,-11.328,-11.10433,-11.23533,-10.98667,-10.50667,-10.65333,-10.78033,-7.952333,0.4616667,0.1364014,0.9226833,1.305867,1.6773,2.617667,3.649333,-11.77113,-2.6426835,0,0,0,0,0,0,0.4110178,254.1823,271.18935,-9.437767,-10.40433,0.4309498,0.18765565,0.585289,1.0047625,1.8234155,2.216423,2.3358205,-4.380951,-0.023809349
1,3.25,404.2708,403.7462,403.9795,404.0995,404.3683,404.655,407.1263,0.91755265,0.9982316,0.9921954,0.980068,0.9537863,1.0119615,0.3792049,0.98346665,-8.48538,-0.09900328,2.603993,0.81548835,0.06851167,0.00393,0.5146564,94.886835,-10.61,-11.264,-11.29,-11.07,-11.378335,-10.9505,-10.43917,-10.5775,-10.683335,-7.944167,0.45816665,0.1332897,0.949,1.3693,1.734167,2.6465495,3.688667,-10.77088,-2.8163335,0,0,0,0,0,0,0.3925071,254.11495,270.88455,-9.4192,-10.12,0.42388095,0.195636,0.5884888,1.008298,1.824706,2.221298,2.342325,-4.382722,-0.089304705
1,3.75,403.5512,403.4995,403.7297,403.9712,404.17335,404.62855,407.0197,0.913631,0.9965586,0.9954567,0.9800393,0.9632557,1.01023,0.37131205,0.98347165,-8.446688,-0.0003751875,2.605518,0.86722505,0.061863335,0.002585,0.52122765,94.880325,-10.51367,-11.23167,-11.12,-11.07233,-11.4325,-11.018835,-10.63633,-10.744665,-10.782165,-8.182517,0.4355,0.1264648,0.94260835,1.298,1.6936835,2.6104335,3.6482165,-10.18332,-2.654017,0,0,0,0,0,0,0.37584335,253.98715,270.0154,-9.6474,-10.408,0.42991375,0.1937195,0.5891317,1.007013,1.826656,2.220648,2.339075,-4.3829865,-0.08929105
1,4.25,403.3993,403.4594,403.7295,403.5594,404.3839,404.81705,407.265,0.91450265,0.9783111,0.976418,0.9682825,0.9479913,1.002848,0.3559647,0.73789,-8.9341465,-0.1220903,2.603799,0.8384333,0.06633333,0.007726667,0.5299215,94.86498,-10.86447,-11.618,-11.46333,-11.31667,-11.499,-11.01233,-10.595,-10.73,-10.76247,-8.388133,0.4323333,0.1302581,0.937,1.362,1.727667,2.631667,3.661333,-9.58519,-2.6704165,0,0,0,0,0,0,0.3463785,254.243,269.8352,-9.653333,-10.553,0.3894304,0.1866984,0.5891276,1.004441,1.825355,2.219998,2.343625,-4.382277,-0.04329792
1,4.75,403.5602,403.3418,404.421,403.7026,404.5934,404.58765,407.41135,0.91544835,0.98445185,0.9761587,0.9680206,0.94885835,1.013391,0.3622124,0.73789,-9.386754,-0.06545944,2.552068,0.8566666,0.05351333,0.00371,0.509865,94.84602,-10.9161,-11.55367,-11.58667,-11.54333,-11.76333,-11.25667,-10.88333,-10.87733,-10.87867,-8.490001,0.4426667,0.12422,0.9232934,1.301033,1.687,2.598,3.637733,-9.367639,-2.48575,0,0,0,0,0,0,0.386437,254.40385,269.4835,-9.773067,-10.778,0.4289538,0.1847839,0.5904114,1.011513,1.829237,2.219348,2.341675,-4.3832865,-0.043355795
