DOY2,HR2,LE,USTAR,TA_1_1_1,WS,FC,H,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,15.25,5.765,0.68025,-7.851225,2.659,0.997800000000004,46.9883,82.1005,383.4612,1.51,41.394575,221.84685,155.225325,130.220225,57.524,3.35200000000001
1,15.75,2.45129999999999,0.63625,-8.15965,2.83725,0.554024999999999,35.2774249999999,82.8625,383.5825,1.47,23.248675,158.04815,116.798075,102.711625,47.962,3.30104999999999
1,16.25,2.33555,0.59725,-8.42840000000001,2.3405,0.60455,20.69255,83.373,383.6002,1.355,12.807625,63.987425,65.444375,54.6061,22.843,3.26229999999999
1,16.75,0.88955,0.618,-8.66255000000001,2.3245,0.55895,12.20865,84.40925,384.36225,1.1225,9.53429999999999,14.98865,26.49615,23.254825,7.76,3.16955
1,17.25,0.853,0.64,-8.80912500000001,2.62975,0.56825,6.20709999999999,85.5315,384.49185,1.06,8.46804999999998,1.14755,1.24145,3.779925,1.075,3.13515
1,17.75,2.35325,0.6375,-8.92797500000001,2.80525,0.56465,14.89085,88.715,384.5553,0.895,8.41827499999999,-0.00422499999999998,0.4613,0.47535,0.94915,3.0945
1,18.25,1.45369999999999,0.62725,-9.01422500000001,2.7065,0.6763,20.28755,90.17275,384.50025,0.8175,7.91929999999998,0.500999999999999,0.821099999999999,0.43965,0.8576,3.09347499999999
1,18.75,1.25385,0.59525,-9.095175,2.47775,0.47375,12.93135,91.02925,384.6676,0.8225,6.50382499999999,1.0568,0.60045,0.437425,0.96755,2.9798
1,19.25,3.61175,0.63625,-8.78842500000001,2.26675,0.545125,14.784,92.014,384.656375,0.79,6.48132499999998,1.8112,0.593075,0.41455,0.863,2.87025
1,19.75,1.82325,0.588,-8.36152500000001,2.5435,0.59475,13.524,92.106,385.366125,0.7825,8.16867499999998,0.484199999999999,0.674574999999999,0.3834,1.17,2.86375
1,20.25,2.19025,0.613,-8.30765000000001,2.399,0.4965,3.968,91.99025,385.347875,0.7675,7.3307,0.646949999999992,0.49655,0.4152,1.138325,2.83225
1,20.75,1.08325,0.621,-8.17897500000001,2.55575,0.54125,7.91175,92.0175,384.6685,0.7775,7.0432,-0.0522,0.289375,0.44555,0.985,2.8955
1,21.25,1.599,0.62825,-8.07415000000001,2.67225,1.062625,5.9031,92.1045,384.430375,0.735,6.449675,1.0292,0.32045,0.3793,0.835625,2.856375
1,21.75,1.3629,0.61525,-8.02707500000001,2.5625,0.673700000000001,16.0265000000001,92.0985,385.0346,0.685,7.049225,0.873050000000003,0.3967,0.3362,0.954,2.774875
1,22.25,2.4617,0.55275,-8.12552500000001,2.5595,0.511200000000001,6.8428,92.01625,385.1898,0.66,6.14939999999999,0.519525000000001,0.7963,0.35705,1.011,2.6435
1,22.75,2.0555,0.59275,-8.354975,2.54325,0.4402,7.71910000000001,92.62675,384.848,0.6375,5.64709999999998,1.19509999999999,0.745449999999999,0.4206,1.043,2.653625
1,23.25,2.73950000000001,0.5925,-8.4958,2.56325,0.3532,4.778225,92.888,385.1143,0.605,5.29974999999999,0,0.551649999999999,0.359975,1.1419,2.7793
1,23.75,2.81407499999997,0.574,-8.5088,2.61775,0.931274999999997,6.93577499999999,90.4985,385.006875,0.625,6.13414999999999,0.112,0.547599999999999,0.5512,1.099425,2.800875
2,0.25,1.476225,0.602,-6.251325,2.5033,0.5457,8.427375,92.183275,394.739825,0.661750000000001,3.5376,0,1.10725,0.368074999999999,0.765775,3.1408
2,0.75,1.569325,0.705825,-6.271775,2.264325,0.8905,20.429075,92.1352,395.104675,0.661750000000001,2.60197499999999,0,0.618524999999999,0.383275,0.789125,3.15805
2,1.25,0.91325,0.6745,-6.32082500000001,2.194675,0.468625,8.35084999999999,92.1673,395.227375,0.649500000000001,1.77284999999999,0.0726000000000002,0.564274999999999,0.37785,0.804375,3.1965
2,1.75,0.874924999999999,0.62205,-6.41805000000001,2.326675,0.405375,12.9291,92.122925,395.411225,0.647250000000001,2.67137499999999,1.6686,1.0782,0.432599999999999,0.781375,3.1483
2,2.25,0.96915,0.67205,-6.52847500000001,2.379775,0.50575,6.123675,92.024875,395.494375,0.675750000000001,3.09849999999999,0.927300000000003,0.734699999999999,0.405524999999999,0.7589,2.9665
2,2.75,1.7937,0.6317,-6.61325,2.326625,0.61705,13.8199,91.96585,395.6425,0.7335,3.10355,0,0.721675,0.409499999999999,0.779,2.747775
2,3.25,2.82952499999999,0.629225,-6.699,2.324975,0.573025,21.600125,91.8833,396.376125,0.755000000000001,2.84625,1.2828,0.575775,0.41665,0.826175,2.73075
2,3.75,0.915824999999999,0.58065,-6.8471,2.30975,0.452925,8.224525,91.547875,396.673425,0.754250000000001,3.82789999999999,2.5084,0.619375,0.3627,1.007,2.72435
2,4.25,3.6504,0.55255,-6.98927500000001,2.228,0.4016,18.4576,91.17795,397.5958,0.617,2.555175,1.1246,0.6878,0.413649999999999,0.673375,2.733575
2,4.75,0.96975,0.62485,-7.13182500000001,2.30905,0.51675,9.3812,91.5099,397.147,0.627,4.21894999999999,0.584000000000002,1.150475,0.347425,0.9167,2.678425
2,5.25,1.181875,0.6479,-7.33782500000001,2.40105,0.662475,17.3443,91.3515,397.0057,0.6085,4.50024999999999,0.331399999999996,0.67715,0.37095,0.829,2.63965
2,5.75,0.775099999999999,0.5007,-7.51687500000001,2.11145,1.3467,12.7308,91.0704,397.64095,0.626,7.10334999999999,1.2136,0.82975,0.453874999999999,1.1292,2.6254
2,6.25,1.0763,0.5377,-7.58462500000001,2.14405,0.52525,6.9548,91.5711,397.75415,0.667,7.355525,0.905599999999997,1.18325,0.463224999999999,0.7474,2.5646
2,6.75,1.0767,0.571325,-7.65567500000001,2.1327,0.434475,9.254825,91.50905,397.6774,0.656,6.27147499999999,0.825750000000001,0.951125,0.397325,0.7306,2.4005
2,7.25,0.5443,0.594,-7.76605000000001,2.088,0.3497,12.5832,91.38565,397.2689,0.636,6.94039999999998,4.22679999999999,1.3737,1.437225,0.9582,2.2986
2,7.75,1.06465,0.5549,-7.79670000000001,2.115775,0.7708,11.462375,91.36065,397.54895,0.598499999999999,9.99005,21.5287999999999,13.242175,15.969925,7.23835,2.2694
2,8.25,0.3516,0.52325,-7.82512500000001,2.1237,0.4796,10.3221,91.62945,398.12015,0.599,12.878425,120.0358,59.302125,52.3433,26.33975,2.2418
2,8.75,3.35395,0.5835,-7.82167500000001,2.27425,1.3443,18.6107,91.92655,396.9013,0.599999999999999,28.7773,251.308175,121.634975,128.6357,67.8611,2.41325
2,9.25,2.3411,0.5695,-7.69595,2.59535,1.05185,23.68895,91.32085,396.48425,0.621499999999999,49.355025,371.81545,180.608675,195.46835,111.749175,2.5872
2,9.75,2.4892,0.6302,-7.039825,2.40795,1.76975,71.59225,91.20305,396.09005,0.678999999999999,73.9585999999999,545.744525,269.6609,286.4324,144.871875,2.595
2,10.25,4.05065,0.640775,-6.04420000000001,2.434125,2.3452,87.3391,91.05135,394.37865,0.7445,84.862275,682.36975,325.33165,363.924825,180.5452,2.6134
2,10.75,4.53885,0.596775000000001,-4.97340000000001,2.658525,0.7025,120.92925,90.8606,394.15835,0.9,89.49145,788.484575,373.968675,447.22695,213.7277,2.712325
2,11.25,6.4486,0.624475,-3.86505000000001,2.882475,0.7613,132.61535,90.24215,393.32305,1.0615,97.88515,872.876675,421.512,514.582175,242.96,2.92955
2,11.75,6.05375,0.674125,-3.02115,2.662025,0.68155,178.107,89.2369,392.9823,1.1665,105.320925,936.335875,451.56785,575.37585,251.89975,3.16295
2,12.25,8.46075,0.668175,-1.910925,2.623475,0.712625,186.620875,88.7586,392.335625,1.47,114.157525,973.73315,470.9765,590.65475,255.73025,3.3305
2,12.75,7.862625,0.687075,-1.1102,2.94225,0.736125,214.0395,88.3924,392.133875,1.6845,117.609125,973.508225,477.98185,593.55575,255.2881,3.37375
2,13.25,9.915875,0.6871,-0.726400000000004,2.825475,0.748,179.852125,87.8703,391.949875,1.824,121.338625,949.4372,465.32715,574.244375,247.10345,3.464625
2,13.75,10.52475,0.674975,-0.753750000000002,2.897825,0.80425,170.020625,87.38355,391.88375,1.952,124.195575,896.948925,450.246,535.129925,230.425875,3.5565
2,14.25,9.26075,0.663,-0.849875000000001,2.78985,0.704,160.594,87.36535,391.892,2.083,126.168275,823.156325,422.618125,506.499625,223.833025,3.558875
2,14.75,6.570125,0.73315,-0.825075000000002,2.93885,0.737125,180.562625,86.9419,391.97925,2.148,120.906825,737.292625,384.6131,439.90125,193.40035,3.539625
2,15.25,9.57049999999999,0.72965,-1.0858,2.927,0.825125,162.32215,87.1818,392.016175,2.2705,109.68015,625.836025,336.895925,358.092525,161.984625,3.455425
2,15.75,4.44825,0.67885,-1.28417500000001,3.06095,0.69045,121.12855,87.62905,391.988075,2.0365,93.184925,501.124625,256.606275,284.180875,127.087625,3.40055
2,16.25,4.60265,0.663,-1.32457500000001,2.6573,0.56555,80.0654499999999,87.58485,392.0693,1.896,46.95485,375.9057,213.96965,218.276325,97.4136,3.34425
2,16.75,1.9722,0.6213,-2.8162,2.42765,1.11915,51.2742,87.71995,391.9673,1.941,45.81775,238.627325,148.963375,126.93115,65.34125,3.2912
2,17.25,2.976,0.61215,-3.30260000000001,2.5086,0.57545,19.8113,88.1948,391.95915,1.6345,7.62652499999999,126.0499,75.67515,80.5112999999999,42.1931749999999,3.20965
2,17.75,4.563,0.58915,-3.82082500000001,2.30015,0.875949999999999,7.94995,89.34855,392.0344,1.4605,2.03595,48.684275,20.163275,32.703625,15.8141,3.1602
2,18.25,1.5835,0.6391,-4.29807500000001,2.4576,0.6643,8.39695,90.3026,392.0308,1.092,1.2172,9.64364999999998,1.52985,6.32645,1.92114999999999,3.162475
2,18.75,1.31705,0.699,-4.19692500000001,2.60355,0.788499999999999,12.52285,91.0113,392.1552,1.068,3.08567499999999,1.5738,0.271625,0.4639,0.622749999999999,3.1838
2,19.25,1.62985,0.6474,-4.37122500000001,2.4624,0.69865,12.77195,91.7573,392.2927,1.0305,2.96984999999999,1.71539999999999,0.2828,0.267325,1.0389,3.210625
2,19.75,1.34885,0.580049999999999,-4.60750000000001,2.5454,0.755849999999999,4.35115,91.77885,392.3564,0.983,1.2332,0.895650000000003,0.1887,0.3623,0.99325,3.2376
2,20.25,6.04019999999999,0.7746,-5.50525,2.7761,0.84425,9.0175,91.7659,392.459775,0.9335,1.575875,-0.0355000000000001,0.2625,0.317675,0.92025,3.1448
2,20.75,0.972525,0.77275,-5.657275,2.3775,0.704925,7.92417499999999,91.77445,392.80955,0.965,1.510525,-0.0349000000000001,0.52305,0.38385,1.0276,3.115
2,21.25,1.91535,0.684,-5.84652500000001,2.3507,0.73505,12.93455,91.8258,393.10295,0.930499999999999,1.838175,0.267000000000001,0.4754,0.3564,1.0376,3.0623
2,21.75,1.7711,0.79605,-5.890675,2.56335,0.78725,14.1516,91.8992,393.59925,0.918,2.99964999999999,0.440199999999998,0.27255,0.3912,0.72785,3.042725
2,22.25,1.67905,0.77345,-5.79725,2.74965,0.73875,16.325625,91.94925,393.985825,0.9265,1.54029999999999,0,0.140775,0.481874999999999,1.04005,3.074
2,22.75,1.551825,0.7768,-5.997875,2.41745,0.455925,11.849775,92.84935,393.940325,0.9735,1.437425,0,0.164575,0.435249999999999,0.95875,3.0546
2,23.25,2.966,0.7057,-6.2427,2.5574,0.488275,11.062325,92.78395,394.24215,0.9615,0.973149999999998,0,0.1423,0.359475,0.7822,3.07895
2,23.75,1.05415,0.6571,-6.219325,2.3956,0.89775,16.2799,92.16995,394.67475,0.933,2.017725,0,1.040725,0.425999999999999,0.96725,3.105525
3,0.25,7.326625,0.665949999999999,-0.542100000000002,2.5364,0.54575,16.231,92.66475,396.77625,1.4735,2.153425,4.297725,0.352875,0.3284,1.48195,4.4228
3,0.75,3.2445,0.6666,-0.827575000000001,2.4436,0.57825,12.42425,93.0615,396.86575,1.476,3.10615,5.21807499999999,0.257325,0.42255,1.2051,4.34325
3,1.25,3.835375,0.63655,-0.932250000000001,2.26775,0.59525,12.294625,94.2588,397.328375,1.6635,3.6965,4.96339999999999,0.7611,0.373325,0.9171,4.379275
3,1.75,4.547125,0.6501,-1.224225,2.4761,0.4695,15.425625,94.87915,397.534,1.824,3.155925,4.26439999999999,0.58215,0.2663,0.6012,4.3152
3,2.25,6.445375,0.7003,-1.64642500000001,2.38545,0.620875,17.46625,94.62875,397.999875,1.7315,4.379575,2.49502499999999,0.627899999999999,0.386474999999999,0.470575,4.26225
3,2.75,3.66225,0.65585,-1.73532500000001,2.61195,0.535875,27.696625,94.5921,398.61325,1.6375,4.16722499999999,0.382849999999996,0.909849999999999,0.40355,0.83105,4.238
3,3.25,5.2205,0.60715,-1.87405000000001,2.4905,0.6255,24.88825,94.712,398.735625,1.609,4.31099999999999,4.71879999999999,1.138625,0.319825,0.3704,4.198
3,3.75,3.7373,0.6227,-2.08532500000001,2.6104,0.674275,25.904625,94.7423,398.634875,1.5405,3.769375,0.900199999999999,1.2488,0.38585,0.6888,4.149
3,4.25,4.71975,0.7228,-2.431625,2.736125,0.94025,26.40075,94.1474,399.082675,1.475,4.5292,4.1108,1.5933,0.376875,0.6014,3.961
3,4.75,7.198,0.7699,-2.648775,2.825225,0.93375,17.29125,94.0101,399.33595,1.2885,5.35092499999999,9.08479999999998,0.667775,0.4573,0.6612,3.9584
3,5.25,6.24120000000001,0.7614,-2.7969,2.6471,0.574800000000001,23.8188,94.76095,399.5526,1.2405,4.33155,9.07044999999991,1.232075,0.3682,1.16885,4.08075
3,5.75,6.52772499999999,0.7205,-2.808725,2.387175,0.871849999999999,20.5028,94.49775,399.71515,1.364,5.05234999999999,12.971025,0.966549999999999,0.41975,0.6392,4.2245
3,6.25,11.292,0.711,-2.793775,2.430525,0.817,19.1634,93.57765,399.48825,1.432,3.3601,10.2008,4.148925,6.2228,3.139575,4.159
3,6.75,4.00832499999998,0.72635,-2.764175,2.51755,0.664474999999999,17.8496,92.60215,399.7078,1.2095,5.911425,58.1126249999999,29.6272,34.3779,14.80135,4.28675
3,7.25,6.242175,0.70335,-2.66985,2.527025,0.734975,15.5422,91.92895,400.4215,1.1285,16.15285,194.9065,96.914725,90.9528749999999,37.26925,3.8735
3,7.75,12.8974,0.7532,-2.475275,2.5001,1.10995,64.673025,92.55525,401.246375,1.6245,37.278425,381.928225,181.72785,178.40205,84.5642999999999,4.2036
3,8.25,12.16605,0.794899999999999,-1.71275,2.7564,1.308725,63.9237499999999,92.4847,402.226125,2.22149999999999,68.936025,563.12675,247.643475,271.169725,128.384475,4.1998
3,8.75,9.995375,0.83115,-0.54150000000001,2.89395,2.550125,129.240125,90.841,400.358,2.49849999999999,86.271175,740.1805,314.935675,385.8777,175.3365,4.5365
3,9.25,14.2125,0.7914,0.775974999999996,3.2594,2.147625,168.126375,90.0175,396.926875,2.773,94.960275,891.1511,395.497275,513.15915,218.09745,5.025875
3,9.75,18.8195,0.78705,2.427025,3.11855,2.014375,177.16125,88.21885,396.194125,3.227,126.961525,1030.668425,455.860625,633.362075,260.403125,5.110375
3,10.25,20.82425,0.86795,3.7045,3.30145,1.006375,205.708375,86.14265,395.992625,3.591,137.06945,1148.40775,524.771175,722.74925,301.7889,4.8625
3,10.75,25.023125,0.80955,4.93005,3.206,0.678875,200.209125,84.52135,395.334,4.2825,150.8237,1234.32935,572.0698,773.32495,329.71425,4.87075
3,11.25,31.06925,0.83205,6.109675,3.24685,0.82575,230.799375,85.11765,395.105625,5.1265,164.365325,1338.78765,606.62785,782.192225,371.9827,4.93825
3,11.75,28.54425,0.8078,7.37982499999999,3.3075,0.798625,303.370375,86.14325,395.099875,6.0035,181.9438,1377.290625,631.923125,780.98565,387.18785,5.005875
3,12.25,24.794625,0.79235,8.24152499999999,3.27415,0.68975,275.05975,86.4955,395.05325,6.7215,194.9298,1398.4169,652.306875,778.223575,399.6614,5.083
3,12.75,34.230125,0.83555,9.30142499999998,3.4334,1.21025,287.562125,86.30195,394.97125,7.86799999999999,201.224975,1401.4977,657.9524,772.022825,405.9751,4.954125
3,13.25,40.715875,0.835,9.98972499999998,3.25705,1.16425,270.4793,85.3643,394.914625,8.59899999999999,187.52915,1383.63325,660.448675,784.992375,383.6688,4.89775
3,13.75,31.7508,0.84395,10.640425,3.46865,1.0182,265.9725,85.1382,394.8748,8.89849999999999,189.148,1341.25595,643.3333,789.62475,370.172025,4.8785
3,14.25,29.1747,0.8605,10.9423,3.58175,0.852299999999999,257.4001,85.846,394.8712,9.06399999999999,212.35445,1266.2143,615.885,764.0295,339.815,4.9003
3,14.75,29.4275,0.83815,11.192225,3.51845,0.730699999999998,220.5746,87.34975,394.8221,9.34549999999999,196.926975,1170.1783,576.150425,759.2472,315.150875,4.9927
3,15.25,30.778,0.816099999999999,11.235975,3.2601,0.796099999999999,188.6516,87.04355,394.8004,9.48549999999999,182.990675,1031.20265,518.369175,673.720925,271.4806,4.9274
3,15.75,28.976,0.8421,11.00385,3.3373,0.8105,189.9695,86.8603,394.8008,9.303,168.899275,908.32285,465.876725,557.104425,227.1487,5.042
3,16.25,27.893,0.8776,10.88495,3.15675,0.7605,163.5871,86.46955,394.8029,9.15249999999999,147.703525,744.248425,397.254925,430.6203,173.72925,5.0792
3,16.75,29.6926,0.82795,10.702625,3.2091,0.6544,130.7502,87.17565,394.8007,9.06599999999999,125.056975,566.27475,324.985875,329.27295,135.69955,5.0454
3,17.25,30.9384,0.79885,10.331375,3.03415,0.706499999999998,83.9929999999999,87.72605,394.8357,8.72399999999999,87.1535249999999,346.88645,217.62805,229.83605,105.61925,5.0444
3,17.75,24.2911,0.74325,9.93247499999999,2.838,0.935099999999997,57.8399999999998,87.8674,394.8266,8.272,37.99595,240.366025,149.35605,150.504825,66.00035,5.0252
