DOY2,HR2,CO2,CO2_SIGMA,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1,TS_5_1_1
1,0.25,389.519,0.0082045934,1.387754,2013.816,-2.29212,-6.92350925,-46.01272,-20.98047575,1.316216,0.0954549,-0.11453578,0.4464764116,0.3311157328,0.0665270786,100.6788,28.71708,-31.74125,0.86243015,-28.1618,0.0555265508,-70.58,-0.138125,-0.124,-3.101375,-0.232425,144.6875,186.75,-1.31395,-8.095,-5.67325,-5.82,-165.5521,-33.73
1,0.75,389.3012,0.0093996288,1.2727948,2008.362,-5.029314,-38.32684,-53.25315,-18.9687925,0.891768,0.0705228,-0.09658708,0.2744742176,0.2858239736,0.0833514346,100.686,22.2602125,-31.48875,0.85115955,-27.9514,0.0678135852,-71.13625,-0.180125,-0.161125,-3.424,-0.232425,144.4375,187.1875,-1.31395,-8.12,-5.6475,-5.85525,-165.1316875,-33.5575
1,1.25,389.6294,0.0092598234,1.2491868,2005.016,-0.00593030999999999,-6.43569,-42.75582,-10.94734575,0.607928,0.05752782,-0.14363719,0.2137821104,0.2488821214,0.0705691224,100.6954,42.05862,-31.44,0.9196058,-27.8384,0.041593178,-68.5875,-0.138375,-0.13325,-3.057125,-0.232425,144.05,186.7875,-1.30695,-8.15375,-5.617125,-5.887625,-164.9732625,-33.6925
1,1.75,389.7914,0.0094964918,1.1813264,2005.042,-0.75699015,-11.29696,-51.7100225,-70.77646,0.4165096,0.07554388,-0.13255622,0.282352532,0.3637455414,0.0484767744,100.6974,41.82938,-31.86875,0.9629196,-27.3214,0.0640232474,-64.884,-0.16875,-0.15,-3.05325,-0.39875,143.3125,185.725,-1.30725,-8.17875,-5.590375,-5.827125,-165.0460875,-34.1
1,2.25,389.889,0.0122251116,0.9292177,2033.44,-2.584020875,-26.602889,-46.13223,-56.3785611666667,0.8123008,0.1089796,-0.145140625,0.2274514346,0.4462192692,0.0588227528,100.6832,40.47318,-31.89625,0.9906476,-27.826,0.0841939814,-65.205,-0.157375,-0.14275,-2.759625,-0.031025,142.9875,185.35,-1.30365,-8.21375,-5.570125,-5.829,-164.594475,-34.18625
1,2.75,390.00695,0.0103939062,0.930830275,2006.91,-0.11346782,1.4837396,-55.46896,-41.9806623333333,1.15024,0.04941776,-0.4416908,0.257771627,0.2850369104,0.0461327994,100.6618,27.9887175,-32.41375,1.2234625,-27.6292,0.0607174258,-69.19875,-0.180625,-0.163375,-3.039875,-0.0285125,142.7625,184.1625,-1.300925,-8.24,-5.583,-5.818375,-163.5796875,-34.5675
1,3.25,389.801225,0.010620708,0.8583968,2007.718,-0.809235,-17.19478,-65.77306,-27.5827635,1.529542,0.07661228,-0.2075964,0.2895398794,0.3031711524,0.0647981486,100.6528,29.0274425,-32.24625,0.9728131,-27.9646,0.0695368038,-66.63375,-0.157875,-0.144,-3.20775,-0.026,143.0625,184.4625,-1.2974,-8.25875,-5.597375,-5.867125,-162.4185,-34.35375
1,3.75,389.745,0.0167423742,0.9379268,2009.04,-0.87070875,-8.171678,-61.395435,-5.6895135,0.8151468,0.0775114,-0.14852056,0.2981058742,0.3185067532,0.0496234022,100.665,29.58162,-32.21375,0.743186175,-27.8102,0.09715718,-66.04375,-0.160625,-0.1605,-3.432625,-0.1154,142.7375,184.4375,-1.29485,-8.28375,-5.591125,-5.988375,-161.399525,-34.4125
1,4.25,389.8148,0.0148771138,0.9535924,2003.128,-0.79802405,-5.08633025,-50.9357925,-9.761394,0.8032192,0.07522504,-0.1449184,0.3159775894,0.2477975482,0.0614335438,100.6582,29.65138,-32.1675,0.6193436,-27.0422,0.0681016296,-70.41375,-0.140875,-0.135,-2.994625,-0.180595,143.4875,184.4,-1.28995,-8.32,-5.61525,-5.997125,-161.0213875,-34.4175
1,4.75,389.8711,0.0167679974,0.9670715,2004.146,-0.0591866,4.48207,-66.14108,0.535320375,1.354506,0.07789394,-0.12243272,0.3546375606,0.2753131708,0.0788900568,100.6448,29.6853,-32.34625,0.290424664,-27.524,0.0876970972,-66.35375,-0.172,-0.159625,-2.941375,-0.24579,143.2625,183.675,-1.29205,-8.33875,-5.642625,-5.986,-160.7828875,-34.64
1,5.25,389.813475,0.0204654482,0.95029455,2008.932,-1.669899025,3.11944875,-66.4370975,-13.507925,0.390266,0.07641244,-0.1245381,0.2515515394,0.2978875472,0.068518177,100.6512,29.13902,-32.51625,0.8025216,-27.9762,0.1357455096,-66.3975,-0.142125,-0.142625,-3.46225,-0.310985,143.425,183.15,-1.28445,-8.37375,-5.64325,-6.031,-160.5193375,-34.8225
1,5.75,389.87065,0.01080940455,0.97508275,2003.49125,0.05673955,-13.699288,-54.17668,-5.2825425,0.2518358725,0.0799783525,-0.1274277,0.31731983655,0.3821063774,0.061510637625,100.6421,31.8265525,-32.534,1.242524,-28.22335,0.061563687525,-66.50075,-0.1362,-0.1365,-3.0257,-0.37618,143.43,183.17,-1.283425,-8.399,-5.6367,-6.026,-159.89743,-34.846
1,6.25,389.927825,0.01083693915,0.959383,2003.9175,-1.16468225,-20.744455,-65.06065,-10.493395,0.4766405,0.0617929275,-0.219734725,0.3017395559,0.26776027785,0.060007334325,100.63095,31.6301725,-32.759,1.28511325,-28.1991,0.0889980175,-69.843,-0.1444,-0.1367,-3.1355,-0.441375,142.83,182.52,-1.274375,-8.423,-5.6125,-6.0164,-159.96976,-35.005
1,6.75,389.985,0.022383676175,0.930693,2007.7275,-3.026099975,-1.96186075,-61.3522675,-9.46722133333333,0.3618267,0.059617435,-0.53889725,0.2589868204,0.296838685975,0.052938534075,100.5984,30.866955,-32.63,1.3064965,-27.8376,0.11826588125,-68.963,-0.16,-0.1475,-3.308,-1.141475,141.825,183.1625,-1.278575,-8.42625,-5.581375,-6.00725,-160.7049625,-34.8325
1,7.25,390.042175,0.031329178975,0.92597785,2009.3305,-1.0958649,-10.6388225,-110.45565,-8.44104766666667,0.54500305,0.1071931,-0.287820575,0.350742182925,0.40220932445,0.09956628395,100.575275,34.051165,-32.25875,1.027765675,-28.415625,0.174410765875,-68.48925,-0.158625,-0.1485,-3.229625,-0.93215625,141.15,185.1375,-1.277025,-8.3925,-5.547,-6.25675,-161.124675,-34.09
1,7.75,390.09935,0.023478861,0.912600425,1965.64075,-1.24144075,-8.548449,-48.6074275,-7.414874,0.601514,0.110091,-0.3964014,0.403386105825,0.406024375675,0.0723556129,100.578425,31.06391,-32.11,1.2228435,-29.112075,0.294339066825,-69.468,-0.136625,-0.130875,-3.149125,-0.7228375,139.975,185.525,-1.283825,-8.3675,-5.5015,-6.110625,-161.2196,-34.03
1,8.25,390.156525,0.0183345788,0.893225,2009.952,-0.759098,-3.05874875,-51.203315,-5.01560775,0.6359112,0.10276828,-0.1859804,0.3687687048,0.364779371,0.0639721314,100.5866,31.7342,-32.2875,0.2886275,-28.9122,0.1191241598,-70.531,-0.13975,-0.130125,-3.256,-0.51351875,138.8625,183.8625,-1.276125,-8.3675,-5.48275,-6.034125,-160.8522375,-35.085
1,8.75,389.745,0.0203014366,0.87816675,2012.2145,-1.286428,-2.8167195,-37.0567325,-30.06985,1.062376,0.10044152,-0.47667425,0.3480590942,0.383947996,0.0665765638,100.5944,33.26671,-32.28875,1.1258435,-29.0144,0.1161741256,-70.668,-0.1375,-0.13125,-3.61975,-0.3042,137.8875,184.6875,-1.283475,-8.3775,-5.496,-6.11675,-161.45075,-34.5075
1,9.25,389.830125,0.0238307382,0.8320775,2013.992,-10.006698275,3.83449675,-57.8276625,-29.53734,0.7151964,0.08721296,-0.9955118,0.3910322364,0.320342785,0.0953033272,100.6094,31.85592,-32.16625,1.094324,-29.1488,0.1191544956,-80.214,-0.143125,-0.12975,-3.542875,-0.41075,137.825,186.2875,-1.28275,-8.39625,-5.502,-6.009375,-163.0140625,-34.01625
1,9.75,389.981425,0.0119979364,0.3341595,2011.4895,-2.7092425,-13.282912,-59.381365,-26.28505,0.7931036,0.09369512,-0.16828855,0.369701102,0.3813362512,0.0574777088,100.6096,20.925415,-32.15875,1.001371775,-28.9134,0.0830797398,-73.718,-0.1335,-0.12925,-3.451375,0.37415,138.15,187.025,-1.2842,-8.41375,-5.504125,-6.042875,-162.800775,-33.6775
