DOY2,HR2,H,LE,FC,SC,USTAR,WS,PA,RH,CO2,H2O,NETRAD,PPFD_IN,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,NEE
1,0.25,-1.5285,0.20625,0.358,0.09,0.471,4.0475,99.61,100,379.11875,1.7291,0,-0.783,3.6045,-15.537,-16.294,-16.965,-1.87,-0.868,0.026,0.247,1.121,-8.81025,-3.274,-4.626,-0.241,0.598,0.332645
1,0.75,-1.6215,0.39325,0.4235,0.0885,0.458,3.9775,99.6375,100,379.186,1.7191,0,-0.783,3.5625,-15.367,-16.364,-16.893,-1.87,-0.868,0.026,0.247,1.121,-8.81025,-3.274,-4.626,-0.241,0.598,0.35361
1,1.25,-1.7105,0.353,0.361,0.09,0.483385,3.995,99.6375,100,378.959,1.70455,0,-0.783,3.713,-15.35875,-16.4515,-17.072,-1.824,-0.868,0.026,0.247,1.121,-8.75525,-3.321,-4.675,-0.241,0.598,0.3248225
1,1.75,-1.79275,0.353,0.3485,0.093,0.46626,4.09,99.62,100,378.846,1.72875,0,-0.783,3.863,-15.452,-16.4165,-17.288,-1.824,-0.868,0.026,0.247,1.121,-8.755,-3.321,-4.66275,-0.241,0.598,0.3266375
1,2.25,-0.94,0.304,0.424,0.08075,0.48875,4.07,99.6175,100,378.8185,1.7396,0,-0.783,3.526,-15.571,-16.259,-17.144,-1.85275,-0.868,0.026,0.247,1.121,-8.714,-3.321,-4.626,-0.241,0.598,0.34119
1,2.75,-1.468,0.25025,0.372,0.0755,0.498,4.0875,99.6075,100,378.79,1.764975,0,-0.783,3.8275,-15.639,-16.5215,-17.542,-1.8355,-0.868,0.026,0.247,1.121,-8.7415,-3.321,-4.63825,-0.241,0.598,0.342155
1,3.25,-1.757,0.47,0.361,0.07375,0.4735,4.17,99.62,100,379.14675,1.7142,0,-0.783,3.38,-15.707,-16.3115,-17.36025,-1.847,-0.868,0.026,0.247,1.121,-8.6735,-3.321,-4.626,-0.241,0.598,0.3550075
1,3.75,-1.7145,0.31575,0.414,0.07925,0.492,4.01,99.64,100,379.364,1.714425,0,-0.783,3.7025,-15.656,-16.2415,-17.27,-1.824,-0.868,0.048,0.247,1.121,-8.7075,-3.321,-4.6015,-0.241,0.598,0.3551425
1,4.25,-1.62225,0.23275,0.392,0.078,0.491,3.995,99.64,100,378.89375,1.697625,0,-0.783,3.496,-15.639,-16.469,-17.324,-1.8585,-0.868,0.059,0.247,1.121,-8.659,-3.321,-4.6015,-0.241,0.598,0.340325
1,4.75,-1.272,0.26925,0.37,0.07575,0.479,4.03,99.64,100,379.1935,1.704175,0,-0.783,3.384,-15.707,-16.83975,-17.288,-1.8585,-0.868,0.026,0.247,1.121,-8.659,-3.2975,-4.63825,-0.241,0.576,0.3408675
1,5.25,-0.67,0.31225,0.349,0.075,0.478,4.03,99.67,100,379.171,1.7046,0,-0.783,3.598,-16.0165,-16.5745,-17.469,-1.84125,-0.868,0.026,0.247,1.121,-8.769,-3.30925,-4.6015,-0.241,0.598,0.3227975
1,5.75,-0.595,0.265,0.353,0.078,0.4676725,4.1025,99.6875,100,379.125,1.6542,0,-0.783,3.474,-16.329,-16.61,-17.7255,-1.824,-0.868,0.0315,0.247,1.121,-8.769,-3.28575,-4.577,-0.241,0.598,0.325985
1,6.25,-0.26,0.454915,0.3225,0.07375,0.474895,4.0875,99.6575,100,379.2665,1.6482,0,-0.783,3.675,-16.13725,-16.751,-18.0765,-1.824,-0.868,0.026,0.247,1.121,-8.824,-3.2975,-4.6015,-0.241,0.598,0.32984
1,6.75,-0.37,0.2125,0.3585,0.065,0.488,4.145,99.62,100,379.12775,1.62805,0,-0.783,3.597,-16.13725,-16.751,-17.615,-1.8585,-0.868,0.026,0.247,1.121,-8.741,-3.2975,-4.6015,-0.241,0.598,0.336855
1,7.25,-1.399,0.448,0.36478,0.07125,0.4756,4.1025,99.61,100,378.958,1.661225,0,-0.783,3.775,-16.259,-16.965,-18.282,-1.8585,-0.868,0.026,0.247,1.121,-8.659,-3.333,-4.725,-0.285,0.598,0.3257725
1,7.75,-0.755,0.428,0.3446575,0.069,0.49406,4.2,99.61,100,379.097,1.584675,0,-0.783,3.516,-16.2415,-16.965,-18.30075,-1.8585,-0.868,0.07,0.247,1.121,-8.879,-3.321,-4.675,-0.285,0.598,0.340745
1,8.25,-0.3,0.373,0.32825,0.058,0.50025,4.2425,99.64,100,378.9875,1.59905,0,-0.783,3.375,-16.17175,-16.9115,-17.9655,-1.87,-0.868,0.026,0.225,1.121,-8.824,-3.321,-4.66275,-0.285,0.598,0.32204
1,8.75,-0.72,0.40675,0.44525,0.073,0.52,4.355,99.66,100,379.242,1.60515,0.974,5.479,3.589,-16.3815,-16.8575,-17.873,-1.824,-0.868,0.026,0.225,1.121,-8.769,-3.321,-4.675,-0.285,0.598,0.32523
1,9.25,0,0.562,0.391,0.058,0.49175,4.115,99.68,100,378.947,1.5868,10.45,37.9635,4.032,-16.364,-17.0005,-17.984,-1.87,-0.913,0.026,0.247,1.099,-8.769,-3.30925,-4.675,-0.285,0.565,0.33835
1,9.75,3.3,1.09325,0.54575,0.06,0.518,4.04,99.705,100,379.037,1.579125,31.258,91.77875,4.1775,-15.913,-16.539,-17.543,-1.824,-0.868,0.026,0.247,1.121,-8.748,-3.274,-4.675,-0.274,0.587,0.355245
1,10.25,16.345,1.525,0.66775,0.0405,0.554,4.2575,99.71,100,379.463,1.5805,58.183,181.796,4.644,-16.1545,-16.329,-17.23425,-1.847,-0.868,0.026,0.247,1.088,-8.7415,-3.321,-4.6875,-0.263,0.554,0.3681025
1,10.75,28.556,2.768,0.5550675,0.033,0.57879,4.155,99.71,100,379.5075,1.5998,82.3175,255.18,5.068,-15.639,-16.189,-16.8935,-1.8125,-0.868,0.037,0.247,1.121,-8.7895,-3.274,-4.675,-0.263,0.598,0.35475
1,11.25,42.1095,4.42525,0.5595,0.0275,0.622,4.4025,99.71,100,379.73575,1.708575,102.0165,316.235,5.098,-15.639,-16.051,-16.751,-1.824,-0.868,0.026,0.247,1.121,-8.9065,-3.274,-4.7,-0.263,0.598,0.333465
1,11.75,56.4285,4.9445,0.641,0.038,0.62,4.295,99.72,100,379.0355,1.770225,123.96,360.36325,5.505,-15.3,-15.418,-16.259,-1.847,-0.868,0.026,0.247,1.121,-8.714,-3.274,-4.675,-0.252,0.598,0.34621
1,12.25,66.3125,6.562,0.61116,0.03825,0.621,4.36,99.72,100,379.04925,1.7916,142.04675,396.85975,5.547,-14.9985,-15.065,-15.639,-1.824,-0.868,0.059,0.247,1.121,-8.7415,-3.274,-4.725,-0.263,0.598,0.3471875
1,12.75,69.52475,6.8275,0.5445,0.036,0.612,4.36,99.71,100,379.186,1.833025,144.045,397.6425,5.772,-14.5025,-14.535,-15.503,-1.824,-0.868,0.07,0.247,1.121,-8.632,-3.274,-4.725,-0.263,0.598,0.327245
1,13.25,66.7265,6.399,0.61,0.0415,0.6175,4.425,99.6875,100,378.90275,1.88015,139.865,388.24925,5.7495,-14.306,-14.437,-15.35025,-1.87,-0.868,0.026,0.247,1.121,-8.824,-3.345,-4.6505,-0.241,0.598,0.3577225
1,13.75,60.97625,6.5385,0.505,0.0375,0.631,4.35,99.71,100,378.932,1.8979,133.34725,356.547,5.4995,-13.79,-14.176,-14.667,-1.87,-0.868,0.026,0.247,1.121,-8.879,-3.28575,-4.6505,-0.274,0.598,0.35755
1,14.25,50.98475,6.14,0.502565,0.05675,0.63825,4.55,99.71,100,377.733,1.913575,114.5925,301.363,4.95625,-13.662,-13.918,-14.568,-1.87,-0.868,0.026,0.247,1.088,-8.824,-3.381,-4.6505,-0.241,0.587,0.4044875
1,14.75,37.32225,4.8482,0.472,0.07275,0.6175,4.49,99.6775,100,378.4045,1.936925,90.3715,242.16675,4.988,-13.535,-13.854,-14.437,-1.87,-0.868,0.026,0.247,1.121,-8.78275,-3.369,-4.577,-0.252,0.598,0.362135
1,15.25,18.43275,3.264,0.409,0.08175,0.5855,4.2375,99.6875,100,379.1215,1.95025,54.304,167.5105,4.8705,-13.487,-14.063,-14.93175,-1.87,-0.868,0.026,0.247,1.121,-8.755,-3.393,-4.6875,-0.241,0.598,0.3627125
1,15.75,9.19,1.8765,0.414,0.079,0.564,4.24,99.67,100,378.766,1.958325,23.5045,93.73525,4.224,-13.79,-14.176,-15.0985,-1.87,-0.868,0.026,0.247,1.077,-8.769,-3.417,-4.675,-0.241,0.598,0.37352
1,16.25,0.0375,1.009645,0.344,0.098,0.526,3.9825,99.69,100,379.07,1.96535,5.7975,39.138,4.04575,-13.598,-14.371,-15.1655,-1.8585,-0.868,0.026,0.247,1.088,-8.824,-3.417,-4.577,-0.241,0.598,0.359775
1,16.75,-0.8505,0.664,0.31,0.1355,0.484,3.9625,99.7175,100,378.794,1.8947,0,7.045,3.5785,-13.79,-14.3715,-15.367,-1.824,-0.868,0.026,0.247,1.121,-8.7825,-3.405,-4.577,-0.274,0.598,0.316745
1,17.25,-1.555,0.38775,0.3485,0.122,0.48377,4.06,99.735,100,378.8565,1.855975,-1.137,-0.783,3.368,-13.854,-14.502,-15.537,-1.824,-0.868,0.026,0.247,1.121,-8.7965,-3.399,-4.577,-0.285,0.598,0.349255
1,17.75,-2.185,0.2305,0.37475,0.11,0.505,4.055,99.7325,100,379.09075,1.838675,-1.137,-0.783,3.57875,-14.047,-14.832,-15.571,-1.824,-0.868,0.026,0.247,1.121,-8.769,-3.381,-4.626,-0.285,0.598,0.358665
1,18.25,-2.40275,0.30475,0.34757,0.116,0.524,4.255,99.685,100,379.014,1.85685,-1.138,-0.783,3.674,-14.371,-15.165,-15.741,-1.824,-0.868,0.026,0.247,1.121,-8.769,-3.393,-4.626,-0.285,0.598,0.3426375
1,18.75,-2.2915,0.32275,0.378,0.0905,0.509,4.3225,99.64,100,379.176,1.843525,-1.137,-0.783,3.45975,-14.7,-15.435,-16.0855,-1.82975,-0.868,0.026,0.247,1.121,-8.769,-3.369,-4.626,-0.263,0.598,0.3282
1,19.25,-2.54825,0.312,0.36875,0.078,0.482,4.17,99.61,100,379.7055,1.7772,-1.137,-0.783,3.689,-14.7,-15.098,-16.12,-1.87,-0.868,0.026,0.247,1.11,-8.7415,-3.369,-4.626,-0.252,0.598,0.3191375
1,19.75,-2.8385,0.36325,0.343665,0.09,0.48825,4.15,99.59,100,379.6775,1.7561,-1.137,-0.783,3.526,-14.7,-15.165,-16.12,-1.87,-0.868,0.026,0.247,1.11,-8.824,-3.369,-4.66275,-0.285,0.598,0.3160575
1,20.25,-3.3835,0.36425,0.45175,0.0745,0.494,4.06,99.61,100,378.97675,1.7827,-1.137,-0.783,3.6245,-14.634,-15.3,-16.051,-1.87,-0.868,0.026,0.203,1.11,-8.6865,-3.369,-4.66275,-0.285,0.598,0.3529025
1,20.75,-2.474,0.241,0.3655,0.06875,0.468,4.105,99.6325,100,379.055,1.7416,-1.137,-0.783,3.805,-14.568,-15.14825,-15.982,-1.87,-0.868,0.026,0.214,1.11,-8.78275,-3.369,-4.6505,-0.285,0.598,0.3578975
1,21.25,-2.72275,0.294,0.3045,0.0745,0.485,4.08,99.64,100,378.9485,1.756525,0,-0.783,3.725,-14.6835,-15.13175,-16.103,-1.87,-0.868,0.026,0.203,1.11,-8.769,-3.369,-4.6505,-0.285,0.598,0.316245
1,21.75,-2.3665,0.356,0.31507,0.066,0.45975,4.01,99.62,100,378.95425,1.75205,0,-0.783,3.691,-14.6175,-15.233,-16.4865,-1.87,-0.868,0.026,0.247,1.11,-8.769,-3.369,-4.675,-0.285,0.598,0.3178175
1,22.25,-3.20275,0.353,0.3565,0.07575,0.4495,4.02,99.6175,100,378.836,1.78875,-1.137,-0.783,3.5585,-14.6835,-15.588,-16.69775,-1.87,-0.868,0.026,0.214,1.11,-8.769,-3.369,-4.6505,-0.285,0.554,0.3225175
1,22.75,-1.779,0.214,0.3332175,0.071,0.46275,4.06,99.61,100,378.773,1.777925,-1.137,-0.783,3.489,-14.8155,-15.844,-16.69775,-1.847,-0.868,0.026,0.214,1.11,-8.77575,-3.375,-4.626,-0.285,0.598,0.3264275
