DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,TS_1,TS_2,G_1,G_2,WS
1,0.25,1.64057647225,11.7057,6.2450975,0.251806,0.50250125,1.5456,293.3425,303.204,9.3602,0.024080375,2.620595,100,101.8155,1.71326,0.0260434,0.0592711999999999,3.0703,3.17014,3.5844
1,0.75,2.44296993945,8.34533249999999,8.88618999999999,0.25959525,0.825126499999999,2.63164249999999,296.5575,300.57425,8.859,0.0309768,2.3343,100,101.853,1.11059174999999,-0.00288909500000021,-0.0106375975000001,3.9178725,3.90833,2.986955
1,1.25,2.44471602245,6.66509999999999,6.09855,0.19832775,1.2507335,3.78982999999998,294.105,304.378,7.50410499999999,0.0311458,2.1368,100,101.843,0.83502389999999,-0.0165527,0.00515361249999998,3.979655,3.52665,3.28384
1,1.75,4.0182720979,13.04895,5.482025,0.19946375,1.092101,2.2659925,299.527,307.4105,6.78162,0.0366819,3.006095,100,101.862,1.36224974999999,0.0163707999999996,0.00241172999999987,3.55682,3.22253,2.8714025
1,2.25,2.4047831217,5.69256000000002,6.143975,0.21941325,1.74453,2.01684,298.30225,309.1565,8.49956750000001,0.028798275,3.3635375,100,101.862,2.98106249999999,0.00536919824999993,0.001248105,3.33835,3.0721325,3.733905
1,2.75,2.2430366751,13.6643,8.69517,0.246446,1.39115,2.251835,301.73625,307.53825,10.3607125,0.0402487,2.87348,100,101.8625,2.3085725,-0.00994308250000019,0.0135273749999999,3.25692,2.984375,3.676455
1,3.25,5.17526569132499,6.47499999999998,16.0136525,0.25315,0.873543499999998,1.8299175,301.28275,304.774,8.694035,0.029669,2.6570425,100,101.8715,2.12787749999999,-0.0259635000000002,0.0137535299999999,3.0674125,2.904665,3.9278675
1,3.75,3.25422712535,8.33765,5.2412,0.23832,0.7583975,2.50085499999999,297.664,303.1945,9.751535,0.024758025,2.86446,100,101.871,1.6717225,-0.069392225,0.0132078724999998,2.9351475,2.82446499999999,3.12169
1,4.25,6.418229833025,6.96543749999997,10.1241775,0.26761,1.12953,2.2628325,298.23325,303.59075,11.7309025,0.01864345,2.80724,100,101.88,1.5551175,-0.0378904000000001,0.0236252499999995,2.7982525,2.74953749999999,3.198535
1,4.75,2.2878124421,4.8981,5.91938,0.199261,1.507565,2.84924249999999,298.992,302.114,11.04726,0.0288218,2.78816,100,101.895,1.61747749999999,-0.0327116500000002,-0.0143738125000003,2.9896675,2.67053749999999,3.59151
1,5.25,3.878553098,49.3944000000003,37.7425549999999,0.2662485,0.87803375,2.4685975,299.24175,301.51025,8.3992975,0.0212921,2.56378,100,101.90425,1.115354,-0.0407118000000001,0.0104842499999993,2.5246025,2.65399,3.563485
1,5.75,6.25339184460001,7.81111,6.24982,0.20887,1.691625,2.0740225,303.23,303.111,12.2032,0.0185822,2.42288,100,101.904,0.367482499999997,-0.0485684750000003,-0.00350947500000065,2.56557,2.8796175,3.4208275
1,6.25,3.535835680375,11.50565,6.5331775,0.2314335,1.1293975,3.181865,303.478,305.317,14.4068,0.0327418,2.49667,100,101.89425,0.802373249999994,-0.0525535000000003,-0.0168042450000005,2.4730675,3.096405,3.13977
1,6.75,2.61693420025,31.467825,8.56048,0.2431995,1.53416,2.05017,299.028,303.9465,11.12712,0.0268076,2.41002,100,101.894,0.862546249999994,-0.0610722250000003,-0.0372891500000002,2.4275925,3.081765,3.74379
1,7.25,3.421302749,17.97135,10.2231875,0.185224,1.51642,3.1417025,297.464,301.73575,11.6524,0.04568125,2.53486,100,101.87525,0.982996749999996,-0.0552329,-0.0192265500000001,2.37243,3.056045,3.460035
1,7.75,3.3462893006,6.0615,10.936515,0.244856,1.120105,1.89699,297.2715,302.09725,10.39076,0.02513935,2.3094525,100,101.85625,0.260125899999996,-0.0512255500000004,-0.0136376975000002,2.3660425,3.0288475,3.2744175
1,8.25,3.6673649421,11.28065,11.404165,0.2131275,1.146545,3.01662,297.608,302.3795,8.819225,0.03487355,2.51424,100,101.8465,0.35863225,-0.0437002,-0.0066808575000001,2.3839675,3.00299,3.5550525
1,8.75,2.60847882105,3.6352625,10.81649,0.22803125,2.20425499999999,2.34598,297.073,300.1605,7.72215750000001,0.068725275,2.56473,100,101.82625,0.564856249999997,-0.0161403775000004,-0.026743975,2.3410675,2.99161999999999,3.8147
1,9.25,3.141778122,3.3389875,11.319575,0.20640325,2.11206,3.1864475,300.10275,307.86675,7.93238750000001,1.27301,2.638075,100,101.8265,1.4953375,-0.0138248300000005,-0.0225484000000001,2.3072025,2.97799749999999,3.32631
1,9.75,3.592946856625,20.143,15.98655,0.249606,4.2698575,5.7662825,302.53575,309.02125,6.4374875,9.55610250000001,2.521415,100,101.8075,1.653205,-0.0674843500000001,-0.0407677250000004,2.26295,2.9659875,2.7788675
1,10.25,4.89025495400001,12.336275,9.61494,0.2149355,29.5014,24.41155,295.841,308.611,12.00585,29.23375,2.6433725,100,101.79775,1.45614,-0.0295515250000005,-0.0277336750000001,2.252485,2.9235025,3.154845
1,10.75,3.015792752025,6.6424575,9.64929999999999,0.26904175,67.3372,50.986125,295.878,310.09025,25.6088,59.9188,2.686505,100,101.8,1.2646475,-0.0564834250000002,-0.00562522250000017,2.1961375,3.59136,3.2596975
1,11.25,3.442860763,81.1024999999999,14.557075,0.3410355,100.5062,72.870575,294.576,307.7245,36.4672,98.3702,2.5914425,100,101.8,1.180575,-0.0221789750000001,-0.0123737500000001,2.1619625,3.6232975,3.14911
1,11.75,8.18098312544999,12.312635,10.782675,0.2381525,112.3535,88.5133,293.5955,306.0755,40.59255,135.13575,2.6057575,100,101.76775,1.899485,0.0024073749999997,-0.0100581525,2.79510749999999,3.6193775,3.16365
1,12.25,2.659297008975,14.612625,11.06,0.222074,136.96525,101.49895,293.31175,308.615,54.7935250000001,163.5375,2.86047,98.6437,101.748,2.6503675,-0.0203594500000001,0.00788637249999999,2.5853875,3.65867249999999,3.448
1,12.75,4.412973687875,11.039475,9.24442,0.2508965,143.35675,108.49975,292.70125,311.2125,48.027875,179.2785,2.8262375,94.5102,101.71825,3.39635249999999,-0.0614604000000001,0.00595490999999991,2.34646,3.4512825,3.14878
1,13.25,3.1456398256,24.181,11.68805,0.296924,141.4755,110.197,296.776,312.049,37.441925,183.37925,2.9694575,99.617725,101.6985,3.96129999999999,-0.0552543250000003,-0.00259859500000012,2.2093675,3.42938749999999,3.2723
1,13.75,1.485744926,5.93095999999996,13.8495,0.22719875,130.43,103.30175,297.796,309.70575,45.45275,174.16875,2.96203,100,101.67925,3.80376749999999,-0.0539894750000001,-0.0177861000000001,2.1924225,3.3527825,3.36034
1,14.25,1.7637921576,4.6193575,12.5857,0.295857499999999,122.0185,96.124525,294.88,304.8505,49.9142,158.345,2.9437925,100,101.669,2.631855,-0.00227585500000026,0.00992773499999995,2.1581375,3.2377425,3.2232
1,14.75,2.262444224275,2.86177499999999,10.941675,0.246969,107.679,82.519575,292.73075,303.43775,48.9266,127.32775,2.73729,100,101.65975,2.3605775,0.0156137499999996,0.0319853249999998,2.280125,3.1316075,3.2526475
1,15.25,4.57025809029999,4.28924,7.89629,0.221545,86.101275,60.403,293.68725,302.63725,55.499925,84.901975,2.8261075,100,101.649,2.41867749999999,0.0185389,0.0621400999999996,2.6933425,2.99528,2.7535825
1,15.75,3.2507360507,3.01944,8.203005,0.21101175,39.6741,29.6207,291.298,301.14,43.37725,40.4588,2.6531,100,101.685,2.17052499999999,0.0172260399999999,0.0138898999999999,2.48211,2.8840825,2.8938625
1,16.25,2.95717068605,11.297675,12.3972,0.28477,6.01379999999999,6.71252249999999,292.4535,298.8275,25.1834,17.67675,2.5567,100,101.664,2.15264999999999,0.0486904749999999,0.00340498499999992,2.167485,2.83436,3.347055
1,16.75,3.2576019983,3.9371875,12.6506,0.2237335,1.20746,1.91058,289.61425,296.40875,18.813275,3.66411,2.68446,100,101.637,1.11025325,0.0237111999999999,-0.0156947750000001,2.0906425,2.80159,3.2817775
1,17.25,3.945847494725,12.296925,9.235625,0.19362,1.321425,1.8149675,293.692,296.745,16.7383,0.26000175,2.44582,100,101.65625,1.18977624999999,0.0091591514999999,-0.0176063000000001,2.116105,2.76257,3.197725
1,17.75,2.14991002085,20.466675,9.16865,0.19334,1.612625,2.6013425,294.3345,298.2095,14.3148,0.0540791,2.61908,100,101.66625,1.09642375,0.00465063499999994,0.0211756574999997,2.294585,2.7302775,3.3636275
1,18.25,2.57118876175,3.9721425,10.53205,0.24279,1.0272175,1.813065,293.32,296.26325,16.58495,0.04117125,2.669,100,101.649,0.785600749999993,0.00184128749999989,0.0289572749999998,2.567735,2.6903075,4.0006625
1,18.75,3.49625610575,9.17390999999997,14.99985,0.2560085,1.0924,2.28222,294.808,298.927,13.9581,0.0478178999999999,3.162415,99.40575,101.64925,1.37022249999999,-0.0109299400000004,-0.0229404750000001,2.558315,2.66103499999999,4.33723
1,19.25,3.24127588840001,6.326335,14.5333,0.25743,0.554471,2.0619875,293.3105,298.688,12.8576,0.041626725,2.75133,100,101.65,1.23057249999999,-0.0394752750000004,-0.0352732000000001,2.7082625,2.63162749999999,3.81472
