DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA_1_1_1,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1,TA_1_1_2,SW_OUT,LW_IN,LW_OUT,CO2
1,0.25,0.374,-3.375,0.165,0.185,1.644,-17.65,0,0,0.32,87.8,0.95,90.4,-1.8775,1.5495,0.875,2.77613,2.20554,186.69,277.716,430.692
1,0.75,0.698,-3.445,-0.42,0.194,1.3575,-17.805,0,0,0.395,87.4,1.02,90.4491,-1.8775,1.565,0.8735,1.93697,2.06355,185.893,274.391,429.593
1,1.25,0.531,-1.815,0.27,0.192,1.407,-16.745,0,0,0.3795,88.578,1,90.4,-1.8775,1.5575,0.883,2.402115,2.07088,189.275,276.2315,428.594
1,1.75,0.364,-0.125,-0.5,0.187,1.4165,-18.52,0,0,-0.0765,89.2,0.95,90.4829,-1.883,1.581,0.892,1.61823,1.80576,192.867,273.365,428.502
1,2.25,0.684,-6.48,0.8,0.1605,1.247,-17.05,0,0,-0.235,89,0.925,90.48005,-1.9155,1.574,0.8945,1.15043,1.98503,188.502,271.081,428.553
1,2.75,0.282,-0.29,1.97,0.166,1.243,-16.425,0,0,-0.14,88,0.99,90.5,-1.9245,1.5885,0.871,1.3516015,2.01097,187.549,270.3145,428.852
1,3.25,0.2,-0.82,0.04,0.22,1.2655,-15.74,0,0,-0.325,87.45,1.08,90.5,-1.926,1.581,0.8625,0.649083,1.54,187.228,269.848,430.768
1,3.75,0.246,-0.3,0.05,0.186,1.2085,-16.31,0,0,-0.33,88,1.08,90.5,-1.9265,1.574,0.848,0.7957335,2.14234,187.127,269.3335,428.998
1,4.25,0.886,-2.01,0.19,0.153,1.101,-15.495,0,0,-0.315,88.251,0.97,90.5,-1.685,1.5735,0.8405,1.24107,1.6762,190.776,268.986,428.7435
1,4.75,0.3205,-2.5,0.42,0.155,1.0945,-14.325,0,0,-0.385,88.9715,1.06,90.5,-1.712,1.583,0.8415,-0.430033,1.32783,182.473,264.864,428.983
1,5.25,0.757,-8.61,0.38,0.146,1.0665,-13.8,0,0,-0.53,89.85,0.91,90.5,-1.7275,1.581,0.8385,0.0600835,1.80729,184.0925,264.8115,429.102
1,5.75,1.2355,1.02,2.13,0.1535,0.884,-13.71,0,0,-0.555,88.9,0.84,90.5,-1.729,1.5695,0.856,0.292933,2.17745,177.459,266.623,428.88
1,6.25,0.577,-17.3871,3.57,0.15,1.0205,-13.18,0,0,-0.3885,88.75,0.925,90.5,-1.7285,1.5615,0.86,0.830915,2.63511,178.434,268.1335,428.807
1,6.75,1.772,5.59,0.03,0.208,0.931,-12.69,0,0,-0.325,89.05,0.95,90.5,-1.729,1.56,0.8515,0.6127,3.70592,182.851,267.219,429.458
1,7.25,0.0965,5.795,3.454795,0.191,1.023,-11.97,0,0,-0.58,89.6,0.965,90.5,-1.729,1.56,0.8405,1.03337,6.39268,181.81,268.087,429.064
