DOY2,HR2,RH,TA,PPFD_IN,PPFD_OUT
1,0.25,58.7275,-38.0295,-0.03990814475,0.039487387
1,0.75,58.83,-38.2245,-0.03872211575,0.04005380825
1,1.25,59.2525,-37.9465,-0.03306831525,0.0460616565
1,1.75,56.025,-37.79775,-0.03563175525,0.0355911665
1,2.25,56.7625,-37.66775,-0.03896877375,0.04112444575
1,2.75,51.285,-38.06,-0.04417870275,0.02527141875
1,3.25,51.38,-38.298,-0.036812153,0.04447146775
1,3.75,57.6275,-38.3675,-0.040735333,0.0488684925
1,4.25,59.2925,-38.52625,-0.0453375745,0.041744221
1,4.75,59.12,-38.241,-0.049592184,0.03806660825
1,5.25,58.44,-38.2995,-0.04324833975,0.04134464375
1,5.75,59.4575,-38.364,-0.045186317,0.02488363675
1,6.25,56.63,-38.6775,-0.04649025475,0.048043611
1,6.75,59.39,-38.54775,-0.04251540675,0.044418393
1,7.25,60.48,-38.72975,-0.04436346325,0.04146598475
1,7.75,59.23,-38.71275,-0.03653554,0.04999026125
1,8.25,59.395,-38.5165,-0.04301404575,0.04255145175
1,8.75,60.4925,-38.35375,-0.04128669125,0.04519819975
1,9.25,60.235,-38.1935,-0.04359124575,0.0483495635
1,9.75,59.7325,-38.16225,-0.0408620645,0.04519721725
1,10.25,59.2475,-37.89725,-0.04289429675,0.05067241175
1,10.75,58.0325,-37.7945,-0.00374888045,0.09351106125
1,11.25,59.44,-37.7405,0.159078655,0.2930248
1,11.75,54.0825,-37.37275,0.7699115475,1.0950220175
1,12.25,55.07,-37.25025,2.1272628,2.59872
1,12.75,60.16,-36.89975,3.872418975,4.26464975
1,13.25,60.1725,-36.1875,5.231754,5.6819377
1,13.75,59.7175,-36.2355,5.47553455,5.99676315
1,14.25,58.7025,-36.189,4.52727085,5.059428775
1,14.75,59.1575,-36.341,2.86629375,3.34592445
1,15.25,58.6375,-36.419,1.23664897,1.5705111
1,15.75,55.75,-36.05875,0.306379975,0.4787862675
1,16.25,55.055,-36.508,0.026348133425,0.134846575
1,16.75,54.6675,-36.63675,-0.0291269875,0.05662050375
1,17.25,56.52,-36.176,-0.03801145875,0.04090777175
1,17.75,59.525,-36.19575,-0.0452353545,0.04187479925
1,18.25,51.565,-36.46225,-0.040949071,0.03223929225
1,18.75,51.6375,-36.1845,-0.04299248975,0.03753198725
1,19.25,52.1,-37.059,-0.0405729685,0.03783222075
1,19.75,57.3175,-37.48275,-0.04447440475,0.03509399275
1,20.25,53.7,-37.24875,-0.039850527,0.04435860975
1,20.75,58.6175,-37.387,-0.04544400525,0.012301568575
1,21.25,56.71,-37.193,-0.03736847925,0.0406660625
1,21.75,56.73,-37.17825,-0.03657403575,0.04506030875
1,22.25,57.9775,-36.92775,-0.04031297475,0.035072578
1,22.75,58.6725,-37.0445,-0.05176340475,0.02346524525
1,23.25,56.9675,-38.0995,-0.04392727675,0.036292917
1,23.75,58.17,-37.863,-0.03723898,0.035821148
2,0.25,55.505,-39.79,-0.043919859,0.1840485975
2,0.75,55.315,-39.79,-0.03729107275,0.1686138075
2,1.25,54.9975,-39.79,-0.037169275,0.1838465625
2,1.75,55.515,-39.79,-0.03967294875,0.17955796
2,2.25,55.8325,-39.79,-0.043303257,0.178756215
2,2.75,56.1675,-39.79,-0.04586202075,0.1738359825
2,3.25,56.1575,-39.79,-0.039480827,0.1919602775
2,3.75,56.34,-39.79,-0.0394351545,0.18835399
2,4.25,56.4125,-39.79,-0.0418436865,0.19109552
2,4.75,56.4375,-39.79,-0.03759663325,0.1954198925
2,5.25,56.7375,-39.79,-0.03714243225,0.1931645225
2,5.75,56.62,-39.79,-0.04291025475,0.18348479
2,6.25,56.675,-39.79,-0.04414567425,0.1938036275
