DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA,RH,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,PA
1,0.25,0.078,-0.016,10.242,-34.613,0.417,-0.017,416.882,457.319,-16.99,0,0,0,-3.6235,89.4835,1.233,-0.007,-0.353,0.2515,1.2035,2.9685,2.913,-0.5665,-0.393,-0.087,2.237,1.767,2.314,-1.644,-2.567,98.772
1,0.75,0.1705,0.144,7.711,-35.873,0.42,0.016,413.023,457.658,-18.915,0,0,0,-3.7795,90.292,1.189,-0.0925,-0.355,0.3255,1.168,2.9585,2.9185,-0.6235,-0.381,-0.001,1.908,2.044,2.209,-1.6575,-2.567,98.731
1,1.25,0.096,0.0915,7.952,-36.567,0.402,-0.003,418.0115,458.1555,-17.27,0,0,0,-3.7555,90.3,1.177,-0.0925,-0.3485,0.271,1.135,2.9485,2.8955,-0.5945,-0.394,-0.51,2.147,1.883,2.352,-1.695,-2.5925,98.7045
1,1.75,0.068,-0.072,7.8865,-33.546,0.403,-0.001,429.0335,456.2685,-15.455,0,0,0,-3.747,90.3,1.217,-0.071,-0.297,0.3025,1.136,2.965,2.9415,-0.588,-0.4155,-0.564,2.144,1.827,1.781,-1.718,-2.6685,98.6595
1,2.25,0.07,0.188,7.6865,-33.4145,0.4085,0.012,428.0045,454.89,-16.57,0,0,0,-3.733,90.15,1.1755,-0.104,-0.3685,0.302,1.108,2.983,2.9845,-0.578,-0.3745,-0.515,1.995,1.7595,2.168,-1.718,-2.746,98.6145
1,2.75,0.226,0.33,6.2505,-26.237,0.374,0.021,422.595,455.853,-16.049,0,0,0,-3.711,89.35,1.1415,-0.1115,-0.372,0.3225,1.029,2.9465,3.024,-0.5835,-0.43,-0.552,2.045,1.795,2.3475,-1.6925,-2.705,98.5635
1,3.25,0.22,0.239,6.037,-19.6135,0.371,-0.006,427.2255,456.907,-16.415,0,0,0,-3.617,89.55,1.0585,-0.1165,-0.386,0.257,1.0655,2.914,2.937,-0.5715,-0.4165,-0.748,1.954,1.788,2.0065,-1.619,-2.6515,98.552
1,3.75,0.1375,0.104,5.423,-22.666,0.3945,0.0405,427.4105,456.752,-18.11,0,0,0,-3.6875,89.55,1.122,-0.1205,-0.395,0.1735,1.079,2.9485,3.0135,-0.568,-0.411,-0.593,1.771,1.8015,2.186,-1.603,-2.5965,98.5665
1,4.25,0.363,0.802,3.429,-29.413,0.431,0.0405,429.675,456.838,-18.435,0,0,0,-3.8555,89.65,1.1475,-0.122,-0.364,0.2765,1.0695,2.9695,2.9545,-0.6215,-0.3965,-0.8,1.86,1.8585,1.97,-1.601,-2.5985,98.5715
1,4.75,0.274,0.418,5.5835,-26.005,0.471,0.012,422.99,456.589,-16.7,0,0,0,-3.8845,90.15,1.166,-0.1195,-0.396,0.2325,1.025,2.8785,2.9255,-0.5925,-0.37,-0.8185,1.618,1.8625,2.397,-1.601,-2.604,98.565
