DOY2,HR2,USTAR,TA,WS,FC,H,LE,TS_1,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_2
1,0.25,0.07742,-28.34,0.394,0,-34.43114231,-0.56214759625,-4.86375,60.64,88.4,-43.355,0,0,0.2079285,0,-5.6265,-4.2885,-12.38,-10.71,-7.924,-12.77,-9.599,-9.78,384.025,-3.83375
1,0.75,0.06582,-28.505,0.393,0,-31.42915,-0.436091086,-4.83725,60.395,88.4,-43.75,0,0,0.2264405,0,-5.589,-4.257,-12.305,-10.65275,-7.931,-12.685,-9.565,-9.66,383.775,-3.77
1,1.25,0.06877,-28.49,0.362,0,-32.54135,-0.499137562,-4.85075,60.405,88.4,-44.6,0,0,0.2328115,0,-5.634,-4.249,-12.51,-10.8245,-7.997,-12.905,-9.69,-9.91,383.925,-3.76775
1,1.75,0.068849178,-28.4225,0.377,0.02,-37.6791,-0.428178299,-4.82875,60.07,88.4,-44.555,0,0,0.221269,0,-5.60175,-4.206,-12.5275,-10.890625,-8.0625,-12.9725,-9.75125,-9.9975,383.95,-3.8165
1,2.25,0.06475,-28.465,0.45225,0,-33.98756197,-0.4090475,-4.90375,61.295,88.4,-42.36,0,0,0.222151,0,-5.59375,-4.214,-12.57625,-10.91375,-8.1075,-13.04,-9.81125,-10.0425,384.1,-3.82625
1,2.75,0.06654,-27.8525,0.38975,0.0126,-32.51583652,-0.6203465,-4.9345,61.195,88.4,-44.0325,0,0,0.209717,0,-5.6295,-4.2085,-12.6175,-10.92625,-8.1425,-13.09,-9.81,-10.0905,383.85,-3.82275
1,3.25,0.0662,-28.22,0.383,0,-34.661745845,-0.3524875,-4.8195,61.02,88.4,-43.32,0,0,0.22196725,0,-5.609,-4.214,-12.655,-10.91,-8.18,-13.09,-9.83,-10.11,384.025,-3.7485
1,3.75,0.067175,-28.2,0.398,0.007925,-35.69517948,-0.362915,-4.7805,60.99,88.4,-42.905,0,0,0.2082225,0,-5.6235,-4.238,-12.675,-10.91,-8.17,-13.09,-9.85,-10.13,383.8,-3.74875
1,4.25,0.069420693,-28.07,0.396,0,-37.6355173,-0.34158,-4.78275,61.32,88.4,-43.385,0,0,0.1992065,0,-5.6785,-4.226,-12.85,-10.94,-8.18,-13.08,-9.78,-10.01,383.825,-3.70775
1,4.75,0.0665575,-27.9,0.33,0,-31.0191267075,-0.33442478775,-4.87875,60.84,88.4,-43.32,0,0,0.21464125,0,-5.7205,-4.231,-12.93,-10.9,-8.15,-13.1,-9.79,-10.03,384.025,-3.73375
1,5.25,0.0647,-27.9125,0.366,0.02,-34.061225,-0.633575,-4.86475,61.1775,88.4,-43.8425,0,0,0.215041,0,-5.7025,-4.2325,-12.9375,-10.87125,-8.145,-13.1325,-9.84875,-10.01,384,-3.6955
