DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
1,17.25,21.9256,18.6215,8.65609,-0.322535,0.4945855,1.60599999999999,98.7452,100,0,4.13561,1.18937798869829,0.983015911069593,0.658329703930379
1,17.75,22.13235,10.8462,8.88049,-0.2726455,0.50568,1.16000000000003,98.80615,100,0,3.90225,1.10649898328015,0.949171217431292,0.655471170884514
1,18.25,17.72735,6.07441,11.6318,-0.248294,0.4119825,1.02800000000002,98.8168,100,0,3.48723,1.07217378850608,0.894003914980242,0.610320407654864
1,18.75,16.6416,4.478295,7.95018,-0.214767,0.4061905,0.645000000000039,98.8373,100,0,3.321585,1.05087271916097,0.859268875265478,0.619486077325391
1,19.25,14.6658,2.77441,5.5947,-0.20346,0.428335,0.56200000000004,98.84415,100,0,3.35276,1.02715530911874,0.838057873896547,0.569823540902762
1,19.75,12.12485,2.2056,3.60613,-0.221612,0.423456,0.374000000000024,98.86295,100,0,3.36192,0.989153173173902,0.817381184026156,0.570917682332576
1,20.25,12.5825,0.850703,5.35237,-0.206116,0.4106185,0.113000000000028,98.8491,100,0,3.274275,1.05503606429068,0.875061140721036,0.587863929834107
1,20.75,12.9234,1.600255,6.00907,-0.236565,0.4480145,-0.160999999999945,98.8974,100,0,3.061645,1.06076858927855,0.873743729819535,0.586821124753826
1,21.25,10.0449,1.855385,4.85526,-0.2101135,0.437065,-0.205499999999972,98.9051,100,0,3.24664,1.11793112489097,0.83679029631085,0.607205072442581
1,21.75,11.2929,-6.797295,5.76907,-0.1677675,0.44683,-0.338499999999982,98.9061,100,0,3.10461,1.09396983505031,0.853523871956725,0.589124774559685
1,22.25,11.3908,4.49269,5.47142,-0.230753,0.465398,-0.378999999999962,98.9246,100,0,3.38551,1.09304124462257,0.839896757686995,0.601141481283058
1,22.75,9.87634,4.233975,6.95437,-0.271006,0.4561765,-0.362999999999943,98.9098,100,0,3.218805,1.02872408633985,0.817293704857684,0.600775330702105
1,23.25,8.00597,-1.52485,4.93857,-0.18626,0.4496355,-0.44399999999996,98.9102,100,0,2.94805,0.967971933250412,0.850325231896596,0.563872097856273
1,23.75,7.62793,5.217765,5.92093,-0.193429,0.486483,-0.407999999999959,98.8936,100,0,3.10409,1.01098961418998,0.84590768609574,0.613234865284093
2,0.25,6.49345,-4.87246,6.2515,-0.199562,0.4073085,-1.60499999999996,99.0922,100,0,3.263485,1.02244639090209,0.783668326270468,0.563236537426978
2,0.75,5.964095,-7.14909,4.12404,-0.240995,0.399818,-1.98799999999994,99.0723,100,0,3.4847,1.04794083802474,0.80177615329966,0.582
2,1.25,4.748095,-4.919955,2.14277,-0.202757,0.376693,-2.41499999999996,99.2308,100,0,3.26923,0.963848034189288,0.79412215684994,0.504776188027922
2,1.75,5.17491,-8.988585,4.352815,-0.249782,0.430638,-2.52499999999995,99.16255,100,0,3.19942,0.949371877108776,0.913822739922793,0.56158614655278
2,2.25,5.69909,-9.044805,2.29452,-0.192406,0.364736,-2.65949999999998,99.15045,100,0,3.04364,0.888128171602702,0.778797591382758,0.520025960890416
2,2.75,4.40622,-5.21213,5.10452,-0.233375,0.382526,-2.66449999999998,99.1374,100,0,3.27194,0.989322657779798,0.78374230458742,0.576481496347855
2,3.25,6.10368,-8.560735,6.23092,-0.1793965,0.385073,-2.81899999999996,99.1549,97.30065,0.1029755,3.216895,0.960342065888241,0.758269968256552,0.528473350398925
2,3.75,4.33874,-9.32844,5.136955,-0.171037,0.383427,-3.322,99.1116,100,0,3.32129,0.881746937982667,0.736613195646127,0.558929333637089
2,4.25,3.80174,-6.70674,2.87088,-0.1473615,0.398392,-3.387,99.0913,100,0,3.1767,0.931046185750202,0.811043771938359,0.552592073775946
2,4.75,5.547455,-8.21754,3.31929,-0.169617,0.370076,-3.47699999999998,99.0685,100,0,3.22451,0.85910512090759,0.731939688149637,0.538470983433648
2,5.25,7.31402,-6.463865,3.700155,-0.183797,0.385866,-3.625,99.0991,100,0,3.29033,0.925884982057707,0.739464671231831,0.564080832293533
2,5.75,12.5823,-8.88312,3.806665,-0.220554,0.418861,-3.74399999999997,99.1736,100,0,3.37789,0.981107276649651,0.739967557561059,0.567646897287389
2,6.25,12.9306,-0.66786,3.16648,-0.2467145,0.44163,-3.79599999999994,99.192,100,0,3.07398,0.909275870096612,0.731015731704866,0.533409786186943
2,6.75,14.4144,-3.52331,6.088,-0.193124,0.412682,-3.72299999999998,99.08975,100,0,3.04165,1.08008539652467,0.78784773051614,0.504869290014752
2,7.25,15.18665,-4.09104,3.56121,-0.2435475,0.4354145,-3.78749999999997,99.10175,100,0,3.20665,1.0560018939377,0.815469190098559,0.53308096593075
