DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
1,0.25,-0.2775,-48.525,-5.885,-0.309875,-21.39,60.5,-73.595,0,0,0,0,0,0,0.577,0.00700000000000001,96.507,-48.2975,-5.0725,-3.0725,-0.6,1.4
1,0.75,-0.2,-46.72,-4.9275,-0.29913725,-21.545,61.325,-73.0725,0,0,0,0,0,0,0.638,0.01,96.61625,-46.75,-5.1,-3.145,-0.6,1.4
1,1.25,-0.3875,-48.84,-5.7725,-0.2911935,-21.525,62.2,-73.6725,0,0,0,0,0,0,0.48,0.01,96.426,-49.5875,-5.0725,-3.245,-0.6,1.4
1,1.75,-0.3,-48.225,-4.5625,-0.294753,-21.525,62.3375,-73.245,0,0,0,0,0,0,0.3825,0.01,95.963,-49.625,-5,-3.325,-0.6,1.4
1,2.25,-0.49,-51.4625,-5.92,-0.285773,-21.5,63.125,-73.6,0,0,0,0,0,0,0.44125,0.01,95.636,-51.0525,-4.975,-3.2725,-0.6,1.4
1,2.75,-0.6,-47.7675,-5.115,-0.28158,-21.575,62.5,-72.575,0,0,0,0,0,0,0.529,0.01,95.9075,-49.7875,-4.9,-3.2775,-0.6,1.4
1,3.25,-0.4875,-43.875,-4.655,-0.282928,-21.775,62.575,-72.32,0,0,0,0,0,0,0.5245,0.01,95.621,-50.2,-4.975,-3.2775,-0.6,1.4
1,3.75,-0.2,-42.3,-5.445,-0.257636,-22.275,62.35,-71.125,0,0,0,0,0,0,0.5645,0.01,95.75,-46.465,-5,-3.3,-0.6,1.4
1,4.25,-0.5,-40.92,-4.6625,-0.258816,-21.975,60.58,-72.175,0,0,0,0,0,0,0.50275,0.01,95.843,-48.94,-5.1,-3.275,-0.6,1.4
1,4.75,-0.3325,-41.545,-4.465,-0.25178375,-22.125,61.16,-71.9875,0,0,0,0,0,0,0.64125,0.01,95.585,-46.3,-5.2,-3.275,-0.6,1.4
1,5.25,-0.5775,-40.64,-4.665,-0.24998,-22.2,63.0025,-72.2775,0,0,0,0,0,0,0.46,0.01,95.8155,-50.3325,-5.275,-3.2775,-0.675,1.4
1,5.75,-0.5,-43.2875,-3.8625,-0.257712,-22.3325,62.9225,-71.665,0,0,0,0,0,0,0.62325,0.01,95.8725,-49.145,-5.38,-3.28,-0.68,1.4
1,6.25,-0.4975,-42.3525,-3.565,-0.27895725,-22.2325,62.6225,-69.1,0,0,0,0,0,0,0.55,0.01,95.842,-50.29,-5.4775,-3.255,-0.6775,1.4
1,6.75,-0.5,-38.73,-3.74,-0.244743,-22.625,63.025,-70.2975,0,0,0,0,0,0,0.5175,0,95.85975,-45.9325,-5.475,-3.255,-0.6775,1.4
1,7.25,-0.91,-41.1725,-3.975,-0.247462,-22.3775,63.275,-69.38,0,0,0,0,0,0,0.43375,0.01,96.168,-48.675,-5.475,-3.28,-0.6775,1.4
1,7.75,-0.8,-41.25,-3.5475,-0.26549025,-22.375,61.225,-63.175,0,0,0,0,0,0,0.5635,0.01,96.54825,-43.08,-5.4775,-3.3,-0.68,1.4
1,8.25,-1.1,-36.65,-2.015,-0.269782,-21.85,61.7225,-53.725,8.05,0.765,0,0,0,0,0.5365,0.01,96.597,-35.55,-5.4,-3.275,-0.675,1.4
1,8.75,-1.33,-36.02,-1.525,-0.317318,-21.275,60.7125,-44.525,19.1475,1.8225,34.8525,2.5225,0,0,0.5005,0.04,96.71625,-25.6,-5.3775,-3.355,-0.6775,1.4
1,9.25,-1.6,-31.6,-0.405,-0.341272,-20.65,60.15,-41.77,23.9,2.645,49.065,4.0125,0,0,0.79325,0.02,96.75225,-23.9875,-5.355,-3.35,-0.675,1.4
1,9.75,-2.27,-30.765,0.42,-0.326624,-20.075,58.425,-34.9,34.075,3.2,72.56,6.0675,0,0,0.6705,0.01,96.8005,-20.65,-5.275,-3.275,-0.675,1.4
1,10.25,-2.395,-28.7025,0.6,-0.330382,-19.55,56.3,-33.5775,42.2,4.1225,83.165,5.945,0,0,0.65,0.026,96.773,-18.075,-5.05,-3.255,-0.5775,1.4
1,10.75,-2.095,-28.1,2.1,-0.31476625,-18.9,53.75,-32.975,44.9475,4.8225,94.8375,7.045,0,0,0.922,0.05,96.779,-16.25,-4.9,-3.15,-0.5775,1.4
