DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU
1,0.25,393.5624792,4.5392746,1940.1521084,-0.0220488500000001,-49.751711,-74.2690288,-20.600167825,0.1304405,0.0292587,0.1212719,0.0298535,100.93125,67.1438,0.00730000000000001,0.1573876,2.9657628,0.0762468,2.3327331,2.3536331,2.3749331,2.3711669,2.443933,11.127,-73.411915,0,-0.0638298,-3.913043,-0.076923,252.5549876,305.3422671,-0.430245325
1,0.75,393.988579975,4.39315195,1940.79523505,-3.23540145,-50.2533171,-75.0766422,-15.946934,0.0911517,0.0281777,0.1197964,0.0270563,100.893625,65.5959,-0.0372,0.1514596,2.5984908,0.0691287,2.3296,2.3532999,2.3703001,2.3576332,2.4539,11.127,-71.86607,0,0,-4.1014494,-0.076923,251.8555072,304.1439059,-0.460026975
1,1.25,392.96653695,4.3875183,1946.17306345,-2.083520375,-46.420501875,-81.4167385,-28.33052575,0.2024364,0.0243865,0.1164523,0.0251429,100.869,67.87,-0.4795,0.1460765,2.5825907,0.07939865,2.302267,2.3339668,2.3485999,2.3502,2.4498332,11.127,-72.3789661,0,0,-4.0072462,-0.0230769,251.5544267,303.780631,-0.538002875
1,1.75,392.3576756,3.9564804,1938.6469689,-0.501814,-63.046982675,-78.73400085,-40.1614702,0.1166552,0.0248039,0.0934102,0.0301107,100.871625,68.712,-0.7272,0.1495589,1.8936276,0.0739628,2.2941669,2.3241001,2.3660669,2.3477999,2.445933,11.127,-72.1193325,0,0,-4.0072462,0,253.2042749,302.6052915,-0.5060103
1,2.25,393.1513048,4.128753,1942.494146775,-1.814804625,-33.66245845,-60.31039045,-18.953064175,0.1285757,0.0219591,0.1059307,0.0258505,100.86,69.906,-1.15242,0.1370743,1.9118282,0.075608,2.2835668,2.3202001,2.3375001,2.3478668,2.4350999,11.127,-71.1051349,0,-0.212766,-3.985507,-0.0230769,252.766717,302.1211082,-0.5524848
1,2.75,393.255553975,4.2942138,1942.857335375,-2.01256445,-46.050436125,-60.884741,-9.6101975,0.1768272,0.0243797,0.12158,0.0239673,100.81825,70.828,-1.2696,0.1368221,1.9121869,0.08317925,2.2838999,2.3209999,2.350767,2.3372999,2.4301332,11.127,-71.2128355,0,-0.212766,-4.0289854,-0.153846,252.7704501,301.9670076,-0.56235225
1,3.25,393.573848925,4.02790615,1945.9499698,-1.51552375,-30.1876405,-72.24107655,-11.312179375,0.2008085,0.0247806,0.0968438,0.0301671,100.775625,71.936,-1.0048,0.1327439,1.4131683,0.075315375,2.2773332,2.3202668,2.370333,2.3486669,2.437467,11.127,-72.2374862,0,-0.212766,-4.0072462,-0.076923,252.8943816,302.5591983,-0.5602592
1,3.75,393.61096565,4.40366165,1946.421826675,0.0840594,-45.90249725,-65.37959535,-12.9750065,0.1505894,0.0250357,0.105081,0.0298458,100.769375,72.827,-1.4212,0.134341,1.5653471,0.07126205,2.276967,2.3063001,2.3800999,2.3663332,2.4464332,11.127,-70.7151185,0,-0.0638298,-4.0797102,-0.0230769,254.3631265,301.2303073,-0.461715
1,4.25,395.450665875,4.4691766,1948.57407625,-2.6553647,-59.9798282,-86.578936625,-9.7476509,0.1253971,0.0245604,0.1029667,0.0313182,100.761375,73.651,-1.6095,0.1242396,1.2155929,0.0785632,2.2653331,2.312267,2.3733669,2.3641668,2.445,11.127,-71.503664,0,0,-3.8623189,-0.076923,249.6790136,300.5498258,-0.5348118
1,4.75,392.081536,4.0055616,1948.1116658,0.41496015,-51.076262375,-94.506859,-9.1505325,0.1425568,0.025085,0.1040723,0.0298208,100.76875,71.807,-1.73159,0.106985,-0.136897,0.0707908,2.2580668,2.309533,2.3732,2.3577668,2.4364332,11.127,-73.9739963,0,0,-4.057971,-0.076923,248.6156745,300.8381685,-0.4553829
