DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,FC_1_1_1,G_2_3_1,G_2_2_1,PPFD_OUT_1_1_1,TAU_1_1_1
3,12.25,0.3104,3.471933315,2.64752605075,-0.92245422475,-0.0441,58.33286398,0.439705399,23.300245025,-0.33291,1.352275,5.6094,5.45994925,39.72626949,97.331788405,358.7123486,2.88,171.00545,429.612925,204.136325,56.400645,270.52,348.2087,5.13254399775,-0.9911588385,0.05565195,2.49512375,45.3633775,0.07343191
3,12.75,0.297192174,3.9215821865,2.536438311,-1.0589,-0.0543,62.2864303725,0.282,23.4195,-0.353280215,3.0679795,5.7512245,5.58408625,36.8665,97.27009777,358.57,3.201965982,177.188975,432.374970375,198.507125,55.2036975,271.5786,352.504925,5.136512372,-1.1342,0.9889304,3.32030875,45.23381,0.0748658825
3,13.25,0.303731832,4.2833457225,2.60460378975,-0.944636708,-0.043625,69.9010370775,0.25696431225,22.776,-0.333919547,3.8225,5.83445,5.675972,35.9936324,97.2222389475,357.5086968,3.35827335475,172.39384425,428.2143,200.8664,55.975,271.5396,355.582425,5.151083348,-1.052931735,2.251064,3.9142965,43.8674025,0.062411785
3,13.75,0.30531893275,4.382738075,2.71471258425,-0.81563,-0.051375,72.3638701825,0.163877358,21.774823605,-0.444768727,4.642145,5.9667755,5.87100575,33.57825013,97.1902116,357.18,3.581012225,157.277925,422.891894,181.875814525,53.8688075,273.85815,354.85,4.9542695195,-0.8658525965,5.44424,4.574017,42.42522,0.07959078
3,14.25,0.29504048,4.5800275155,2.627795161,-0.62413177375,-0.0218,66.45884613,0.0978,21.581334805,-0.284292754,5.044251,6.0713,5.979046,32.89512429,97.14972685,357.4870528,3.645741212,154.8736877,380.529629225,179.32955,46.18095,275.102675,356.99125,5.01202680025,-0.987216254,5.5470695,4.8805905,41.03489,0.070103265
3,14.75,0.295181613,5.03594822775,2.539626183,-0.5602025,-0.0195,65.64008,-0.0936,18.458,-0.503775593,5.2105415,6.2117,6.161472,31.3697761775,97.12792766,357.2507926,3.57,143.074375,369.269979325,172.380075,44.712,274.62585,357.5266,4.97455428625,-0.78151650425,6.1763665,5.125421,42.53143,0.0544019925
3,15.25,0.28250192425,4.9827469545,2.614376611,-0.45603,-0.024,52.0834937,-0.1067682945,18.36,-0.40770266025,5.519008,6.2410865,6.28982,31.26437455,97.0825,357.6333863,3.7298572705,116.2401,287.11615155,139.870875,39.508225,275.6436,355.1734,5.056964139,-0.4965013815,6.120081,5.33554225,37.305595,0.06360536
3,15.75,0.28158610925,5.15939083375,2.52905375,-0.2504915625,-0.02925,35.57547873,-0.245916656,16.783,-0.244582371,5.1484895,6.2041,6.318,31.0397505675,97.07166281,357.52272175,3.5897,74.858875,221.878544,102.52857,25.6,275.1581,352.105,5.01008834025,-0.208216852,5.342001,5.12625925,33.42662,0.09045804
3,16.25,0.265889493,5.2037,2.41056204825,-0.12530967175,-0.0243,19.801025945,-0.482793805,12.483698665,-0.2407574315,5.1690595,6.11041875,6.375615,31.200390095,97.0576255825,357.2757713,3.46263620875,65.47596737,193.4909577,86.97948594,21.8573575,273.7475,351.05365,5.069030125,-0.17119063625,4.457215,4.491,28.66198,0.0609430625
3,16.75,0.24376347475,4.963646162,2.441113348,0.0372,-0.02195,7.691385,-0.555881874,8.10394787775,-0.260890566,5.0456215,6.02843,6.434132,30.710809355,97.06847041,357.6132785,3.49349439925,38.550065,126.131004525,54.7361275,14.4799825,272.458875,345.79275,5.02906260175,0.027975,3.1824955,2.3809435,22.25232,0.04784899
3,17.25,0.221272289,4.6731036175,2.2563025,0.1630519555,-0.0171,-7.32991084025,-0.881810825,6.19565486075,-0.1694730645,4.457927,5.95359325,6.518,30.9962329125,97.084771385,357.992907,3.34433662,12.901,89.4133593775,44.26613312,9.7230875,271.70485,341.7367,5.043110093,0.119330969,1.570621,0.63668,17.7473325,0.04311904
3,17.75,0.179323148,4.1197329905,2.008882327,0.3066012295,-0.0102,-21.64052345,-1.321025,3.728996081,-0.175504573,2.904471,5.8827,6.494,32.4987756,97.08780171,357.8561331,3.08,-19.06290159,48.6987625,25.93764,3.933225,270.347,336.15060485,5.11199444425,0.247158996,0.33009997,-0.3480625,8.1941,0.0322945625
3,18.25,0.147895376,3.543129655,1.800336848,0.24388,-0.0124,-33.41776457,-1.8627528835,0.64818354525,-0.15396137125,1.559965,5.811254,6.5016,36.127428965,97.116035695,357.8171521,2.7411904815,-56.571625,11.2253425,5.217448,1.277833,268.954525,332.30445,4.95943,0.2009496165,-1.610122,-2.60231325,1.76571725,0.0214962625
3,18.75,0.11159558475,3.27792306525,1.678747,0.22514320975,-0.02965,-33.31412,-1.881372179,0.23532530825,-0.236186722,1.1616985,5.624141,6.4263,38.2243919,97.1431502025,358.7395592,2.5347827,-68.898035,0.53593190825,-2.1382655,0.5036554,266.03915,323.83145,5.04550815625,0.15365898475,-2.7271725,-3.504559,0.0754121275,0.01634549
3,19.25,0.1012674845,2.795079906,1.5943036505,0.2214942825,-0.019225,-34.0200275775,-1.49918915,0.22374,-0.20317152525,-0.05961784,5.5225615,6.3486,39.230620845,97.16860825,359.141250875,2.43092696125,-66.23999,0.00293967625,-2.47000121775,0.465709925,263.74355,322.5995,5.07339,0.165629733,-4.185449,-4.3652065,-0.0243765275,0.0128754275
3,19.75,0.10865573025,2.4063832865,1.67969679675,0.28471810825,-0.0158,-35.1342875,-1.1645616195,0.25810583725,-0.11259606825,-2.0738,5.49367275,6.2973,41.30325084,97.1962955125,358.33366695,2.117090694,-65.85661,-0.00589713325,-2.18663925,0.441345825,263.23595,319.47085,5.110665997,0.2155719975,-4.917039,-5.16279125,-0.03203432,0.016555025
3,20.25,0.123617414,2.31642027375,1.667686544,0.2907735665,-0.01745,-36.553407935,-0.990377645,0.1477112675,-0.179495676,-2.8910955,5.3293,6.2544,41.65262362,97.2391728,359.1233322,1.907357935,-66.78202804,-0.005313683,-2.2034285,0.4648734,258.9374,319.2936,5.1546355915,0.207441894,-5.8586995,-5.847289,-0.034193705,0.0133590225
3,20.75,0.13314,2.29475843375,1.775908515,0.27482404075,-0.019,-37.942385,-1.032601495,0.0748276855,-0.222781182,-4.0223845,5.178231,6.150227,43.4261314275,97.24554508,358.426591,1.79338225,-66.125535,-0.005787023,-2.16972902775,0.439141875,258.497025,318.08985,5.12438534325,0.2418844165,-7.1304205,-6.09044175,-0.03501875,0.02060225
3,21.25,0.127357107,2.1187772015,1.762975138,0.273264291,-0.017925,-37.754295,-1.101283619,0.12203813175,-0.193416978,-5.4326,5.15621625,6.015676,45.12216956,97.26600302,358.20854735,1.657506475,-66.30295,-0.0053750375,-2.172031494,0.52620165,258.91685,317.4,5.07549,0.22782681875,-8.291598,-6.4803735,-0.034188425,0.0201853375
3,21.75,0.130253266,1.50044794525,1.77676,0.2925159515,-0.03055,-39.21427,-0.95559468125,0.00915,-0.2405960085,-6.2962955,5.0625605,5.949603,46.2808857075,97.27499585,358.6318779,1.632215165,-66.531065,-0.0086102045,-2.06873,0.544092025,257.6397,318.0867,5.07667,0.23389131225,-8.8082185,-6.89157425,-0.0301817525,0.016537875
