DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,11.25,0.1595,-8.026425,1.412725,-2.27315,-2.04105,-0.723425,-1.565075,-5.361075,-10.4678,-9.0654,-11.905,-2.773,-1.8195,12.845,76.788,380.7708,-0.74825,41.5305,135.9925,66.53625,18.2825,171.0875,278.3075,1.1442,97.6575
1,11.75,0.21715,-7.5864,1.5656,-1.95425,-1.82025,-0.622325,-3.26945,-11.0953,0.2795,-8.4815,-11.292,-2.5766,-1.7868,13.6945,76.78725,380.299,-0.82,40.6,127.275,63.7675,18.0425,169.825,281.95,1.29,84.51
1,12.25,0.27435,-7.0204,1.4348,-2.2251,-2.014775,-0.84405,1.1697,-6.4896,2.6639,-9.47565,-11.182,-2.4108,-1.747,12.96225,76.74725,379.707,-0.6635,40.4,140.575,60.0825,16.415,171.45,282.75,1.1023,93.895
1,12.75,0.173,-7.05275,1.3245,-1.9553,-1.6807,-0.645,12.754975,-7.220275,-4.1165,-12.132,-10.692,-2.1792,-1.6978,11.5545,76.72725,379.4266,-0.56225,36.9825,122.1,59.285,21.5925,172.95,284.9,1.163775,97.2
1,13.25,0.311,-7.793575,1.414075,-2.14635,-1.951,-0.4007,17.748975,-8.30295,0.11675,-10.3556,-10.218,-1.9796,-1.6622,12.519,76.71725,379.29745,-0.1975,42.2475,142.525,64.375,22.79,174.125,283.95,1.1416,117.325
1,13.75,0.2735,-7.676275,1.540875,-1.79715,-1.7093,-0.341,16.63935,-12.69845,-0.08525,-6.7525,-9.804,-1.8328,-1.6206,10.961,76.70725,379.301625,-0.27,36.8425,129.825,62.7775,20.6875,177.7,284.75,1.1192,108.625
1,14.25,0.26895,-7.409,1.5694,-1.7022,-1.71315,-0.4483,13.465,-17.610475,0.65975,-9.60425,-9.296,-1.6788,-1.566,10.584,76.67825,379.332,-0.28,28.0475,117.475,52.6825,17.5,178.275,281.7,1.16605,85.775
1,14.75,0.37095,-7.2996,1.567,-1.8276,-1.661175,-0.276975,15.4325,-16.901,1.716,-5.830125,-9.092,-1.5506,-1.5048,11.662,76.649,379.421,-0.2425,33.765,108.8,52.8625,15.195,170.625,279.65,1.071275,102.925
1,15.25,0.3513,-7.206225,1.615975,-1.09055,-1.0963,-0.194725,1.1405,-17.93,1.198,-7.6455,-8.914,-1.4544,-1.4298,11.837,76.6495,379.62,-0.174,18.62,82.7475,41.57525,11.1575,169,279.15,1.19925,81.675
1,15.75,0.3404,-7.4204,1.7926,-0.95145,-0.97985,-0.26095,-1.4805,-13.6445,-1.559125,-8.4305,-8.822,-1.3852,-1.3612,13.00125,76.6985,379.6798,-0.366,11.6395,71.225,36.2075,9.105,167.175,277.7,1.2274,66.895
1,16.25,0.2976,-7.55015,1.7285,-0.7299,-0.7513,-0.1545,-12.9925,-19.441,-4.12725,-3.946875,-8.366,-1.321,-1.3206,15.5115,76.66975,379.690725,-0.24075,-12.8625,33.3025,17.4775,6.17325,166.1,274.525,1.3416,48.155
1,16.75,0.22105,-7.7164,1.466,-0.5115,-0.39685,-0.2577,-24.3165,-22.253,-5.06825,-7.759,-8.0846,-1.2858,-1.2862,16.26325,76.66925,379.5142,-0.27875,-61.265,20.92,11.2175,3.907,165.725,270.1,1.4196,25.005
1,17.25,0.083675,-8.091775,1.41755,-0.0941,-0.105775,-0.322,-44.50085,-30.09,-3.6922,-7.54125,-7.7794,-1.4138,-1.2508,17.411275,76.6495,379.536,-0.21,-106.225,4.5175,3.00875,1.2615,165.75,266.4,1.43475,4.22275
1,17.75,0.0349,-8.74875,0.9474,-0.040425,-0.020725,-0.256825,-55.8077,-39.57645,-9.1376,-6.4296,-7.505,-1.5082,-1.2192,20.00225,76.64975,379.867,-0.27275,-127.625,0.42475,-6.53475,-0.3895,167.825,265.55,1.416225,0.36525
1,18.25,0.02145,-9.9305,0.779225,0.151425,-0.02565,-0.246225,-68.4096,-26.8953,-5.666,-5.1378,-7.4812,-1.7104,-1.1872,20.52325,76.63825,380.382,-0.34325,-126.75,0.335,-6.8345,0.0195,164.75,263.975,1.4372,0.335
1,18.75,0.04155,-10.29575,0.7931,0.043875,-0.211,-0.36085,-68.863,-20.201,-5.481,-6.594,-8.13,-1.9192,-1.1624,21.437,76.61775,380.90435,-0.40775,-123.35,0.335,-5.65825,0.062,163.425,261.775,1.4826,0.335
1,19.25,0.04675,-10.3,0.7938,-0.0813,-0.07045,-0.362025,-75.0855,-16.319,-4.816625,-5.3722,-9.092,-2.1394,-1.1364,22.699,76.6265,381.174875,-0.481,-122.55,0.335,-5.23475,0.0185,162.55,260.675,1.5498,0.1875
1,19.75,0.01765,-10.18325,0.8634,-0.1686,-0.0198,-0.42795,-74.3255,-13.5865,-4.74125,-5.8042,-10.814,-2.357,-1.1368,22.0965,76.61525,381.3421,-0.392,-121.575,0.335,-4.89675,0.0085,159.45,258.725,1.5396,0.045
1,20.25,0.03185,-10.60725,0.701,-0.3069,-0.08275,-0.565975,-78.3415,-13.9535,-4.56975,-7.9024,-11.974,-2.5212,-1.1326,20.7675,76.614,381.81435,-0.322,-122.05,0.335,-4.9035,-0.04875,158.425,258.975,1.317,0.03
1,20.75,0.02555,-10.856,0.7484,-0.55905,-0.10385,-0.592075,-85.363,-18.146,-3.104125,-9.2362,-12.5,-2.6644,-1.1622,19.24425,76.605,382.050975,-0.26425,-120.9,0.335,-4.768,-0.1775,157.075,258.42525,1.3296,0.1275
1,21.25,0.0243,-10.866,0.5346,-0.31185,-0.0893,-0.684775,-80.271,-10.6205,-2.437375,-6.855,-12.908,-2.8202,-1.1878,17.663,76.584,382.149675,-0.29,-120.525,0.335,-4.94575,-0.0275,156.65,257.225,1.2974,-0.0625
1,21.75,0.01905,-10.91575,0.65105,-0.1715,-0.10565,-0.524,-84.9445,-14.907,-4.17025,-4.903,-14.102,-2.9594,-1.2146,17.617,76.5755,381.92275,-0.30775,-120.025,0.335,-4.9525,0.0045,155.6,256.27575,1.216,-0.08
1,22.25,0.03075,-10.958,0.5264,-0.37385,-0.146,-0.68325,-80.4195,-15.595,-2.136125,-6.16675,-14.408,-3.0638,-1.2364,17.3245,76.526,382.112775,-0.7125,-120.775,0.335,-4.56475,0.0195,154.025,255.65,1.1388,0.0375
1,22.75,0.02005,-11.1555,0.467475,-0.48025,-0.13465,-0.502375,-82.8275,-10.3395,-4.216,-4.2578,-14.638,-3.1516,-1.2622,17.661,76.50675,382.1953,-0.579,-122.465,0.335,-4.606875,-0.0033,153.36,255.440725,1.2066,-0.07025
1,23.25,0.029725,-11.359,0.650875,-0.4279,-0.03025,-0.55365,-78.7973,-11.20805,-5.0862,-5.7576,-14.764,-3.2052,-1.2898,17.28175,76.497,382.1189,-0.39,-122.265,0.335,-4.717825,-0.0178,153.0725,255.285,1.2436,0.01725
1,23.75,0.026875,-11.5895,0.669,-0.2393,-0.130675,-0.402875,-82.782075,-16.976525,-5.0152,-5.6708,-15.274,-3.2548,-1.32,18.024,76.46775,381.93365,-0.4275,-121.965,0.335,-4.937175,0.002175,152.49,252.25,1.2752,0.01975
2,0.25,0.013,-10.188,0.44385,-0.5026,-0.157,-0.4916,-79.4135,-12.561,-5.27675,-8.279975,-10.06925,-1.3455,-0.3575,15.35,76.78,382.2665,-0.8115,-128.875,0.335,-5.6785,0.0995,168.925,250.55,1.40325,0.1425
2,0.75,0.01775,-9.938,0.4368,-0.2823,-0.1335,-0.4006,-83.86275,-21.06825,-4.7536,-9.20225,-12.5925,-1.53925,-0.38275,15.676,76.77,382.33425,-0.8345,-129.1,0.335,-5,0.1215,170.2,252.225,1.3863,0.065
2,1.25,0.022425,-10.2525,0.4534,-0.561475,-0.130775,-0.589625,-92.863025,-12.90085,-4.265975,-5.35855,-12.96,-1.71825,-0.41325,16.656,76.73,382.33655,-0.878,-128.955,0.335,-4.73575,0.19775,169.375,252.425,1.3843,-0.11
2,1.75,0.01455,-10.7595,0.3632,-0.342175,-0.171575,-0.40925,-82.301425,-13.14275,-5.2024,-6.577625,-12.9575,-1.78575,-0.438,15.376,76.73,382.695625,-0.937,-128.15,0.335,-5.34025,0.19625,167.675,246.9,1.339675,0.125
2,2.25,0.020975,-11.442,0.3926,-0.2735,-0.180225,-0.4453,-74.354325,-24.66945,-3.105975,-5.49365,-12.96,-1.86325,-0.46825,15.614,76.7,382.7282,-0.9345,-128.55,0.335,-5.83175,0,166.2,243.45,1.360775,-0.135
2,2.75,0.0271,-11.3175,0.4664,-0.422725,-0.04595,-0.595675,-80.62535,-19.203625,-3.97965,-4.7389,-13.055,-1.96075,-0.494,17.322,76.65,382.435675,-0.956,-127.825,0.335,-4.7995,0.0255,167.375,242.4,1.3549,0.1075
2,3.25,0.015875,-11.068,0.434,-0.46735,-0.06235,-0.4328,-80.242525,-12.70105,-6.73975,-4.7356,-13.13,-2.13825,-0.4995,17.424,76.61,382.668425,-0.882,-126.2,0.335,-4.78125,0.0275,167.1,244.525,1.36975,0.1975
2,3.75,0.022,-10.6555,0.5082,-0.299625,-0.09025,-0.392925,-77.56835,-12.374225,-6.1946,-6.201125,-14.485,-2.31475,-0.52,16.708,76.58,382.6781,-0.9375,-123.55,0.335,-4.73225,0.04,165.725,245.2,1.365675,-0.0025
2,4.25,0.027975,-10.8615,0.4554,-0.3965,-0.23255,-0.38825,-76.153175,-20.563575,-3.805325,-5.946825,-15.415,-2.44025,-0.54775,16.49,76.56,382.678925,-0.9675,-125.8,0.335,-5.184,0.00725,164.975,242.5,1.349325,-0.0325
2,4.75,0.0246,-12.3,0.4565,-0.320325,-0.122,-0.38245,-75.4036,-21.81665,-4.083125,-5.1128,-16.09925,-2.501,-0.577,16.9,76.56,382.6366,-0.905,-125.5,0.335,-5.11925,0.04275,163.75,240.15,1.35455,0.115
2,5.25,0.015,-12.40875,0.534525,-0.2828,-0.1652,-0.4376,-67.573,-21.054,-2.902775,-5.352775,-16.83,-2.5545,-0.6155,17.69,76.58,382.7856,-0.8575,-125.925,0.335,-4.987,0.02575,164.55,239.55,1.303725,0.1825
2,5.75,0.0171,-12.4905,0.4332,-0.39425,-0.13275,-0.5415,-86.94855,-13.472975,-2.6784,-7.2071,-17.3575,-2.6225,-0.6575,17.896,76.6,383.01535,-0.9175,-124.325,0.335,-4.55575,0.0175,165.05,240.85,1.2891,0.02
2,6.25,0.024325,-11.952,0.5394,-0.5201,-0.165725,-0.52495,-72.33675,-11.558125,-3.41535,-7.413625,-17.3875,-2.6745,-0.69775,18.408,76.64,383.071875,-0.7845,-120.425,0.335,-4.564,0.19225,164.375,239.55,1.2026,0.195
2,6.75,0.0255,-11.8105,0.5058,-0.360275,-0.10145,-0.49455,-82.52755,-12.89555,-4.47305,-4.803375,-17.06,-2.68925,-0.7315,19.6,76.66,383.21485,-0.8725,-120.35,0.335,-4.2225,0.08925,165.2,240.675,1.2224,-0.04
