DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
1,23.75,0.13,0.8925,3.6,4.6675,11.89,-7.1525,-0.1775,-90.03,-13.27,-55.3975,-1.69,-0.085,2.0625
2,0.25,0.13,0.86,0.8,2.49,20.9475,-6.685,-0.26,-86.6675,-16.06,-37.4625,-3.9775,-0.1225,1.605
2,0.75,0.13,0.9,0.545,2.7,20.78,-6.9025,-0.1775,-87.1925,-17.17,-53.36,-1.4725,-0.0675,1.605
2,1.25,0.13,0.8975,0.64,2.54,20.245,-7.07,-0.2575,-85.11,-15.79,-50.3025,-2.535,-0.0925,1.61
2,1.75,0.13,0.89,0.355,2.5325,20.3775,-6.9325,-0.27,-86.0375,-20.1275,-49.6575,-2.495,-0.08,1.6075
2,2.25,0.13,0.905,0.7325,2.09,18.9825,-6.825,-0.2675,-85.4825,-17.37,-45.065,-2.625,-0.13,1.6
2,2.75,0.14,1.0025,0.525,2.245,18.545,-6.9,-0.27,-85.54,-19.215,-50.8625,-1.67,-0.05,1.57
2,3.25,0.14,0.875,0.69,2.04,18.5975,-6.8525,-0.2525,-84.86,-18.395,-44.69,-3.2,-0.1,1.57
2,3.75,0.12,0.905,0.595,1.985,18.3925,-6.97,-0.25,-84.915,-15.005,-38.98,-3.08,-0.09,1.58
2,4.25,0.12,0.895,0.4975,2.515,17.885,-6.855,-0.27,-85.6925,-17.785,-35.625,-3.58,-0.045,1.57
2,4.75,0.13,0.88,0.675,2.34,17.3775,-6.9875,-0.28,-84.49,-15.275,-41.97,-2.2275,-0.02,1.57
2,5.25,0.13,0.91,0.6825,2.2625,15.545,-6.9125,-0.34,-84.1575,-18.79,-44.895,-0.7,-0.025,1.57
2,5.75,0.12,0.91,0.535,2.06,16.67,-6.97,-0.2675,-85.3975,-15.565,-44.92,-0.7275,-0.0375,1.56
2,6.25,0.12,0.89,0.6425,2.27,16.3925,-6.26,-0.1375,-85.0725,-17.5,-35.425,-3.76,-0.13,1.55
2,6.75,0.12,0.9,0.8375,2.485,15.9525,0.3475,0.6825,-77.8825,-19.015,-48.6825,-1.82,-0.07,1.56
2,7.25,0.12,0.9,1.1075,2.895,16.01,13.475,1.8825,-66.005,-18.475,-52.35,-3.58,-0.13,1.56
2,7.75,0.12,0.62,1.3725,3.31,14.99,24.83,3.64,-53.4675,-18.075,-36.32,-2.435,-0.27,1.56
2,8.25,0.13,0.35,2.0375,3.69,16.175,166.5175,10.3525,40.8,-17.15,-27.99,-1.985,-0.93,1.56
2,8.75,0.17,0.3675,2.5425,4.0775,16.745,247.64,22.13,77.96,-27.175,-14.435,7.97,-2.205,1.55
2,9.25,0.21,0.585,2.495,4.28,19.47,276.34,29.64,114.535,-6.64,8.67,17.8325,-4.67,1.54
2,9.75,0.29,0.8875,2.795,4.445,20.88,359.14,37.14,145.45,1.325,29.475,37.88,-5.1725,1.58
